DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-15,2020,BY113,90,Podiceps cristatus,0,0
2020-04-09,2020,BY113,90,Podiceps cristatus,3,2
2020-05-02,2020,BY113,90,Podiceps cristatus,3,2
2020-06-18,2020,BY113,90,Podiceps cristatus,0,0
2021-03-13,2021,BY113,90,Podiceps cristatus,0,0
2021-03-15,2021,BY297,90,Podiceps cristatus,0,0
2021-03-24,2021,BY324,90,Podiceps cristatus,2,0
2021-04-04,2021,BY113,90,Podiceps cristatus,3,1
2021-04-15,2021,BY297,90,Podiceps cristatus,0,0
2021-04-20,2021,BY324,90,Podiceps cristatus,2,0
2021-05-04,2021,BY113,90,Podiceps cristatus,0,0
2021-05-08,2021,BY297,90,Podiceps cristatus,1,0
2021-05-14,2021,BY324,90,Podiceps cristatus,0,0
2021-05-30,2021,BY297,90,Podiceps cristatus,0,0
2021-06-10,2021,BY113,90,Podiceps cristatus,3,1
2021-06-11,2021,BY324,90,Podiceps cristatus,2,0
2022-03-13,2022,BY113,90,Podiceps cristatus,0,0
2022-03-13,2022,BY288,90,Podiceps cristatus,0,0
2022-03-20,2022,BY297,90,Podiceps cristatus,0,0
2022-03-21,2022,BY324,90,Podiceps cristatus,0,0
2022-04-10,2022,BY288,90,Podiceps cristatus,2,1
2022-04-17,2022,BY113,90,Podiceps cristatus,3,2
2022-04-20,2022,BY297,90,Podiceps cristatus,0,0
2022-05-05,2022,BY113,90,Podiceps cristatus,2,2
2022-05-07,2022,BY288,90,Podiceps cristatus,2,1
2022-05-31,2022,BY297,90,Podiceps cristatus,0,0
2022-06-06,2022,BY288,90,Podiceps cristatus,0,0
2022-06-11,2022,BY113,90,Podiceps cristatus,1,2
2022-06-14,2022,BY297,90,Podiceps cristatus,0,0
2023-03-20,2023,BY401,90,Podiceps cristatus,5,2
2023-03-23,2023,BY297,90,Podiceps cristatus,0,0
2023-03-26,2023,BY113,90,Podiceps cristatus,2,1
2023-04-07,2023,BY297,90,Podiceps cristatus,0,0
2023-04-10,2023,BY113,90,Podiceps cristatus,2,1
2023-04-10,2023,BY401,90,Podiceps cristatus,3,2
2023-05-04,2023,BY113,90,Podiceps cristatus,2,1
2023-05-07,2023,BY297,90,Podiceps cristatus,0,0
2023-05-19,2023,BY401,90,Podiceps cristatus,3,2
2023-06-07,2023,BY297,90,Podiceps cristatus,0,0
2023-06-09,2023,BY401,90,Podiceps cristatus,4,2
2023-06-11,2023,BY113,90,Podiceps cristatus,2,1
2024-03-10,2024,BY401,90,Podiceps cristatus,4,0
2024-03-17,2024,BY113,90,Podiceps cristatus,2,1
2024-03-29,2024,BY206,90,Podiceps cristatus,2,4
2024-03-29,2024,BY297,90,Podiceps cristatus,0,0
2024-04-06,2024,BY113,90,Podiceps cristatus,1,1
2024-04-11,2024,BY401,90,Podiceps cristatus,4,0
2024-04-12,2024,BY297,90,Podiceps cristatus,0,0
2024-04-14,2024,BY206,90,Podiceps cristatus,4,4
2024-05-04,2024,BY113,90,Podiceps cristatus,2,1
2024-05-09,2024,BY401,90,Podiceps cristatus,2,0
2024-05-16,2024,BY297,90,Podiceps cristatus,0,0
2024-05-18,2024,BY206,90,Podiceps cristatus,1,4
2024-06-08,2024,BY401,90,Podiceps cristatus,2,0
2024-06-11,2024,BY113,90,Podiceps cristatus,5,1
2024-06-17,2024,BY297,90,Podiceps cristatus,0,0
2024-06-18,2024,BY206,90,Podiceps cristatus,2,4
