DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2021-03-15,2021,BY297,90,Podiceps cristatus,0,0
2021-03-24,2021,BY324,90,Podiceps cristatus,2,0
2021-04-15,2021,BY297,90,Podiceps cristatus,0,0
2021-04-20,2021,BY324,90,Podiceps cristatus,2,0
2021-05-08,2021,BY297,90,Podiceps cristatus,1,0
2021-05-14,2021,BY324,90,Podiceps cristatus,0,0
2021-05-30,2021,BY297,90,Podiceps cristatus,0,0
2021-06-11,2021,BY324,90,Podiceps cristatus,2,0
2022-03-20,2022,BY297,90,Podiceps cristatus,0,0
2022-03-21,2022,BY324,90,Podiceps cristatus,0,0
2022-04-20,2022,BY297,90,Podiceps cristatus,0,0
2022-05-31,2022,BY297,90,Podiceps cristatus,0,0
2022-06-14,2022,BY297,90,Podiceps cristatus,0,0
2023-03-23,2023,BY297,90,Podiceps cristatus,0,0
2023-04-07,2023,BY297,90,Podiceps cristatus,0,0
2023-05-07,2023,BY297,90,Podiceps cristatus,0,0
2023-06-07,2023,BY297,90,Podiceps cristatus,0,0
2024-03-10,2024,BY401,90,Podiceps cristatus,4,0
2024-03-29,2024,BY297,90,Podiceps cristatus,0,0
2024-04-11,2024,BY401,90,Podiceps cristatus,4,0
2024-04-12,2024,BY297,90,Podiceps cristatus,0,0
2024-05-09,2024,BY401,90,Podiceps cristatus,2,0
2024-05-16,2024,BY297,90,Podiceps cristatus,0,0
2024-06-08,2024,BY401,90,Podiceps cristatus,2,0
2024-06-17,2024,BY297,90,Podiceps cristatus,0,0
