DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY157,14420,Poecile montanus,1,1
2020-03-13,2020,BY157,14420,Poecile montanus,1,1
2020-03-15,2020,BY337,14420,Poecile montanus,1,1
2020-03-15,2020,BY337,14420,Poecile montanus,1,1
2020-03-16,2020,BY151,14420,Poecile montanus,1,2
2020-03-16,2020,BY151,14420,Poecile montanus,1,2
2020-03-16,2020,BY365,14420,Poecile montanus,0,0
2020-03-16,2020,BY365,14420,Poecile montanus,0,0
2020-03-17,2020,BY362,14420,Poecile montanus,1,5
2020-03-17,2020,BY362,14420,Poecile montanus,1,5
2020-03-18,2020,BY231,14420,Poecile montanus,2,1
2020-03-18,2020,BY231,14420,Poecile montanus,2,1
2020-03-19,2020,BY124,14420,Poecile montanus,0,0
2020-03-19,2020,BY124,14420,Poecile montanus,0,0
2020-03-19,2020,BY237,14420,Poecile montanus,1,1
2020-03-19,2020,BY237,14420,Poecile montanus,1,1
2020-03-20,2020,BY193,14420,Poecile montanus,1,1
2020-03-20,2020,BY193,14420,Poecile montanus,1,1
2020-03-20,2020,BY286,14420,Poecile montanus,0,0
2020-03-20,2020,BY286,14420,Poecile montanus,0,0
2020-03-25,2020,BY132,14420,Poecile montanus,1,2
2020-03-25,2020,BY132,14420,Poecile montanus,1,2
2020-03-27,2020,BY460,14420,Poecile montanus,1,3
2020-03-27,2020,BY460,14420,Poecile montanus,1,3
2020-04-05,2020,BY124,14420,Poecile montanus,1,1
2020-04-05,2020,BY124,14420,Poecile montanus,1,1
2020-04-05,2020,BY286,14420,Poecile montanus,3,3
2020-04-05,2020,BY286,14420,Poecile montanus,3,3
2020-04-08,2020,BY151,14420,Poecile montanus,1,2
2020-04-08,2020,BY151,14420,Poecile montanus,1,2
2020-04-08,2020,BY365,14420,Poecile montanus,1,1
2020-04-08,2020,BY365,14420,Poecile montanus,1,1
2020-04-09,2020,BY157,14420,Poecile montanus,1,1
2020-04-09,2020,BY157,14420,Poecile montanus,1,1
2020-04-11,2020,BY337,14420,Poecile montanus,0,0
2020-04-11,2020,BY337,14420,Poecile montanus,0,0
2020-04-15,2020,BY231,14420,Poecile montanus,0,0
2020-04-15,2020,BY231,14420,Poecile montanus,0,0
2020-04-16,2020,BY383,14420,Poecile montanus,0,0
2020-04-16,2020,BY383,14420,Poecile montanus,0,0
2020-04-16,2020,BY460,14420,Poecile montanus,5,3
2020-04-16,2020,BY460,14420,Poecile montanus,5,3
2020-04-17,2020,BY362,14420,Poecile montanus,2,5
2020-04-17,2020,BY362,14420,Poecile montanus,2,5
2020-04-18,2020,BY132,14420,Poecile montanus,1,2
2020-04-18,2020,BY132,14420,Poecile montanus,1,2
2020-04-27,2020,BY193,14420,Poecile montanus,0,0
2020-04-27,2020,BY193,14420,Poecile montanus,0,0
2020-04-28,2020,BY415,14420,Poecile montanus,0,0
2020-04-28,2020,BY415,14420,Poecile montanus,0,0
2020-04-30,2020,BY424,14420,Poecile montanus,3,4
2020-04-30,2020,BY424,14420,Poecile montanus,3,4
2020-05-03,2020,BY286,14420,Poecile montanus,1,3
2020-05-03,2020,BY286,14420,Poecile montanus,1,3
2020-05-05,2020,BY151,14420,Poecile montanus,0,0
2020-05-05,2020,BY151,14420,Poecile montanus,0,0
2020-05-07,2020,BY132,14420,Poecile montanus,0,0
2020-05-07,2020,BY132,14420,Poecile montanus,0,0
2020-05-07,2020,BY157,14420,Poecile montanus,0,0
2020-05-07,2020,BY157,14420,Poecile montanus,0,0
2020-05-08,2020,BY492,14420,Poecile montanus,0,0
2020-05-08,2020,BY492,14420,Poecile montanus,0,0
2020-05-09,2020,BY124,14420,Poecile montanus,0,0
2020-05-09,2020,BY124,14420,Poecile montanus,0,0
2020-05-12,2020,BY365,14420,Poecile montanus,0,0
2020-05-12,2020,BY365,14420,Poecile montanus,0,0
2020-05-14,2020,BY231,14420,Poecile montanus,0,0
2020-05-14,2020,BY231,14420,Poecile montanus,0,0
2020-05-16,2020,BY337,14420,Poecile montanus,0,0
2020-05-16,2020,BY337,14420,Poecile montanus,0,0
2020-05-17,2020,BY237,14420,Poecile montanus,0,0
2020-05-17,2020,BY237,14420,Poecile montanus,0,0
2020-05-17,2020,BY362,14420,Poecile montanus,1,5
2020-05-17,2020,BY362,14420,Poecile montanus,1,5
2020-05-17,2020,BY460,14420,Poecile montanus,0,0
2020-05-17,2020,BY460,14420,Poecile montanus,0,0
2020-05-18,2020,BY383,14420,Poecile montanus,1,1
2020-05-18,2020,BY383,14420,Poecile montanus,1,1
2020-05-19,2020,BY193,14420,Poecile montanus,0,0
2020-05-19,2020,BY193,14420,Poecile montanus,0,0
2020-05-20,2020,BY492,14420,Poecile montanus,3,4
2020-05-20,2020,BY492,14420,Poecile montanus,3,4
2020-05-21,2020,BY456,14420,Poecile montanus,3,2
2020-05-21,2020,BY456,14420,Poecile montanus,3,2
2020-05-24,2020,BY286,14420,Poecile montanus,0,0
2020-05-24,2020,BY286,14420,Poecile montanus,0,0
2020-05-27,2020,BY383,14420,Poecile montanus,0,0
2020-05-27,2020,BY383,14420,Poecile montanus,0,0
2020-05-27,2020,BY415,14420,Poecile montanus,0,0
2020-05-27,2020,BY415,14420,Poecile montanus,0,0
2020-05-27,2020,BY424,14420,Poecile montanus,0,0
2020-05-27,2020,BY424,14420,Poecile montanus,0,0
2020-05-30,2020,BY132,14420,Poecile montanus,1,2
2020-05-30,2020,BY132,14420,Poecile montanus,1,2
2020-05-30,2020,BY456,14420,Poecile montanus,1,2
2020-05-30,2020,BY456,14420,Poecile montanus,1,2
2020-06-01,2020,BY124,14420,Poecile montanus,0,0
2020-06-01,2020,BY124,14420,Poecile montanus,0,0
2020-06-01,2020,BY157,14420,Poecile montanus,0,0
2020-06-01,2020,BY157,14420,Poecile montanus,0,0
2020-06-01,2020,BY337,14420,Poecile montanus,1,1
2020-06-01,2020,BY337,14420,Poecile montanus,1,1
2020-06-02,2020,BY157,14420,Poecile montanus,0,0
2020-06-02,2020,BY157,14420,Poecile montanus,0,0
2020-06-03,2020,BY456,14420,Poecile montanus,0,0
2020-06-03,2020,BY456,14420,Poecile montanus,0,0
2020-06-08,2020,BY151,14420,Poecile montanus,0,0
2020-06-08,2020,BY151,14420,Poecile montanus,0,0
2020-06-12,2020,BY231,14420,Poecile montanus,0,0
2020-06-12,2020,BY231,14420,Poecile montanus,0,0
2020-06-12,2020,BY365,14420,Poecile montanus,0,0
2020-06-12,2020,BY365,14420,Poecile montanus,0,0
2020-06-13,2020,BY237,14420,Poecile montanus,0,0
2020-06-13,2020,BY237,14420,Poecile montanus,0,0
2020-06-17,2020,BY193,14420,Poecile montanus,0,0
2020-06-17,2020,BY193,14420,Poecile montanus,0,0
2020-06-17,2020,BY383,14420,Poecile montanus,1,1
2020-06-17,2020,BY383,14420,Poecile montanus,1,1
2020-06-17,2020,BY460,14420,Poecile montanus,0,0
2020-06-17,2020,BY460,14420,Poecile montanus,0,0
2020-06-18,2020,BY362,14420,Poecile montanus,1,5
2020-06-18,2020,BY362,14420,Poecile montanus,1,5
2020-06-24,2020,BY456,14420,Poecile montanus,2,2
2020-06-24,2020,BY456,14420,Poecile montanus,2,2
2020-06-24,2020,BY492,14420,Poecile montanus,0,0
2020-06-24,2020,BY492,14420,Poecile montanus,0,0
2020-06-25,2020,BY424,14420,Poecile montanus,4,4
2020-06-25,2020,BY424,14420,Poecile montanus,4,4
2020-07-09,2020,BY415,14420,Poecile montanus,2,2
2020-07-09,2020,BY415,14420,Poecile montanus,2,2
2020-07-09,2020,BY492,14420,Poecile montanus,4,4
2020-07-09,2020,BY492,14420,Poecile montanus,4,4
2020-07-23,2020,BY424,14420,Poecile montanus,1,4
2020-07-23,2020,BY424,14420,Poecile montanus,1,4
2021-03-13,2021,BY165,14420,Poecile montanus,0,0
2021-03-13,2021,BY165,14420,Poecile montanus,0,0
2021-03-18,2021,BY182,14420,Poecile montanus,1,1
2021-03-18,2021,BY182,14420,Poecile montanus,1,1
2021-03-20,2021,BY124,14420,Poecile montanus,1,1
2021-03-20,2021,BY124,14420,Poecile montanus,1,1
2021-03-20,2021,BY337,14420,Poecile montanus,1,3
2021-03-20,2021,BY337,14420,Poecile montanus,1,3
2021-03-21,2021,BY127,14420,Poecile montanus,0,0
2021-03-21,2021,BY127,14420,Poecile montanus,0,0
2021-03-21,2021,BY168,14420,Poecile montanus,0,0
2021-03-21,2021,BY168,14420,Poecile montanus,0,0
2021-03-21,2021,BY180,14420,Poecile montanus,0,0
2021-03-21,2021,BY180,14420,Poecile montanus,0,0
2021-03-21,2021,BY86,14420,Poecile montanus,1,1
2021-03-21,2021,BY86,14420,Poecile montanus,1,1
2021-03-23,2021,BY338,14420,Poecile montanus,3,3
2021-03-23,2021,BY338,14420,Poecile montanus,3,3
2021-03-23,2021,BY341,14420,Poecile montanus,0,0
2021-03-23,2021,BY341,14420,Poecile montanus,0,0
2021-03-24,2021,BY358,14420,Poecile montanus,1,3
2021-03-24,2021,BY358,14420,Poecile montanus,1,3
2021-03-25,2021,BY272,14420,Poecile montanus,0,0
2021-03-25,2021,BY272,14420,Poecile montanus,0,0
2021-03-25,2021,BY355,14420,Poecile montanus,1,3
2021-03-25,2021,BY355,14420,Poecile montanus,1,3
2021-03-26,2021,BY105,14420,Poecile montanus,0,0
2021-03-26,2021,BY105,14420,Poecile montanus,0,0
2021-03-26,2021,BY132,14420,Poecile montanus,3,3
2021-03-26,2021,BY132,14420,Poecile montanus,3,3
2021-03-26,2021,BY164,14420,Poecile montanus,0,0
2021-03-26,2021,BY164,14420,Poecile montanus,0,0
2021-03-26,2021,BY3,14420,Poecile montanus,4,3
2021-03-26,2021,BY3,14420,Poecile montanus,4,3
2021-03-26,2021,BY400,14420,Poecile montanus,0,0
2021-03-26,2021,BY400,14420,Poecile montanus,0,0
2021-03-26,2021,BY464,14420,Poecile montanus,1,2
2021-03-26,2021,BY464,14420,Poecile montanus,1,2
2021-03-28,2021,BY158,14420,Poecile montanus,1,1
2021-03-28,2021,BY158,14420,Poecile montanus,1,1
2021-03-28,2021,BY163,14420,Poecile montanus,2,1
2021-03-28,2021,BY163,14420,Poecile montanus,2,1
2021-03-28,2021,BY291,14420,Poecile montanus,0,0
2021-03-28,2021,BY291,14420,Poecile montanus,0,0
2021-03-28,2021,BY349,14420,Poecile montanus,0,0
2021-03-28,2021,BY349,14420,Poecile montanus,0,0
2021-03-29,2021,BY342,14420,Poecile montanus,6,12
2021-03-29,2021,BY342,14420,Poecile montanus,6,12
2021-03-29,2021,BY70,14420,Poecile montanus,0,0
2021-03-29,2021,BY70,14420,Poecile montanus,0,0
2021-03-31,2021,BY460,14420,Poecile montanus,1,2
2021-03-31,2021,BY460,14420,Poecile montanus,1,2
2021-04-02,2021,BY124,14420,Poecile montanus,0,0
2021-04-02,2021,BY124,14420,Poecile montanus,0,0
2021-04-02,2021,BY127,14420,Poecile montanus,1,1
2021-04-02,2021,BY127,14420,Poecile montanus,1,1
2021-04-02,2021,BY457,14420,Poecile montanus,5,4
2021-04-02,2021,BY457,14420,Poecile montanus,5,4
2021-04-02,2021,BY458,14420,Poecile montanus,0,0
2021-04-02,2021,BY458,14420,Poecile montanus,0,0
2021-04-10,2021,BY132,14420,Poecile montanus,1,3
2021-04-10,2021,BY132,14420,Poecile montanus,1,3
2021-04-10,2021,BY165,14420,Poecile montanus,0,0
2021-04-10,2021,BY165,14420,Poecile montanus,0,0
2021-04-10,2021,BY168,14420,Poecile montanus,1,1
2021-04-10,2021,BY168,14420,Poecile montanus,1,1
2021-04-10,2021,BY337,14420,Poecile montanus,1,3
2021-04-10,2021,BY337,14420,Poecile montanus,1,3
2021-04-11,2021,BY105,14420,Poecile montanus,2,1
2021-04-11,2021,BY105,14420,Poecile montanus,2,1
2021-04-11,2021,BY180,14420,Poecile montanus,1,1
2021-04-11,2021,BY180,14420,Poecile montanus,1,1
2021-04-11,2021,BY341,14420,Poecile montanus,2,2
2021-04-11,2021,BY341,14420,Poecile montanus,2,2
2021-04-11,2021,BY358,14420,Poecile montanus,1,3
2021-04-11,2021,BY358,14420,Poecile montanus,1,3
2021-04-14,2021,BY182,14420,Poecile montanus,0,0
2021-04-14,2021,BY182,14420,Poecile montanus,0,0
2021-04-17,2021,BY286,14420,Poecile montanus,1,1
2021-04-17,2021,BY286,14420,Poecile montanus,1,1
2021-04-18,2021,BY86,14420,Poecile montanus,0,0
2021-04-18,2021,BY86,14420,Poecile montanus,0,0
2021-04-23,2021,BY338,14420,Poecile montanus,1,3
2021-04-23,2021,BY338,14420,Poecile montanus,1,3
2021-04-23,2021,BY355,14420,Poecile montanus,1,3
2021-04-23,2021,BY355,14420,Poecile montanus,1,3
2021-04-24,2021,BY164,14420,Poecile montanus,0,0
2021-04-24,2021,BY164,14420,Poecile montanus,0,0
2021-04-24,2021,BY272,14420,Poecile montanus,1,1
2021-04-24,2021,BY272,14420,Poecile montanus,1,1
2021-04-24,2021,BY3,14420,Poecile montanus,0,0
2021-04-24,2021,BY3,14420,Poecile montanus,0,0
2021-04-24,2021,BY349,14420,Poecile montanus,0,0
2021-04-24,2021,BY349,14420,Poecile montanus,0,0
2021-04-24,2021,BY457,14420,Poecile montanus,0,0
2021-04-24,2021,BY457,14420,Poecile montanus,0,0
2021-04-24,2021,BY458,14420,Poecile montanus,2,1
2021-04-24,2021,BY458,14420,Poecile montanus,2,1
2021-04-25,2021,BY163,14420,Poecile montanus,0,0
2021-04-25,2021,BY163,14420,Poecile montanus,0,0
2021-04-25,2021,BY291,14420,Poecile montanus,1,1
2021-04-25,2021,BY291,14420,Poecile montanus,1,1
2021-04-25,2021,BY342,14420,Poecile montanus,7,12
2021-04-25,2021,BY342,14420,Poecile montanus,7,12
2021-04-25,2021,BY460,14420,Poecile montanus,1,2
2021-04-25,2021,BY460,14420,Poecile montanus,1,2
2021-04-26,2021,BY400,14420,Poecile montanus,2,1
2021-04-26,2021,BY400,14420,Poecile montanus,2,1
2021-04-27,2021,BY158,14420,Poecile montanus,0,0
2021-04-27,2021,BY158,14420,Poecile montanus,0,0
2021-04-27,2021,BY383,14420,Poecile montanus,2,2
2021-04-27,2021,BY383,14420,Poecile montanus,2,2
2021-04-27,2021,BY70,14420,Poecile montanus,1,1
2021-04-27,2021,BY70,14420,Poecile montanus,1,1
2021-04-29,2021,BY464,14420,Poecile montanus,0,0
2021-04-29,2021,BY464,14420,Poecile montanus,0,0
2021-05-01,2021,BY127,14420,Poecile montanus,0,0
2021-05-01,2021,BY127,14420,Poecile montanus,0,0
2021-05-08,2021,BY165,14420,Poecile montanus,2,1
2021-05-08,2021,BY165,14420,Poecile montanus,2,1
2021-05-08,2021,BY168,14420,Poecile montanus,0,0
2021-05-08,2021,BY168,14420,Poecile montanus,0,0
2021-05-08,2021,BY341,14420,Poecile montanus,0,0
2021-05-08,2021,BY341,14420,Poecile montanus,0,0
2021-05-09,2021,BY180,14420,Poecile montanus,0,0
2021-05-09,2021,BY180,14420,Poecile montanus,0,0
2021-05-09,2021,BY286,14420,Poecile montanus,1,1
2021-05-09,2021,BY286,14420,Poecile montanus,1,1
2021-05-09,2021,BY358,14420,Poecile montanus,1,3
2021-05-09,2021,BY358,14420,Poecile montanus,1,3
2021-05-09,2021,BY456,14420,Poecile montanus,1,2
2021-05-09,2021,BY456,14420,Poecile montanus,1,2
2021-05-10,2021,BY124,14420,Poecile montanus,0,0
2021-05-10,2021,BY124,14420,Poecile montanus,0,0
2021-05-10,2021,BY182,14420,Poecile montanus,0,0
2021-05-10,2021,BY182,14420,Poecile montanus,0,0
2021-05-10,2021,BY272,14420,Poecile montanus,0,0
2021-05-10,2021,BY272,14420,Poecile montanus,0,0
2021-05-10,2021,BY400,14420,Poecile montanus,0,0
2021-05-10,2021,BY400,14420,Poecile montanus,0,0
2021-05-10,2021,BY469,14420,Poecile montanus,1,2
2021-05-10,2021,BY469,14420,Poecile montanus,1,2
2021-05-11,2021,BY164,14420,Poecile montanus,2,2
2021-05-11,2021,BY164,14420,Poecile montanus,2,2
2021-05-11,2021,BY342,14420,Poecile montanus,4,12
2021-05-11,2021,BY342,14420,Poecile montanus,4,12
2021-05-11,2021,BY415,14420,Poecile montanus,0,0
2021-05-11,2021,BY415,14420,Poecile montanus,0,0
2021-05-13,2021,BY163,14420,Poecile montanus,1,1
2021-05-13,2021,BY163,14420,Poecile montanus,1,1
2021-05-14,2021,BY105,14420,Poecile montanus,0,0
2021-05-14,2021,BY105,14420,Poecile montanus,0,0
2021-05-14,2021,BY132,14420,Poecile montanus,0,0
2021-05-14,2021,BY132,14420,Poecile montanus,0,0
2021-05-15,2021,BY3,14420,Poecile montanus,0,0
2021-05-15,2021,BY3,14420,Poecile montanus,0,0
2021-05-15,2021,BY355,14420,Poecile montanus,3,3
2021-05-15,2021,BY355,14420,Poecile montanus,3,3
2021-05-16,2021,BY291,14420,Poecile montanus,0,0
2021-05-16,2021,BY291,14420,Poecile montanus,0,0
2021-05-16,2021,BY337,14420,Poecile montanus,2,3
2021-05-16,2021,BY337,14420,Poecile montanus,2,3
2021-05-16,2021,BY338,14420,Poecile montanus,1,3
2021-05-16,2021,BY338,14420,Poecile montanus,1,3
2021-05-16,2021,BY383,14420,Poecile montanus,1,2
2021-05-16,2021,BY383,14420,Poecile montanus,1,2
2021-05-16,2021,BY464,14420,Poecile montanus,1,2
2021-05-16,2021,BY464,14420,Poecile montanus,1,2
2021-05-16,2021,BY70,14420,Poecile montanus,0,0
2021-05-16,2021,BY70,14420,Poecile montanus,0,0
2021-05-16,2021,BY86,14420,Poecile montanus,0,0
2021-05-16,2021,BY86,14420,Poecile montanus,0,0
2021-05-21,2021,BY158,14420,Poecile montanus,0,0
2021-05-21,2021,BY158,14420,Poecile montanus,0,0
2021-05-21,2021,BY349,14420,Poecile montanus,2,1
2021-05-21,2021,BY349,14420,Poecile montanus,2,1
2021-05-24,2021,BY124,14420,Poecile montanus,0,0
2021-05-24,2021,BY124,14420,Poecile montanus,0,0
2021-05-26,2021,BY458,14420,Poecile montanus,0,0
2021-05-26,2021,BY458,14420,Poecile montanus,0,0
2021-05-28,2021,BY457,14420,Poecile montanus,0,0
2021-05-28,2021,BY457,14420,Poecile montanus,0,0
2021-05-28,2021,BY460,14420,Poecile montanus,0,0
2021-05-28,2021,BY460,14420,Poecile montanus,0,0
2021-05-29,2021,BY132,14420,Poecile montanus,2,3
2021-05-29,2021,BY132,14420,Poecile montanus,2,3
2021-05-29,2021,BY164,14420,Poecile montanus,0,0
2021-05-29,2021,BY164,14420,Poecile montanus,0,0
2021-05-30,2021,BY163,14420,Poecile montanus,2,1
2021-05-30,2021,BY163,14420,Poecile montanus,2,1
2021-05-30,2021,BY286,14420,Poecile montanus,1,1
2021-05-30,2021,BY286,14420,Poecile montanus,1,1
2021-06-02,2021,BY400,14420,Poecile montanus,0,0
2021-06-02,2021,BY400,14420,Poecile montanus,0,0
2021-06-02,2021,BY415,14420,Poecile montanus,6,2
2021-06-02,2021,BY415,14420,Poecile montanus,6,2
2021-06-03,2021,BY180,14420,Poecile montanus,0,0
2021-06-03,2021,BY180,14420,Poecile montanus,0,0
2021-06-03,2021,BY272,14420,Poecile montanus,0,0
2021-06-03,2021,BY272,14420,Poecile montanus,0,0
2021-06-03,2021,BY337,14420,Poecile montanus,1,3
2021-06-03,2021,BY337,14420,Poecile montanus,1,3
2021-06-03,2021,BY456,14420,Poecile montanus,1,2
2021-06-03,2021,BY456,14420,Poecile montanus,1,2
2021-06-04,2021,BY165,14420,Poecile montanus,0,0
2021-06-04,2021,BY165,14420,Poecile montanus,0,0
2021-06-04,2021,BY341,14420,Poecile montanus,1,2
2021-06-04,2021,BY341,14420,Poecile montanus,1,2
2021-06-05,2021,BY168,14420,Poecile montanus,0,0
2021-06-05,2021,BY168,14420,Poecile montanus,0,0
2021-06-05,2021,BY182,14420,Poecile montanus,0,0
