DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY157,10840,Prunella modularis,0,0
2020-03-13,2020,BY203,10840,Prunella modularis,0,0
2020-03-14,2020,BY127,10840,Prunella modularis,0,0
2020-03-14,2020,BY272,10840,Prunella modularis,1,1
2020-03-15,2020,BY113,10840,Prunella modularis,0,0
2020-03-15,2020,BY133,10840,Prunella modularis,1,16
2020-03-15,2020,BY230,10840,Prunella modularis,0,0
2020-03-15,2020,BY235,10840,Prunella modularis,3,3
2020-03-15,2020,BY242,10840,Prunella modularis,0,0
2020-03-15,2020,BY337,10840,Prunella modularis,1,7
2020-03-15,2020,BY57,10840,Prunella modularis,0,0
2020-03-16,2020,BY365,10840,Prunella modularis,3,2
2020-03-17,2020,BY276,10840,Prunella modularis,0,0
2020-03-17,2020,BY362,10840,Prunella modularis,1,5
2020-03-18,2020,BY173,10840,Prunella modularis,0,0
2020-03-18,2020,BY221,10840,Prunella modularis,0,0
2020-03-18,2020,BY231,10840,Prunella modularis,5,7
2020-03-18,2020,BY243,10840,Prunella modularis,2,1
2020-03-19,2020,BY114,10840,Prunella modularis,0,0
2020-03-19,2020,BY124,10840,Prunella modularis,4,9
2020-03-19,2020,BY19,10840,Prunella modularis,1,2
2020-03-19,2020,BY236,10840,Prunella modularis,2,3
2020-03-19,2020,BY237,10840,Prunella modularis,1,0
2020-03-20,2020,BY158,10840,Prunella modularis,4,6
2020-03-20,2020,BY193,10840,Prunella modularis,0,0
2020-03-20,2020,BY286,10840,Prunella modularis,1,0
2020-03-20,2020,BY31,10840,Prunella modularis,0,0
2020-03-20,2020,BY321,10840,Prunella modularis,1,0
2020-03-20,2020,BY454,10840,Prunella modularis,0,0
2020-03-22,2020,BY137,10840,Prunella modularis,3,2
2020-03-22,2020,BY86,10840,Prunella modularis,1,0
2020-03-23,2020,BY138,10840,Prunella modularis,0,0
2020-03-25,2020,BY132,10840,Prunella modularis,4,7
2020-03-25,2020,BY238,10840,Prunella modularis,0,0
2020-03-27,2020,BY120,10840,Prunella modularis,0,0
2020-03-27,2020,BY139,10840,Prunella modularis,0,0
2020-03-27,2020,BY453,10840,Prunella modularis,0,0
2020-03-27,2020,BY460,10840,Prunella modularis,0,0
2020-03-28,2020,BY290,10840,Prunella modularis,1,3
2020-03-28,2020,BY291,10840,Prunella modularis,10,7
2020-03-28,2020,BY332,10840,Prunella modularis,0,0
2020-03-28,2020,BY65,10840,Prunella modularis,0,0
2020-03-31,2020,BY16,10840,Prunella modularis,2,2
2020-04-05,2020,BY124,10840,Prunella modularis,4,9
2020-04-05,2020,BY127,10840,Prunella modularis,3,4
2020-04-05,2020,BY235,10840,Prunella modularis,2,3
2020-04-05,2020,BY242,10840,Prunella modularis,0,0
2020-04-05,2020,BY286,10840,Prunella modularis,2,0
2020-04-06,2020,BY221,10840,Prunella modularis,0,0
2020-04-07,2020,BY114,10840,Prunella modularis,2,2
2020-04-07,2020,BY243,10840,Prunella modularis,1,1
2020-04-07,2020,BY388,10840,Prunella modularis,0,0
2020-04-08,2020,BY365,10840,Prunella modularis,2,2
2020-04-09,2020,BY113,10840,Prunella modularis,0,0
2020-04-09,2020,BY157,10840,Prunella modularis,0,0
2020-04-09,2020,BY230,10840,Prunella modularis,0,0
2020-04-10,2020,BY133,10840,Prunella modularis,10,16
2020-04-10,2020,BY272,10840,Prunella modularis,0,0
2020-04-11,2020,BY137,10840,Prunella modularis,2,2
2020-04-11,2020,BY236,10840,Prunella modularis,4,3
2020-04-11,2020,BY290,10840,Prunella modularis,2,3
2020-04-11,2020,BY337,10840,Prunella modularis,5,7
2020-04-11,2020,BY454,10840,Prunella modularis,0,0
2020-04-11,2020,BY57,10840,Prunella modularis,1,1
2020-04-13,2020,BY274,10840,Prunella modularis,0,0
2020-04-15,2020,BY173,10840,Prunella modularis,1,2
2020-04-15,2020,BY231,10840,Prunella modularis,6,7
2020-04-16,2020,BY203,10840,Prunella modularis,5,4
2020-04-16,2020,BY383,10840,Prunella modularis,0,0
2020-04-16,2020,BY460,10840,Prunella modularis,0,0
2020-04-17,2020,BY276,10840,Prunella modularis,0,0
2020-04-17,2020,BY31,10840,Prunella modularis,0,0
2020-04-17,2020,BY321,10840,Prunella modularis,0,0
2020-04-17,2020,BY362,10840,Prunella modularis,2,5
