DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-14,2020,BY127,13150,Regulus ignicapilla,0,0
2020-03-14,2020,BY272,13150,Regulus ignicapilla,0,0
2020-03-15,2020,BY113,13150,Regulus ignicapilla,0,0
2020-03-15,2020,BY235,13150,Regulus ignicapilla,0,0
2020-03-18,2020,BY173,13150,Regulus ignicapilla,1,0
2020-03-18,2020,BY231,13150,Regulus ignicapilla,0,0
2020-03-19,2020,BY19,13150,Regulus ignicapilla,0,0
2020-03-20,2020,BY31,13150,Regulus ignicapilla,0,0
2020-03-20,2020,BY454,13150,Regulus ignicapilla,0,0
2020-03-23,2020,BY138,13150,Regulus ignicapilla,0,0
2020-03-25,2020,BY238,13150,Regulus ignicapilla,0,0
2020-03-27,2020,BY120,13150,Regulus ignicapilla,0,0
2020-03-29,2020,BY217,13150,Regulus ignicapilla,0,0
2020-04-05,2020,BY127,13150,Regulus ignicapilla,0,0
2020-04-05,2020,BY235,13150,Regulus ignicapilla,0,0
2020-04-09,2020,BY113,13150,Regulus ignicapilla,0,0
2020-04-10,2020,BY272,13150,Regulus ignicapilla,0,0
2020-04-11,2020,BY454,13150,Regulus ignicapilla,0,0
2020-04-15,2020,BY173,13150,Regulus ignicapilla,0,0
2020-04-15,2020,BY231,13150,Regulus ignicapilla,0,0
2020-04-17,2020,BY31,13150,Regulus ignicapilla,0,0
2020-04-18,2020,BY120,13150,Regulus ignicapilla,0,0
2020-04-18,2020,BY161,13150,Regulus ignicapilla,0,0
2020-04-19,2020,BY217,13150,Regulus ignicapilla,0,0
2020-04-24,2020,BY19,13150,Regulus ignicapilla,0,0
2020-04-29,2020,BY238,13150,Regulus ignicapilla,0,0
2020-04-30,2020,BY138,13150,Regulus ignicapilla,0,0
2020-04-30,2020,BY424,13150,Regulus ignicapilla,0,0
2020-05-02,2020,BY113,13150,Regulus ignicapilla,0,0
2020-05-03,2020,BY127,13150,Regulus ignicapilla,0,0
2020-05-09,2020,BY272,13150,Regulus ignicapilla,0,0
2020-05-09,2020,BY454,13150,Regulus ignicapilla,0,0
2020-05-10,2020,BY217,13150,Regulus ignicapilla,0,0
2020-05-10,2020,BY235,13150,Regulus ignicapilla,0,0
2020-05-12,2020,BY173,13150,Regulus ignicapilla,0,0
2020-05-14,2020,BY231,13150,Regulus ignicapilla,0,0
2020-05-16,2020,BY120,13150,Regulus ignicapilla,0,0
2020-05-16,2020,BY31,13150,Regulus ignicapilla,1,0
2020-05-18,2020,BY19,13150,Regulus ignicapilla,0,0
2020-05-19,2020,BY238,13150,Regulus ignicapilla,0,0
2020-05-20,2020,BY138,13150,Regulus ignicapilla,0,0
2020-05-24,2020,BY235,13150,Regulus ignicapilla,0,0
2020-05-27,2020,BY424,13150,Regulus ignicapilla,0,0
2020-05-31,2020,BY217,13150,Regulus ignicapilla,0,0
2020-06-02,2020,BY19,13150,Regulus ignicapilla,0,0
2020-06-03,2020,BY238,13150,Regulus ignicapilla,0,0
2020-06-09,2020,BY31,13150,Regulus ignicapilla,0,0
2020-06-12,2020,BY231,13150,Regulus ignicapilla,0,0
2020-06-12,2020,BY272,13150,Regulus ignicapilla,0,0
2020-06-13,2020,BY454,13150,Regulus ignicapilla,0,0
2020-06-14,2020,BY127,13150,Regulus ignicapilla,0,0
2020-06-16,2020,BY173,13150,Regulus ignicapilla,0,0
2020-06-18,2020,BY113,13150,Regulus ignicapilla,0,0
2020-06-18,2020,BY120,13150,Regulus ignicapilla,0,0
2020-06-20,2020,BY138,13150,Regulus ignicapilla,0,0
2020-06-25,2020,BY424,13150,Regulus ignicapilla,0,0
2020-07-23,2020,BY424,13150,Regulus ignicapilla,0,0
2021-03-13,2021,BY113,13150,Regulus ignicapilla,0,0
2021-03-16,2021,BY110,13150,Regulus ignicapilla,0,0
2021-03-20,2021,BY181,13150,Regulus ignicapilla,0,0
2021-03-21,2021,BY126,13150,Regulus ignicapilla,0,0
2021-03-21,2021,BY127,13150,Regulus ignicapilla,0,0
2021-03-24,2021,BY170,13150,Regulus ignicapilla,0,0
2021-03-24,2021,BY324,13150,Regulus ignicapilla,0,0
2021-03-24,2021,BY8,13150,Regulus ignicapilla,6,0
2021-03-25,2021,BY272,13150,Regulus ignicapilla,0,0
2021-03-25,2021,BY453,13150,Regulus ignicapilla,0,0
2021-03-26,2021,BY164,13150,Regulus ignicapilla,0,0
2021-03-26,2021,BY18,13150,Regulus ignicapilla,1,0
2021-03-27,2021,BY169,13150,Regulus ignicapilla,0,0
2021-03-27,2021,BY269,13150,Regulus ignicapilla,0,0
2021-03-28,2021,BY139,13150,Regulus ignicapilla,8,0
2021-03-28,2021,BY217,13150,Regulus ignicapilla,0,0
2021-03-28,2021,BY349,13150,Regulus ignicapilla,0,0
2021-03-28,2021,BY82,13150,Regulus ignicapilla,1,0
