DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-14,2020,BY127,13140,Regulus regulus,0,0
2020-03-14,2020,BY272,13140,Regulus regulus,0,0
2020-03-14,2020,BY275,13140,Regulus regulus,0,0
2020-03-15,2020,BY119,13140,Regulus regulus,0,0
2020-03-15,2020,BY121,13140,Regulus regulus,0,0
2020-03-15,2020,BY235,13140,Regulus regulus,0,0
2020-03-16,2020,BY151,13140,Regulus regulus,0,0
2020-03-18,2020,BY173,13140,Regulus regulus,0,0
2020-03-18,2020,BY221,13140,Regulus regulus,0,0
2020-03-19,2020,BY19,13140,Regulus regulus,1,0
2020-03-20,2020,BY158,13140,Regulus regulus,0,0
2020-03-20,2020,BY193,13140,Regulus regulus,0,0
2020-03-20,2020,BY31,13140,Regulus regulus,0,0
2020-03-20,2020,BY454,13140,Regulus regulus,0,0
2020-03-22,2020,BY86,13140,Regulus regulus,0,0
2020-03-23,2020,BY138,13140,Regulus regulus,2,0
2020-03-25,2020,BY238,13140,Regulus regulus,0,0
2020-03-27,2020,BY120,13140,Regulus regulus,0,0
2020-03-27,2020,BY460,13140,Regulus regulus,0,0
2020-03-28,2020,BY65,13140,Regulus regulus,0,0
2020-03-29,2020,BY217,13140,Regulus regulus,0,0
2020-04-05,2020,BY127,13140,Regulus regulus,1,0
2020-04-05,2020,BY235,13140,Regulus regulus,0,0
2020-04-05,2020,BY275,13140,Regulus regulus,0,0
2020-04-06,2020,BY221,13140,Regulus regulus,1,0
2020-04-07,2020,BY388,13140,Regulus regulus,0,0
2020-04-08,2020,BY151,13140,Regulus regulus,0,0
2020-04-10,2020,BY121,13140,Regulus regulus,0,0
2020-04-10,2020,BY272,13140,Regulus regulus,1,0
2020-04-11,2020,BY454,13140,Regulus regulus,0,0
2020-04-12,2020,BY119,13140,Regulus regulus,0,0
2020-04-13,2020,BY274,13140,Regulus regulus,0,0
2020-04-15,2020,BY173,13140,Regulus regulus,0,0
2020-04-16,2020,BY460,13140,Regulus regulus,0,0
2020-04-17,2020,BY31,13140,Regulus regulus,0,0
2020-04-17,2020,BY65,13140,Regulus regulus,0,0
2020-04-18,2020,BY120,13140,Regulus regulus,0,0
2020-04-18,2020,BY86,13140,Regulus regulus,0,0
2020-04-19,2020,BY217,13140,Regulus regulus,0,0
2020-04-24,2020,BY19,13140,Regulus regulus,0,0
2020-04-27,2020,BY193,13140,Regulus regulus,0,0
2020-04-29,2020,BY238,13140,Regulus regulus,0,0
2020-04-30,2020,BY138,13140,Regulus regulus,0,0
2020-04-30,2020,BY158,13140,Regulus regulus,0,0
2020-05-02,2020,BY221,13140,Regulus regulus,0,0
2020-05-03,2020,BY127,13140,Regulus regulus,0,0
2020-05-03,2020,BY274,13140,Regulus regulus,0,0
2020-05-03,2020,BY275,13140,Regulus regulus,0,0
2020-05-05,2020,BY151,13140,Regulus regulus,0,0
2020-05-07,2020,BY65,13140,Regulus regulus,0,0
2020-05-09,2020,BY272,13140,Regulus regulus,0,0
2020-05-09,2020,BY454,13140,Regulus regulus,0,0
2020-05-10,2020,BY119,13140,Regulus regulus,0,0
2020-05-10,2020,BY217,13140,Regulus regulus,0,0
2020-05-10,2020,BY235,13140,Regulus regulus,0,0
2020-05-10,2020,BY388,13140,Regulus regulus,0,0
2020-05-12,2020,BY173,13140,Regulus regulus,0,0
2020-05-16,2020,BY120,13140,Regulus regulus,0,0
2020-05-16,2020,BY121,13140,Regulus regulus,0,0
2020-05-16,2020,BY31,13140,Regulus regulus,0,0
2020-05-16,2020,BY86,13140,Regulus regulus,0,0
2020-05-17,2020,BY460,13140,Regulus regulus,0,0
2020-05-18,2020,BY19,13140,Regulus regulus,0,0
2020-05-19,2020,BY193,13140,Regulus regulus,0,0
2020-05-19,2020,BY238,13140,Regulus regulus,0,0
2020-05-20,2020,BY138,13140,Regulus regulus,0,0
2020-05-21,2020,BY158,13140,Regulus regulus,0,0
2020-05-22,2020,BY388,13140,Regulus regulus,0,0
2020-05-24,2020,BY235,13140,Regulus regulus,0,0
2020-05-24,2020,BY275,13140,Regulus regulus,0,0
2020-05-26,2020,BY221,13140,Regulus regulus,0,0
2020-05-30,2020,BY274,13140,Regulus regulus,0,0
2020-05-31,2020,BY217,13140,Regulus regulus,0,0
2020-06-02,2020,BY19,13140,Regulus regulus,0,0
2020-06-02,2020,BY65,13140,Regulus regulus,0,0
2020-06-03,2020,BY238,13140,Regulus regulus,0,0
2020-06-08,2020,BY151,13140,Regulus regulus,0,0
2020-06-09,2020,BY31,13140,Regulus regulus,0,0
2020-06-12,2020,BY121,13140,Regulus regulus,0,0
2020-06-12,2020,BY272,13140,Regulus regulus,0,0
2020-06-12,2020,BY388,13140,Regulus regulus,0,0
2020-06-13,2020,BY119,13140,Regulus regulus,0,0
2020-06-13,2020,BY158,13140,Regulus regulus,0,0
2020-06-13,2020,BY454,13140,Regulus regulus,0,0
2020-06-13,2020,BY86,13140,Regulus regulus,0,0
2020-06-14,2020,BY127,13140,Regulus regulus,0,0
2020-06-16,2020,BY173,13140,Regulus regulus,0,0
2020-06-17,2020,BY193,13140,Regulus regulus,0,0
2020-06-17,2020,BY460,13140,Regulus regulus,0,0
2020-06-18,2020,BY120,13140,Regulus regulus,0,0
2020-06-20,2020,BY138,13140,Regulus regulus,0,0
2021-03-13,2021,BY165,13140,Regulus regulus,2,0
2021-03-13,2021,BY302,13140,Regulus regulus,0,0
2021-03-13,2021,BY454,13140,Regulus regulus,2,0
2021-03-16,2021,BY110,13140,Regulus regulus,1,0
2021-03-21,2021,BY119,13140,Regulus regulus,0,0
2021-03-21,2021,BY126,13140,Regulus regulus,0,0
2021-03-21,2021,BY127,13140,Regulus regulus,0,0
2021-03-21,2021,BY235,13140,Regulus regulus,0,0
2021-03-21,2021,BY86,13140,Regulus regulus,0,0
2021-03-22,2021,BY31,13140,Regulus regulus,0,0
2021-03-24,2021,BY138,13140,Regulus regulus,0,0
2021-03-24,2021,BY170,13140,Regulus regulus,0,0
2021-03-24,2021,BY324,13140,Regulus regulus,0,0
2021-03-25,2021,BY193,13140,Regulus regulus,0,0
2021-03-25,2021,BY272,13140,Regulus regulus,1,0
2021-03-26,2021,BY105,13140,Regulus regulus,0,0
2021-03-26,2021,BY17,13140,Regulus regulus,3,0
2021-03-26,2021,BY36,13140,Regulus regulus,1,0
2021-03-26,2021,BY400,13140,Regulus regulus,0,0
2021-03-28,2021,BY139,13140,Regulus regulus,1,0
2021-03-28,2021,BY217,13140,Regulus regulus,0,0
2021-03-28,2021,BY349,13140,Regulus regulus,5,0
2021-03-28,2021,BY99,13140,Regulus regulus,4,0
2021-03-29,2021,BY19,13140,Regulus regulus,0,0
2021-03-29,2021,BY238,13140,Regulus regulus,0,0
2021-03-29,2021,BY65,13140,Regulus regulus,0,0
2021-03-29,2021,BY66,13140,Regulus regulus,2,0
2021-03-29,2021,BY70,13140,Regulus regulus,0,0
2021-03-29,2021,BY84,13140,Regulus regulus,0,0
2021-03-30,2021,BY234,13140,Regulus regulus,0,0
2021-03-31,2021,BY246,13140,Regulus regulus,0,0
2021-03-31,2021,BY315,13140,Regulus regulus,0,0
2021-03-31,2021,BY460,13140,Regulus regulus,0,0
2021-03-31,2021,BY85,13140,Regulus regulus,2,0
2021-04-02,2021,BY127,13140,Regulus regulus,0,0
2021-04-05,2021,BY302,13140,Regulus regulus,0,0
2021-04-10,2021,BY165,13140,Regulus regulus,2,0
2021-04-10,2021,BY170,13140,Regulus regulus,4,0
2021-04-11,2021,BY105,13140,Regulus regulus,0,0
2021-04-11,2021,BY126,13140,Regulus regulus,0,0
2021-04-11,2021,BY235,13140,Regulus regulus,0,0
2021-04-16,2021,BY110,13140,Regulus regulus,1,0
2021-04-17,2021,BY85,13140,Regulus regulus,0,0
2021-04-18,2021,BY119,13140,Regulus regulus,0,0
2021-04-18,2021,BY84,13140,Regulus regulus,0,0
2021-04-18,2021,BY86,13140,Regulus regulus,0,0
2021-04-18,2021,BY99,13140,Regulus regulus,0,0
2021-04-20,2021,BY19,13140,Regulus regulus,0,0
2021-04-20,2021,BY324,13140,Regulus regulus,2,0
2021-04-20,2021,BY36,13140,Regulus regulus,0,0
2021-04-20,2021,BY65,13140,Regulus regulus,2,0
2021-04-21,2021,BY138,13140,Regulus regulus,0,0
2021-04-21,2021,BY193,13140,Regulus regulus,0,0
2021-04-24,2021,BY139,13140,Regulus regulus,3,0
2021-04-24,2021,BY246,13140,Regulus regulus,0,0
2021-04-24,2021,BY272,13140,Regulus regulus,0,0
2021-04-24,2021,BY31,13140,Regulus regulus,0,0
2021-04-24,2021,BY349,13140,Regulus regulus,0,0
2021-04-24,2021,BY454,13140,Regulus regulus,0,0
2021-04-24,2021,BY66,13140,Regulus regulus,0,0
2021-04-25,2021,BY17,13140,Regulus regulus,0,0
2021-04-25,2021,BY217,13140,Regulus regulus,0,0
2021-04-25,2021,BY234,13140,Regulus regulus,0,0
2021-04-25,2021,BY238,13140,Regulus regulus,1,0
2021-04-25,2021,BY315,13140,Regulus regulus,0,0
2021-04-25,2021,BY388,13140,Regulus regulus,1,0
2021-04-25,2021,BY460,13140,Regulus regulus,0,0
2021-04-26,2021,BY400,13140,Regulus regulus,0,0
2021-04-27,2021,BY70,13140,Regulus regulus,0,0
2021-05-01,2021,BY127,13140,Regulus regulus,0,0
2021-05-03,2021,BY170,13140,Regulus regulus,0,0
2021-05-08,2021,BY165,13140,Regulus regulus,0,0
2021-05-08,2021,BY302,13140,Regulus regulus,0,0
2021-05-08,2021,BY65,13140,Regulus regulus,0,0
2021-05-08,2021,BY84,13140,Regulus regulus,0,0
2021-05-08,2021,BY85,13140,Regulus regulus,0,0
2021-05-09,2021,BY139,13140,Regulus regulus,1,0
2021-05-09,2021,BY235,13140,Regulus regulus,0,0
2021-05-09,2021,BY456,13140,Regulus regulus,0,0
2021-05-10,2021,BY272,13140,Regulus regulus,0,0
2021-05-10,2021,BY400,13140,Regulus regulus,0,0
2021-05-11,2021,BY388,13140,Regulus regulus,0,0
2021-05-14,2021,BY105,13140,Regulus regulus,0,0
2021-05-14,2021,BY324,13140,Regulus regulus,0,0
2021-05-15,2021,BY119,13140,Regulus regulus,0,0
2021-05-16,2021,BY126,13140,Regulus regulus,0,0
2021-05-16,2021,BY217,13140,Regulus regulus,0,0
2021-05-16,2021,BY234,13140,Regulus regulus,0,0
2021-05-16,2021,BY238,13140,Regulus regulus,0,0
2021-05-16,2021,BY246,13140,Regulus regulus,0,0
2021-05-16,2021,BY454,13140,Regulus regulus,0,0
2021-05-16,2021,BY70,13140,Regulus regulus,0,0
2021-05-16,2021,BY86,13140,Regulus regulus,0,0
2021-05-16,2021,BY99,13140,Regulus regulus,0,0
2021-05-17,2021,BY110,13140,Regulus regulus,0,0
2021-05-18,2021,BY138,13140,Regulus regulus,0,0
2021-05-19,2021,BY19,13140,Regulus regulus,0,0
2021-05-19,2021,BY31,13140,Regulus regulus,0,0
2021-05-20,2021,BY193,13140,Regulus regulus,0,0
2021-05-21,2021,BY349,13140,Regulus regulus,0,0
2021-05-22,2021,BY17,13140,Regulus regulus,0,0
2021-05-23,2021,BY36,13140,Regulus regulus,0,0
2021-05-24,2021,BY235,13140,Regulus regulus,0,0
2021-05-24,2021,BY66,13140,Regulus regulus,0,0
2021-05-28,2021,BY460,13140,Regulus regulus,0,0
2021-05-30,2021,BY238,13140,Regulus regulus,0,0
2021-05-31,2021,BY170,13140,Regulus regulus,0,0
2021-05-31,2021,BY65,13140,Regulus regulus,0,0
2021-06-01,2021,BY302,13140,Regulus regulus,0,0
2021-06-01,2021,BY388,13140,Regulus regulus,0,0
2021-06-02,2021,BY400,13140,Regulus regulus,0,0
2021-06-03,2021,BY272,13140,Regulus regulus,0,0
2021-06-03,2021,BY456,13140,Regulus regulus,0,0
2021-06-03,2021,BY84,13140,Regulus regulus,0,0
2021-06-04,2021,BY165,13140,Regulus regulus,0,0
2021-06-05,2021,BY85,13140,Regulus regulus,0,0
2021-06-05,2021,BY99,13140,Regulus regulus,0,0
2021-06-06,2021,BY126,13140,Regulus regulus,0,0
2021-06-06,2021,BY217,13140,Regulus regulus,0,0
2021-06-07,2021,BY139,13140,Regulus regulus,1,0
2021-06-09,2021,BY138,13140,Regulus regulus,0,0
2021-06-11,2021,BY315,13140,Regulus regulus,0,0
2021-06-11,2021,BY324,13140,Regulus regulus,0,0
2021-06-11,2021,BY349,13140,Regulus regulus,0,0
2021-06-12,2021,BY105,13140,Regulus regulus,0,0
2021-06-12,2021,BY127,13140,Regulus regulus,0,0
2021-06-13,2021,BY86,13140,Regulus regulus,0,0
2021-06-14,2021,BY110,13140,Regulus regulus,0,0
2021-06-14,2021,BY193,13140,Regulus regulus,0,0
2021-06-14,2021,BY31,13140,Regulus regulus,0,0
2021-06-15,2021,BY19,13140,Regulus regulus,0,0
2021-06-15,2021,BY388,13140,Regulus regulus,0,0
2021-06-15,2021,BY454,13140,Regulus regulus,0,0
2021-06-16,2021,BY36,13140,Regulus regulus,0,0
2021-06-16,2021,BY456,13140,Regulus regulus,0,0
2021-06-17,2021,BY66,13140,Regulus regulus,0,0
2021-06-18,2021,BY17,13140,Regulus regulus,0,0
2021-06-18,2021,BY460,13140,Regulus regulus,0,0
2021-06-19,2021,BY119,13140,Regulus regulus,0,0
2021-06-19,2021,BY246,13140,Regulus regulus,0,0
2021-06-19,2021,BY471,13140,Regulus regulus,0,0
2021-06-20,2021,BY234,13140,Regulus regulus,0,0
2021-06-20,2021,BY70,13140,Regulus regulus,0,0
2021-07-10,2021,BY471,13140,Regulus regulus,0,0
2021-07-29,2021,BY471,13140,Regulus regulus,0,0
2022-03-10,2022,BY148,13140,Regulus regulus,0,0
2022-03-10,2022,BY360,13140,Regulus regulus,0,0
2022-03-11,2022,BY274,13140,Regulus regulus,0,0
2022-03-11,2022,BY345,13140,Regulus regulus,0,0
2022-03-13,2022,BY6,13140,Regulus regulus,2,0
2022-03-18,2022,BY272,13140,Regulus regulus,0,0
2022-03-19,2022,BY164,13140,Regulus regulus,0,0
2022-03-19,2022,BY17,13140,Regulus regulus,0,0
2022-03-19,2022,BY280,13140,Regulus regulus,1,0
2022-03-19,2022,BY302,13140,Regulus regulus,0,0
2022-03-20,2022,BY119,13140,Regulus regulus,0,0
2022-03-20,2022,BY120,13140,Regulus regulus,0,0
2022-03-20,2022,BY121,13140,Regulus regulus,0,0
2022-03-20,2022,BY126,13140,Regulus regulus,1,0
2022-03-20,2022,BY127,13140,Regulus regulus,1,0
2022-03-20,2022,BY217,13140,Regulus regulus,1,0
2022-03-20,2022,BY235,13140,Regulus regulus,0,0
2022-03-20,2022,BY283,13140,Regulus regulus,0,0
2022-03-20,2022,BY341,13140,Regulus regulus,0,0
2022-03-20,2022,BY66,13140,Regulus regulus,0,0
2022-03-20,2022,BY70,13140,Regulus regulus,0,0
2022-03-20,2022,BY73,13140,Regulus regulus,0,0
2022-03-20,2022,BY83,13140,Regulus regulus,0,0
2022-03-20,2022,BY84,13140,Regulus regulus,0,0
2022-03-21,2022,BY324,13140,Regulus regulus,0,0
2022-03-21,2022,BY454,13140,Regulus regulus,1,0
2022-03-22,2022,BY386,13140,Regulus regulus,2,0
2022-03-22,2022,BY71,13140,Regulus regulus,1,0
2022-03-23,2022,BY19,13140,Regulus regulus,0,0
2022-03-23,2022,BY31,13140,Regulus regulus,0,0
2022-03-23,2022,BY5,13140,Regulus regulus,0,0
2022-03-25,2022,BY110,13140,Regulus regulus,0,0
2022-03-25,2022,BY151,13140,Regulus regulus,0,0
2022-03-26,2022,BY193,13140,Regulus regulus,1,0
2022-03-26,2022,BY229,13140,Regulus regulus,0,0
2022-03-26,2022,BY238,13140,Regulus regulus,0,0
2022-03-26,2022,BY277,13140,Regulus regulus,0,0
2022-03-26,2022,BY86,13140,Regulus regulus,1,0
2022-03-27,2022,BY105,13140,Regulus regulus,0,0
2022-03-27,2022,BY125,13140,Regulus regulus,0,0
2022-03-27,2022,BY183,13140,Regulus regulus,0,0
2022-03-27,2022,BY246,13140,Regulus regulus,0,0
2022-03-27,2022,BY308,13140,Regulus regulus,0,0
2022-03-27,2022,BY67,13140,Regulus regulus,0,0
2022-03-27,2022,BY92,13140,Regulus regulus,0,0
2022-03-28,2022,BY376,13140,Regulus regulus,0,0
2022-04-06,2022,BY345,13140,Regulus regulus,0,0
2022-04-09,2022,BY235,13140,Regulus regulus,0,0
2022-04-10,2022,BY121,13140,Regulus regulus,0,0
2022-04-10,2022,BY126,13140,Regulus regulus,0,0
2022-04-10,2022,BY280,13140,Regulus regulus,0,0
2022-04-10,2022,BY5,13140,Regulus regulus,0,0
2022-04-11,2022,BY148,13140,Regulus regulus,4,0
2022-04-12,2022,BY341,13140,Regulus regulus,2,0
2022-04-12,2022,BY71,13140,Regulus regulus,0,0
2022-04-13,2022,BY67,13140,Regulus regulus,0,0
2022-04-15,2022,BY127,13140,Regulus regulus,0,0
2022-04-15,2022,BY17,13140,Regulus regulus,0,0
2022-04-15,2022,BY272,13140,Regulus regulus,0,0
2022-04-15,2022,BY277,13140,Regulus regulus,0,0
2022-04-15,2022,BY302,13140,Regulus regulus,0,0
2022-04-15,2022,BY73,13140,Regulus regulus,0,0
2022-04-15,2022,BY83,13140,Regulus regulus,1,0
2022-04-16,2022,BY125,13140,Regulus regulus,0,0
2022-04-16,2022,BY164,13140,Regulus regulus,0,0
2022-04-16,2022,BY66,13140,Regulus regulus,0,0
2022-04-16,2022,BY92,13140,Regulus regulus,0,0
