DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY157,13140,Regulus regulus,0,0
2020-03-15,2020,BY133,13140,Regulus regulus,3,1
2020-03-15,2020,BY337,13140,Regulus regulus,4,10
2020-03-15,2020,BY57,13140,Regulus regulus,4,5
2020-03-16,2020,BY365,13140,Regulus regulus,2,5
2020-03-17,2020,BY276,13140,Regulus regulus,9,1
2020-03-17,2020,BY362,13140,Regulus regulus,2,5
2020-03-18,2020,BY231,13140,Regulus regulus,0,0
2020-03-19,2020,BY114,13140,Regulus regulus,0,0
2020-03-19,2020,BY124,13140,Regulus regulus,2,17
2020-03-19,2020,BY236,13140,Regulus regulus,0,0
2020-03-20,2020,BY286,13140,Regulus regulus,1,4
2020-03-20,2020,BY321,13140,Regulus regulus,2,6
2020-03-22,2020,BY137,13140,Regulus regulus,0,0
2020-03-25,2020,BY107,13140,Regulus regulus,6,1
2020-03-25,2020,BY132,13140,Regulus regulus,3,9
2020-03-27,2020,BY139,13140,Regulus regulus,5,8
2020-03-27,2020,BY453,13140,Regulus regulus,2,5
2020-03-28,2020,BY290,13140,Regulus regulus,2,5
2020-03-28,2020,BY291,13140,Regulus regulus,0,0
2020-03-28,2020,BY332,13140,Regulus regulus,0,0
2020-03-31,2020,BY16,13140,Regulus regulus,2,4
2020-04-04,2020,BY354,13140,Regulus regulus,0,0
2020-04-05,2020,BY124,13140,Regulus regulus,3,17
2020-04-05,2020,BY286,13140,Regulus regulus,0,0
2020-04-07,2020,BY114,13140,Regulus regulus,2,4
2020-04-08,2020,BY365,13140,Regulus regulus,0,0
2020-04-09,2020,BY157,13140,Regulus regulus,1,2
2020-04-10,2020,BY133,13140,Regulus regulus,0,0
2020-04-11,2020,BY137,13140,Regulus regulus,2,2
2020-04-11,2020,BY236,13140,Regulus regulus,0,0
2020-04-11,2020,BY290,13140,Regulus regulus,1,5
2020-04-11,2020,BY337,13140,Regulus regulus,4,10
2020-04-11,2020,BY57,13140,Regulus regulus,1,5
2020-04-15,2020,BY231,13140,Regulus regulus,0,0
2020-04-16,2020,BY383,13140,Regulus regulus,0,0
2020-04-17,2020,BY276,13140,Regulus regulus,0,0
2020-04-17,2020,BY321,13140,Regulus regulus,1,6
2020-04-17,2020,BY362,13140,Regulus regulus,3,5
2020-04-18,2020,BY132,13140,Regulus regulus,3,9
2020-04-18,2020,BY161,13140,Regulus regulus,2,2
2020-04-22,2020,BY453,13140,Regulus regulus,1,5
2020-04-24,2020,BY139,13140,Regulus regulus,2,8
2020-04-26,2020,BY354,13140,Regulus regulus,1,1
2020-04-27,2020,BY107,13140,Regulus regulus,0,0
2020-04-27,2020,BY16,13140,Regulus regulus,2,4
2020-04-28,2020,BY291,13140,Regulus regulus,1,1
2020-04-28,2020,BY415,13140,Regulus regulus,5,11
2020-04-30,2020,BY424,13140,Regulus regulus,0,0
2020-05-01,2020,BY114,13140,Regulus regulus,4,4
2020-05-03,2020,BY286,13140,Regulus regulus,1,4
2020-05-03,2020,BY332,13140,Regulus regulus,0,0
2020-05-07,2020,BY132,13140,Regulus regulus,4,9
2020-05-07,2020,BY157,13140,Regulus regulus,1,2
2020-05-07,2020,BY57,13140,Regulus regulus,3,5
2020-05-08,2020,BY492,13140,Regulus regulus,5,7
2020-05-09,2020,BY124,13140,Regulus regulus,9,17
2020-05-10,2020,BY133,13140,Regulus regulus,0,0
2020-05-10,2020,BY290,13140,Regulus regulus,4,5
2020-05-11,2020,BY321,13140,Regulus regulus,5,6
2020-05-12,2020,BY365,13140,Regulus regulus,5,5
2020-05-14,2020,BY231,13140,Regulus regulus,3,5
2020-05-15,2020,BY139,13140,Regulus regulus,2,8
2020-05-16,2020,BY137,13140,Regulus regulus,1,2
2020-05-16,2020,BY337,13140,Regulus regulus,8,10
2020-05-17,2020,BY276,13140,Regulus regulus,1,1
2020-05-17,2020,BY362,13140,Regulus regulus,2,5
2020-05-18,2020,BY16,13140,Regulus regulus,4,4
2020-05-18,2020,BY236,13140,Regulus regulus,4,6
2020-05-18,2020,BY383,13140,Regulus regulus,0,0
2020-05-19,2020,BY291,13140,Regulus regulus,1,1
2020-05-19,2020,BY354,13140,Regulus regulus,0,0
2020-05-20,2020,BY453,13140,Regulus regulus,3,5
2020-05-20,2020,BY492,13140,Regulus regulus,5,7
2020-05-21,2020,BY456,13140,Regulus regulus,0,0
2020-05-24,2020,BY286,13140,Regulus regulus,5,4
2020-05-24,2020,BY332,13140,Regulus regulus,2,2
2020-05-27,2020,BY383,13140,Regulus regulus,0,0
2020-05-27,2020,BY415,13140,Regulus regulus,4,11
2020-05-27,2020,BY424,13140,Regulus regulus,1,4
2020-05-30,2020,BY132,13140,Regulus regulus,5,9
2020-05-30,2020,BY456,13140,Regulus regulus,0,0
2020-05-31,2020,BY137,13140,Regulus regulus,1,2
2020-05-31,2020,BY290,13140,Regulus regulus,1,5
2020-06-01,2020,BY124,13140,Regulus regulus,10,17
2020-06-01,2020,BY133,13140,Regulus regulus,1,1
2020-06-01,2020,BY157,13140,Regulus regulus,0,0
2020-06-01,2020,BY337,13140,Regulus regulus,5,10
2020-06-01,2020,BY354,13140,Regulus regulus,1,1
2020-06-01,2020,BY57,13140,Regulus regulus,4,5
2020-06-02,2020,BY157,13140,Regulus regulus,1,2
2020-06-03,2020,BY456,13140,Regulus regulus,0,0
2020-06-12,2020,BY139,13140,Regulus regulus,7,8
2020-06-12,2020,BY16,13140,Regulus regulus,1,4
2020-06-12,2020,BY231,13140,Regulus regulus,3,5
2020-06-12,2020,BY276,13140,Regulus regulus,2,1
2020-06-12,2020,BY365,13140,Regulus regulus,4,5
2020-06-13,2020,BY114,13140,Regulus regulus,2,4
2020-06-13,2020,BY236,13140,Regulus regulus,3,6
2020-06-13,2020,BY321,13140,Regulus regulus,2,6
2020-06-13,2020,BY332,13140,Regulus regulus,0,0
2020-06-17,2020,BY383,13140,Regulus regulus,2,1
2020-06-17,2020,BY453,13140,Regulus regulus,3,5
2020-06-18,2020,BY362,13140,Regulus regulus,1,5
2020-06-19,2020,BY107,13140,Regulus regulus,1,1
2020-06-20,2020,BY291,13140,Regulus regulus,0,0
2020-06-24,2020,BY456,13140,Regulus regulus,3,3
2020-06-24,2020,BY492,13140,Regulus regulus,3,7
2020-06-25,2020,BY424,13140,Regulus regulus,2,4
2020-07-09,2020,BY415,13140,Regulus regulus,6,11
2020-07-09,2020,BY492,13140,Regulus regulus,2,7
2020-07-23,2020,BY424,13140,Regulus regulus,2,4
