DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-14,2020,BY272,11370,Saxicola rubetra,0,0
2020-03-15,2020,BY113,11370,Saxicola rubetra,0,0
2020-03-16,2020,BY151,11370,Saxicola rubetra,0,0
2020-03-18,2020,BY243,11370,Saxicola rubetra,0,0
2020-03-19,2020,BY109,11370,Saxicola rubetra,0,0
2020-03-20,2020,BY193,11370,Saxicola rubetra,0,0
2020-03-20,2020,BY286,11370,Saxicola rubetra,0,0
2020-03-22,2020,BY86,11370,Saxicola rubetra,0,0
2020-03-27,2020,BY271,11370,Saxicola rubetra,0,0
2020-04-05,2020,BY286,11370,Saxicola rubetra,0,0
2020-04-07,2020,BY243,11370,Saxicola rubetra,0,0
2020-04-08,2020,BY151,11370,Saxicola rubetra,0,0
2020-04-09,2020,BY113,11370,Saxicola rubetra,0,0
2020-04-10,2020,BY272,11370,Saxicola rubetra,0,0
2020-04-15,2020,BY271,11370,Saxicola rubetra,1,0
2020-04-18,2020,BY86,11370,Saxicola rubetra,1,0
2020-04-26,2020,BY109,11370,Saxicola rubetra,0,0
2020-04-27,2020,BY193,11370,Saxicola rubetra,2,0
2020-05-02,2020,BY113,11370,Saxicola rubetra,0,0
2020-05-03,2020,BY286,11370,Saxicola rubetra,0,0
2020-05-05,2020,BY151,11370,Saxicola rubetra,3,0
2020-05-07,2020,BY271,11370,Saxicola rubetra,2,0
2020-05-09,2020,BY272,11370,Saxicola rubetra,0,0
2020-05-11,2020,BY243,11370,Saxicola rubetra,0,0
2020-05-16,2020,BY86,11370,Saxicola rubetra,0,0
2020-05-19,2020,BY193,11370,Saxicola rubetra,0,0
2020-05-20,2020,BY109,11370,Saxicola rubetra,0,0
2020-05-24,2020,BY286,11370,Saxicola rubetra,0,0
2020-05-29,2020,BY271,11370,Saxicola rubetra,0,0
2020-06-08,2020,BY151,11370,Saxicola rubetra,0,0
2020-06-08,2020,BY243,11370,Saxicola rubetra,0,0
2020-06-12,2020,BY272,11370,Saxicola rubetra,0,0
2020-06-13,2020,BY86,11370,Saxicola rubetra,0,0
2020-06-17,2020,BY193,11370,Saxicola rubetra,0,0
2020-06-18,2020,BY113,11370,Saxicola rubetra,0,0
2020-06-20,2020,BY109,11370,Saxicola rubetra,0,0
2021-03-12,2021,BY243,11370,Saxicola rubetra,0,0
2021-03-13,2021,BY113,11370,Saxicola rubetra,0,0
