DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY203,11397,Saxicola rubicola,0,0
2020-03-14,2020,BY272,11397,Saxicola rubicola,1,1
2020-03-16,2020,BY365,11397,Saxicola rubicola,3,1
2020-03-17,2020,BY362,11397,Saxicola rubicola,5,8
2020-03-20,2020,BY31,11397,Saxicola rubicola,0,0
2020-03-20,2020,BY454,11397,Saxicola rubicola,0,0
2020-03-27,2020,BY120,11397,Saxicola rubicola,0,0
2020-03-27,2020,BY369,11397,Saxicola rubicola,8,4
2020-04-08,2020,BY365,11397,Saxicola rubicola,0,0
2020-04-10,2020,BY272,11397,Saxicola rubicola,0,0
2020-04-11,2020,BY454,11397,Saxicola rubicola,0,0
2020-04-16,2020,BY203,11397,Saxicola rubicola,5,3
2020-04-17,2020,BY31,11397,Saxicola rubicola,1,0
2020-04-17,2020,BY362,11397,Saxicola rubicola,6,8
2020-04-18,2020,BY120,11397,Saxicola rubicola,0,0
2020-04-26,2020,BY369,11397,Saxicola rubicola,6,4
2020-05-08,2020,BY203,11397,Saxicola rubicola,2,3
2020-05-09,2020,BY272,11397,Saxicola rubicola,0,0
2020-05-09,2020,BY454,11397,Saxicola rubicola,0,0
2020-05-12,2020,BY365,11397,Saxicola rubicola,1,1
2020-05-16,2020,BY120,11397,Saxicola rubicola,0,0
2020-05-16,2020,BY31,11397,Saxicola rubicola,0,0
2020-05-17,2020,BY362,11397,Saxicola rubicola,4,8
2020-05-31,2020,BY369,11397,Saxicola rubicola,5,4
2020-06-09,2020,BY31,11397,Saxicola rubicola,0,0
2020-06-12,2020,BY272,11397,Saxicola rubicola,1,1
2020-06-12,2020,BY365,11397,Saxicola rubicola,0,0
2020-06-13,2020,BY454,11397,Saxicola rubicola,0,0
2020-06-18,2020,BY120,11397,Saxicola rubicola,0,0
2020-06-18,2020,BY203,11397,Saxicola rubicola,0,0
2020-06-18,2020,BY362,11397,Saxicola rubicola,7,8
2020-06-27,2020,BY369,11397,Saxicola rubicola,7,4
2021-03-13,2021,BY454,11397,Saxicola rubicola,0,0
2021-03-16,2021,BY110,11397,Saxicola rubicola,0,0
2021-03-20,2021,BY241,11397,Saxicola rubicola,2,0
2021-03-21,2021,BY203,11397,Saxicola rubicola,2,5
2021-03-22,2021,BY31,11397,Saxicola rubicola,0,0
2021-03-24,2021,BY358,11397,Saxicola rubicola,0,0
2021-03-25,2021,BY272,11397,Saxicola rubicola,2,1
2021-03-26,2021,BY22,11397,Saxicola rubicola,0,0
2021-03-26,2021,BY36,11397,Saxicola rubicola,0,0
2021-03-28,2021,BY349,11397,Saxicola rubicola,0,0
2021-03-29,2021,BY283,11397,Saxicola rubicola,2,2
2021-03-29,2021,BY342,11397,Saxicola rubicola,1,3
2021-03-30,2021,BY120,11397,Saxicola rubicola,0,0
2021-04-11,2021,BY203,11397,Saxicola rubicola,3,5
2021-04-11,2021,BY358,11397,Saxicola rubicola,0,0
2021-04-16,2021,BY110,11397,Saxicola rubicola,2,1
2021-04-17,2021,BY241,11397,Saxicola rubicola,0,0
2021-04-20,2021,BY36,11397,Saxicola rubicola,0,0
2021-04-23,2021,BY283,11397,Saxicola rubicola,1,2
2021-04-24,2021,BY272,11397,Saxicola rubicola,1,1
2021-04-24,2021,BY31,11397,Saxicola rubicola,0,0
2021-04-24,2021,BY349,11397,Saxicola rubicola,2,0
2021-04-24,2021,BY454,11397,Saxicola rubicola,0,0
2021-04-25,2021,BY22,11397,Saxicola rubicola,1,1
2021-04-25,2021,BY342,11397,Saxicola rubicola,7,3
2021-04-27,2021,BY120,11397,Saxicola rubicola,0,0
2021-05-08,2021,BY203,11397,Saxicola rubicola,4,5
2021-05-09,2021,BY358,11397,Saxicola rubicola,0,0
2021-05-10,2021,BY272,11397,Saxicola rubicola,1,1
2021-05-11,2021,BY342,11397,Saxicola rubicola,0,0
2021-05-14,2021,BY22,11397,Saxicola rubicola,1,1
2021-05-14,2021,BY283,11397,Saxicola rubicola,2,2
2021-05-16,2021,BY454,11397,Saxicola rubicola,0,0
2021-05-17,2021,BY110,11397,Saxicola rubicola,1,1
2021-05-19,2021,BY31,11397,Saxicola rubicola,0,0
2021-05-21,2021,BY349,11397,Saxicola rubicola,0,0
2021-05-23,2021,BY36,11397,Saxicola rubicola,2,1
2021-05-24,2021,BY120,11397,Saxicola rubicola,0,0
2021-05-24,2021,BY387,11397,Saxicola rubicola,1,2
2021-06-01,2021,BY203,11397,Saxicola rubicola,0,0
2021-06-01,2021,BY241,11397,Saxicola rubicola,0,0
2021-06-03,2021,BY272,11397,Saxicola rubicola,1,1
2021-06-04,2021,BY283,11397,Saxicola rubicola,1,2
2021-06-05,2021,BY342,11397,Saxicola rubicola,6,3
2021-06-08,2021,BY22,11397,Saxicola rubicola,1,1
2021-06-09,2021,BY241,11397,Saxicola rubicola,0,0
2021-06-11,2021,BY349,11397,Saxicola rubicola,0,0
2021-06-13,2021,BY120,11397,Saxicola rubicola,0,0
2021-06-13,2021,BY358,11397,Saxicola rubicola,0,0
2021-06-14,2021,BY110,11397,Saxicola rubicola,0,0
2021-06-14,2021,BY31,11397,Saxicola rubicola,0,0
2021-06-15,2021,BY387,11397,Saxicola rubicola,2,2
2021-06-15,2021,BY454,11397,Saxicola rubicola,0,0
2021-06-16,2021,BY36,11397,Saxicola rubicola,2,1
2022-03-10,2022,BY296,11397,Saxicola rubicola,0,0
2022-03-12,2022,BY203,11397,Saxicola rubicola,0,0
2022-03-13,2022,BY6,11397,Saxicola rubicola,0,0
2022-03-14,2022,BY343,11397,Saxicola rubicola,0,0
2022-03-18,2022,BY272,11397,Saxicola rubicola,0,0
2022-03-19,2022,BY455,11397,Saxicola rubicola,4,4
2022-03-20,2022,BY120,11397,Saxicola rubicola,3,0
2022-03-20,2022,BY283,11397,Saxicola rubicola,0,0
