DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-04-28,2020,BY415,5290,Scolopax rusticola,1,2
2020-05-27,2020,BY415,5290,Scolopax rusticola,3,2
2020-07-09,2020,BY415,5290,Scolopax rusticola,0,0
2021-04-27,2021,BY383,5290,Scolopax rusticola,0,0
2021-05-11,2021,BY415,5290,Scolopax rusticola,0,0
2021-05-16,2021,BY383,5290,Scolopax rusticola,1,1
2021-06-02,2021,BY415,5290,Scolopax rusticola,0,0
2021-06-08,2021,BY383,5290,Scolopax rusticola,0,0
2021-06-20,2021,BY383,5290,Scolopax rusticola,0,0
2021-06-26,2021,BY415,5290,Scolopax rusticola,1,1
2021-07-23,2021,BY415,5290,Scolopax rusticola,0,0
2022-03-16,2022,BY136,5290,Scolopax rusticola,0,0
2022-03-27,2022,BY362,5290,Scolopax rusticola,0,0
2022-04-13,2022,BY136,5290,Scolopax rusticola,0,0
2022-04-14,2022,BY362,5290,Scolopax rusticola,1,1
2022-05-10,2022,BY362,5290,Scolopax rusticola,0,0
2022-05-10,2022,BY383,5290,Scolopax rusticola,0,0
2022-05-13,2022,BY136,5290,Scolopax rusticola,1,1
2022-05-27,2022,BY383,5290,Scolopax rusticola,0,0
2022-06-01,2022,BY362,5290,Scolopax rusticola,0,0
2022-06-04,2022,BY383,5290,Scolopax rusticola,0,0
2022-06-05,2022,BY383,5290,Scolopax rusticola,0,0
2022-06-12,2022,BY136,5290,Scolopax rusticola,0,0
2022-06-15,2022,BY383,5290,Scolopax rusticola,1,1
2023-03-23,2023,BY71,5290,Scolopax rusticola,0,0
2023-04-18,2023,BY71,5290,Scolopax rusticola,1,1
2023-04-28,2023,BY383,5290,Scolopax rusticola,1,1
2023-05-16,2023,BY383,5290,Scolopax rusticola,0,0
2023-05-17,2023,BY71,5290,Scolopax rusticola,0,0
2023-05-29,2023,BY383,5290,Scolopax rusticola,0,0
2023-06-13,2023,BY383,5290,Scolopax rusticola,0,0
2023-06-14,2023,BY71,5290,Scolopax rusticola,0,0
