DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-17,2020,BY276,14790,Sitta europaea,0,0
2020-03-18,2020,BY221,14790,Sitta europaea,0,0
2020-03-25,2020,BY238,14790,Sitta europaea,0,0
2020-03-28,2020,BY332,14790,Sitta europaea,0,0
2020-04-06,2020,BY221,14790,Sitta europaea,0,0
2020-04-07,2020,BY388,14790,Sitta europaea,0,0
2020-04-16,2020,BY383,14790,Sitta europaea,0,0
2020-04-17,2020,BY276,14790,Sitta europaea,0,0
2020-04-29,2020,BY238,14790,Sitta europaea,0,0
2020-04-30,2020,BY424,14790,Sitta europaea,0,0
2020-05-02,2020,BY221,14790,Sitta europaea,0,0
2020-05-03,2020,BY332,14790,Sitta europaea,0,0
2020-05-10,2020,BY388,14790,Sitta europaea,0,0
2020-05-17,2020,BY276,14790,Sitta europaea,0,0
2020-05-18,2020,BY383,14790,Sitta europaea,0,0
2020-05-19,2020,BY238,14790,Sitta europaea,0,0
2020-05-22,2020,BY388,14790,Sitta europaea,0,0
2020-05-24,2020,BY332,14790,Sitta europaea,0,0
2020-05-26,2020,BY221,14790,Sitta europaea,0,0
2020-05-27,2020,BY383,14790,Sitta europaea,0,0
2020-05-27,2020,BY424,14790,Sitta europaea,0,0
2020-06-03,2020,BY238,14790,Sitta europaea,0,0
2020-06-12,2020,BY276,14790,Sitta europaea,0,0
2020-06-12,2020,BY388,14790,Sitta europaea,1,0
2020-06-13,2020,BY332,14790,Sitta europaea,0,0
2020-06-17,2020,BY383,14790,Sitta europaea,0,0
2020-06-25,2020,BY424,14790,Sitta europaea,0,0
2020-07-23,2020,BY424,14790,Sitta europaea,0,0
2021-03-13,2021,BY113,14790,Sitta europaea,0,0
2021-03-25,2021,BY355,14790,Sitta europaea,0,0
2021-03-26,2021,BY3,14790,Sitta europaea,0,0
2021-03-27,2021,BY169,14790,Sitta europaea,0,0
2021-03-29,2021,BY201,14790,Sitta europaea,0,0
2021-03-29,2021,BY238,14790,Sitta europaea,0,0
2021-04-02,2021,BY457,14790,Sitta europaea,0,0
2021-04-04,2021,BY113,14790,Sitta europaea,0,0
2021-04-23,2021,BY355,14790,Sitta europaea,0,0
2021-04-24,2021,BY3,14790,Sitta europaea,0,0
2021-04-24,2021,BY457,14790,Sitta europaea,0,0
2021-04-25,2021,BY169,14790,Sitta europaea,0,0
