DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2021-03-26,2021,BY186,6150,Sterna hirundo,0,0
2021-04-26,2021,BY186,6150,Sterna hirundo,0,0
2021-05-10,2021,BY186,6150,Sterna hirundo,0,0
2021-06-10,2021,BY186,6150,Sterna hirundo,0,0
2022-03-17,2022,BY186,6150,Sterna hirundo,0,0
2022-04-19,2022,BY186,6150,Sterna hirundo,0,0
2022-05-15,2022,BY186,6150,Sterna hirundo,0,0
2022-05-31,2022,BY186,6150,Sterna hirundo,0,0
2024-03-26,2024,BY186,6150,Sterna hirundo,0,0
2024-04-07,2024,BY186,6150,Sterna hirundo,0,0
2024-05-19,2024,BY186,6150,Sterna hirundo,0,0
2024-06-16,2024,BY186,6150,Sterna hirundo,1,0
