DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-16,2020,BY151,6840,Streptopelia decaocto,0,0
2020-03-19,2020,BY109,6840,Streptopelia decaocto,0,0
2020-03-19,2020,BY236,6840,Streptopelia decaocto,0,0
2020-03-20,2020,BY31,6840,Streptopelia decaocto,1,0
2020-03-25,2020,BY132,6840,Streptopelia decaocto,0,0
2020-03-27,2020,BY139,6840,Streptopelia decaocto,0,0
2020-04-08,2020,BY151,6840,Streptopelia decaocto,0,0
2020-04-11,2020,BY236,6840,Streptopelia decaocto,0,0
2020-04-17,2020,BY31,6840,Streptopelia decaocto,0,0
2020-04-18,2020,BY132,6840,Streptopelia decaocto,0,0
2020-04-24,2020,BY139,6840,Streptopelia decaocto,0,0
2020-04-26,2020,BY109,6840,Streptopelia decaocto,0,0
2020-04-28,2020,BY415,6840,Streptopelia decaocto,0,0
2020-05-05,2020,BY151,6840,Streptopelia decaocto,0,0
2020-05-07,2020,BY132,6840,Streptopelia decaocto,0,0
2020-05-15,2020,BY139,6840,Streptopelia decaocto,0,0
2020-05-16,2020,BY31,6840,Streptopelia decaocto,2,0
2020-05-18,2020,BY236,6840,Streptopelia decaocto,0,0
2020-05-20,2020,BY109,6840,Streptopelia decaocto,0,0
2020-05-27,2020,BY415,6840,Streptopelia decaocto,0,0
2020-05-30,2020,BY132,6840,Streptopelia decaocto,0,0
2020-06-08,2020,BY151,6840,Streptopelia decaocto,0,0
2020-06-09,2020,BY31,6840,Streptopelia decaocto,2,0
2020-06-12,2020,BY139,6840,Streptopelia decaocto,0,0
2020-06-13,2020,BY236,6840,Streptopelia decaocto,0,0
2020-06-20,2020,BY109,6840,Streptopelia decaocto,0,0
2020-07-09,2020,BY415,6840,Streptopelia decaocto,0,0
2021-03-13,2021,BY165,6840,Streptopelia decaocto,0,0
2021-03-24,2021,BY109,6840,Streptopelia decaocto,0,0
2021-03-25,2021,BY106,6840,Streptopelia decaocto,0,0
2021-03-26,2021,BY132,6840,Streptopelia decaocto,0,0
2021-03-26,2021,BY151,6840,Streptopelia decaocto,0,0
2021-03-28,2021,BY139,6840,Streptopelia decaocto,0,0
2021-03-28,2021,BY236,6840,Streptopelia decaocto,0,0
2021-03-28,2021,BY291,6840,Streptopelia decaocto,0,0
2021-03-29,2021,BY70,6840,Streptopelia decaocto,0,0
2021-03-30,2021,BY183,6840,Streptopelia decaocto,0,0
2021-04-10,2021,BY132,6840,Streptopelia decaocto,0,0
2021-04-10,2021,BY165,6840,Streptopelia decaocto,3,0
2021-04-16,2021,BY151,6840,Streptopelia decaocto,0,0
2021-04-24,2021,BY109,6840,Streptopelia decaocto,0,0
2021-04-24,2021,BY139,6840,Streptopelia decaocto,0,0
2021-04-24,2021,BY373,6840,Streptopelia decaocto,0,0
2021-04-25,2021,BY106,6840,Streptopelia decaocto,0,0
2021-04-25,2021,BY183,6840,Streptopelia decaocto,0,0
2021-04-25,2021,BY236,6840,Streptopelia decaocto,0,0
2021-04-25,2021,BY291,6840,Streptopelia decaocto,0,0
2021-04-27,2021,BY70,6840,Streptopelia decaocto,1,0
2021-05-04,2021,BY151,6840,Streptopelia decaocto,0,0
2021-05-04,2021,BY37,6840,Streptopelia decaocto,0,0
2021-05-08,2021,BY165,6840,Streptopelia decaocto,0,0
2021-05-09,2021,BY139,6840,Streptopelia decaocto,0,0
2021-05-10,2021,BY183,6840,Streptopelia decaocto,0,0
2021-05-11,2021,BY415,6840,Streptopelia decaocto,0,0
2021-05-14,2021,BY109,6840,Streptopelia decaocto,0,0
2021-05-14,2021,BY132,6840,Streptopelia decaocto,0,0
2021-05-14,2021,BY236,6840,Streptopelia decaocto,0,0
2021-05-16,2021,BY291,6840,Streptopelia decaocto,0,0
2021-05-16,2021,BY70,6840,Streptopelia decaocto,0,0
2021-05-18,2021,BY106,6840,Streptopelia decaocto,0,0
2021-05-24,2021,BY373,6840,Streptopelia decaocto,0,0
2021-05-28,2021,BY151,6840,Streptopelia decaocto,0,0
2021-05-29,2021,BY132,6840,Streptopelia decaocto,0,0
2021-06-01,2021,BY183,6840,Streptopelia decaocto,0,0
2021-06-02,2021,BY415,6840,Streptopelia decaocto,0,0
2021-06-04,2021,BY165,6840,Streptopelia decaocto,0,0
2021-06-07,2021,BY106,6840,Streptopelia decaocto,0,0
2021-06-07,2021,BY139,6840,Streptopelia decaocto,0,0
2021-06-12,2021,BY109,6840,Streptopelia decaocto,0,0
2021-06-13,2021,BY291,6840,Streptopelia decaocto,0,0
2021-06-16,2021,BY236,6840,Streptopelia decaocto,0,0
2021-06-16,2021,BY37,6840,Streptopelia decaocto,0,0
2021-06-20,2021,BY70,6840,Streptopelia decaocto,0,0
2021-06-26,2021,BY373,6840,Streptopelia decaocto,0,0
2021-06-26,2021,BY415,6840,Streptopelia decaocto,0,0
2021-07-23,2021,BY415,6840,Streptopelia decaocto,0,0
2022-03-10,2022,BY132,6840,Streptopelia decaocto,0,0
2022-03-10,2022,BY296,6840,Streptopelia decaocto,0,0
2022-03-13,2022,BY201,6840,Streptopelia decaocto,0,0
2022-03-14,2022,BY356,6840,Streptopelia decaocto,2,0
2022-03-16,2022,BY243,6840,Streptopelia decaocto,0,0
2022-03-18,2022,BY373,6840,Streptopelia decaocto,0,0
2022-03-19,2022,BY139,6840,Streptopelia decaocto,0,0
2022-03-19,2022,BY165,6840,Streptopelia decaocto,0,0
2022-03-20,2022,BY297,6840,Streptopelia decaocto,0,0
2022-03-20,2022,BY70,6840,Streptopelia decaocto,0,0
2022-03-23,2022,BY237,6840,Streptopelia decaocto,0,0
2022-03-23,2022,BY31,6840,Streptopelia decaocto,0,0
2022-03-25,2022,BY151,6840,Streptopelia decaocto,0,0
2022-03-26,2022,BY238,6840,Streptopelia decaocto,0,0
2022-03-26,2022,BY367,6840,Streptopelia decaocto,0,0
2022-03-27,2022,BY109,6840,Streptopelia decaocto,0,0
2022-03-27,2022,BY214,6840,Streptopelia decaocto,0,0
