DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY157,15820,Sturnus vulgaris,0,0
2020-03-13,2020,BY203,15820,Sturnus vulgaris,2,3
2020-03-14,2020,BY127,15820,Sturnus vulgaris,1,6
2020-03-14,2020,BY272,15820,Sturnus vulgaris,4,4
2020-03-14,2020,BY275,15820,Sturnus vulgaris,4,15
2020-03-15,2020,BY113,15820,Sturnus vulgaris,0,0
2020-03-15,2020,BY119,15820,Sturnus vulgaris,5,3
2020-03-15,2020,BY121,15820,Sturnus vulgaris,3,5
2020-03-15,2020,BY133,15820,Sturnus vulgaris,5,7
2020-03-15,2020,BY230,15820,Sturnus vulgaris,23,15
2020-03-15,2020,BY235,15820,Sturnus vulgaris,15,7
2020-03-15,2020,BY242,15820,Sturnus vulgaris,12,10
2020-03-15,2020,BY337,15820,Sturnus vulgaris,0,0
2020-03-15,2020,BY57,15820,Sturnus vulgaris,0,0
2020-03-16,2020,BY151,15820,Sturnus vulgaris,23,8
2020-03-16,2020,BY365,15820,Sturnus vulgaris,6,3
2020-03-17,2020,BY276,15820,Sturnus vulgaris,39,4
2020-03-18,2020,BY173,15820,Sturnus vulgaris,5,1
2020-03-18,2020,BY221,15820,Sturnus vulgaris,14,7
2020-03-18,2020,BY231,15820,Sturnus vulgaris,0,0
2020-03-18,2020,BY243,15820,Sturnus vulgaris,7,7
2020-03-19,2020,BY109,15820,Sturnus vulgaris,0,0
2020-03-19,2020,BY114,15820,Sturnus vulgaris,0,0
2020-03-19,2020,BY19,15820,Sturnus vulgaris,1,1
2020-03-19,2020,BY236,15820,Sturnus vulgaris,11,14
2020-03-19,2020,BY237,15820,Sturnus vulgaris,17,13
2020-03-20,2020,BY158,15820,Sturnus vulgaris,36,25
2020-03-20,2020,BY193,15820,Sturnus vulgaris,7,3
2020-03-20,2020,BY286,15820,Sturnus vulgaris,5,8
2020-03-20,2020,BY31,15820,Sturnus vulgaris,27,7
2020-03-20,2020,BY321,15820,Sturnus vulgaris,4,8
2020-03-20,2020,BY454,15820,Sturnus vulgaris,2,2
