DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2021-05-09,2021,BY456,3350,Tetrao urogallus,0,0
2021-05-11,2021,BY415,3350,Tetrao urogallus,0,0
2021-06-02,2021,BY415,3350,Tetrao urogallus,0,0
2021-06-03,2021,BY456,3350,Tetrao urogallus,0,0
2021-06-16,2021,BY456,3350,Tetrao urogallus,0,0
2021-06-26,2021,BY415,3350,Tetrao urogallus,0,0
2021-07-23,2021,BY415,3350,Tetrao urogallus,0,0
2022-04-29,2022,BY415,3350,Tetrao urogallus,0,0
2022-05-15,2022,BY456,3350,Tetrao urogallus,0,0
2022-06-05,2022,BY456,3350,Tetrao urogallus,0,0
2022-06-13,2022,BY415,3350,Tetrao urogallus,0,0
2022-06-14,2022,BY415,3350,Tetrao urogallus,0,0
2022-06-19,2022,BY456,3350,Tetrao urogallus,0,0
2023-05-05,2023,BY415,3350,Tetrao urogallus,0,0
2023-05-07,2023,BY456,3350,Tetrao urogallus,0,0
2023-05-13,2023,BY372,3350,Tetrao urogallus,1,0
2023-05-24,2023,BY415,3350,Tetrao urogallus,0,0
2023-05-30,2023,BY456,3350,Tetrao urogallus,0,0
2023-06-08,2023,BY372,3350,Tetrao urogallus,0,0
2023-06-20,2023,BY415,3350,Tetrao urogallus,0,0
2023-06-25,2023,BY456,3350,Tetrao urogallus,0,0
2023-07-08,2023,BY372,3350,Tetrao urogallus,0,0
2023-07-15,2023,BY456,3350,Tetrao urogallus,0,0
2023-07-16,2023,BY372,3350,Tetrao urogallus,0,0
2023-07-18,2023,BY415,3350,Tetrao urogallus,0,0
2024-05-06,2024,BY456,3350,Tetrao urogallus,0,0
2024-05-10,2024,BY388,3350,Tetrao urogallus,0,0
2024-05-20,2024,BY456,3350,Tetrao urogallus,0,0
2024-06-05,2024,BY388,3350,Tetrao urogallus,0,0
2024-06-20,2024,BY388,3350,Tetrao urogallus,0,0
2024-06-28,2024,BY388,3350,Tetrao urogallus,0,0
