DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-04-07,2020,BY388,3350,Tetrao urogallus,5,2
2020-04-16,2020,BY383,3350,Tetrao urogallus,5,1
2020-04-28,2020,BY415,3350,Tetrao urogallus,0,0
2020-05-10,2020,BY388,3350,Tetrao urogallus,3,2
2020-05-18,2020,BY383,3350,Tetrao urogallus,2,1
2020-05-21,2020,BY456,3350,Tetrao urogallus,1,1
2020-05-22,2020,BY388,3350,Tetrao urogallus,1,2
2020-05-27,2020,BY383,3350,Tetrao urogallus,0,0
2020-05-27,2020,BY415,3350,Tetrao urogallus,0,0
2020-05-30,2020,BY456,3350,Tetrao urogallus,0,0
2020-06-03,2020,BY456,3350,Tetrao urogallus,0,0
2020-06-12,2020,BY388,3350,Tetrao urogallus,0,0
2020-06-17,2020,BY383,3350,Tetrao urogallus,1,1
2020-06-24,2020,BY456,3350,Tetrao urogallus,0,0
2020-07-09,2020,BY415,3350,Tetrao urogallus,3,1
2021-04-25,2021,BY388,3350,Tetrao urogallus,4,1
2021-04-27,2021,BY383,3350,Tetrao urogallus,9,4
2021-05-11,2021,BY388,3350,Tetrao urogallus,0,0
2021-05-16,2021,BY383,3350,Tetrao urogallus,6,4
2021-06-01,2021,BY388,3350,Tetrao urogallus,0,0
2021-06-08,2021,BY383,3350,Tetrao urogallus,0,0
2021-06-15,2021,BY388,3350,Tetrao urogallus,0,0
2021-06-20,2021,BY383,3350,Tetrao urogallus,0,0
2022-05-10,2022,BY383,3350,Tetrao urogallus,2,4
2022-05-15,2022,BY372,3350,Tetrao urogallus,0,0
2022-05-27,2022,BY383,3350,Tetrao urogallus,1,4
2022-06-04,2022,BY383,3350,Tetrao urogallus,0,0
2022-06-05,2022,BY383,3350,Tetrao urogallus,1,4
2022-06-12,2022,BY372,3350,Tetrao urogallus,1,1
2022-06-15,2022,BY383,3350,Tetrao urogallus,1,4
2023-04-28,2023,BY383,3350,Tetrao urogallus,1,1
2023-05-16,2023,BY383,3350,Tetrao urogallus,0,0
2023-05-29,2023,BY383,3350,Tetrao urogallus,0,0
2023-06-13,2023,BY383,3350,Tetrao urogallus,0,0
