DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY157,11870,Turdus merula,3,6
2020-03-13,2020,BY203,11870,Turdus merula,6,8
2020-03-14,2020,BY127,11870,Turdus merula,20,32
2020-03-14,2020,BY272,11870,Turdus merula,10,11
2020-03-14,2020,BY275,11870,Turdus merula,13,55
2020-03-15,2020,BY113,11870,Turdus merula,2,4
2020-03-15,2020,BY119,11870,Turdus merula,11,23
2020-03-15,2020,BY121,11870,Turdus merula,19,21
2020-03-15,2020,BY133,11870,Turdus merula,11,29
2020-03-15,2020,BY230,11870,Turdus merula,7,16
2020-03-15,2020,BY235,11870,Turdus merula,25,12
2020-03-15,2020,BY242,11870,Turdus merula,22,54
2020-03-15,2020,BY337,11870,Turdus merula,11,18
2020-03-15,2020,BY57,11870,Turdus merula,8,11
2020-03-16,2020,BY151,11870,Turdus merula,12,12
2020-03-16,2020,BY365,11870,Turdus merula,3,11
2020-03-17,2020,BY276,11870,Turdus merula,5,3
2020-03-17,2020,BY362,11870,Turdus merula,6,19
2020-03-18,2020,BY173,11870,Turdus merula,4,10
2020-03-18,2020,BY221,11870,Turdus merula,25,13
2020-03-18,2020,BY231,11870,Turdus merula,3,8
2020-03-18,2020,BY243,11870,Turdus merula,12,29
2020-03-19,2020,BY109,11870,Turdus merula,0,0
2020-03-19,2020,BY114,11870,Turdus merula,8,21
2020-03-19,2020,BY124,11870,Turdus merula,5,38
2020-03-19,2020,BY19,11870,Turdus merula,8,28
2020-03-19,2020,BY236,11870,Turdus merula,13,25
2020-03-19,2020,BY237,11870,Turdus merula,23,29
2020-03-20,2020,BY158,11870,Turdus merula,35,35
2020-03-20,2020,BY193,11870,Turdus merula,10,13
2020-03-20,2020,BY286,11870,Turdus merula,7,16
2020-03-20,2020,BY31,11870,Turdus merula,4,6
2020-03-20,2020,BY321,11870,Turdus merula,6,10
2020-03-20,2020,BY454,11870,Turdus merula,9,16
2020-03-22,2020,BY137,11870,Turdus merula,14,66
2020-03-22,2020,BY86,11870,Turdus merula,23,45
2020-03-23,2020,BY138,11870,Turdus merula,3,5
2020-03-25,2020,BY107,11870,Turdus merula,3,6
2020-03-25,2020,BY132,11870,Turdus merula,8,50
2020-03-25,2020,BY238,11870,Turdus merula,11,20
2020-03-27,2020,BY120,11870,Turdus merula,2,5
2020-03-27,2020,BY139,11870,Turdus merula,3,12
2020-03-27,2020,BY271,11870,Turdus merula,1,7
2020-03-27,2020,BY453,11870,Turdus merula,6,22
2020-03-27,2020,BY460,11870,Turdus merula,7,15
2020-03-28,2020,BY290,11870,Turdus merula,10,16
2020-03-28,2020,BY291,11870,Turdus merula,4,11
2020-03-28,2020,BY332,11870,Turdus merula,9,10
2020-03-28,2020,BY65,11870,Turdus merula,10,28
2020-03-29,2020,BY217,11870,Turdus merula,20,41
2020-03-31,2020,BY16,11870,Turdus merula,8,9
2020-03-31,2020,BY169,11870,Turdus merula,4,4
2020-04-04,2020,BY354,11870,Turdus merula,1,4
2020-04-05,2020,BY124,11870,Turdus merula,17,38
2020-04-05,2020,BY127,11870,Turdus merula,19,32
2020-04-05,2020,BY235,11870,Turdus merula,17,12
2020-04-05,2020,BY242,11870,Turdus merula,26,54
2020-04-05,2020,BY275,11870,Turdus merula,33,55
2020-04-05,2020,BY286,11870,Turdus merula,11,16
2020-04-06,2020,BY221,11870,Turdus merula,15,13
2020-04-07,2020,BY114,11870,Turdus merula,8,21
2020-04-07,2020,BY243,11870,Turdus merula,12,29
2020-04-07,2020,BY388,11870,Turdus merula,8,5
2020-04-08,2020,BY151,11870,Turdus merula,13,12
2020-04-08,2020,BY365,11870,Turdus merula,5,11
2020-04-09,2020,BY113,11870,Turdus merula,2,4
2020-04-09,2020,BY157,11870,Turdus merula,4,6
2020-04-09,2020,BY230,11870,Turdus merula,17,16
2020-04-10,2020,BY121,11870,Turdus merula,28,21
2020-04-10,2020,BY133,11870,Turdus merula,19,29
2020-04-10,2020,BY272,11870,Turdus merula,5,11
2020-04-11,2020,BY137,11870,Turdus merula,36,66
2020-04-11,2020,BY236,11870,Turdus merula,19,25
2020-04-11,2020,BY290,11870,Turdus merula,11,16
2020-04-11,2020,BY337,11870,Turdus merula,10,18
2020-04-11,2020,BY454,11870,Turdus merula,12,16
2020-04-11,2020,BY57,11870,Turdus merula,8,11
2020-04-12,2020,BY119,11870,Turdus merula,13,23
2020-04-13,2020,BY274,11870,Turdus merula,8,12
2020-04-15,2020,BY173,11870,Turdus merula,5,10
2020-04-15,2020,BY231,11870,Turdus merula,2,8
2020-04-15,2020,BY271,11870,Turdus merula,2,7
2020-04-16,2020,BY203,11870,Turdus merula,6,8
2020-04-16,2020,BY383,11870,Turdus merula,9,8
2020-04-16,2020,BY460,11870,Turdus merula,6,15
2020-04-17,2020,BY276,11870,Turdus merula,10,3
2020-04-17,2020,BY31,11870,Turdus merula,7,6
2020-04-17,2020,BY321,11870,Turdus merula,3,10
2020-04-17,2020,BY362,11870,Turdus merula,8,19
2020-04-17,2020,BY65,11870,Turdus merula,17,28
2020-04-18,2020,BY120,11870,Turdus merula,0,0
2020-04-18,2020,BY132,11870,Turdus merula,39,50
2020-04-18,2020,BY161,11870,Turdus merula,10,8
2020-04-18,2020,BY169,11870,Turdus merula,4,4
2020-04-18,2020,BY86,11870,Turdus merula,18,45
