DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY203,11980,Turdus pilaris,8,2
2020-03-14,2020,BY127,11980,Turdus pilaris,0,0
2020-03-14,2020,BY272,11980,Turdus pilaris,8,3
2020-03-14,2020,BY275,11980,Turdus pilaris,0,0
2020-03-15,2020,BY113,11980,Turdus pilaris,0,0
2020-03-15,2020,BY119,11980,Turdus pilaris,0,0
2020-03-15,2020,BY121,11980,Turdus pilaris,0,0
2020-03-15,2020,BY133,11980,Turdus pilaris,16,3
2020-03-15,2020,BY230,11980,Turdus pilaris,4,1
2020-03-15,2020,BY235,11980,Turdus pilaris,0,0
2020-03-15,2020,BY242,11980,Turdus pilaris,0,0
2020-03-15,2020,BY337,11980,Turdus pilaris,1,0
2020-03-15,2020,BY57,11980,Turdus pilaris,0,0
2020-03-16,2020,BY151,11980,Turdus pilaris,20,0
2020-03-16,2020,BY365,11980,Turdus pilaris,12,0
2020-03-17,2020,BY276,11980,Turdus pilaris,4,1
2020-03-17,2020,BY362,11980,Turdus pilaris,0,0
2020-03-18,2020,BY173,11980,Turdus pilaris,0,0
2020-03-18,2020,BY221,11980,Turdus pilaris,5,1
2020-03-18,2020,BY231,11980,Turdus pilaris,0,0
2020-03-18,2020,BY243,11980,Turdus pilaris,2,0
2020-03-19,2020,BY109,11980,Turdus pilaris,0,0
2020-03-19,2020,BY114,11980,Turdus pilaris,0,0
2020-03-19,2020,BY124,11980,Turdus pilaris,0,0
2020-03-19,2020,BY236,11980,Turdus pilaris,3,0
2020-03-19,2020,BY237,11980,Turdus pilaris,18,12
2020-03-20,2020,BY158,11980,Turdus pilaris,0,0
2020-03-20,2020,BY193,11980,Turdus pilaris,1,4
2020-03-20,2020,BY31,11980,Turdus pilaris,7,1
2020-03-20,2020,BY321,11980,Turdus pilaris,7,5
2020-03-20,2020,BY454,11980,Turdus pilaris,0,0
2020-03-22,2020,BY137,11980,Turdus pilaris,1,1
2020-03-22,2020,BY86,11980,Turdus pilaris,12,2
2020-03-27,2020,BY120,11980,Turdus pilaris,0,0
2020-03-27,2020,BY139,11980,Turdus pilaris,2,0
2020-03-27,2020,BY271,11980,Turdus pilaris,43,1
2020-03-27,2020,BY453,11980,Turdus pilaris,0,0
2020-03-27,2020,BY460,11980,Turdus pilaris,3,2
2020-03-28,2020,BY290,11980,Turdus pilaris,0,0
2020-03-28,2020,BY291,11980,Turdus pilaris,2,1
2020-03-28,2020,BY332,11980,Turdus pilaris,2,3
2020-03-28,2020,BY65,11980,Turdus pilaris,0,0
2020-03-29,2020,BY217,11980,Turdus pilaris,0,0
2020-03-31,2020,BY169,11980,Turdus pilaris,0,0
2020-04-04,2020,BY354,11980,Turdus pilaris,53,9
2020-04-05,2020,BY124,11980,Turdus pilaris,1,0
