DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-15,2020,BY119,11980,Turdus pilaris,0,0
2020-03-15,2020,BY121,11980,Turdus pilaris,0,0
2020-03-15,2020,BY235,11980,Turdus pilaris,0,0
2020-03-15,2020,BY337,11980,Turdus pilaris,1,0
2020-03-15,2020,BY57,11980,Turdus pilaris,0,0
2020-03-16,2020,BY151,11980,Turdus pilaris,20,0
2020-03-16,2020,BY365,11980,Turdus pilaris,12,0
2020-03-17,2020,BY362,11980,Turdus pilaris,0,0
2020-03-18,2020,BY173,11980,Turdus pilaris,0,0
2020-03-18,2020,BY231,11980,Turdus pilaris,0,0
2020-03-18,2020,BY243,11980,Turdus pilaris,2,0
2020-03-19,2020,BY109,11980,Turdus pilaris,0,0
2020-03-19,2020,BY124,11980,Turdus pilaris,0,0
2020-03-19,2020,BY236,11980,Turdus pilaris,3,0
2020-03-20,2020,BY158,11980,Turdus pilaris,0,0
2020-03-20,2020,BY454,11980,Turdus pilaris,0,0
2020-03-27,2020,BY120,11980,Turdus pilaris,0,0
2020-03-27,2020,BY139,11980,Turdus pilaris,2,0
2020-03-27,2020,BY453,11980,Turdus pilaris,0,0
2020-03-28,2020,BY65,11980,Turdus pilaris,0,0
2020-03-31,2020,BY169,11980,Turdus pilaris,0,0
2020-04-05,2020,BY124,11980,Turdus pilaris,1,0
2020-04-05,2020,BY235,11980,Turdus pilaris,0,0
2020-04-07,2020,BY243,11980,Turdus pilaris,1,0
2020-04-08,2020,BY151,11980,Turdus pilaris,1,0
2020-04-08,2020,BY365,11980,Turdus pilaris,0,0
2020-04-10,2020,BY121,11980,Turdus pilaris,1,0
2020-04-11,2020,BY236,11980,Turdus pilaris,0,0
2020-04-11,2020,BY337,11980,Turdus pilaris,0,0
2020-04-11,2020,BY454,11980,Turdus pilaris,0,0
2020-04-11,2020,BY57,11980,Turdus pilaris,2,0
2020-04-12,2020,BY119,11980,Turdus pilaris,2,0
2020-04-15,2020,BY173,11980,Turdus pilaris,0,0
2020-04-15,2020,BY231,11980,Turdus pilaris,1,0
2020-04-17,2020,BY362,11980,Turdus pilaris,0,0
2020-04-17,2020,BY65,11980,Turdus pilaris,0,0
2020-04-18,2020,BY120,11980,Turdus pilaris,0,0
2020-04-18,2020,BY161,11980,Turdus pilaris,1,0
2020-04-18,2020,BY169,11980,Turdus pilaris,0,0
2020-04-22,2020,BY453,11980,Turdus pilaris,0,0
2020-04-24,2020,BY139,11980,Turdus pilaris,1,0
2020-04-26,2020,BY109,11980,Turdus pilaris,0,0
2020-04-30,2020,BY158,11980,Turdus pilaris,0,0
2020-05-05,2020,BY151,11980,Turdus pilaris,0,0
2020-05-07,2020,BY57,11980,Turdus pilaris,0,0
2020-05-07,2020,BY65,11980,Turdus pilaris,0,0
2020-05-09,2020,BY124,11980,Turdus pilaris,0,0
2020-05-09,2020,BY454,11980,Turdus pilaris,0,0
2020-05-10,2020,BY119,11980,Turdus pilaris,0,0
2020-05-10,2020,BY235,11980,Turdus pilaris,0,0
2020-05-11,2020,BY243,11980,Turdus pilaris,0,0
2020-05-12,2020,BY173,11980,Turdus pilaris,0,0
2020-05-12,2020,BY365,11980,Turdus pilaris,0,0
2020-05-14,2020,BY231,11980,Turdus pilaris,0,0
2020-05-15,2020,BY139,11980,Turdus pilaris,0,0
2020-05-16,2020,BY120,11980,Turdus pilaris,0,0
2020-05-16,2020,BY121,11980,Turdus pilaris,0,0
2020-05-16,2020,BY337,11980,Turdus pilaris,0,0
2020-05-17,2020,BY169,11980,Turdus pilaris,0,0
2020-05-17,2020,BY362,11980,Turdus pilaris,0,0
2020-05-18,2020,BY236,11980,Turdus pilaris,0,0
2020-05-20,2020,BY109,11980,Turdus pilaris,0,0
2020-05-20,2020,BY453,11980,Turdus pilaris,0,0
2020-05-21,2020,BY158,11980,Turdus pilaris,0,0
2020-05-24,2020,BY235,11980,Turdus pilaris,0,0
2020-06-01,2020,BY124,11980,Turdus pilaris,0,0
2020-06-01,2020,BY337,11980,Turdus pilaris,0,0
2020-06-01,2020,BY57,11980,Turdus pilaris,0,0
2020-06-02,2020,BY65,11980,Turdus pilaris,0,0
2020-06-08,2020,BY151,11980,Turdus pilaris,0,0
2020-06-08,2020,BY243,11980,Turdus pilaris,0,0
2020-06-12,2020,BY121,11980,Turdus pilaris,0,0
2020-06-12,2020,BY139,11980,Turdus pilaris,0,0
2020-06-12,2020,BY231,11980,Turdus pilaris,0,0
