DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-19,2020,BY109,11860,Turdus torquatus,0,0
2020-03-28,2020,BY291,11860,Turdus torquatus,0,0
2020-04-07,2020,BY388,11860,Turdus torquatus,5,5
2020-04-16,2020,BY383,11860,Turdus torquatus,5,2
2020-04-26,2020,BY109,11860,Turdus torquatus,0,0
2020-04-28,2020,BY291,11860,Turdus torquatus,0,0
2020-04-28,2020,BY415,11860,Turdus torquatus,6,4
2020-04-30,2020,BY424,11860,Turdus torquatus,6,5
2020-05-08,2020,BY492,11860,Turdus torquatus,14,7
2020-05-10,2020,BY388,11860,Turdus torquatus,4,5
2020-05-18,2020,BY383,11860,Turdus torquatus,1,2
2020-05-19,2020,BY291,11860,Turdus torquatus,0,0
2020-05-20,2020,BY109,11860,Turdus torquatus,0,0
2020-05-20,2020,BY492,11860,Turdus torquatus,10,7
2020-05-21,2020,BY435,11860,Turdus torquatus,3,3
2020-05-21,2020,BY456,11860,Turdus torquatus,3,2
2020-05-22,2020,BY388,11860,Turdus torquatus,4,5
2020-05-27,2020,BY383,11860,Turdus torquatus,2,2
2020-05-27,2020,BY415,11860,Turdus torquatus,8,4
2020-05-27,2020,BY424,11860,Turdus torquatus,4,5
2020-05-30,2020,BY456,11860,Turdus torquatus,3,2
2020-06-03,2020,BY456,11860,Turdus torquatus,3,2
2020-06-12,2020,BY388,11860,Turdus torquatus,3,5
2020-06-17,2020,BY383,11860,Turdus torquatus,0,0
2020-06-20,2020,BY109,11860,Turdus torquatus,0,0
2020-06-20,2020,BY291,11860,Turdus torquatus,0,0
2020-06-24,2020,BY456,11860,Turdus torquatus,0,0
2020-06-24,2020,BY492,11860,Turdus torquatus,1,7
2020-06-25,2020,BY424,11860,Turdus torquatus,1,5
2020-07-09,2020,BY415,11860,Turdus torquatus,0,0
2020-07-09,2020,BY492,11860,Turdus torquatus,1,7
2020-07-12,2020,BY435,11860,Turdus torquatus,1,3
2020-07-23,2020,BY424,11860,Turdus torquatus,0,0
2020-09-11,2020,BY435,11860,Turdus torquatus,3,3
2021-03-24,2021,BY109,11860,Turdus torquatus,0,0
2021-03-26,2021,BY3,11860,Turdus torquatus,0,0
2021-03-28,2021,BY291,11860,Turdus torquatus,0,0
2021-04-24,2021,BY109,11860,Turdus torquatus,0,0
2021-04-24,2021,BY3,11860,Turdus torquatus,0,0
2021-04-25,2021,BY291,11860,Turdus torquatus,0,0
2021-04-25,2021,BY388,11860,Turdus torquatus,3,5
2021-04-27,2021,BY383,11860,Turdus torquatus,6,5
2021-05-09,2021,BY456,11860,Turdus torquatus,0,0
2021-05-10,2021,BY469,11860,Turdus torquatus,1,6
2021-05-11,2021,BY388,11860,Turdus torquatus,7,5
2021-05-11,2021,BY415,11860,Turdus torquatus,13,6
2021-05-14,2021,BY109,11860,Turdus torquatus,0,0
2021-05-15,2021,BY3,11860,Turdus torquatus,0,0
2021-05-16,2021,BY291,11860,Turdus torquatus,0,0
2021-05-16,2021,BY383,11860,Turdus torquatus,0,0
2021-06-01,2021,BY388,11860,Turdus torquatus,5,5
2021-06-02,2021,BY415,11860,Turdus torquatus,5,6
2021-06-03,2021,BY456,11860,Turdus torquatus,1,2
2021-06-08,2021,BY383,11860,Turdus torquatus,5,5
2021-06-12,2021,BY109,11860,Turdus torquatus,0,0
2021-06-12,2021,BY3,11860,Turdus torquatus,0,0
2021-06-13,2021,BY291,11860,Turdus torquatus,0,0
2021-06-15,2021,BY388,11860,Turdus torquatus,3,5
2021-06-16,2021,BY456,11860,Turdus torquatus,1,2
2021-06-16,2021,BY469,11860,Turdus torquatus,11,6
2021-06-19,2021,BY471,11860,Turdus torquatus,1,0
2021-06-20,2021,BY383,11860,Turdus torquatus,4,5
2021-06-26,2021,BY415,11860,Turdus torquatus,2,6
2021-06-28,2021,BY469,11860,Turdus torquatus,4,6
2021-07-10,2021,BY471,11860,Turdus torquatus,0,0
2021-07-12,2021,BY469,11860,Turdus torquatus,1,6
2021-07-23,2021,BY415,11860,Turdus torquatus,2,6
2021-07-29,2021,BY471,11860,Turdus torquatus,0,0
2022-03-26,2022,BY3,11860,Turdus torquatus,0,0
2022-03-26,2022,BY329,11860,Turdus torquatus,2,0
2022-03-27,2022,BY109,11860,Turdus torquatus,0,0
2022-04-17,2022,BY329,11860,Turdus torquatus,0,0
2022-04-22,2022,BY3,11860,Turdus torquatus,0,0
2022-04-27,2022,BY109,11860,Turdus torquatus,0,0
2022-04-28,2022,BY469,11860,Turdus torquatus,10,5
2022-04-29,2022,BY415,11860,Turdus torquatus,15,8
2022-05-10,2022,BY383,11860,Turdus torquatus,3,4
2022-05-14,2022,BY3,11860,Turdus torquatus,0,0
2022-05-15,2022,BY109,11860,Turdus torquatus,0,0
2022-05-15,2022,BY372,11860,Turdus torquatus,5,1
2022-05-15,2022,BY456,11860,Turdus torquatus,1,3
2022-05-20,2022,BY471,11860,Turdus torquatus,0,0
2022-05-22,2022,BY424,11860,Turdus torquatus,0,0
2022-05-27,2022,BY383,11860,Turdus torquatus,4,4
2022-05-28,2022,BY329,11860,Turdus torquatus,0,0
2022-06-03,2022,BY469,11860,Turdus torquatus,7,5
2022-06-04,2022,BY383,11860,Turdus torquatus,0,0
2022-06-04,2022,BY471,11860,Turdus torquatus,1,0
2022-06-05,2022,BY383,11860,Turdus torquatus,5,4
2022-06-05,2022,BY456,11860,Turdus torquatus,4,3
2022-06-10,2022,BY3,11860,Turdus torquatus,0,0
2022-06-11,2022,BY329,11860,Turdus torquatus,0,0
2022-06-12,2022,BY372,11860,Turdus torquatus,1,1
2022-06-13,2022,BY415,11860,Turdus torquatus,0,0
2022-06-14,2022,BY415,11860,Turdus torquatus,9,8
2022-06-15,2022,BY383,11860,Turdus torquatus,1,4
2022-06-18,2022,BY109,11860,Turdus torquatus,0,0
2022-06-19,2022,BY456,11860,Turdus torquatus,4,3
