DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY157,12020,Turdus viscivorus,3,6
2020-03-14,2020,BY127,12020,Turdus viscivorus,0,0
2020-03-15,2020,BY133,12020,Turdus viscivorus,6,9
2020-03-15,2020,BY337,12020,Turdus viscivorus,2,4
2020-03-15,2020,BY57,12020,Turdus viscivorus,0,0
2020-03-16,2020,BY151,12020,Turdus viscivorus,2,1
2020-03-16,2020,BY365,12020,Turdus viscivorus,2,3
2020-03-17,2020,BY362,12020,Turdus viscivorus,1,1
2020-03-18,2020,BY173,12020,Turdus viscivorus,2,2
2020-03-18,2020,BY231,12020,Turdus viscivorus,1,4
2020-03-19,2020,BY114,12020,Turdus viscivorus,0,0
2020-03-19,2020,BY124,12020,Turdus viscivorus,1,6
2020-03-19,2020,BY236,12020,Turdus viscivorus,4,3
2020-03-20,2020,BY158,12020,Turdus viscivorus,4,4
2020-03-20,2020,BY286,12020,Turdus viscivorus,4,10
2020-03-20,2020,BY321,12020,Turdus viscivorus,9,8
2020-03-20,2020,BY454,12020,Turdus viscivorus,0,0
2020-03-22,2020,BY137,12020,Turdus viscivorus,4,9
2020-03-22,2020,BY86,12020,Turdus viscivorus,2,1
2020-03-23,2020,BY138,12020,Turdus viscivorus,0,0
2020-03-25,2020,BY132,12020,Turdus viscivorus,3,6
2020-03-27,2020,BY120,12020,Turdus viscivorus,1,1
2020-03-27,2020,BY453,12020,Turdus viscivorus,2,7
2020-03-28,2020,BY290,12020,Turdus viscivorus,0,0
2020-03-28,2020,BY291,12020,Turdus viscivorus,1,2
2020-03-28,2020,BY65,12020,Turdus viscivorus,3,2
2020-03-31,2020,BY16,12020,Turdus viscivorus,5,4
2020-04-04,2020,BY354,12020,Turdus viscivorus,0,0
2020-04-05,2020,BY124,12020,Turdus viscivorus,2,6
2020-04-05,2020,BY127,12020,Turdus viscivorus,1,1
2020-04-05,2020,BY286,12020,Turdus viscivorus,6,10
2020-04-07,2020,BY114,12020,Turdus viscivorus,2,3
2020-04-07,2020,BY388,12020,Turdus viscivorus,9,10
2020-04-08,2020,BY151,12020,Turdus viscivorus,0,0
2020-04-08,2020,BY365,12020,Turdus viscivorus,0,0
2020-04-09,2020,BY157,12020,Turdus viscivorus,1,6
2020-04-10,2020,BY133,12020,Turdus viscivorus,6,9
2020-04-11,2020,BY137,12020,Turdus viscivorus,2,9
2020-04-11,2020,BY236,12020,Turdus viscivorus,1,3
2020-04-11,2020,BY290,12020,Turdus viscivorus,0,0
2020-04-11,2020,BY337,12020,Turdus viscivorus,1,4
2020-04-11,2020,BY454,12020,Turdus viscivorus,4,2
2020-04-11,2020,BY57,12020,Turdus viscivorus,2,1
2020-04-15,2020,BY173,12020,Turdus viscivorus,0,0
2020-04-15,2020,BY231,12020,Turdus viscivorus,2,4
2020-04-16,2020,BY383,12020,Turdus viscivorus,1,1
2020-04-17,2020,BY321,12020,Turdus viscivorus,4,8
2020-04-17,2020,BY362,12020,Turdus viscivorus,0,0
2020-04-17,2020,BY65,12020,Turdus viscivorus,2,2
2020-04-18,2020,BY120,12020,Turdus viscivorus,0,0
2020-04-18,2020,BY132,12020,Turdus viscivorus,5,6
2020-04-18,2020,BY161,12020,Turdus viscivorus,5,7
2020-04-18,2020,BY86,12020,Turdus viscivorus,1,1
2020-04-22,2020,BY453,12020,Turdus viscivorus,5,7
2020-04-26,2020,BY354,12020,Turdus viscivorus,0,0
2020-04-27,2020,BY16,12020,Turdus viscivorus,2,4
2020-04-28,2020,BY291,12020,Turdus viscivorus,1,2
2020-04-28,2020,BY415,12020,Turdus viscivorus,2,2
2020-04-30,2020,BY138,12020,Turdus viscivorus,2,3
2020-04-30,2020,BY158,12020,Turdus viscivorus,5,4
2020-04-30,2020,BY424,12020,Turdus viscivorus,0,0
2020-05-01,2020,BY114,12020,Turdus viscivorus,0,0
2020-05-03,2020,BY127,12020,Turdus viscivorus,0,0
2020-05-03,2020,BY286,12020,Turdus viscivorus,1,10
2020-05-05,2020,BY151,12020,Turdus viscivorus,0,0
2020-05-07,2020,BY132,12020,Turdus viscivorus,1,6
2020-05-07,2020,BY157,12020,Turdus viscivorus,5,6
2020-05-07,2020,BY57,12020,Turdus viscivorus,0,0
2020-05-07,2020,BY65,12020,Turdus viscivorus,0,0
2020-05-08,2020,BY492,12020,Turdus viscivorus,1,1
2020-05-09,2020,BY124,12020,Turdus viscivorus,6,6
2020-05-09,2020,BY454,12020,Turdus viscivorus,0,0
2020-05-10,2020,BY133,12020,Turdus viscivorus,4,9
2020-05-10,2020,BY290,12020,Turdus viscivorus,1,2
2020-05-10,2020,BY388,12020,Turdus viscivorus,5,10
2020-05-11,2020,BY321,12020,Turdus viscivorus,4,8
2020-05-12,2020,BY173,12020,Turdus viscivorus,1,2
2020-05-12,2020,BY365,12020,Turdus viscivorus,0,0
2020-05-14,2020,BY231,12020,Turdus viscivorus,2,4
2020-05-16,2020,BY120,12020,Turdus viscivorus,0,0
2020-05-16,2020,BY137,12020,Turdus viscivorus,4,9
2020-05-16,2020,BY337,12020,Turdus viscivorus,2,4
2020-05-16,2020,BY86,12020,Turdus viscivorus,0,0
2020-05-17,2020,BY362,12020,Turdus viscivorus,0,0
2020-05-18,2020,BY16,12020,Turdus viscivorus,1,4
2020-05-18,2020,BY236,12020,Turdus viscivorus,2,3
2020-05-18,2020,BY383,12020,Turdus viscivorus,0,0
2020-05-19,2020,BY291,12020,Turdus viscivorus,0,0
2020-05-19,2020,BY354,12020,Turdus viscivorus,0,0
2020-05-20,2020,BY138,12020,Turdus viscivorus,2,3
2020-05-20,2020,BY453,12020,Turdus viscivorus,2,7
2020-05-20,2020,BY492,12020,Turdus viscivorus,1,1
2020-05-21,2020,BY158,12020,Turdus viscivorus,2,4
2020-05-21,2020,BY456,12020,Turdus viscivorus,3,5
2020-05-22,2020,BY388,12020,Turdus viscivorus,4,10
2020-05-24,2020,BY286,12020,Turdus viscivorus,0,0
2020-05-27,2020,BY383,12020,Turdus viscivorus,1,1
2020-05-27,2020,BY415,12020,Turdus viscivorus,2,2
2020-05-27,2020,BY424,12020,Turdus viscivorus,0,0
2020-05-30,2020,BY132,12020,Turdus viscivorus,1,6
2020-05-30,2020,BY456,12020,Turdus viscivorus,4,5
2020-05-31,2020,BY137,12020,Turdus viscivorus,1,9
2020-05-31,2020,BY290,12020,Turdus viscivorus,2,2
2020-06-01,2020,BY124,12020,Turdus viscivorus,0,0
2020-06-01,2020,BY133,12020,Turdus viscivorus,0,0
2020-06-01,2020,BY157,12020,Turdus viscivorus,0,0
2020-06-01,2020,BY337,12020,Turdus viscivorus,1,4
2020-06-01,2020,BY354,12020,Turdus viscivorus,1,1
2020-06-01,2020,BY57,12020,Turdus viscivorus,0,0
2020-06-02,2020,BY157,12020,Turdus viscivorus,3,6
2020-06-02,2020,BY65,12020,Turdus viscivorus,2,2
2020-06-03,2020,BY456,12020,Turdus viscivorus,4,5
2020-06-08,2020,BY151,12020,Turdus viscivorus,0,0
2020-06-12,2020,BY16,12020,Turdus viscivorus,0,0
2020-06-12,2020,BY231,12020,Turdus viscivorus,0,0
2020-06-12,2020,BY365,12020,Turdus viscivorus,3,3
2020-06-12,2020,BY388,12020,Turdus viscivorus,2,10
