DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-19,2020,BY109,4930,Vanellus vanellus,0,0
2020-03-20,2020,BY454,4930,Vanellus vanellus,0,0
2020-03-25,2020,BY238,4930,Vanellus vanellus,0,0
2020-03-28,2020,BY290,4930,Vanellus vanellus,0,0
2020-04-11,2020,BY290,4930,Vanellus vanellus,0,0
2020-04-11,2020,BY454,4930,Vanellus vanellus,0,0
2020-04-26,2020,BY109,4930,Vanellus vanellus,0,0
2020-04-29,2020,BY238,4930,Vanellus vanellus,0,0
2020-05-09,2020,BY454,4930,Vanellus vanellus,1,0
2020-05-10,2020,BY290,4930,Vanellus vanellus,0,0
2020-05-19,2020,BY238,4930,Vanellus vanellus,0,0
2020-05-20,2020,BY109,4930,Vanellus vanellus,0,0
2020-05-31,2020,BY290,4930,Vanellus vanellus,3,0
2020-06-03,2020,BY238,4930,Vanellus vanellus,0,0
2020-06-13,2020,BY454,4930,Vanellus vanellus,0,0
2020-06-20,2020,BY109,4930,Vanellus vanellus,0,0
2021-03-13,2021,BY454,4930,Vanellus vanellus,0,0
2021-03-21,2021,BY86,4930,Vanellus vanellus,0,0
2021-03-24,2021,BY109,4930,Vanellus vanellus,0,0
2021-03-26,2021,BY22,4930,Vanellus vanellus,0,0
2021-03-27,2021,BY269,4930,Vanellus vanellus,0,0
2021-03-29,2021,BY118,4930,Vanellus vanellus,0,0
2021-03-29,2021,BY238,4930,Vanellus vanellus,0,0
2021-03-30,2021,BY122,4930,Vanellus vanellus,0,0
2021-04-16,2021,BY118,4930,Vanellus vanellus,0,0
2021-04-18,2021,BY86,4930,Vanellus vanellus,0,0
2021-04-24,2021,BY109,4930,Vanellus vanellus,0,0
2021-04-24,2021,BY454,4930,Vanellus vanellus,0,0
2021-04-25,2021,BY122,4930,Vanellus vanellus,0,0
2021-04-25,2021,BY22,4930,Vanellus vanellus,0,0
2021-04-25,2021,BY238,4930,Vanellus vanellus,0,0
2021-04-25,2021,BY269,4930,Vanellus vanellus,1,0
2021-05-14,2021,BY109,4930,Vanellus vanellus,0,0
2021-05-14,2021,BY122,4930,Vanellus vanellus,0,0
2021-05-14,2021,BY22,4930,Vanellus vanellus,0,0
2021-05-16,2021,BY238,4930,Vanellus vanellus,0,0
2021-05-16,2021,BY269,4930,Vanellus vanellus,0,0
2021-05-16,2021,BY454,4930,Vanellus vanellus,0,0
2021-05-16,2021,BY86,4930,Vanellus vanellus,0,0
2021-05-19,2021,BY118,4930,Vanellus vanellus,0,0
2021-05-30,2021,BY238,4930,Vanellus vanellus,0,0
2021-06-08,2021,BY22,4930,Vanellus vanellus,0,0
2021-06-11,2021,BY118,4930,Vanellus vanellus,0,0
2021-06-12,2021,BY109,4930,Vanellus vanellus,0,0
2021-06-13,2021,BY86,4930,Vanellus vanellus,0,0
2021-06-15,2021,BY454,4930,Vanellus vanellus,0,0
2021-06-16,2021,BY122,4930,Vanellus vanellus,0,0
2021-06-20,2021,BY269,4930,Vanellus vanellus,0,0
2022-03-17,2022,BY122,4930,Vanellus vanellus,4,0
2022-03-17,2022,BY177,4930,Vanellus vanellus,0,0
2022-03-20,2022,BY225,4930,Vanellus vanellus,0,0
2022-03-21,2022,BY454,4930,Vanellus vanellus,0,0
2022-03-26,2022,BY22,4930,Vanellus vanellus,1,0
2022-03-26,2022,BY238,4930,Vanellus vanellus,0,0
2022-03-26,2022,BY269,4930,Vanellus vanellus,0,0
2022-03-26,2022,BY290,4930,Vanellus vanellus,0,0
2022-03-27,2022,BY109,4930,Vanellus vanellus,0,0
2022-04-06,2022,BY177,4930,Vanellus vanellus,0,0
2022-04-15,2022,BY290,4930,Vanellus vanellus,0,0
2022-04-18,2022,BY22,4930,Vanellus vanellus,0,0
2022-04-18,2022,BY225,4930,Vanellus vanellus,0,0
2022-04-18,2022,BY269,4930,Vanellus vanellus,0,0
2022-04-20,2022,BY122,4930,Vanellus vanellus,0,0
2022-04-23,2022,BY238,4930,Vanellus vanellus,5,0
2022-04-24,2022,BY454,4930,Vanellus vanellus,0,0
2022-04-27,2022,BY109,4930,Vanellus vanellus,1,0
2022-04-28,2022,BY350,4930,Vanellus vanellus,0,0
2022-05-10,2022,BY122,4930,Vanellus vanellus,0,0
2022-05-10,2022,BY177,4930,Vanellus vanellus,0,0
2022-05-12,2022,BY454,4930,Vanellus vanellus,0,0
2022-05-14,2022,BY22,4930,Vanellus vanellus,0,0
2022-05-14,2022,BY238,4930,Vanellus vanellus,0,0
2022-05-14,2022,BY290,4930,Vanellus vanellus,1,0
2022-05-15,2022,BY109,4930,Vanellus vanellus,0,0
2022-05-15,2022,BY225,4930,Vanellus vanellus,1,0
2022-05-19,2022,BY269,4930,Vanellus vanellus,0,0
2022-05-29,2022,BY350,4930,Vanellus vanellus,0,0
2022-06-02,2022,BY122,4930,Vanellus vanellus,0,0
2022-06-03,2022,BY177,4930,Vanellus vanellus,0,0
2022-06-04,2022,BY290,4930,Vanellus vanellus,0,0
2022-06-11,2022,BY454,4930,Vanellus vanellus,0,0
2022-06-12,2022,BY225,4930,Vanellus vanellus,9,0
2022-06-12,2022,BY238,4930,Vanellus vanellus,0,0
2022-06-13,2022,BY22,4930,Vanellus vanellus,0,0
2022-06-18,2022,BY109,4930,Vanellus vanellus,0,0
2022-06-19,2022,BY269,4930,Vanellus vanellus,0,0
2023-03-17,2023,BY117,4930,Vanellus vanellus,2,0
2023-03-17,2023,BY377,4930,Vanellus vanellus,0,0
2023-03-18,2023,BY177,4930,Vanellus vanellus,0,0
2023-03-18,2023,BY225,4930,Vanellus vanellus,0,0
2023-03-18,2023,BY238,4930,Vanellus vanellus,0,0
2023-03-20,2023,BY118,4930,Vanellus vanellus,0,0
2023-03-21,2023,BY122,4930,Vanellus vanellus,0,0
2023-03-21,2023,BY454,4930,Vanellus vanellus,0,0
2023-03-22,2023,BY109,4930,Vanellus vanellus,0,0
2023-03-23,2023,BY86,4930,Vanellus vanellus,0,0
2023-03-26,2023,BY269,4930,Vanellus vanellus,0,0
2023-04-10,2023,BY225,4930,Vanellus vanellus,0,0
2023-04-13,2023,BY117,4930,Vanellus vanellus,0,0
2023-04-21,2023,BY122,4930,Vanellus vanellus,0,0
2023-04-21,2023,BY177,4930,Vanellus vanellus,0,0
2023-04-21,2023,BY238,4930,Vanellus vanellus,0,0
2023-04-21,2023,BY454,4930,Vanellus vanellus,0,0
2023-04-21,2023,BY86,4930,Vanellus vanellus,0,0
2023-04-22,2023,BY109,4930,Vanellus vanellus,0,0
2023-04-30,2023,BY269,4930,Vanellus vanellus,0,0
2023-04-30,2023,BY377,4930,Vanellus vanellus,0,0
2023-05-04,2023,BY117,4930,Vanellus vanellus,1,0
2023-05-04,2023,BY118,4930,Vanellus vanellus,0,0
2023-05-04,2023,BY177,4930,Vanellus vanellus,0,0
2023-05-13,2023,BY122,4930,Vanellus vanellus,0,0
2023-05-13,2023,BY238,4930,Vanellus vanellus,0,0
2023-05-14,2023,BY225,4930,Vanellus vanellus,0,0
2023-05-14,2023,BY86,4930,Vanellus vanellus,0,0
2023-05-19,2023,BY109,4930,Vanellus vanellus,0,0
2023-05-19,2023,BY454,4930,Vanellus vanellus,0,0
2023-05-20,2023,BY269,4930,Vanellus vanellus,0,0
2023-05-20,2023,BY377,4930,Vanellus vanellus,0,0
2023-05-27,2023,BY177,4930,Vanellus vanellus,0,0
2023-06-04,2023,BY117,4930,Vanellus vanellus,0,0
2023-06-04,2023,BY225,4930,Vanellus vanellus,0,0
2023-06-07,2023,BY454,4930,Vanellus vanellus,0,0
2023-06-08,2023,BY269,4930,Vanellus vanellus,0,0
2023-06-10,2023,BY118,4930,Vanellus vanellus,0,0
2023-06-10,2023,BY238,4930,Vanellus vanellus,0,0
