artid,kategorie,namelt,Reference_DOY,ref-pred50,migrant50_doy,breeder_peak_doy,ref-breedpeak
5420,A,Acanthis flammea,NA,,NA,NA,
4620,A,Curruca curruca,131,,NA,168,-37
4910,A,Prunella collaris,106,43,63,183,-77
2230,A,Scolopax rusticola,92,-11,103,128,-36
3040,A,Cuculus canorus,106,-62,168,133,-27
5160,A,Lanius collurio,136,,NA,143,-7
1560,A,Alectoris graeca,92,-91,183,163,-71
1510,A,Lyrurus tetrix,92,-66,158,133,-41
4070,A,Phoenicurus phoenicurus,116,-47,163,113,3
5690,A,Emberiza cia,106,-62,168,143,-37
3140,A,Strix aluco,32,-96,128,108,-76
2980,A,Columba oenas,106,-37,143,68,38
1130,A,Accipiter nisus,122,-6,128,88,34
4090,A,Saxicola rubetra,141,3,138,183,-42
5290,A,Montifringilla nivalis,122,24,98,183,-61
3660,A,Oriolus oriolus,131,-32,163,133,-2
3450,A,Dryobates minor,51,-72,123,88,-37
3370,A,Jynx torquilla,122,-26,148,118,4
3200,A,Aegolius funereus,32,-121,153,108,-76
3430,A,Dendrocoptes medius,51,-62,113,73,-22
5640,A,Emberiza cirlus,106,,NA,113,-7
3170,A,Asio otus,61,-37,98,158,-97
3960,A,Tichodroma muraria,106,28,78,183,-77
3460,A,Picoides tridactylus,51,,NA,168,-117
4020,A,Luscinia megarhynchos,122,-31,153,123,-1
4610,A,Curruca communis,131,-27,158,123,8
3120,A,Glaucidium passerinum,61,-47,108,158,-97
3070,A,Tyto alba,92,,NA,168,-76
1670,A,Rallus aquaticus,106,-17,123,88,18
3560,A,Lullula arborea,92,-71,163,138,-46
1080,A,Pernis apivorus,136,-7,143,138,-2
4430,A,Locustella luscinioides,122,-31,153,113,9
2750,A,Sterna hirundo,NA,,173,128,
4520,A,Hippolais polyglotta,136,-32,168,138,-2
3090,A,Bubo bubo,32,-51,83,48,-16
1420,A,Falco peregrinus,51,-117,168,143,-92
3360,A,Upupa epops,NA,,173,158,
4390,A,Locustella naevia,136,-2,138,123,13
470,A,Botaurus minutus,NA,,NA,183,
5570,A,Emberiza calandra,106,-67,173,83,23
4530,A,Hippolais icterina,136,-12,148,138,-2
2140,A,Actitis hypoleucos,NA,,138,123,
3130,A,Athene noctua,92,-86,178,158,-66
3080,A,Otus scops,131,-27,158,123,8
590,A,Anser anser,NA,,73,48,
5500,A,Carpodacus erythrinus,141,-42,183,168,-27
3440,A,Dendrocopos leucotos,NA,,108,133,
1320,A,Gypaetus barbatus,NA,,NA,168,
4190,A,Monticola solitarius,92,-71,163,143,-51
1680,A,Crex crex,146,,NA,173,-27
400,A,Ardea purpurea,NA,,158,183,
1370,A,Circaetus gallicus,NA,,NA,98,
700,A,Tadorna ferruginea,NA,,63,48,
1690,A,Zapornia parva,NA,,118,153,
4950,A,Anthus campestris,141,8,133,148,-7
1620,A,Phasianus colchicus,NA,,148,98,
1540,A,Lagopus muta,92,,NA,183,-91
1550,A,Tetrastes bonasia,92,-41,133,178,-86
1610,A,Coturnix coturnix,122,,NA,183,-61
1110,A,Astur gentilis,92,-26,118,183,-91
3330,A,Merops apiaster,NA,,148,133,
4930,A,Anthus pratensis,106,-7,113,98,8
3320,A,Alcedo atthis,92,,NA,83,9
1200,A,Aquila chrysaetos,NA,,NA,93,
4180,A,Monticola saxatilis,106,,NA,183,-77
1430,A,Falco subbuteo,136,-27,163,128,8
4450,A,Acrocephalus arundinaceus,136,-32,168,138,-2
3280,A,Apus pallidus,NA,,NA,123,
3390,A,Picus canus,51,-82,133,73,-22
1500,A,Tetrao urogallus,92,-51,143,123,-31
3000,A,Streptopelia turtur,136,-17,153,133,3
1850,A,Vanellus vanellus,NA,,73,63,
1920,A,Charadrius dubius,NA,,133,108,
3230,A,Caprimulgus europaeus,131,-42,173,NA,
3770,A,Pyrrhocorax pyrrhocorax,92,-16,108,183,-91
3900,A,Panurus biarmicus,92,,NA,93,-1
1710,A,Porzana porzana,122,4,118,123,-1
4750,A,Phylloscopus sibilatrix,122,-11,133,133,-11
5450,A,Carduelis citrinella,106,,NA,183,-77
810,A,Aix galericulata,NA,,128,48,
4040,A,Luscinia svecica,NA,,108,NA,
4100,A,Saxicola rubicola,106,-57,163,133,-27
4870,A,Ficedula albicollis,NA,,133,143,
704,A,Alopochen aegyptiaca,NA,,158,98,
