x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2814287,1186350,2024,1,1,0,1130,2814-1186
2650781,1215308,2024,1,1,0,1130,2650-1215
2673107,1252026,2024,1,1,0,1130,2673-1252
2609344,1172970,2024,1,1,0,1130,2609-1172
2570362,1203823,2023,1,1,0,1130,2570-1203
2595080,1123224,2021,1,1,0,1130,2595-1123
2562914,1209080,2022,1,1,0,1130,2562-1209
2643193,1199663,2025,1,1,0,1130,2643-1199
2706535,1230529,2023,1,1,0,1130,2706-1230
2680968,1247577,2022,1,1,0,1130,2680-1247
2683943,1247624,2021,1,1,0,1130,2683-1247
2556374,1206576,2022,1,1,0,1130,2556-1206
2681099,1225323,2023,1,1,0,1130,2681-1225
2634070,1252568,2021,1,1,0,1130,2634-1252
2574048,1200169,2021,1,1,0,1130,2574-1200
2546627,1182588,2021,1,1,0,1130,2546-1182
2595560,1204093,2022,1,1,0,1130,2595-1204
2681580,1243986,2025,1,1,0,1130,2681-1243
2681418,1243350,2021,1,1,0,1130,2681-1243
2520235,1150345,2024,1,1,0,1130,2520-1150
2604341,1193311,2024,1,1,0,1130,2604-1193
2603034,1196724,2022,1,1,0,1130,2603-1196
2617736,1130490,2021,1,1,0,1130,2617-1130
2629656,1229232,2024,1,3,0,1130,2629-1229
2581904,1237096,2025,1,1,0,1130,2581-1237
2642430,1247298,2024,1,1,0,1130,2642-1247
2679864,1254408,2025,1,1,0,1130,2679-1254
2709602,1113343,2023,1,1,0,1130,2709-1113
2724188,1217608,2023,1,1,0,1130,2724-1217
2653485,1233098,2024,1,1,0,1130,2653-1233
2629504,1229146,2024,1,1,0,1130,2629-1229
2539046.23780685,1182645.82975202,2021,1,1,0,1130,2539-1182
2663635.13985674,1225262.50132269,2021,1,1,0,1130,2663-1225
2569147.44266037,1196706.26540992,2025,1,1,0,1130,2569-1196
2583500,1115500,2024,1,1,0,1130,2583-1115
2660500,1270500,2021,1,1,0,1130,2660-1270
2584500,1117500,2025,1,1,0,1130,2584-1117
2654500,1244500,2024,1,1,0,1130,2654-1244
2638500,1226500,2022,1,1,0,1130,2638-1226
2576762.45290813,1199055.14355953,2021,1,1,0,1130,2576-1199
2679578.93494353,1254052.6237002,2025,1,1,0,1130,2679-1254
2576762.45290813,1199055.14355953,2021,1,1,0,1130,2576-1199
2678743.88625199,1261738.64812515,2023,1,1,0,1130,2678-1261
2725500,1268500,2021,1,1,0,1130,2725-1268
2660500,1270500,2021,1,1,0,1130,2660-1270
2729500,1278500,2024,1,1,0,1130,2729-1278
2717500,1228500,2021,1,1,0,1130,2717-1228
2606500,1198500,2022,1,1,0,1130,2606-1198
2606500,1198500,2025,1,1,0,1130,2606-1198
2625198,1129523,2022,1,1,0,1130,2625-1129
2570500,1203500,2022,1,1,0,1130,2570-1203
2689184,1283432,2023,1,1,0,1130,2689-1283
2540343.34631524,1187878.81592317,2025,1,1,0,1130,2540-1187
2559483.18674416,1127893.35578912,2023,1,1,0,1130,2559-1127
2658393,1263471,2023,1,1,0,1130,2658-1263
2709985,1115167,2022,1,1,0,1130,2709-1115
2678969,1202209,2023,1,1,0,1130,2678-1202
2691352,1283847,2022,1,1,0,1130,2691-1283
2602302.4526446,1208312.81580163,2023,1,1,0,1130,2602-1208
2501242,1127339,2021,1,1,0,1130,2501-1127
2559494,1127799,2021,1,1,0,1130,2559-1127
2643785,1224752,2024,1,1,0,1130,2643-1224
2562573,1194233,2023,1,1,0,1130,2562-1194
2647910,1247143,2023,1,1,0,1130,2647-1247
2675097,1249241,2021,1,1,0,1130,2675-1249
2644022.27881142,1224716.54437009,2023,1,2,0,1130,2644-1224
2660500,1270500,2023,1,1,0,1130,2660-1270
2695500,1241500,2022,1,1,0,1130,2695-1241
2580500,1212500,2022,1,1,0,1130,2580-1212
2625354.71185679,1129289.46963691,2022,1,1,0,1130,2625-1129
2532782.02147434,1172358.9485787,2021,1,1,0,1130,2532-1172
2558719,1137591,2024,1,1,0,1130,2558-1137
2662500,1214500,2023,1,1,0,1130,2662-1214
2691500,1234500,2025,1,1,0,1130,2691-1234
2607500,1211500,2022,1,1,0,1130,2607-1211
2695500,1245500,2024,1,1,0,1130,2695-1245
2571061,1110172,2025,1,1,0,1130,2571-1110
2595267,1126704,2024,1,1,0,1130,2595-1126
2702431,1112316,2024,1,1,0,1130,2702-1112
2611850,1265512,2021,1,1,0,1130,2611-1265
2632500,1239500,2022,1,1,0,1130,2632-1239
2566977,1119187,2023,1,1,0,1130,2566-1119
2563785,1129507,2024,1,1,0,1130,2563-1129
2497640,1111041,2022,1,1,0,1130,2497-1111
2595673,1125717,2022,1,1,0,1130,2595-1125
2660500,1270500,2023,1,1,0,1130,2660-1270
2701500,1229500,2022,1,1,0,1130,2701-1229
2611209,1265310,2022,1,1,0,1130,2611-1265
2655235,1258327,2023,1,1,0,1130,2655-1258
2570133,1203733,2023,1,1,0,1130,2570-1203
2818002,1187180,2023,1,1,0,1130,2818-1187
2702500,1282500,2025,1,1,0,1130,2702-1282
2610484,1189051,2023,1,1,0,1130,2610-1189
2660215,1269915,2024,1,1,0,1130,2660-1269
2659881,1270114,2023,1,1,0,1130,2659-1270
2607535,1211228,2023,1,1,0,1130,2607-1211
2604407,1259776,2023,1,1,0,1130,2604-1259
2717122,1230344,2023,1,1,0,1130,2717-1230
2682451,1244549,2025,1,1,0,1130,2682-1244
2582946,1194170,2025,1,1,0,1130,2582-1194
2607500,1213500,2024,1,1,0,1130,2607-1213
2604430,1197332,2024,1,2,0,1130,2604-1197
2660941,1269518,2025,1,1,0,1130,2660-1269
2570565,1203320,2023,1,1,0,1130,2570-1203
2653393,1257685,2025,1,1,0,1130,2653-1257
2619066.02303398,1170767.5400972,2021,1,1,0,1130,2619-1170
2742500,1252500,2024,1,1,0,1130,2742-1252
2617914,1128336,2022,1,1,0,1130,2617-1128
2570017,1202371,2023,1,1,0,1130,2570-1202
2607929,1193287,2024,1,1,0,1130,2607-1193
2659771,1270596,2024,1,1,0,1130,2659-1270
2703500,1239500,2021,1,1,0,1130,2703-1239
2648547,1224551,2023,1,1,0,1130,2648-1224
2660500,1270500,2023,1,1,0,1130,2660-1270
2630973,1270157,2023,1,1,0,1130,2630-1270
2561125.34017108,1189658.39045048,2022,1,1,0,1130,2561-1189
2693720,1243998,2022,1,1,0,1130,2693-1243
2625855,1128707,2023,1,1,0,1130,2625-1128
2559934,1137642,2021,1,1,0,1130,2559-1137
2620000,1258263,2024,1,1,0,1130,2620-1258
2660500,1269500,2023,1,1,0,1130,2660-1269
2561323.44015893,1195110.40378658,2021,1,1,0,1130,2561-1195
2660500,1270500,2023,1,1,0,1130,2660-1270
2746812,1218978,2023,1,1,0,1130,2746-1218
2572500,1195500,2023,1,1,0,1130,2572-1195
2556500,1131500,2024,1,1,0,1130,2556-1131
2754500,1226500,2021,1,1,0,1130,2754-1226
2569500,1203500,2023,1,1,0,1130,2569-1203
2617700,1129027,2022,1,1,0,1130,2617-1129
2750021,1211800,2025,1,1,0,1130,2750-1211
2648369,1224747,2021,1,1,0,1130,2648-1224
2616997.53316224,1227529.72548887,2023,1,1,0,1130,2616-1227
2690662,1222190,2024,1,1,0,1130,2690-1222
2622452,1235312,2024,1,1,0,1130,2622-1235
2646543,1224616,2024,1,1,0,1130,2646-1224
2563822,1206989,2021,1,1,0,1130,2563-1206
2614500,1174500,2021,1,1,0,1130,2614-1174
2724500,1206500,2025,1,1,0,1130,2724-1206
2547309,1182607,2021,1,1,0,1130,2547-1182
2691558,1247415,2022,1,1,0,1130,2691-1247
2690733,1220751,2025,1,1,0,1130,2690-1220
2689035,1221675,2023,1,1,0,1130,2689-1221
2666501,1247404,2023,1,1,0,1130,2666-1247
2711199,1271346,2024,1,2,0,1130,2711-1271
2582121,1215275,2025,1,1,0,1130,2582-1215
2634391,1245173,2025,1,1,0,1130,2634-1245
2793662,1165684,2022,1,1,0,1130,2793-1165
2760700.1517479,1206399.80960859,2021,1,1,0,1130,2760-1206
2617854.65410395,1129080.52765926,2022,1,1,0,1130,2617-1129
2627500,1268500,2021,1,1,0,1130,2627-1268
2539046.23780685,1182645.82975202,2021,1,1,0,1130,2539-1182
2665500,1249500,2025,1,1,0,1130,2665-1249
2755238.05146612,1190833.70583874,2025,1,1,0,1130,2755-1190
2679527,1253901,2025,1,1,0,1130,2679-1253
2631166,1239229,2024,1,1,0,1130,2631-1239
2578527.22247828,1246056.26048365,2022,1,1,0,1130,2578-1246
2618500,1169500,2024,1,2,0,1130,2618-1169
2676500,1283500,2025,1,1,0,1130,2676-1283
2632500,1238500,2024,1,1,0,1130,2632-1238
2649491,1245748,2024,1,1,0,1130,2649-1245
2546148,1162162,2022,1,1,0,1130,2546-1162
2673686,1226646,2025,1,1,0,1130,2673-1226
2622182,1258642,2025,1,1,0,1130,2622-1258
2494331,1113626,2022,1,1,0,1130,2494-1113
2721048,1115822,2024,1,1,0,1130,2721-1115
2620047,1256929,2022,1,1,0,1130,2620-1256
2588500,1251500,2024,1,1,0,1130,2588-1251
2745162,1247393,2023,1,1,0,1130,2745-1247
2586368,1204015,2021,1,1,0,1130,2586-1204
2586432,1204021,2022,1,1,0,1130,2586-1204
2756832,1211136,2025,1,1,0,1130,2756-1211
2616855.74150143,1252960.79199701,2024,1,1,0,1130,2616-1252
2660224,1269918,2024,7,1,0,1130,2660-1269
2717710,1105818,2024,7,1,0,1130,2717-1105
2717635,1105479,2025,7,1,0,1130,2717-1105
2512181,1151862,2023,1,1,0,1130,2512-1151
2487053,1111580,2023,1,1,0,1130,2487-1111
2575521,1191494,2022,7,1,0,1130,2575-1191
2593500,1201500,2021,1,1,0,1130,2593-1201
2660500,1269500,2023,1,1,0,1130,2660-1269
2575723,1201501,2025,7,1,0,1130,2575-1201
2723500,1081500,2022,1,1,0,1130,2723-1081
2570422,1202483,2023,1,1,0,1130,2570-1202
2608500,1261500,2022,1,1,0,1130,2608-1261
2671346,1226813,2024,7,1,0,1130,2671-1226
2593074,1118922,2023,7,1,0,1130,2593-1118
2601500,1226500,2021,1,1,0,1130,2601-1226
2681032,1248080,2021,7,1,0,1130,2681-1248
2762500,1254500,2024,1,1,0,1130,2762-1254
2713500,1114500,2023,1,1,0,1130,2713-1114
2668500,1201500,2022,7,1,0,1130,2668-1201
2490276.61483729,1116140.16922533,2025,1,1,0,1130,2490-1116
2572500,1204500,2021,7,1,0,1130,2572-1204
2578527.22247828,1246056.26048365,2022,1,1,0,1130,2578-1246
2700000.59040254,1272100.79127784,2022,1,1,0,1130,2700-1272
2761500,1196500,2022,1,1,0,1130,2761-1196
2586596,1203190,2022,7,1,0,1130,2586-1203
2591922,1225022,2022,7,1,0,1130,2591-1225
2614153,1129766,2022,7,1,0,1130,2614-1129
2610500,1268500,2023,1,1,0,1130,2610-1268
2596500,1223500,2021,1,1,0,1130,2596-1223
2546972,1190071,2023,1,1,0,1130,2546-1190
2710606,1271366,2023,7,1,0,1130,2710-1271
2572500,1146500,2021,7,2,0,1130,2572-1146
2572500,1204500,2021,7,1,0,1130,2572-1204
2610377,1267140,2023,7,1,0,1130,2610-1267
2615154,1107648,2024,7,1,0,1130,2615-1107
2529500,1162500,2021,1,1,0,1130,2529-1162
2713806,1094812,2025,7,1,0,1130,2713-1094
2763053,1252684,2022,7,1,0,1130,2763-1252
2778500,1200500,2025,7,1,0,1130,2778-1200
2539046.23780685,1182645.82975201,2024,7,1,0,1130,2539-1182
2731112.40876194,1279574.1108736,2025,7,1,0,1130,2731-1279
2506517,1121724,2023,1,1,0,1130,2506-1121
2713977,1114660,2023,1,1,0,1130,2713-1114
2729099.48039105,1275600.06245772,2024,7,1,0,1130,2729-1275
2751494,1182096,2024,7,1,0,1130,2751-1182
2572965,1107945,2025,1,2,0,1130,2572-1107
2692500,1242500,2023,7,1,0,1130,2692-1242
2708658,1229347,2025,1,1,0,1130,2708-1229
2713294,1175717,2025,7,1,0,1130,2713-1175
2637648,1245468,2024,1,1,0,1130,2637-1245
2657302,1219740,2023,7,1,0,1130,2657-1219
2601451,1197846,2023,7,1,0,1130,2601-1197
2660500,1270500,2024,1,1,0,1130,2660-1270
2588500,1213500,2022,7,1,0,1130,2588-1213
2717500,1227500,2025,7,1,0,1130,2717-1227
2710039,1235202,2024,7,1,0,1130,2710-1235
2498580.46529545,1111006.95314473,2021,7,1,0,1130,2498-1111
2561984,1190512,2024,1,1,0,1130,2561-1190
2717632,1105482,2024,1,1,0,1130,2717-1105
2584822,1117170,2025,1,1,0,1130,2584-1117
2571501,1251500,2025,7,1,0,1130,2571-1251
2670500,1240500,2021,7,1,0,1130,2670-1240
2714392,1115446,2023,7,1,0,1130,2714-1115
2652863,1190433,2024,1,1,0,1130,2652-1190
2757478,1210887,2024,1,2,0,1130,2757-1210
2705500,1236500,2021,1,1,0,1130,2705-1236
2710500,1270500,2024,1,2,0,1130,2710-1270
2607500,1212500,2024,1,1,0,1130,2607-1212
2749500,1186500,2023,7,1,0,1130,2749-1186
2701822.88320771,1243933.66948752,2021,12,1,0,1130,2701-1243
2753500,1209500,2023,7,2,0,1130,2753-1209
2615500,1180500,2021,1,1,0,1130,2615-1180
2546149,1162165,2024,7,1,0,1130,2546-1162
2654500,1259500,2021,12,1,0,1130,2654-1259
2533114,1174688,2025,7,1,0,1130,2533-1174
2693500,1253500,2022,7,1,0,1130,2693-1253
2566528,1120471,2023,7,1,0,1130,2566-1120
2498600,1111016,2021,7,1,0,1130,2498-1111
2489562,1113386,2025,7,1,0,1130,2489-1113
2567600.71682201,1211800.3433973,2024,12,1,0,1130,2567-1211
2610733,1262662,2025,7,1,0,1130,2610-1262
2549941,1185287,2024,7,1,0,1130,2549-1185
2575089,1191329,2023,12,1,0,1130,2575-1191
2717632,1105473,2022,12,1,0,1130,2717-1105
2759751,1191488,2024,12,1,0,1130,2759-1191
2604500,1221500,2021,7,1,0,1130,2604-1221
2710500,1271500,2023,7,1,0,1130,2710-1271
2682229,1247758,2025,12,1,0,1130,2682-1247
2683222,1249451,2021,12,1,0,1130,2683-1249
2721500,1281500,2025,1,1,0,1130,2721-1281
2570500,1203500,2025,7,1,0,1130,2570-1203
2591959,1220143,2025,12,1,0,1130,2591-1220
2694217,1281394,2022,12,1,0,1130,2694-1281
2534341,1195559,2022,12,1,0,1130,2534-1195
2744932,1157684,2021,12,1,0,1130,2744-1157
2721500,1116500,2025,1,1,0,1130,2721-1116
2629500,1229500,2024,1,1,0,1130,2629-1229
2690334,1283131,2023,7,1,0,1130,2690-1283
2558752,1167773,2022,12,1,0,1130,2558-1167
2579940,1208847,2022,7,1,0,1130,2579-1208
2673500,1209500,2022,7,1,0,1130,2673-1209
2610832,1266478,2025,12,1,0,1130,2610-1266
2611233,1266112,2021,12,1,0,1130,2611-1266
2720963,1089961,2025,12,1,0,1130,2720-1089
2666500,1247500,2025,7,1,0,1130,2666-1247
2604274,1193355,2024,12,1,0,1130,2604-1193
2605241,1200481,2025,7,1,0,1130,2605-1200
2761946,1255014,2025,7,1,0,1130,2761-1255
2713817,1094789,2025,7,1,0,1130,2713-1094
2560980,1204673,2022,7,1,0,1130,2560-1204
2667510,1255458,2025,7,1,0,1130,2667-1255
2817500,1186500,2024,12,1,0,1130,2817-1186
2491139.51119183,1112622.16671605,2021,12,1,0,1130,2491-1112
2713778.24311036,1094672.78050673,2025,7,1,0,1130,2713-1094
2618500,1171500,2023,7,1,0,1130,2618-1171
2646155,1244853,2024,7,1,0,1130,2646-1244
2570300.68814546,1211100.29294627,2021,12,1,0,1130,2570-1211
2666500,1259500,2023,12,1,0,1130,2666-1259
2648500,1248500,2022,12,1,0,1130,2648-1248
2631662,1129666,2025,7,1,0,1130,2631-1129
2721377,1117986,2025,7,1,0,1130,2721-1117
2696335,1246366,2025,7,1,0,1130,2696-1246
2623500,1214500,2022,12,2,0,1130,2623-1214
2764598,1255765,2025,7,1,0,1130,2764-1255
2569806,1192506,2021,7,1,0,1130,2569-1192
2601083,1200974,2024,7,1,0,1130,2601-1200
2704567,1281489,2021,7,2,0,1130,2704-1281
2581500,1213500,2021,12,1,0,1130,2581-1213
2735500,1234500,2025,12,1,0,1130,2735-1234
2681883,1252039,2023,7,1,0,1130,2681-1252
2609500,1260500,2023,12,1,0,1130,2609-1260
2615500,1179500,2025,12,1,0,1130,2615-1179
2678939,1247362,2021,12,1,0,1130,2678-1247
2580376,1194727,2022,12,1,0,1130,2580-1194
2704874,1281707,2025,12,1,0,1130,2704-1281
2688499,1250499,2025,7,1,0,1130,2688-1250
2717493,1098355,2021,12,1,0,1130,2717-1098
2614500,1174500,2024,12,1,0,1130,2614-1174
2598500,1192500,2023,7,1,0,1130,2598-1192
2507500,1120500,2021,12,1,0,1130,2507-1120
2681500,1248500,2024,12,1,0,1130,2681-1248
2701120,1277867,2023,12,1,0,1130,2701-1277
2518210.46411591,1148100.28412504,2023,12,1,0,1130,2518-1148
2725500,1280500,2025,7,1,0,1130,2725-1280
2586500,1203500,2021,12,1,0,1130,2586-1203
2645600.30849919,1242299.59425395,2025,12,1,0,1130,2645-1242
2693669.58830464,1275579.76362145,2022,12,1,0,1130,2693-1275
2763109,1190062,2021,12,1,0,1130,2763-1190
2705346,1236924,2025,12,1,0,1130,2705-1236
2731500,1182500,2023,7,1,0,1130,2731-1182
2506237,1120105,2021,12,3,0,1130,2506-1120
2573500,1203500,2021,12,1,0,1130,2573-1203
2549348,1194415,2023,12,1,0,1130,2549-1194
2498006,1116826,2023,12,1,0,1130,2498-1116
2671100.07700293,1236849.54479236,2023,19,1,0,1130,2671-1236
2671100.07700293,1236849.54479236,2023,19,1,0,1130,2671-1236
