x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2716500,1229500,2021,25,2,0,4450,2716-1229
2507196,1120775,2025,25,1,0,4450,2507-1120
2751344,1263298,2024,19,1,0,4450,2751-1263
2557879,1192627,2025,25,2,0,4450,2557-1192
2569123,1196723,2025,25,1,0,4450,2569-1196
2569052,1196572,2025,25,1,0,4450,2569-1196
2567654,1206010,2025,25,3,3,4450,2567-1206
2569127,1196721,2025,25,1,0,4450,2569-1196
2717380,1230360,2025,25,2,0,4450,2717-1230
2643994,1224774,2022,25,1,3,4450,2643-1224
2670260,1240748,2023,25,2,0,4450,2670-1240
2669534,1242709,2022,25,1,0,4450,2669-1242
2670757,1241950,2024,25,1,0,4450,2670-1241
2644038,1224734,2022,25,1,0,4450,2644-1224
2670764,1241949,2024,25,1,3,4450,2670-1241
2670859,1241518,2024,25,1,3,4450,2670-1241
2716154,1230700,2022,25,1,0,4450,2716-1230
2695828,1242350,2024,25,1,0,4450,2695-1242
2709491,1113291,2021,25,5,0,4450,2709-1113
2691967,1247566,2021,25,1,0,4450,2691-1247
2709628.1002368,1113293.57333526,2021,25,1,0,4450,2709-1113
2559964.39202934,1138353.33392528,2024,25,2,0,4450,2559-1138
2602302.4526446,1208312.81580163,2022,25,1,0,4450,2602-1208
2557482.36862242,1137807.38327977,2025,25,1,0,4450,2557-1137
2701822.88320771,1243933.66948752,2021,25,1,0,4450,2701-1243
2557491.38890435,1138847.38243464,2023,25,3,0,4450,2557-1138
2559996.39143369,1138313.33332478,2021,25,1,0,4450,2559-1138
2559964.39202934,1138353.33392529,2022,25,1,0,4450,2559-1138
2709628.1002368,1113293.57333526,2021,25,1,0,4450,2709-1113
2701822.88320771,1243933.66948752,2021,25,1,0,4450,2701-1243
2570500,1203500,2025,25,1,0,4450,2570-1203
2709500,1112500,2025,25,2,0,4450,2709-1112
2594500,1201500,2021,25,1,0,4450,2594-1201
2660500,1270500,2022,25,1,0,4450,2660-1270
2559500,1138500,2024,25,2,3,4450,2559-1138
2558500,1138500,2025,25,3,0,4450,2558-1138
2570500,1203500,2025,25,3,0,4450,2570-1203
2670260.07317489,1240804.55884211,2021,25,1,0,4450,2670-1240
2670350.07219683,1240899.55926052,2022,25,2,0,4450,2670-1240
2670250.074915,1240199.55661492,2023,25,1,0,4450,2670-1240
2679578.93494353,1254052.6237002,2022,25,1,0,4450,2679-1254
2693500,1246500,2021,25,1,0,4450,2693-1246
2710500,1113500,2021,25,2,0,4450,2710-1113
2569757,1203357,2022,25,1,0,4450,2569-1203
2570184,1203794,2022,25,2,0,4450,2570-1203
2595907,1223839,2021,25,1,0,4450,2595-1223
2596050,1223833,2021,25,1,0,4450,2596-1223
2589330,1208795,2025,25,1,0,4450,2589-1208
2664516,1200525,2025,25,1,3,4450,2664-1200
2692421,1247671,2024,25,1,3,4450,2692-1247
2664859,1200568,2023,25,1,0,4450,2664-1200
2713712,1094748,2025,25,1,0,4450,2713-1094
2693944,1246344,2025,25,2,0,4450,2693-1246
2507263,1120761,2024,25,1,0,4450,2507-1120
2507231,1120532,2024,25,1,0,4450,2507-1120
2713714,1094704,2021,25,1,0,4450,2713-1094
2691743,1247326,2024,25,1,3,4450,2691-1247
2691763,1247432,2024,25,1,3,4450,2691-1247
2695721,1242482,2025,25,1,0,4450,2695-1242
2670268,1240732,2023,25,1,0,4450,2670-1240
2608241,1192762,2023,25,1,0,4450,2608-1192
2608259,1192778,2022,25,1,0,4450,2608-1192
2659500,1271500,2023,25,2,0,4450,2659-1271
2710500,1112500,2023,25,1,0,4450,2710-1112
2660500,1270500,2021,25,1,0,4450,2660-1270
2703824,1274556,2025,25,1,0,4450,2703-1274
2691611,1247196,2023,25,1,0,4450,2691-1247
2557616,1138511,2022,25,1,0,4450,2557-1138
2569234,1203339,2025,25,2,3,4450,2569-1203
2569376,1203300,2024,25,1,0,4450,2569-1203
2569201,1203346,2025,25,1,0,4450,2569-1203
2507134,1120560,2025,25,1,0,4450,2507-1120
2507500,1120500,2023,25,1,0,4450,2507-1120
2570500,1203500,2021,25,1,0,4450,2570-1203
2569089,1203366,2025,25,1,3,4450,2569-1203
2570171.55826185,1203620.27005927,2025,25,2,3,4450,2570-1203
2706500,1230500,2022,25,1,0,4450,2706-1230
2570171.55826185,1203620.27005927,2022,25,2,0,4450,2570-1203
2570500,1203500,2025,25,3,0,4450,2570-1203
2710249,1111989,2023,25,2,0,4450,2710-1111
2691500,1247500,2021,25,1,0,4450,2691-1247
2710320,1112020,2025,25,1,0,4450,2710-1112
2746500,1268500,2025,25,1,0,4450,2746-1268
2708500,1229500,2023,25,4,0,4450,2708-1229
2644022.27881142,1224716.54437009,2022,25,1,0,4450,2644-1224
2592000.68323234,1220699.98565308,2025,25,2,0,4450,2592-1220
2540869.22048315,1181909.78682461,2023,25,1,0,4450,2540-1181
2570500,1203500,2025,25,4,0,4450,2570-1203
2489842.58544178,1115114.18917556,2025,25,1,0,4450,2489-1115
2710320.10716866,1111960.58809133,2025,25,1,0,4450,2710-1111
2670300.06850856,1242299.56432466,2022,25,1,0,4450,2670-1242
2575383.48559548,1257918.33890068,2023,25,1,0,4450,2575-1257
2569500,1203500,2021,25,1,0,4450,2569-1203
2569500,1203500,2021,25,1,0,4450,2569-1203
2540869.22048315,1181909.78682461,2025,25,2,0,4450,2540-1181
2620500,1265500,2021,25,1,0,4450,2620-1265
2670300.06850856,1242299.56432465,2025,25,1,0,4450,2670-1242
2600500,1225500,2021,25,1,0,4450,2600-1225
2669500,1242500,2021,25,1,0,4450,2669-1242
2706500,1230500,2022,25,1,0,4450,2706-1230
2586500,1203500,2022,25,1,0,4450,2586-1203
2659069,1271507,2022,25,2,0,4450,2659-1271
2560001,1138324,2024,25,1,3,4450,2560-1138
2678406,1261593,2021,25,1,0,4450,2678-1261
2559956,1138297,2025,25,1,0,4450,2559-1138
2559953,1138265,2024,25,1,0,4450,2559-1138
2552679,1196859,2025,25,1,0,4450,2552-1196
2552759,1196953,2025,25,1,0,4450,2552-1196
2574326,1210767,2023,25,1,0,4450,2574-1210
2569500,1203500,2021,25,1,0,4450,2569-1203
2708500,1229500,2023,25,2,0,4450,2708-1229
2507261,1120788,2024,25,2,3,4450,2507-1120
2678696,1261696,2025,25,1,0,4450,2678-1261
2659766,1270616,2025,25,1,3,4450,2659-1270
2558770,1138470,2022,25,1,0,4450,2558-1138
2559986,1138317,2021,25,1,0,4450,2559-1138
2560032,1138368,2022,25,1,0,4450,2560-1138
2559980,1137802,2021,25,1,0,4450,2559-1137
2507311,1120684,2023,25,1,0,4450,2507-1120
2678574,1261643,2025,25,2,0,4450,2678-1261
2678439,1261669,2025,25,1,0,4450,2678-1261
2659875,1270660,2023,31,1,3,4450,2659-1270
2659121,1271365,2023,25,1,0,4450,2659-1271
2569500,1203500,2025,25,2,0,4450,2569-1203
2691500,1247500,2021,25,1,0,4450,2691-1247
2558500,1138500,2021,25,1,0,4450,2558-1138
2659113,1271569,2022,25,3,0,4450,2659-1271
2660089,1270493,2024,31,1,3,4450,2660-1270
2719709,1114665,2023,25,1,0,4450,2719-1114
2713748,1094689,2021,25,2,0,4450,2713-1094
2708500,1229500,2021,25,2,0,4450,2708-1229
2505996,1121847,2021,31,1,3,4450,2505-1121
2709647,1113441,2021,25,1,0,4450,2709-1113
2585178.50598245,1205032.03190484,2021,25,1,0,4450,2585-1205
2559996.39143369,1138313.33332478,2021,25,3,0,4450,2559-1138
2559964.39202934,1138353.33392529,2021,25,2,3,4450,2559-1138
2678515.88908633,1261671.64722243,2025,25,1,0,4450,2678-1261
2670300.06850856,1242299.56432465,2024,25,2,0,4450,2670-1242
2670300.06850856,1242299.56432465,2024,25,1,0,4450,2670-1242
2578667.51943261,1203746.12803837,2021,25,1,0,4450,2578-1203
2660500,1270500,2021,25,2,0,4450,2660-1270
2660500,1270500,2022,25,8,0,4450,2660-1270
2670300.06850856,1242299.56432465,2024,25,1,0,4450,2670-1242
2706472,1230356,2022,25,1,0,4450,2706-1230
2569814,1203466,2021,25,3,0,4450,2569-1203
2507500,1120500,2022,25,1,0,4450,2507-1120
2570125,1203735,2024,25,1,2,4450,2570-1203
2570241,1203790,2025,25,1,0,4450,2570-1203
2630692,1238988,2025,25,1,0,4450,2630-1238
2569798,1203394,2022,25,1,0,4450,2569-1203
2670500,1240500,2021,25,1,0,4450,2670-1240
2706468,1230361,2022,25,1,0,4450,2706-1230
2706464,1230347,2022,25,1,0,4450,2706-1230
2706465,1230358,2022,25,1,3,4450,2706-1230
2593500,1201500,2024,25,1,0,4450,2593-1201
2728500,1275500,2025,25,1,0,4450,2728-1275
2557500,1138500,2022,25,1,0,4450,2557-1138
2559500,1138500,2022,25,1,0,4450,2559-1138
2660500,1270500,2021,25,1,0,4450,2660-1270
2596500,1223500,2024,25,1,0,4450,2596-1223
2613500,1264500,2025,19,1,0,4450,2613-1264
2702075,1244567,2025,25,1,3,4450,2702-1244
2678743.88625199,1261738.64812515,2024,31,2,1,4450,2678-1261
2489970,1115140,2025,25,1,0,4450,2489-1115
2709610,1113348,2024,25,2,0,4450,2709-1113
2701499,1245498,2024,25,1,0,4450,2701-1245
2709603,1113342,2024,25,2,0,4450,2709-1113
2547501.44417012,1183750.64391287,2024,31,3,3,4450,2547-1183
2557482.36862242,1137807.38327977,2024,31,3,3,4450,2557-1137
2557491.38890435,1138847.38243465,2022,31,3,3,4450,2557-1138
2559887.38949178,1138241.33549638,2023,31,1,3,4450,2559-1138
2709601,1113340,2023,25,1,3,4450,2709-1113
2558238,1138328,2024,25,1,0,4450,2558-1138
2691920,1233509,2022,31,1,3,4450,2691-1233
2592449,1221678,2023,31,1,1,4450,2592-1221
2710646,1113723,2021,25,1,0,4450,2710-1113
2557667,1138369,2024,25,1,0,4450,2557-1138
2569781,1203410,2022,25,1,0,4450,2569-1203
2678743.88625199,1261738.64812515,2025,25,1,0,4450,2678-1261
2678515.88908633,1261671.64722243,2025,25,1,0,4450,2678-1261
2570500,1203500,2021,25,1,0,4450,2570-1203
2679899.93090498,1254249.62531433,2022,25,1,3,4450,2679-1254
2617914.64348447,1127764.5291236,2022,25,1,0,4450,2617-1127
2601500,1226500,2021,25,1,0,4450,2601-1226
2570500,1203500,2024,25,1,0,4450,2570-1203
2701699.87648935,1244899.67368071,2025,25,3,3,4450,2701-1244
2618670.65278626,1128170.52219959,2022,25,1,0,4450,2618-1128
2695500,1242500,2021,25,2,0,4450,2695-1242
2567146,1200290,2024,25,1,0,4450,2567-1200
2610732,1262677,2023,25,1,0,4450,2610-1262
2660500,1270500,2022,31,3,3,4450,2660-1270
2570500,1203500,2024,25,1,0,4450,2570-1203
2660841,1269700,2021,25,1,0,4450,2660-1269
2660293,1270046,2023,25,1,0,4450,2660-1270
2660441,1269921,2021,25,1,0,4450,2660-1269
2760500,1243500,2023,31,1,3,4450,2760-1243
2570500,1203500,2022,25,2,0,4450,2570-1203
2580573,1212438,2024,31,1,1,4450,2580-1212
2599681,1121820,2023,31,1,3,4450,2599-1121
2643954,1224824,2025,31,1,2,4450,2643-1224
2695905,1242787,2024,25,1,0,4450,2695-1242
2569082,1203327,2025,25,1,0,4450,2569-1203
2670750,1241872,2024,31,1,3,4450,2670-1241
2570500,1203500,2025,25,4,0,4450,2570-1203
2582884,1194124,2024,25,1,0,4450,2582-1194
2570380,1203746,2022,25,3,0,4450,2570-1203
2582845,1194107,2025,25,1,0,4450,2582-1194
2670722,1241802,2024,31,1,3,4450,2670-1241
2716440,1230254,2021,31,1,3,4450,2716-1230
2669610,1242609,2023,31,1,3,4450,2669-1242
2582872,1194220,2025,25,1,0,4450,2582-1194
