x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2523887,1184793,2021,12,1,3,3200,2523-1184
2523201,1184812,2021,12,1,3,3200,2523-1184
2507547.67022291,1157177.56574206,2021,19,1,3,3200,2507-1157
2507547.67022291,1157177.56574206,2021,19,2,3,3200,2507-1157
2524949,1183292,2021,19,1,3,3200,2524-1183
2525206,1182919,2021,19,1,3,3200,2525-1182
2501208,1161152,2024,19,1,18,3200,2501-1161
2507781,1157230,2024,31,3,13,3200,2507-1157
2525075,1187913,2024,37,1,1,3200,2525-1187
2574055,1087387,2023,37,5,13,3200,2574-1087
2524500,1183500,2021,31,6,19,3200,2524-1183
2509670,1160446,2021,43,5,19,3200,2509-1160
2500491,1157167,2021,43,3,19,3200,2500-1157
2502500,1159500,2021,37,1,1,3200,2502-1159
2505711.65660415,1156613.61516242,2024,7,1,3,3200,2505-1156
2503884,1153843,2023,25,1,14,3200,2503-1153
2508360,1159851,2022,25,1,18,3200,2508-1159
2508324,1159790,2022,25,1,14,3200,2508-1159
2525100.37047527,1187944.1743358,2023,13,1,4,3200,2525-1187
2532448,1188479,2024,7,2,4,3200,2532-1188
2512437,1171474,2024,19,1,3,3200,2512-1171
2523500,1184500,2021,25,1,19,3200,2523-1184
2524336,1183861,2025,25,1,3,3200,2524-1183
2523294,1184834,2024,7,1,3,3200,2523-1184
2523304,1184785,2024,7,1,3,3200,2523-1184
2506135,1155309,2024,7,1,3,3200,2506-1155
2524274,1183386,2024,7,1,3,3200,2524-1183
2524209,1183538,2024,7,2,3,3200,2524-1183
2612323,1118959,2024,13,1,3,3200,2612-1118
2502628,1160227,2023,13,1,3,3200,2502-1160
2523458,1184799,2025,19,1,3,3200,2523-1184
2502500,1160500,2023,25,2,3,3200,2502-1160
2502500,1160500,2023,25,2,3,3200,2502-1160
2523613,1184291,2023,43,1,3,3200,2523-1184
2524334,1183435,2024,7,1,3,3200,2524-1183
2524115,1183409,2024,7,1,2,3200,2524-1183
2524269,1183491,2024,7,1,4,3200,2524-1183
2524289,1183488,2024,7,1,3,3200,2524-1183
2524124,1183426,2024,7,1,2,3200,2524-1183
2532703,1188877,2024,7,1,3,3200,2532-1188
2515788,1160242,2024,25,1,18,3200,2515-1160
2524500,1183500,2021,13,6,4,3200,2524-1183
2502500,1160500,2023,25,2,3,3200,2502-1160
2504106,1160155,2023,13,1,3,3200,2504-1160
2502628,1160227,2023,13,1,3,3200,2502-1160
2524221,1183327,2023,31,1,3,3200,2524-1183
2501265,1161055,2024,19,1,3,3200,2501-1161
2500517,1157103,2021,19,1,3,3200,2500-1157
2507979,1158540,2022,25,1,18,3200,2507-1158
2507937,1158526,2022,25,1,18,3200,2507-1158
2532943,1190839,2024,25,3,19,3200,2532-1190
2532426,1188444,2023,31,1,14,3200,2532-1188
2524175,1183461,2024,31,2,3,3200,2524-1183
2524328,1183707,2021,19,1,14,3200,2524-1183
2524003,1183565,2021,19,1,3,3200,2524-1183
2524226,1183351,2021,19,1,3,3200,2524-1183
2524560,1183540,2024,7,1,3,3200,2524-1183
2524236,1183552,2024,7,4,5,3200,2524-1183
2631537,1179314,2024,7,1,2,3200,2631-1179
2532483,1188596,2021,7,1,1,3200,2532-1188
2524500,1183500,2021,8,4,6,3200,2524-1183
2524346,1183532,2023,13,1,3,3200,2524-1183
2633866,1163408,2023,19,1,3,3200,2633-1163
2507500,1154500,2024,25,1,19,3200,2507-1154
2524274,1183791,2022,19,1,3,3200,2524-1183
2525500,1182500,2021,31,6,19,3200,2525-1182
2532589,1188486,2024,25,6,19,3200,2532-1188
2524500,1183500,2023,32,1,3,3200,2524-1183
2524186,1183469,2025,32,1,3,3200,2524-1183
2813577,1184743,2025,32,1,2,3200,2813-1184
2813577,1184743,2025,32,1,13,3200,2813-1184
2506752,1155163,2021,32,2,3,3200,2506-1155
