x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2571598,1132267,2024,7,1,3,3200,2571-1132
2523887,1184793,2021,12,1,3,3200,2523-1184
2523201,1184812,2021,12,1,3,3200,2523-1184
2507547.67022291,1157177.56574206,2021,19,1,3,3200,2507-1157
2507547.67022291,1157177.56574206,2021,19,2,3,3200,2507-1157
2536273.3939149,1189781.91420223,2021,12,2,3,3200,2536-1189
2622500,1131500,2024,12,1,3,3200,2622-1131
2560367,1215235,2021,19,1,3,3200,2560-1215
2499883,1147183,2024,12,1,3,3200,2499-1147
2524949,1183292,2021,19,1,3,3200,2524-1183
2525206,1182919,2021,19,1,3,3200,2525-1182
2501208,1161152,2024,19,1,18,3200,2501-1161
2822500,1167500,2024,19,1,1,3200,2822-1167
2654500,1138500,2025,19,1,3,3200,2654-1138
2740381,1185945,2024,25,1,3,3200,2740-1185
2755836,1175021,2025,25,1,3,3200,2755-1175
2830500,1197500,2021,19,1,3,3200,2830-1197
2534620,1192098,2022,25,1,3,3200,2534-1192
2827356,1164837,2021,19,1,3,3200,2827-1164
2785145,1159288,2024,25,1,3,3200,2785-1159
2584104,1156335,2025,25,1,1,3200,2584-1156
2572418,1132411,2024,25,1,3,3200,2572-1132
2760963,1163495,2025,31,1,1,3200,2760-1163
2707399,1168874,2025,25,1,2,3200,2707-1168
2507781,1157230,2024,31,3,13,3200,2507-1157
2598825,1169343,2023,31,1,3,3200,2598-1169
2525075,1187913,2024,37,1,1,3200,2525-1187
2574055,1087387,2023,37,5,13,3200,2574-1087
2524500,1183500,2021,31,6,19,3200,2524-1183
2706112,1155440,2025,31,1,3,3200,2706-1155
2708154,1154574,2025,31,1,3,3200,2708-1154
2514162,1162962,2021,31,1,3,3200,2514-1162
2509670,1160446,2021,43,5,19,3200,2509-1160
2500491,1157167,2021,43,3,19,3200,2500-1157
2693036,1203161,2025,31,1,3,3200,2693-1203
2502500,1159500,2021,37,1,1,3200,2502-1159
2745279,1252971,2024,37,1,1,3200,2745-1252
2646264,1173803,2023,61,1,0,3200,2646-1173
2505711.65660415,1156613.61516242,2024,7,1,3,3200,2505-1156
2612470,1119041,2024,13,1,3,3200,2612-1119
2612313,1119575,2024,13,1,3,3200,2612-1119
2601888,1248745,2024,13,1,1,3200,2601-1248
2600358,1174424,2024,13,1,2,3200,2600-1174
2600425,1174480,2023,13,1,3,3200,2600-1174
2600196,1173645,2024,13,1,1,3200,2600-1173
2600427,1174572,2024,13,1,1,3200,2600-1174
2601703,1176432,2024,13,1,3,3200,2601-1176
2600425,1174480,2023,13,1,3,3200,2600-1174
2601610,1177850,2024,13,1,3,3200,2601-1177
2507968,1161220,2021,13,1,3,3200,2507-1161
2635821,1175649,2024,13,1,3,3200,2635-1175
2503884,1153843,2023,25,1,14,3200,2503-1153
2830091,1194483,2022,25,1,3,3200,2830-1194
2777858,1175742,2021,19,1,3,3200,2777-1175
2635877,1175679,2025,19,1,3,3200,2635-1175
2601579,1177857,2024,13,1,3,3200,2601-1177
2601669,1176607,2024,13,1,3,3200,2601-1176
2508360,1159851,2022,25,1,18,3200,2508-1159
2508324,1159790,2022,25,1,14,3200,2508-1159
2525100.37047527,1187944.1743358,2023,13,1,4,3200,2525-1187
2532448,1188479,2024,7,2,4,3200,2532-1188
2617416,1132202,2025,25,1,2,3200,2617-1132
2532797,1189573,2024,19,1,3,3200,2532-1189
2511756,1171051,2024,19,1,3,3200,2511-1171
2512437,1171474,2024,19,1,3,3200,2512-1171
2647807,1117555,2024,31,1,3,3200,2647-1117
2523500,1184500,2021,25,1,19,3200,2523-1184
2599500,1175500,2021,62,1,0,3200,2599-1175
2524336,1183861,2025,25,1,3,3200,2524-1183
2752500,1236500,2022,49,1,0,3200,2752-1236
2617314,1132383,2022,49,1,0,3200,2617-1132
2713500,1176500,2025,25,1,3,3200,2713-1176
2523294,1184834,2024,7,1,3,3200,2523-1184
2523304,1184785,2024,7,1,3,3200,2523-1184
2686053,1169802,2025,25,1,3,3200,2686-1169
2506135,1155309,2024,7,1,3,3200,2506-1155
2524274,1183386,2024,7,1,3,3200,2524-1183
2524209,1183538,2024,7,2,3,3200,2524-1183
2529552,1200777,2021,13,1,3,3200,2529-1200
2529528,1200465,2021,13,1,3,3200,2529-1200
2529138,1200728,2021,13,1,3,3200,2529-1200
2523500,1183500,2021,13,1,3,3200,2523-1183
2612323,1118959,2024,13,1,3,3200,2612-1118
2502628,1160227,2023,13,1,3,3200,2502-1160
2571353,1132090,2024,13,1,3,3200,2571-1132
2617271.67769606,1132341.52858736,2022,49,1,0,3200,2617-1132
2817913,1184702,2023,31,1,3,3200,2817-1184
2523458,1184799,2025,19,1,3,3200,2523-1184
2505842,1155936,2021,19,1,1,3200,2505-1155
2622500,1131500,2021,19,1,3,3200,2622-1131
2709649,1171409,2023,25,1,3,3200,2709-1171
2502500,1160500,2023,25,2,3,3200,2502-1160
2512596,1158255,2025,43,1,3,3200,2512-1158
2710877,1152481,2024,25,1,3,3200,2710-1152
2502500,1160500,2023,25,2,3,3200,2502-1160
2550331,1110388,2021,49,3,0,3200,2550-1110
2550363,1110348,2021,49,3,0,3200,2550-1110
2799393,1135132,2023,25,1,3,3200,2799-1135
2822301,1190463,2025,13,1,3,3200,2822-1190
2603028,1145521,2023,31,1,3,3200,2603-1145
2649242,1138019,2021,1,1,0,3200,2649-1138
2546281,1198596,2023,13,1,3,3200,2546-1198
2523613,1184291,2023,43,1,3,3200,2523-1184
2594638,1166158,2024,19,1,3,3200,2594-1166
2524334,1183435,2024,7,1,3,3200,2524-1183
2524115,1183409,2024,7,1,2,3200,2524-1183
2524269,1183491,2024,7,1,4,3200,2524-1183
2759650,1148213,2022,13,1,3,3200,2759-1148
2612500,1163500,2025,25,1,3,3200,2612-1163
2524289,1183488,2024,7,1,3,3200,2524-1183
2524124,1183426,2024,7,1,2,3200,2524-1183
2572408,1132464,2024,7,1,3,3200,2572-1132
2571555,1132267,2024,7,1,3,3200,2571-1132
2532703,1188877,2024,7,1,3,3200,2532-1188
2532710,1189471,2025,19,1,3,3200,2532-1189
2532700,1189500,2025,19,1,3,3200,2532-1189
2572148,1131944,2024,19,1,3,3200,2572-1131
2515788,1160242,2024,25,1,18,3200,2515-1160
2748460,1159881,2025,19,1,3,3200,2748-1159
2524500,1183500,2021,13,6,4,3200,2524-1183
2502500,1160500,2023,25,2,3,3200,2502-1160
2500999,1148001,2024,25,1,3,3200,2500-1148
2533171,1188907,2025,19,1,2,3200,2533-1188
2629539,1175322,2024,7,1,3,3200,2629-1175
2535997,1190918,2023,13,1,3,3200,2535-1190
2586500,1112500,2021,19,1,3,3200,2586-1112
2617464,1132481,2021,50,1,0,3200,2617-1132
2504106,1160155,2023,13,1,3,3200,2504-1160
2502628,1160227,2023,13,1,3,3200,2502-1160
2616817,1132610,2021,50,1,0,3200,2616-1132
2787239,1158935,2021,13,1,3,3200,2787-1158
2524221,1183327,2023,31,1,3,3200,2524-1183
2572408,1132463,2024,25,1,3,3200,2572-1132
2501265,1161055,2024,19,1,3,3200,2501-1161
2500517,1157103,2021,19,1,3,3200,2500-1157
2514504,1163703,2025,19,1,3,3200,2514-1163
2514290,1163178,2025,19,1,3,3200,2514-1163
2514529,1163614,2025,19,1,3,3200,2514-1163
2514262,1163129,2025,19,1,3,3200,2514-1163
2573007,1132543,2024,19,1,3,3200,2573-1132
2710760,1153661,2024,25,1,3,3200,2710-1153
2720500,1181500,2022,25,1,2,3200,2720-1181
2569804,1240318,2023,31,1,3,3200,2569-1240
2572453,1132190,2024,31,1,3,3200,2572-1132
2507979,1158540,2022,25,1,18,3200,2507-1158
2507937,1158526,2022,25,1,18,3200,2507-1158
2532943,1190839,2024,25,3,19,3200,2532-1190
2741013,1186237,2021,25,1,3,3200,2741-1186
2649314,1138274,2021,50,1,0,3200,2649-1138
2532426,1188444,2023,31,1,14,3200,2532-1188
2740546,1185926,2021,25,1,3,3200,2740-1185
2571918,1132140,2024,31,1,3,3200,2571-1132
2524175,1183461,2024,31,2,3,3200,2524-1183
2634976,1177931,2024,50,1,0,3200,2634-1177
2752713,1236557,2021,50,1,0,3200,2752-1236
2714955,1196664,2022,13,1,3,3200,2714-1196
2610500,1113500,2024,13,1,3,3200,2610-1113
2623378,1162866,2021,19,1,2,3200,2623-1162
2740434,1226024,2025,19,1,2,3200,2740-1226
2733500,1225500,2021,19,1,3,3200,2733-1225
2524328,1183707,2021,19,1,14,3200,2524-1183
2524003,1183565,2021,19,1,3,3200,2524-1183
2524226,1183351,2021,19,1,3,3200,2524-1183
2580065,1238217,2024,7,1,3,3200,2580-1238
2654500,1138500,2021,19,1,3,3200,2654-1138
2532993,1189307,2021,7,1,1,3200,2532-1189
2532778,1189463,2021,7,1,1,3200,2532-1189
2625362,1164590,2023,62,1,0,3200,2625-1164
2524560,1183540,2024,7,1,3,3200,2524-1183
2524236,1183552,2024,7,4,5,3200,2524-1183
2620500,1131500,2023,13,1,3,3200,2620-1131
2510652,1161312,2023,13,1,3,3200,2510-1161
2631537,1179314,2024,7,1,2,3200,2631-1179
2572392,1132500,2024,7,1,3,3200,2572-1132
2748460,1159881,2025,19,1,3,3200,2748-1159
2581938,1225268,2025,8,1,3,3200,2581-1225
2532483,1188596,2021,7,1,1,3200,2532-1188
2733500,1225500,2021,19,1,3,3200,2733-1225
2536054,1190913,2024,8,1,2,3200,2536-1190
2534973,1191641,2024,8,1,3,3200,2534-1191
2571637,1132256,2024,8,1,3,3200,2571-1132
2541291,1193422,2021,8,1,1,3200,2541-1193
2524500,1183500,2021,8,4,6,3200,2524-1183
2517724,1165235,2024,13,1,3,3200,2517-1165
2638475,1189135,2023,13,1,3,3200,2638-1189
2524346,1183532,2023,13,1,3,3200,2524-1183
2733500,1225499,2024,13,1,3,3200,2733-1225
2733152,1225084,2024,13,2,3,3200,2733-1225
2633866,1163408,2023,19,1,3,3200,2633-1163
2653265,1118217,2023,25,1,3,3200,2653-1118
2811068,1171297,2023,25,1,1,3200,2811-1171
2740494,1225549,2025,19,1,2,3200,2740-1225
2542396,1205062,2025,19,1,3,3200,2542-1205
2575500,1091500,2021,13,1,3,3200,2575-1091
2507500,1154500,2024,25,1,19,3200,2507-1154
2508883.65210195,1156395.52956304,2025,19,1,2,3200,2508-1156
2740500,1234500,2021,19,1,3,3200,2740-1234
2507076,1155747,2025,19,1,3,3200,2507-1155
2508364,1156119,2025,19,1,3,3200,2508-1156
2508609,1156246,2025,19,2,3,3200,2508-1156
2598215,1175730,2025,19,1,3,3200,2598-1175
2796841,1169180,2025,19,1,3,3200,2796-1169
2796732,1169152,2025,19,1,3,3200,2796-1169
2637235,1106244,2021,19,1,2,3200,2637-1106
2524274,1183791,2022,19,1,3,3200,2524-1183
2507500,1155500,2025,19,2,3,3200,2507-1155
2788634,1153042,2024,19,1,3,3200,2788-1153
2681195,1130590,2025,19,1,3,3200,2681-1130
2507286,1156986,2025,19,1,3,3200,2507-1156
2506799,1156513,2025,19,1,3,3200,2506-1156
2829240,1196129,2024,31,1,1,3200,2829-1196
2658325,1201706,2024,25,2,3,3200,2658-1201
2525500,1182500,2021,31,6,19,3200,2525-1182
2572461,1132404,2024,25,1,3,3200,2572-1132
2503275,1160717,2021,25,1,3,3200,2503-1160
2503093,1160908,2021,25,1,3,3200,2503-1160
2570820,1138638,2023,25,1,1,3200,2570-1138
2532589,1188486,2024,25,6,19,3200,2532-1188
2524500,1183500,2023,32,1,3,3200,2524-1183
2524186,1183469,2025,32,1,3,3200,2524-1183
2722500,1182500,2023,25,1,3,3200,2722-1182
2498620,1159487,2021,32,1,3,3200,2498-1159
2507185,1156338,2021,32,1,3,3200,2507-1156
2506752,1155163,2021,32,2,3,3200,2506-1155
2512667,1157727,2021,31,1,2,3200,2512-1157
2574854,1088180,2021,44,2,0,3200,2574-1088
2691506,1155284,2025,56,1,0,3200,2691-1155
2501633,1159694,2024,56,1,0,3200,2501-1159
2536303,1191927,2024,8,1,3,3200,2536-1191
2733294,1166888,2023,13,1,2,3200,2733-1166
2617081,1132253,2021,50,1,0,3200,2617-1132
2581941,1225253,2025,8,1,3,3200,2581-1225
2624420,1164390,2023,2,1,0,3200,2624-1164
2529617,1200482,2024,2,1,0,3200,2529-1200
2571637,1132256,2024,8,1,3,3200,2571-1132
2684349,1218082,2024,8,1,3,3200,2684-1218
2534744.3886686,1189416.94839163,2021,8,1,3,3200,2534-1189
2595434,1167042,2024,8,1,3,3200,2595-1167
2504097,1160778,2021,8,1,3,3200,2504-1160
2503616,1145598,2022,8,1,1,3200,2503-1145
2511348,1168819,2021,8,1,3,3200,2511-1168
2513215,1170443,2021,8,1,3,3200,2513-1170
2641147,1186005,2023,13,1,3,3200,2641-1186
2508695,1166580,2021,13,5,3,3200,2508-1166
2763791,1186766,2023,13,1,3,3200,2763-1186
2507640,1156540,2021,13,1,3,3200,2507-1156
2506162,1157116,2021,13,1,3,3200,2506-1157
2506912,1157231,2021,13,1,3,3200,2506-1157
2502673,1160207,2023,13,1,3,3200,2502-1160
2505765,1156332,2021,13,1,3,3200,2505-1156
2528265,1201112,2021,13,1,3,3200,2528-1201
2565074,1140326,2023,13,1,3,3200,2565-1140
2600332,1174712,2023,13,1,3,3200,2600-1174
2560500,1215500,2021,13,1,3,3200,2560-1215
2524329.26835518,1183370.17963225,2021,19,1,12,3200,2524-1183
2524030,1183422,2023,13,1,3,3200,2524-1183
2524531,1183908,2023,13,1,3,3200,2524-1183
2508525,1156038,2025,19,1,3,3200,2508-1156
2532653,1189347,2025,19,1,3,3200,2532-1189
2532713,1189437,2025,19,1,3,3200,2532-1189
