x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2603250.31646241,1196949.76871533,2023,1,3,0,810,2603-1196
2657929,1233808,2023,1,2,0,810,2657-1233
2657890,1233834,2023,1,2,0,810,2657-1233
2625500,1233500,2021,1,6,0,810,2625-1233
2646926,1250485,2025,7,4,0,810,2646-1250
2496661.57455985,1114794.98550101,2021,19,2,0,810,2496-1114
2495318,1116600,2024,12,2,0,810,2495-1116
2648637,1251598,2024,25,5,1,810,2648-1251
2603919,1196890,2022,25,1,2,810,2603-1196
2501770.67202193,1118055.81597943,2024,25,1,2,810,2501-1118
2502188,1118585,2024,31,5,13,810,2502-1118
2647161,1250581,2024,25,1,2,810,2647-1250
2646976,1250562,2025,31,5,13,810,2646-1250
2502098.6885961,1118632.8033728,2023,43,4,0,810,2502-1118
2684705,1235980,2023,37,6,13,810,2684-1235
2501401.67697745,1118248.82566905,2023,55,1,0,810,2501-1118
2648550,1251162,2024,43,1,0,810,2648-1251
2495282,1116627,2025,37,1,2,810,2495-1116
2502098.6885961,1118632.8033728,2025,37,1,2,810,2502-1118
2502098.6885961,1118632.8033728,2023,49,2,0,810,2502-1118
2604500,1196500,2021,67,9,0,810,2604-1196
2604000.3049866,1196199.75784522,2022,43,4,0,810,2604-1196
2604664,1196316,2023,49,1,0,810,2604-1196
2646441,1250548,2024,49,1,0,810,2646-1250
2757571,1207566,2024,67,30,0,810,2757-1207
2647150.29848629,1250799.61297727,2025,13,7,2,810,2647-1250
2501770.67202193,1118055.81597943,2025,13,2,4,810,2501-1118
2604872,1196006,2023,13,3,0,810,2604-1196
2633564,1240160,2024,61,1,0,810,2633-1240
2502098.6885961,1118632.8033728,2024,7,1,0,810,2502-1118
2501950,1118496,2025,19,2,0,810,2501-1118
2707048,1233390,2024,7,5,0,810,2707-1233
2686854,1241364,2021,31,3,2,810,2686-1241
2502098.6885961,1118632.8033728,2024,31,5,13,810,2502-1118
2507191,1120764,2021,7,1,0,810,2507-1120
2507185.76098407,1120949.64624735,2021,7,1,0,810,2507-1120
2495238.63148743,1116787.01570611,2021,13,2,0,810,2495-1116
2507500,1120500,2021,31,6,13,810,2507-1120
2647173,1250907,2025,13,7,2,810,2647-1250
2502098.6885961,1118632.8033728,2025,62,1,0,810,2502-1118
2603410,1196700,2023,31,5,13,810,2603-1196
2528044,1151207,2023,31,4,13,810,2528-1151
2496740,1114773,2023,25,2,1,810,2496-1114
2501911,1118429,2023,55,1,0,810,2501-1118
2502098.6885961,1118632.8033728,2024,37,3,13,810,2502-1118
2686061,1241344,2023,19,2,0,810,2686-1241
2496790,1114813,2021,19,1,0,810,2496-1114
2501791.68484947,1118512.81291784,2023,55,1,0,810,2501-1118
2686922,1241452,2021,25,2,1,810,2686-1241
2502073,1118001,2024,1,1,0,810,2502-1118
2707068,1233447,2024,7,3,0,810,2707-1233
2694500,1230500,2021,25,1,2,810,2694-1230
