x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2583463,1208023,2021,1,3,0,4930,2583-1208
2574899,1207220,2023,1,,0,4930,2574-1207
2569159,1196657,2025,1,1,0,4930,2569-1196
2521768,1149775,2024,1,7,0,4930,2521-1149
2521904,1149922,2022,1,1,0,4930,2521-1149
2606357,1186349,2023,1,4,0,4930,2606-1186
2622654,1236120,2024,1,1,0,4930,2622-1236
2622818,1236970,2023,1,1,0,4930,2622-1236
2563946,1192964,2024,1,2,0,4930,2563-1192
2587410,1204609,2022,1,48,0,4930,2587-1204
2679915,1254200,2023,1,8,0,4930,2679-1254
2490481.51409212,1112705.18624407,2025,1,20,0,4930,2490-1112
2601500,1227500,2021,1,3,0,4930,2601-1227
2679578.93494353,1254052.6237002,2023,1,2,0,4930,2679-1254
2679578.93494353,1254052.6237002,2024,1,1,0,4930,2679-1254
2580500,1212500,2025,1,1,0,4930,2580-1212
2679578.93494353,1254052.6237002,2024,1,11,0,4930,2679-1254
2596500,1203500,2025,1,1,0,4930,2596-1203
2629500,1128500,2021,1,1,0,4930,2629-1128
2660500,1270500,2021,1,3,0,4930,2660-1270
2563224,1193216,2021,1,3,0,4930,2563-1193
2493434,1112486,2025,1,1,0,4930,2493-1112
2493028,1112517,2025,1,1,0,4930,2493-1112
2710449,1113868,2023,1,1,0,4930,2710-1113
2521800,1150704,2025,1,1,0,4930,2521-1150
2699205,1272090,2023,1,20,0,4930,2699-1272
2644022.27881142,1224716.54437009,2022,1,4,0,4930,2644-1224
2644022.27881142,1224716.54437009,2023,1,30,0,4930,2644-1224
2700545.69857349,1263739.75808329,2025,1,3,0,4930,2700-1263
2700545.69857349,1263739.75808329,2025,1,3,0,4930,2700-1263
2569500,1203500,2025,1,1,0,4930,2569-1203
2577500,1203500,2021,1,1,0,4930,2577-1203
2580090.6502114,1212497.13430467,2021,1,1,0,4930,2580-1212
2717500,1230500,2023,1,2,0,4930,2717-1230
2724709,1281118,2022,1,1,0,4930,2724-1281
2578820,1203102,2025,1,1,0,4930,2578-1203
2629276,1128401,2021,1,1,0,4930,2629-1128
2569500,1203500,2023,1,2,0,4930,2569-1203
2562943,1189734,2021,1,19,0,4930,2562-1189
2578736,1203715,2025,1,1,0,4930,2578-1203
2579520,1202288,2023,1,10,0,4930,2579-1202
2579359,1202600,2025,1,15,0,4930,2579-1202
2571237,1202756,2025,1,2,0,4930,2571-1202
2569500,1203500,2023,1,10,0,4930,2569-1203
2660500,1270500,2021,1,,0,4930,2660-1270
2622085,1236173,2024,1,30,0,4930,2622-1236
2719500,1116500,2025,1,1,0,4930,2719-1116
2571378,1202628,2023,1,3,0,4930,2571-1202
2632598,1268260,2023,1,12,0,4930,2632-1268
2498284,1111130,2021,1,1,0,4930,2498-1111
2680026,1253913,2023,1,1,0,4930,2680-1253
2497191,1112440,2024,1,1,0,4930,2497-1112
2519383.4665541,1148132.25387745,2025,1,3,0,4930,2519-1148
2495561,1113265,2025,1,2,0,4930,2495-1113
2679500,1254500,2024,1,1,0,4930,2679-1254
2644252,1224839,2023,1,2,0,4930,2644-1224
2495716,1113222,2022,1,2,0,4930,2495-1113
2495575,1113512,2022,1,1,0,4930,2495-1113
2560996,1132038,2021,1,1,0,4930,2560-1132
2547126,1182786,2021,1,1,0,4930,2547-1182
2580500,1212500,2023,1,1,0,4930,2580-1212
2566972,1119634,2021,1,2,0,4930,2566-1119
2596500,1223500,2025,1,1,0,4930,2596-1223
2569480,1203270,2021,1,1,0,4930,2569-1203
2580500,1212500,2022,1,10,0,4930,2580-1212
2490316,1112705,2021,1,1,0,4930,2490-1112
2494169,1112730,2022,1,2,0,4930,2494-1112
2494567,1112406,2022,1,1,0,4930,2494-1112
2566797,1119550,2021,1,1,0,4930,2566-1119
2620504,1256662,2022,1,2,0,4930,2620-1256
2714721.95155106,1230655.66969815,2025,1,2,0,4930,2714-1230
2679578.93494353,1254052.6237002,2025,7,1,0,4930,2679-1254
2618500,1169500,2024,1,1,0,4930,2618-1169
2663500,1225500,2021,1,1,0,4930,2663-1225
2569889,1203147,2021,1,7,0,4930,2569-1203
2631596,1268367,2023,1,1,0,4930,2631-1268
2631446,1267471,2023,1,1,0,4930,2631-1267
2697500,1241500,2024,1,1,0,4930,2697-1241
2602500,1226500,2021,1,2,0,4930,2602-1226
2569644.55120499,1203073.27749823,2023,1,5,0,4930,2569-1203
2489500,1113500,2021,1,6,0,4930,2489-1113
2708894,1270832,2023,7,1,0,4930,2708-1270
2607500,1260500,2021,7,1,0,4930,2607-1260
2738791,1275096,2025,7,2,0,4930,2738-1275
2664491,1200462,2025,7,4,0,4930,2664-1200
2580500,1212500,2023,1,1,0,4930,2580-1212
2576712,1201248,2023,1,1,0,4930,2576-1201
2576704,1201248,2023,1,1,0,4930,2576-1201
2692129,1289820,2022,1,12,0,4930,2692-1289
2577854,1203652,2022,1,10,0,4930,2577-1203
2510773,1150311,2023,1,1,0,4930,2510-1150
2708500,1270500,2023,7,1,0,4930,2708-1270
2664500,1200500,2025,7,4,0,4930,2664-1200
2716339,1113501,2022,7,2,0,4930,2716-1113
2662751,1243692,2022,1,2,0,4930,2662-1243
2692217,1283975,2023,7,2,0,4930,2692-1283
2592500,1212500,2021,1,1,0,4930,2592-1212
2608500,1259500,2021,7,1,0,4930,2608-1259
2601500,1226500,2024,7,3,0,4930,2601-1226
2537200.53635222,1196450.9149425,2021,7,3,0,4930,2537-1196
2644022.27881142,1224716.54437009,2021,7,1,0,4930,2644-1224
2700545.69857349,1263739.75808329,2023,7,2,0,4930,2700-1263
2607500,1259500,2021,7,1,0,4930,2607-1259
2498758,1111078,2021,7,20,0,4930,2498-1111
2498323,1111216,2021,7,45,0,4930,2498-1111
2679578.93494353,1254052.6237002,2023,12,15,0,4930,2679-1254
2498595,1111126,2021,7,30,0,4930,2498-1111
2535161.16570808,1179097.90899888,2025,7,35,0,4930,2535-1179
2556729,1199973,2022,12,5,0,4930,2556-1199
2748500,1265500,2025,7,10,0,4930,2748-1265
2694175,1281396,2022,12,1,0,4930,2694-1281
2490788,1116346,2022,12,5,0,4930,2490-1116
2644022.27881142,1224716.54437009,2022,12,1,0,4930,2644-1224
2644022.27881142,1224716.54437009,2021,12,1,0,4930,2644-1224
2644022.27881142,1224716.54437009,2022,12,1,0,4930,2644-1224
2690697,1154097,2022,12,1,0,4930,2690-1154
2607500,1260500,2021,12,7,0,4930,2607-1260
2717500,1230500,2025,12,8,0,4930,2717-1230
2495382,1116016,2023,7,25,0,4930,2495-1116
2507227,1121077,2022,12,26,0,4930,2507-1121
2639636,1245906,2022,12,1,0,4930,2639-1245
2659720,1270688,2025,12,1,0,4930,2659-1270
2717500,1230500,2025,12,8,0,4930,2717-1230
2654500,1259500,2023,7,2,0,4930,2654-1259
2519383.4665541,1148132.25387745,2025,12,2,0,4930,2519-1148
2572868,1205367,2022,12,20,0,4930,2572-1205
