x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2646329,1136918,2023,1,2,0,1200,2646-1136
2827400,1167159,2021,1,1,0,1200,2827-1167
2641521,1103530,2022,1,2,0,1200,2641-1103
2553897,1132138,2022,1,1,0,1200,2553-1132
2566505,1109259,2021,1,2,0,1200,2566-1109
2628648,1129019,2022,1,2,0,1200,2628-1129
2823809,1205678,2024,1,5,0,1200,2823-1205
2769507,1149011,2021,1,1,0,1200,2769-1149
2750431,1189155,2025,1,1,0,1200,2750-1189
2745821,1220047,2023,1,1,0,1200,2745-1220
2736682,1235603,2025,1,1,0,1200,2736-1235
2627177,1163371,2025,1,1,0,1200,2627-1163
2698126,1111178,2024,1,1,0,1200,2698-1111
2811005,1183743,2025,1,1,0,1200,2811-1183
2621697,1154880,2025,1,2,0,1200,2621-1154
2760250,1214335,2023,1,2,0,1200,2760-1214
2703845,1152282,2022,1,3,0,1200,2703-1152
2583500,1117500,2021,1,3,0,1200,2583-1117
2618500,1169500,2024,1,1,0,1200,2618-1169
2751500,1190500,2025,1,1,0,1200,2751-1190
2632500,1124500,2023,1,1,0,1200,2632-1124
2613500,1138500,2025,1,2,0,1200,2613-1138
2762500,1183500,2022,1,2,0,1200,2762-1183
2791500,1150500,2023,1,1,0,1200,2791-1150
2621500,1132500,2022,1,4,0,1200,2621-1132
2681500,1196500,2023,1,2,0,1200,2681-1196
2656500,1139500,2022,1,1,0,1200,2656-1139
2552500,1134500,2024,1,2,0,1200,2552-1134
2761500,1247500,2025,1,1,0,1200,2761-1247
2625554,1128918,2023,1,2,0,1200,2625-1128
2710176,1146319,2024,1,1,0,1200,2710-1146
2612806,1132139,2021,1,1,0,1200,2612-1132
2721820,1139923,2024,1,2,0,1200,2721-1139
2676246,1187916,2022,1,1,0,1200,2676-1187
2722160,1086829,2024,1,1,0,1200,2722-1086
2697755,1115786,2022,1,1,0,1200,2697-1115
2613660.71031603,1138539.55652576,2023,1,3,0,1200,2613-1138
2564842,1142631,2023,1,1,0,1200,2564-1142
2821738,1190005,2023,1,1,0,1200,2821-1190
2751304,1190567,2022,1,1,0,1200,2751-1190
2587393,1167369,2025,1,2,0,1200,2587-1167
2595267,1126704,2024,1,2,0,1200,2595-1126
2615461,1133092,2022,1,1,2,1200,2615-1133
2720433,1091763,2022,1,1,0,1200,2720-1091
2612254,1118802,2023,1,2,0,1200,2612-1118
2613710,1138550,2023,1,3,0,1200,2613-1138
2721382,1089732,2025,1,1,0,1200,2721-1089
2720938,1089860,2022,1,1,0,1200,2720-1089
2761500,1247500,2025,1,1,0,1200,2761-1247
2563500,1134500,2024,1,2,0,1200,2563-1134
2716004,1077638,2024,1,1,0,1200,2716-1077
2768001,1212381,2022,1,1,0,1200,2768-1212
2793500,1161500,2025,1,2,0,1200,2793-1161
2824564,1165826,2021,1,1,0,1200,2824-1165
2572032,1101567,2024,1,1,0,1200,2572-1101
2584500,1117500,2021,1,1,0,1200,2584-1117
2641588,1180223,2022,1,1,0,1200,2641-1180
2778632,1166083,2025,1,1,0,1200,2778-1166
2623010,1159381,2025,1,2,0,1200,2623-1159
2629190,1128285,2024,1,1,0,1200,2629-1128
2742500,1252500,2024,1,1,0,1200,2742-1252
2788355,1150638,2023,1,1,0,1200,2788-1150
2579402,1242661,2023,1,2,0,1200,2579-1242
2578156,1128021,2023,1,3,0,1200,2578-1128
2589500,1113500,2024,1,1,0,1200,2589-1113
2682500,1207500,2023,1,2,0,1200,2682-1207
2656827,1133478,2024,1,1,0,1200,2656-1133
2552251,1119068,2023,1,1,0,1200,2552-1119
2616258,1130969,2025,1,1,0,1200,2616-1130
2616865,1129827,2021,1,2,0,1200,2616-1129
2617843,1129080,2022,1,1,0,1200,2617-1129
2574298,1100011,2025,1,1,0,1200,2574-1100
2614500,1138500,2024,1,1,0,1200,2614-1138
2616307,1130447,2021,1,1,0,1200,2616-1130
2621822.6965911,1130696.49354648,2021,1,3,0,1200,2621-1130
2568238.05313419,1117187.21443991,2022,1,2,0,1200,2568-1117
2585161.32130092,1117436.25811919,2024,1,1,0,1200,2585-1117
2676613,1188929,2022,1,1,0,1200,2676-1188
2564835,1135728,2023,1,1,0,1200,2564-1135
2722937,1181335,2025,1,1,0,1200,2722-1181
2670500,1198500,2023,1,1,0,1200,2670-1198
2586559,1122561,2024,1,2,0,1200,2586-1122
2741859,1246549,2024,1,2,0,1200,2741-1246
2617893,1148296,2021,1,1,0,1200,2617-1148
2615098,1129936,2025,1,1,0,1200,2615-1129
2694478,1138415,2024,1,2,0,1200,2694-1138
2587098,1163980,2023,1,2,0,1200,2587-1163
2584500,1117500,2025,1,1,0,1200,2584-1117
2758320,1149491,2025,1,2,0,1200,2758-1149
2659416,1136596,2023,1,1,0,1200,2659-1136
2660732,1136029,2023,1,1,0,1200,2660-1136
2750761,1213602,2022,1,2,0,1200,2750-1213
2654500,1145500,2022,1,1,0,1200,2654-1145
2762420,1145971,2023,1,1,0,1200,2762-1145
2613203,1119698,2024,1,1,0,1200,2613-1119
2712135,1140108,2024,1,1,0,1200,2712-1140
2604810,1107424,2025,7,1,0,1200,2604-1107
2552500,1135500,2024,1,2,0,1200,2552-1135
2558500,1138500,2023,1,1,0,1200,2558-1138
2715089,1115281,2022,1,1,0,1200,2715-1115
2648684,1135390,2022,7,2,0,1200,2648-1135
2613715,1138554,2025,1,2,0,1200,2613-1138
2740500,1191500,2021,1,2,0,1200,2740-1191
2603743,1117422,2023,1,1,0,1200,2603-1117
2603789,1117847,2024,1,1,0,1200,2603-1117
2644481.87009212,1136363.36048987,2025,1,1,0,1200,2644-1136
2642500,1129500,2025,7,1,0,1200,2642-1129
2599469,1117773,2025,7,1,0,1200,2599-1117
2628638,1165460,2023,7,1,0,1200,2628-1165
2689500,1194500,2022,1,2,0,1200,2689-1194
2615520,1129732,2021,1,2,0,1200,2615-1129
2593545,1128007,2021,1,1,0,1200,2593-1128
2617731,1130496,2021,1,2,0,1200,2617-1130
2611770,1122506,2025,7,1,0,1200,2611-1122
2655414,1142977,2023,7,1,0,1200,2655-1142
2618196,1129131,2023,1,1,0,1200,2618-1129
2642608.8306582,1129203.37760752,2025,7,6,0,1200,2642-1129
2615768,1130046,2025,1,1,0,1200,2615-1130
2578240.33013473,1128163.01727574,2023,1,3,0,1200,2578-1128
2615500,1131500,2022,7,1,0,1200,2615-1131
2631612,1128086,2024,7,1,0,1200,2631-1128
2629380,1135775,2023,1,4,0,1200,2629-1135
2737850,1222163,2025,7,1,0,1200,2737-1222
2592379,1160273,2022,1,1,0,1200,2592-1160
2648933,1138358,2023,1,2,4,1200,2648-1138
2566808,1119411,2025,1,1,0,1200,2566-1119
2563500,1138500,2023,7,1,0,1200,2563-1138
2573359,1112013,2024,1,2,0,1200,2573-1112
2740301,1191204,2021,1,2,0,1200,2740-1191
2756975,1211753,2025,7,1,0,1200,2756-1211
2728743,1217606,2023,1,1,0,1200,2728-1217
2724609,1180238,2022,1,2,0,1200,2724-1180
2581342,1227348,2023,7,2,0,1200,2581-1227
2725199,1216934,2021,1,1,0,1200,2725-1216
2584553.21416007,1117209.94172944,2021,12,1,0,1200,2584-1117
2640500,1109500,2022,12,2,0,1200,2640-1109
2749623,1166741,2025,1,1,0,1200,2749-1166
2667638,1152717,2025,1,2,0,1200,2667-1152
2667184,1152915,2022,1,1,0,1200,2667-1152
2654888,1139742,2022,7,1,0,1200,2654-1139
2614814,1129853,2022,7,1,0,1200,2614-1129
2604554,1107745,2025,12,2,0,1200,2604-1107
2620500,1241500,2023,7,1,0,1200,2620-1241
2786119,1157797,2021,12,3,0,1200,2786-1157
2789500,1151500,2022,7,1,0,1200,2789-1151
2775783,1140196,2023,12,2,0,1200,2775-1140
2721569,1089604,2021,12,1,0,1200,2721-1089
2709500,1171500,2025,12,2,0,1200,2709-1171
2632466,1131598,2025,7,3,0,1200,2632-1131
2617101,1118383,2025,7,1,0,1200,2617-1118
2617345,1165802,2023,7,1,0,1200,2617-1165
2713360,1194726,2023,7,2,0,1200,2713-1194
2610099,1111128,2025,7,1,0,1200,2610-1111
2617556,1245944,2021,7,2,0,1200,2617-1245
2600059,1116027,2025,7,1,0,1200,2600-1116
2613595,1138493,2024,7,1,0,1200,2613-1138
2565544,1107847,2025,12,1,0,1200,2565-1107
2777065,1145824,2023,12,2,0,1200,2777-1145
2823198,1192415,2025,12,2,0,1200,2823-1192
2778090,1145577,2023,12,1,0,1200,2778-1145
2575500,1147500,2021,12,2,0,1200,2575-1147
2700433,1171282,2021,12,1,0,1200,2700-1171
2812411,1185731,2025,12,2,0,1200,2812-1185
2700292,1170889,2021,12,1,0,1200,2700-1170
2702978,1167301,2025,12,1,0,1200,2702-1167
2574231,1093445,2021,12,2,0,1200,2574-1093
2561500,1142500,2022,12,1,0,1200,2561-1142
2806554,1185138,2021,7,2,0,1200,2806-1185
2561500,1115500,2023,7,1,0,1200,2561-1115
2755238.05146612,1190833.70583874,2022,12,1,0,1200,2755-1190
2586500,1121500,2025,7,2,0,1200,2586-1121
2610500,1112500,2024,7,1,0,1200,2610-1112
2698299,1117093,2023,12,2,0,1200,2698-1117
2776703,1145931,2025,12,2,0,1200,2776-1145
2764045,1202211,2025,12,1,0,1200,2764-1202
2821953,1203590,2023,12,2,0,1200,2821-1203
2584512,1117367,2024,7,1,0,1200,2584-1117
2757344,1210929,2025,7,1,0,1200,2757-1210
2626782,1092126,2023,19,1,1,1200,2626-1092
2803829,1183421,2024,19,1,2,1200,2803-1183
2557264,1130419,2023,7,1,0,1200,2557-1130
2727130,1248968,2021,12,2,0,1200,2727-1248
2584937,1117246,2023,7,1,0,1200,2584-1117
2563461,1120095,2025,12,1,0,1200,2563-1120
2618500,1129500,2021,19,1,1,1200,2618-1129
2603599.58497757,1132799.66354842,2022,12,1,0,1200,2603-1132
2735548,1178039,2023,12,1,0,1200,2735-1178
2715500,1172500,2021,12,1,0,1200,2715-1172
2616058,1145699,2025,12,1,0,1200,2616-1145
2728025,1127085,2023,12,2,6,1200,2728-1127
2719500,1225500,2025,19,2,1,1200,2719-1225
2571097,1238640,2025,12,2,0,1200,2571-1238
2813500,1179500,2021,12,2,6,1200,2813-1179
2557500,1111500,2021,12,1,0,1200,2557-1111
2654871,1141176,2025,12,1,0,1200,2654-1141
2645331,1192229,2023,19,1,18,1200,2645-1192
2604195,1107502,2024,19,1,2,1200,2604-1107
2575484,1113774,2021,19,2,1,1200,2575-1113
2723126,1108038,2025,19,1,2,1200,2723-1108
2574395,1113682,2023,19,1,2,1200,2574-1113
2574700,1113219,2021,19,2,2,1200,2574-1113
2639219,1184317,2021,12,2,0,1200,2639-1184
2762722,1191778,2025,19,2,5,1200,2762-1191
2715349,1113467,2024,19,1,1,1200,2715-1113
2744703,1217219,2021,12,2,0,1200,2744-1217
2581905,1133039,2025,7,1,0,1200,2581-1133
2792883,1147913,2023,12,1,0,1200,2792-1147
2687696,1122406,2021,12,2,0,1200,2687-1122
2737202,1145268,2023,12,2,0,1200,2737-1145
2601924,1117697,2025,12,2,0,1200,2601-1117
2601811,1117151,2025,12,2,0,1200,2601-1117
2601401,1117060,2025,12,1,0,1200,2601-1117
2614419,1169532,2021,12,1,0,1200,2614-1169
2691784,1195131,2022,12,1,0,1200,2691-1195
2669454,1154261,2022,12,1,2,1200,2669-1154
2584553.21416007,1117209.94172944,2021,12,1,0,1200,2584-1117
2559651.93460179,1115237.38541625,2022,12,3,0,1200,2559-1115
2593931,1165134,2025,12,3,0,1200,2593-1165
2552959.82749422,1113081.53184727,2021,12,1,0,1200,2552-1113
2590376.32214721,1120678.84862608,2021,12,1,0,1200,2590-1120
2742500,1186500,2023,12,1,0,1200,2742-1186
2751500,1214500,2021,19,2,4,1200,2751-1214
2760500,1192500,2022,12,1,0,1200,2760-1192
2720500,1116500,2024,19,1,1,1200,2720-1116
2721500,1087500,2021,19,2,18,1200,2721-1087
2689677,1155170,2025,19,1,2,1200,2689-1155
2609431.53249168,1123454.61495597,2021,12,2,0,1200,2609-1123
2622031.70914383,1132127.49021914,2025,12,1,0,1200,2622-1132
2622031.70914383,1132127.49021915,2022,12,2,0,1200,2622-1132
2584500,1117500,2022,12,1,0,1200,2584-1117
2787500,1195500,2023,12,5,0,1200,2787-1195
2727545,1112464,2023,19,2,1,1200,2727-1112
2583973.22860886,1118534.94692314,2025,12,2,6,1200,2583-1118
2578083,1113870,2021,19,1,2,1200,2578-1113
2577533,1114052,2021,19,8,4,1200,2577-1114
2618406,1130462,2023,19,2,1,1200,2618-1130
2743480,1158559,2021,19,1,2,1200,2743-1158
2824120,1186778,2025,19,4,6,1200,2824-1186
