x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2616997.53316224,1227529.72548886,2024,25,1,0,470,2616-1227
2596485,1215418,2024,25,1,0,470,2596-1215
2540869.22048315,1181909.78682461,2025,25,1,0,470,2540-1181
2660500,1270500,2024,25,1,0,470,2660-1270
2569500,1203500,2025,25,1,0,470,2569-1203
2570171.55826185,1203620.27005927,2024,25,1,0,470,2570-1203
2670300.06850856,1242299.56432466,2022,25,1,0,470,2670-1242
2494696.76179314,1121403.00587269,2025,25,2,4,470,2494-1121
2644022.27881142,1224716.54437009,2021,25,1,0,470,2644-1224
2570500,1203500,2025,25,1,0,470,2570-1203
2695097,1241903,2024,25,1,0,470,2695-1241
2570500,1203500,2025,25,1,0,470,2570-1203
2570311,1203698,2025,25,1,0,470,2570-1203
2678448,1261689,2021,31,1,2,470,2678-1261
2678388,1261530,2022,31,1,1,470,2678-1261
2643784,1224756,2021,25,1,0,470,2643-1224
2570171.55826185,1203620.27005927,2021,25,1,2,470,2570-1203
2678743.88625199,1261738.64812515,2024,25,2,0,470,2678-1261
2570111,1203739,2021,25,1,2,470,2570-1203
2570129,1203734,2024,25,1,2,470,2570-1203
2570244,1203712,2025,25,2,0,470,2570-1203
2569814,1203466,2021,25,2,0,470,2569-1203
2670500,1242500,2025,25,1,0,470,2670-1242
2569500,1203500,2025,25,1,3,470,2569-1203
2701499,1245498,2024,25,1,0,470,2701-1245
2680886.9251101,1253887.62681046,2021,31,1,2,470,2680-1253
2660415,1269973,2023,31,1,2,470,2660-1269
2660216,1269917,2024,31,1,2,470,2660-1269
2560003,1138350,2025,25,1,0,470,2560-1138
2570500,1203500,2022,25,1,0,470,2570-1203
2560497.25342759,1184873.38825686,2022,25,1,0,470,2560-1184
2560497.25342759,1184873.38825686,2022,25,1,0,470,2560-1184
2560497.25342759,1184873.38825686,2022,25,1,0,470,2560-1184
2680061,1254225,2022,25,1,2,470,2680-1254
2670307,1242291,2022,25,1,0,470,2670-1242
2570500,1203500,2024,25,3,0,470,2570-1203
2569500,1203500,2022,31,2,2,470,2569-1203
2660500,1270500,2024,25,1,0,470,2660-1270
2569944,1203500,2025,25,1,0,470,2569-1203
2569500,1203500,2024,25,1,0,470,2569-1203
2643951,1224829,2024,31,1,3,470,2643-1224
2643936,1224774,2025,31,3,3,470,2643-1224
2582930,1194160,2022,25,1,0,470,2582-1194
2678787,1261932,2024,25,1,2,470,2678-1261
2709639,1113529,2025,25,2,0,470,2709-1113
2709596,1113348,2025,25,2,0,470,2709-1113
2589324,1209065,2022,25,1,0,470,2589-1209
2494696.76179314,1121403.00587269,2025,25,1,0,470,2494-1121
2494696.76179314,1121403.00587269,2022,25,1,0,470,2494-1121
2569938,1203404,2025,31,1,2,470,2569-1203
2503883.41247177,1122096.85114397,2021,31,1,2,470,2503-1122
2616997.53316224,1227529.72548886,2024,31,3,4,470,2616-1227
2540891,1181964,2024,25,1,0,470,2540-1181
2540875,1181910,2025,25,2,0,470,2540-1181
2592240.69450035,1221669.98545028,2021,31,1,3,470,2592-1221
2560532,1184880,2022,25,1,0,470,2560-1184
2660500,1270500,2024,25,1,0,470,2660-1270
2503893.78736635,1122124.73443368,2023,31,2,3,470,2503-1122
2670300.06850856,1242299.56432465,2025,31,3,3,470,2670-1242
2592000.68323234,1220699.98565309,2021,31,1,3,470,2592-1220
2707106.96082487,1228943.61985945,2025,31,1,3,470,2707-1228
2570171.55826185,1203620.27005927,2025,25,1,0,470,2570-1203
2644022.27881142,1224716.54437008,2024,31,1,3,470,2644-1224
2560500,1194500,2024,31,1,1,470,2560-1194
2716500,1113500,2023,31,3,6,470,2716-1113
2660500,1270500,2024,25,1,0,470,2660-1270
2569500,1203500,2025,25,1,0,470,2569-1203
2716410.0839195,1113823.61702929,2021,31,1,2,470,2716-1113
2692347,1247696,2023,31,1,3,470,2692-1247
2692346,1247695,2023,31,1,3,470,2692-1247
2570500,1203500,2025,25,1,0,470,2570-1203
2567923,1206044,2022,31,1,2,470,2567-1206
2658471,1220950,2021,31,1,3,470,2658-1220
2679899.93090498,1254249.62531433,2022,31,1,2,470,2679-1254
2578667.51943261,1203746.12803837,2022,31,1,2,470,2578-1203
2670722,1241802,2024,31,2,2,470,2670-1241
2570500,1203500,2024,31,1,1,470,2570-1203
2660500,1270500,2025,31,1,3,470,2660-1270
2660500,1270500,2024,25,1,0,470,2660-1270
2716500,1113500,2023,31,2,4,470,2716-1113
2538478.25300482,1183335.84453464,2025,25,1,0,470,2538-1183
2540869.22048315,1181909.78682461,2021,31,1,2,470,2540-1181
2643952,1224824,2021,31,2,1,470,2643-1224
2570221,1203698,2025,31,2,1,470,2570-1203
2682925.8621381,1259885.6554611,2021,31,1,3,470,2682-1259
2494696,1121403,2023,31,1,3,470,2494-1121
2570171.55826185,1203620.27005927,2025,31,3,4,470,2570-1203
2570171.55826185,1203620.27005927,2024,31,1,2,470,2570-1203
2570219,1203671,2023,31,3,3,470,2570-1203
2572454,1205736,2024,31,1,3,470,2572-1205
2659957,1270302,2024,31,1,2,470,2659-1270
2570134,1203491,2022,31,3,3,470,2570-1203
2717500,1230500,2023,37,2,4,470,2717-1230
2670500,1242500,2025,37,1,1,470,2670-1242
2557491.38890435,1138847.38243464,2024,37,3,13,470,2557-1138
2659950,1270326,2024,31,1,2,470,2659-1270
2569793,1203332,2023,31,1,2,470,2569-1203
2569900,1203327,2021,31,1,2,470,2569-1203
2490226.59713488,1115528.17473354,2021,37,3,4,470,2490-1115
2678628,1261620,2022,37,1,2,470,2678-1261
2559954,1138219,2025,37,1,2,470,2559-1138
2559942,1138291,2025,37,1,1,470,2559-1138
2678439,1261528,2021,37,1,2,470,2678-1261
2691518,1247197,2021,31,1,3,470,2691-1247
2569500,1203500,2021,25,1,0,470,2569-1203
2667621,1214334,2021,37,1,3,470,2667-1214
2707500,1228500,2023,37,1,3,470,2707-1228
2569163,1196425,2021,37,1,2,470,2569-1196
2586079,1203815,2022,37,1,3,470,2586-1203
2569924,1203354,2021,37,1,2,470,2569-1203
2616997.53316224,1227529.72548887,2021,37,23,19,470,2616-1227
2717272,1230222,2024,37,1,2,470,2717-1230
2616997.53316224,1227529.72548886,2025,37,10,13,470,2616-1227
2540904,1181969,2025,31,1,2,470,2540-1181
2570171.55826185,1203620.27005927,2025,37,1,1,470,2570-1203
2495123.78787778,1122345.98839744,2024,37,1,1,470,2495-1122
2679899.93090498,1254249.62531433,2021,37,1,2,470,2679-1254
2569519,1203214,2022,37,1,1,470,2569-1203
2559887.38949178,1138241.33549638,2023,31,2,2,470,2559-1138
2678743.88625199,1261738.64812515,2025,31,1,1,470,2678-1261
2557275,1138414,2024,37,1,2,470,2557-1138
2557665,1138427,2024,37,1,2,470,2557-1138
2533210,1174775,2023,31,2,4,470,2533-1174
2660122,1270031,2024,31,1,2,470,2660-1270
2569774,1202739,2025,31,1,3,470,2569-1202
2660500,1270500,2021,43,2,2,470,2660-1270
2660308,1270061,2022,31,1,3,470,2660-1270
2717251,1230323,2024,43,3,2,470,2717-1230
2489842.58544178,1115114.18917556,2023,31,1,2,470,2489-1115
2557491.38890435,1138847.38243464,2025,43,1,2,470,2557-1138
2489842.58544178,1115114.18917557,2021,31,1,2,470,2489-1115
2657170.17550814,1219948.4901641,2023,31,1,2,470,2657-1219
2679957,1254337,2022,31,2,2,470,2679-1254
2559887.38949178,1138241.33549638,2024,43,2,2,470,2559-1138
2559964.39202934,1138353.33392529,2022,43,1,2,470,2559-1138
2678515.88908633,1261671.64722243,2024,43,7,13,470,2678-1261
2670350.07219683,1240899.55926051,2025,31,1,2,470,2670-1240
2495337,1116608,2024,31,1,2,470,2495-1116
2678379,1261504,2024,43,2,2,470,2678-1261
2659387,1271044,2025,43,1,2,470,2659-1271
2678441,1261624,2021,43,1,1,470,2678-1261
2660500,1270500,2025,43,5,2,470,2660-1270
2579742,1188325,2024,43,1,2,470,2579-1188
2660500,1270500,2021,31,1,3,470,2660-1270
2660500,1270500,2021,31,1,2,470,2660-1270
2616997.53316224,1227529.72548886,2025,43,5,13,470,2616-1227
2569723,1203384,2024,43,2,2,470,2569-1203
2569733,1203488,2022,43,1,2,470,2569-1203
2533248.07368523,1174778.94299175,2021,31,1,4,470,2533-1174
2717251,1230312,2023,43,1,2,470,2717-1230
2679899.93090498,1254249.62531433,2022,31,2,1,470,2679-1254
2489825,1115168,2022,43,2,13,470,2489-1115
2569147.44266037,1196706.26540992,2024,31,1,2,470,2569-1196
2570171.55826185,1203620.27005927,2025,43,1,2,470,2570-1203
2557491.38890435,1138847.38243464,2025,43,1,1,470,2557-1138
2670686,1241868,2024,31,1,2,470,2670-1241
2559965,1138260,2024,43,1,1,470,2559-1138
2494696.76179314,1121403.00587269,2021,31,1,3,470,2494-1121
2706937.58635587,1269930.83118023,2025,43,1,2,470,2706-1269
2670260.07317489,1240804.55884211,2021,43,1,2,470,2670-1240
2540869.22048315,1181909.78682461,2021,31,1,1,470,2540-1181
2569572,1203133,2022,49,1,0,470,2569-1203
2570548,1210291,2021,49,1,0,470,2570-1210
2570133,1203749,2024,49,1,0,470,2570-1203
2618670.65278626,1128170.52219959,2021,31,2,6,470,2618-1128
2570500,1203500,2023,31,1,2,470,2570-1203
2618046,1127922,2023,31,3,1,470,2618-1127
2670653,1241894,2024,49,2,0,470,2670-1241
2670300.06850856,1242299.56432465,2024,37,2,2,470,2670-1242
2692288,1247710,2023,31,1,3,470,2692-1247
2560671,1194877,2021,37,2,2,470,2560-1194
2616997.53316224,1227529.72548887,2021,49,2,0,470,2616-1227
2660500,1270500,2024,49,2,0,470,2660-1270
2644009,1224751,2021,31,2,2,470,2644-1224
2490224,1115567,2024,31,1,3,470,2490-1115
2490234,1115539,2022,31,1,2,470,2490-1115
2692289,1247711,2023,31,1,3,470,2692-1247
2574500,1197500,2022,37,3,13,470,2574-1197
2616997.53316224,1227529.72548886,2023,37,11,13,470,2616-1227
2559958,1138355,2023,49,1,0,470,2559-1138
2678480,1261631,2023,49,1,0,470,2678-1261
2659758,1270739,2023,49,1,0,470,2659-1270
2759500,1262500,2024,37,1,2,470,2759-1262
2716410.0839195,1113823.61702929,2022,37,1,2,470,2716-1113
2570500,1203500,2023,37,2,2,470,2570-1203
2570124,1203736,2023,37,1,2,470,2570-1203
2570128,1203732,2022,37,1,1,470,2570-1203
2530649.55307568,1151052.9731533,2022,49,1,0,470,2530-1151
2752799.9760507,1177199.6561556,2022,31,1,2,470,2752-1177
2554937.35129771,1189512.51095231,2021,31,2,3,470,2554-1189
2717236,1230191,2024,31,1,2,470,2717-1230
2660500,1269500,2023,37,1,1,470,2660-1269
2490294,1115599,2024,49,1,0,470,2490-1115
2717500,1230500,2024,37,4,4,470,2717-1230
2533082,1174991,2024,37,2,4,470,2533-1174
2540869.22048315,1181909.78682461,2022,49,2,0,470,2540-1181
2559964,1138224,2022,31,2,2,470,2559-1138
2569275,1201824,2023,37,1,2,470,2569-1201
2533077,1174985,2024,37,1,2,470,2533-1174
2533115,1174831,2024,37,1,3,470,2533-1174
2489958,1115221,2023,37,2,6,470,2489-1115
2659894,1270683,2024,31,2,2,470,2659-1270
2540869.22048315,1181909.78682461,2023,37,1,2,470,2540-1181
2539046.23780685,1182645.82975201,2024,37,1,2,470,2539-1182
2679239.88139303,1261726.64959763,2022,37,1,2,470,2679-1261
2660500,1270500,2024,43,6,4,470,2660-1270
2660500,1270500,2025,43,1,2,470,2660-1270
2691913,1247569,2025,43,1,2,470,2691-1247
2570113,1203777,2022,43,3,1,470,2570-1203
2616995,1227494,2022,43,6,1,470,2616-1227
2659349,1271141,2024,31,1,3,470,2659-1271
2569790,1203407,2024,31,1,3,470,2569-1203
2563554.13666238,1123758.28495393,2025,43,1,1,470,2563-1123
2706937.58635587,1269930.83118023,2025,43,1,2,470,2706-1269
2592000.68323234,1220699.98565309,2021,43,1,3,470,2592-1220
2490010.5894489,1115257.18310191,2022,43,1,1,470,2490-1115
2670300.06850856,1242299.56432465,2024,43,1,1,470,2670-1242
2540838,1181935,2022,43,3,7,470,2540-1181
2557482.36862242,1137807.38327977,2024,31,1,3,470,2557-1137
2572389,1205647,2025,31,1,3,470,2572-1205
2660500,1270500,2025,43,5,2,470,2660-1270
2660500,1270500,2025,43,4,2,470,2660-1270
2716410.0839195,1113823.61702929,2023,43,3,1,470,2716-1113
2569759,1203457,2022,43,4,13,470,2569-1203
2569716,1203356,2024,43,3,14,470,2569-1203
2555500,1189500,2021,31,2,3,470,2555-1189
2558500,1193500,2023,31,2,3,470,2558-1193
2539046.23780685,1182645.82975201,2025,43,1,2,470,2539-1182
2569500,1203500,2022,31,1,2,470,2569-1203
2678424,1261646,2021,43,1,1,470,2678-1261
2494696.76179314,1121403.00587269,2021,55,2,0,470,2494-1121
2717500,1230500,2024,31,2,3,470,2717-1230
2559887.38949178,1138241.33549638,2024,43,2,13,470,2559-1138
2678743.88625199,1261738.64812515,2024,43,1,1,470,2678-1261
2616947,1227514,2021,43,4,1,470,2616-1227
2670300.06850856,1242299.56432465,2024,37,1,7,470,2670-1242
2494696.76179314,1121403.00587269,2022,43,7,19,470,2494-1121
2578752,1203738,2021,43,1,2,470,2578-1203
2695500,1242500,2025,43,3,2,470,2695-1242
2557851,1137699,2024,31,1,3,470,2557-1137
2660500,1270500,2023,49,1,0,470,2660-1270
2660500,1270500,2024,49,5,0,470,2660-1270
2569500,1203500,2025,49,2,0,470,2569-1203
2692500,1247500,2021,49,1,0,470,2692-1247
2659514,1270922,2025,37,1,1,470,2659-1270
2659105,1271417,2025,37,1,3,470,2659-1271
2659105,1271417,2025,37,1,3,470,2659-1271
2540920,1181934,2025,37,1,3,470,2540-1181
2670651,1242071,2024,49,1,0,470,2670-1242
2659789,1270578,2024,49,3,0,470,2659-1270
2646440,1224508,2024,49,1,0,470,2646-1224
2646443,1224479,2024,49,1,0,470,2646-1224
2574806,1200581,2022,37,1,1,470,2574-1200
2540937,1181933,2024,49,1,0,470,2540-1181
2560554,1132084,2024,49,1,0,470,2560-1132
2678743.88625199,1261738.64812515,2021,37,1,1,470,2678-1261
2644598,1218258,2025,49,2,0,470,2644-1218
2533144.07716398,1174938.94579795,2023,49,1,0,470,2533-1174
2716410.0839195,1113823.61702929,2024,37,3,4,470,2716-1113
2618670.65278626,1128170.52219959,2022,31,1,2,470,2618-1128
2716484,1113725,2024,37,1,2,470,2716-1113
2644118,1224822,2021,37,1,1,470,2644-1224
2716316,1113708,2025,37,3,13,470,2716-1113
2557482.36862242,1137807.38327977,2024,37,1,7,470,2557-1137
2560503,1184847,2023,37,1,2,470,2560-1184
2559951,1138336,2024,37,3,7,470,2559-1138
2539048,1182610,2024,49,1,0,470,2539-1182
2560564,1184941,2023,37,1,3,470,2560-1184
2659573,1270856,2025,37,1,3,470,2659-1270
2582929.35272159,1194085.03069126,2025,37,2,1,470,2582-1194
2582929.35272159,1194085.03069127,2022,37,4,2,470,2582-1194
2539046.23780685,1182645.82975201,2024,49,1,0,470,2539-1182
2570171.55826185,1203620.27005927,2022,43,3,1,470,2570-1203
2580500,1212500,2024,49,1,0,470,2580-1212
2717500,1230500,2022,43,1,2,470,2717-1230
2494696.76179314,1121403.00587269,2025,49,3,0,470,2494-1121
2494696.76179314,1121403.00587269,2023,49,1,0,470,2494-1121
2494696.76179314,1121403.00587269,2024,49,1,0,470,2494-1121
2670634,1242040,2023,43,3,13,470,2670-1242
2576071,1203871,2024,31,1,3,470,2576-1203
2559964.39202934,1138353.33392528,2023,49,1,0,470,2559-1138
2533216,1174781,2024,49,1,0,470,2533-1174
2569500,1203500,2022,43,1,2,470,2569-1203
2706500,1230500,2022,55,1,0,470,2706-1230
2717500,1230500,2022,43,1,2,470,2717-1230
2560500,1194500,2022,43,1,2,470,2560-1194
2614500,1174500,2022,43,1,2,470,2614-1174
2560500,1194500,2025,43,1,2,470,2560-1194
2659958,1270475,2025,43,2,4,470,2659-1270
2570128,1203737,2024,43,1,1,470,2570-1203
2569755,1203429,2024,43,2,2,470,2569-1203
2659769,1270609,2024,43,3,2,470,2659-1270
2616997.53316224,1227529.72548886,2025,43,5,13,470,2616-1227
2679610,1254055,2025,43,1,2,470,2679-1254
2679804,1254043,2025,43,1,2,470,2679-1254
2691500,1233500,2025,55,1,0,470,2691-1233
2659500,1235500,2023,43,1,2,470,2659-1235
2573531,1199844,2023,43,1,2,470,2573-1199
2573475,1199822,2025,43,1,2,470,2573-1199
2573527,1199858,2025,43,1,4,470,2573-1199
2678743.88625199,1261738.64812515,2023,43,1,1,470,2678-1261
2660500,1270500,2023,43,1,3,470,2660-1270
2660500,1270500,2024,43,6,4,470,2660-1270
2704500,1274500,2025,43,1,2,470,2704-1274
2670297,1241028,2021,43,1,2,470,2670-1241
2692500,1247500,2023,49,1,0,470,2692-1247
2494696.76179314,1121403.00587269,2021,55,1,0,470,2494-1121
2570171.55826185,1203620.27005927,2023,49,2,0,470,2570-1203
2659500,1270500,2025,49,3,0,470,2659-1270
2670645,1241924,2024,49,2,0,470,2670-1241
2695865,1242041,2025,37,4,13,470,2695-1242
2576545,1199859,2023,37,3,2,470,2576-1199
2490240,1115547,2021,37,3,4,470,2490-1115
2670260.07317489,1240804.55884211,2021,37,3,19,470,2670-1240
2660117,1270426,2023,49,1,0,470,2660-1270
2670300.06850856,1242299.56432465,2024,49,1,0,470,2670-1242
2680886.9251101,1253887.62681046,2021,49,1,0,470,2680-1253
2670367,1242492,2024,37,1,2,470,2670-1242
2560500,1194500,2021,37,1,1,470,2560-1194
2570500,1203500,2023,49,1,0,470,2570-1203
2717206,1230084,2024,37,1,2,470,2717-1230
2660500,1270500,2023,49,1,0,470,2660-1270
2691500,1233500,2025,49,1,0,470,2691-1233
2716500,1230500,2024,37,1,2,470,2716-1230
2695500,1242500,2024,49,1,0,470,2695-1242
2558150,1192829,2024,37,1,2,470,2558-1192
2646429,1224531,2023,37,3,2,470,2646-1224
2570122,1203734,2022,49,1,0,470,2570-1203
2659926,1270318,2024,49,1,0,470,2659-1270
2559971,1138329,2023,49,1,0,470,2559-1138
2559937,1138230,2023,49,1,0,470,2559-1138
2695838.91529288,1242032.63169496,2025,37,2,13,470,2695-1242
2563554.13666238,1123758.28495393,2021,37,2,4,470,2563-1123
2533144.07716398,1174938.94579796,2021,37,1,7,470,2533-1174
2533425.07355756,1174774.93883712,2021,37,1,2,470,2533-1174
2717500,1230500,2025,37,1,3,470,2717-1230
2538478.25300482,1183335.84453464,2022,37,1,2,470,2538-1183
2616997.53316224,1227529.72548887,2022,37,1,2,470,2616-1227
2538478.25300482,1183335.84453464,2024,37,2,4,470,2538-1183
2538478.25300482,1183335.84453464,2023,37,1,1,470,2538-1183
2731500,1279500,2025,43,1,2,470,2731-1279
2679578.93494353,1254052.6237002,2022,55,1,0,470,2679-1254
2489811,1115065,2022,43,1,2,470,2489-1115
2692267,1247701,2022,43,2,2,470,2692-1247
2705500,1273500,2025,55,1,0,470,2705-1273
2618738,1128109,2023,43,2,2,470,2618-1128
2618578,1128125,2021,43,1,3,470,2618-1128
2695500,1242500,2025,43,1,2,470,2695-1242
2692079.89353457,1247764.64186323,2022,43,2,1,470,2692-1247
2494734,1121394,2022,43,2,2,470,2494-1121
2691531,1247615,2022,43,1,1,470,2691-1247
2558673,1138490,2024,43,1,1,470,2558-1138
2679027.05426009,1225461.50928579,2025,55,1,0,470,2679-1225
2569500,1203500,2024,43,3,14,470,2569-1203
2679604,1254037,2024,43,1,2,470,2679-1254
2660500,1270500,2025,43,4,2,470,2660-1270
2717279,1230114,2023,43,1,2,470,2717-1230
2717215,1230241,2024,43,2,4,470,2717-1230
2678767,1262070,2025,43,1,2,470,2678-1262
2717385,1230127,2023,43,1,2,470,2717-1230
2679187,1262144,2024,43,1,2,470,2679-1262
2717255,1230252,2024,43,3,2,470,2717-1230
2717230,1230211,2023,43,2,2,470,2717-1230
2538478.25300482,1183335.84453464,2022,43,1,2,470,2538-1183
2539046.23780685,1182645.82975201,2024,43,1,2,470,2539-1182
2717229,1230263,2024,43,2,4,470,2717-1230
2705500,1273500,2025,55,1,0,470,2705-1273
2659500,1270500,2024,43,2,2,470,2659-1270
2618670.65278626,1128170.52219958,2023,43,1,2,470,2618-1128
2618670.65278626,1128170.52219958,2023,43,2,1,470,2618-1128
2530678,1151071,2023,43,1,2,470,2530-1151
2530660,1151035,2023,43,1,1,470,2530-1151
2570116,1203735,2022,49,1,0,470,2570-1203
2705044,1111963,2021,49,1,0,470,2705-1111
2692079.89353457,1247764.64186323,2022,49,1,0,470,2692-1247
2538931,1182684,2024,49,1,0,470,2538-1182
2530709,1151052,2022,49,1,0,470,2530-1151
2547155,1183782,2024,49,1,0,470,2547-1183
2717500,1230500,2023,49,1,0,470,2717-1230
2760681,1206481,2022,55,1,0,470,2760-1206
2760700.1517479,1206399.80960859,2022,55,1,0,470,2760-1206
2760700.1517479,1206399.80960859,2022,55,1,0,470,2760-1206
2678492,1261663,2025,25,1,0,470,2678-1261
2616997.53316224,1227529.72548887,2021,25,1,0,470,2616-1227
2670500,1242500,2022,25,1,0,470,2670-1242
2569500,1203500,2024,25,1,0,470,2569-1203
2569728,1203483,2021,25,2,0,470,2569-1203
2709436,1113514,2021,25,1,0,470,2709-1113
2494696.76179314,1121403.00587269,2022,25,2,0,470,2494-1121
2569500,1203500,2025,25,1,0,470,2569-1203
2560644.27609057,1132094.32651874,2021,31,1,2,470,2560-1132
2490010.5894489,1115257.18310191,2024,31,2,3,470,2490-1115
2559991,1138314,2025,31,2,2,470,2559-1138
2559868,1138286,2021,31,1,7,470,2559-1138
2579823,1188299,2024,31,2,4,470,2579-1188
2660351,1269971,2022,31,1,2,470,2660-1269
2579789,1188377,2024,31,1,3,470,2579-1188
2569376,1203302,2021,31,1,2,470,2569-1203
2568970,1203233,2023,31,1,2,470,2568-1203
2570171.55826185,1203620.27005927,2024,31,2,3,470,2570-1203
2570171.55826185,1203620.27005927,2024,31,2,2,470,2570-1203
2616997.53316224,1227529.72548886,2024,31,3,2,470,2616-1227
2616997.53316224,1227529.72548886,2024,31,2,2,470,2616-1227
2616997.53316224,1227529.72548887,2021,31,2,2,470,2616-1227
2679578.93494353,1254052.6237002,2024,31,1,2,470,2679-1254
2670350.07219683,1240899.55926051,2023,31,1,3,470,2670-1240
2670260.07317489,1240804.5588421,2023,31,1,3,470,2670-1240
2660500,1270500,2021,31,1,1,470,2660-1270
2660500,1270500,2022,31,1,3,470,2660-1270
2656904,1220838,2025,31,1,3,470,2656-1220
2643558,1224686,2023,37,1,2,470,2643-1224
2660500,1270500,2023,37,1,2,470,2660-1270
2552221,1187641,2021,37,1,2,470,2552-1187
2717500,1230500,2024,37,3,4,470,2717-1230
2582929.35272159,1194085.03069126,2025,37,1,1,470,2582-1194
2552861,1197014,2021,37,1,2,470,2552-1197
2489842.58544178,1115114.18917557,2021,37,1,2,470,2489-1115
2540869.22048315,1181909.78682461,2023,37,2,1,470,2540-1181
2660500,1270500,2022,37,1,1,470,2660-1270
2559948,1138345,2025,37,1,2,470,2559-1138
2574847,1197385,2023,37,1,2,470,2574-1197
2660207,1269898,2022,37,1,2,470,2660-1269
2579575,1188228,2025,37,1,3,470,2579-1188
2660229,1269880,2022,37,1,2,470,2660-1269
2679899.93090498,1254249.62531433,2021,37,1,2,470,2679-1254
2670350.07219683,1240899.55926052,2021,37,2,3,470,2670-1240
2670350.07219683,1240899.55926052,2022,37,1,2,470,2670-1240
2670406,1240814,2021,37,1,3,470,2670-1240
2489787,1115036,2024,37,2,4,470,2489-1115
2616997.53316224,1227529.72548886,2023,37,15,13,470,2616-1227
2540869.22048315,1181909.78682461,2022,37,6,7,470,2540-1181
