x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2629501,1229148,2024,1,1,0,3090,2629-1229
2586575,1203698,2022,1,1,0,3090,2586-1203
2584500,1117500,2025,1,2,0,3090,2584-1117
2528500,1185500,2025,1,1,0,3090,2528-1185
2584500,1117500,2024,1,1,0,3090,2584-1117
2630871,1171144,2023,1,1,0,3090,2630-1171
2584553.21416007,1117209.94172944,2024,1,1,0,3090,2584-1117
2611783,1171871,2025,1,1,0,3090,2611-1171
2741500,1220500,2024,1,1,0,3090,2741-1220
2619500,1257500,2022,1,1,0,3090,2619-1257
2619659,1257296,2022,1,1,0,3090,2619-1257
2619638,1257266,2025,1,1,0,3090,2619-1257
2586500,1203500,2022,1,1,0,3090,2586-1203
2679334,1269916,2024,1,2,5,3090,2679-1269
2583635,1238333,2021,1,2,4,3090,2583-1238
2576242,1260852,2021,1,1,0,3090,2576-1260
2584553.21416007,1117209.94172944,2025,1,2,0,3090,2584-1117
2571566.9149947,1107843.18799672,2021,1,1,0,3090,2571-1107
2619500,1257500,2021,1,1,0,3090,2619-1257
2602296,1249144,2025,7,1,1,3090,2602-1249
2614398,1267095,2025,7,1,3,3090,2614-1267
2729938,1122233,2025,7,1,2,3090,2729-1122
2614803,1267181,2025,7,1,3,3090,2614-1267
2611877,1255501,2021,7,2,4,3090,2611-1255
2773143,1141150,2021,7,2,4,3090,2773-1141
2761865,1207567,2025,7,2,5,3090,2761-1207
2571730,1107865,2025,7,1,2,3090,2571-1107
2727040,1122055,2021,7,1,3,3090,2727-1122
2761042,1260343,2025,7,1,3,3090,2761-1260
2760175,1197846,2025,7,1,3,3090,2760-1197
2670235,1221186,2021,7,2,6,3090,2670-1221
2584614,1117199,2024,1,2,3,3090,2584-1117
2567879,1248606,2023,1,1,3,3090,2567-1248
2584661,1117194,2025,1,1,0,3090,2584-1117
2634052,1124478,2023,7,1,2,3090,2634-1124
2714870,1105703,2025,1,1,0,3090,2714-1105
2713634,1230234,2024,7,1,3,3090,2713-1230
2564393,1121318,2025,7,1,1,3090,2564-1121
2561404,1100657,2023,12,2,4,3090,2561-1100
2586514,1203243,2021,12,1,3,3090,2586-1203
2663900,1197305,2025,12,2,7,3090,2663-1197
2619500,1257500,2021,7,1,1,3090,2619-1257
2610043,1254181,2024,12,2,4,3090,2610-1254
2619866,1240919,2025,12,1,3,3090,2619-1240
2721491,1081100,2022,7,1,3,3090,2721-1081
2722584,1117113,2021,7,1,1,3090,2722-1117
2578746,1246465,2024,7,1,3,3090,2578-1246
2619767,1257266,2025,12,2,14,3090,2619-1257
2578632,1246355,2023,7,1,3,3090,2578-1246
2590744,1116940,2022,7,1,2,3090,2590-1116
2619748,1257270,2025,12,2,7,3090,2619-1257
2619638,1257251,2024,12,1,2,3090,2619-1257
2585161.32130092,1117436.25811919,2021,12,1,2,3090,2585-1117
2611769,1255779,2021,12,1,3,3090,2611-1255
2598066,1123243,2025,12,2,5,3090,2598-1123
2714721.95155106,1230655.66969815,2025,7,2,3,3090,2714-1230
2563500,1232500,2022,12,2,4,3090,2563-1232
2750213,1256737,2025,12,1,3,3090,2750-1256
2575500,1243500,2021,12,1,1,3090,2575-1243
2528169,1168042,2021,12,2,6,3090,2528-1168
2607718,1205012,2021,12,1,3,3090,2607-1205
2714721.95155106,1230655.66969816,2022,7,1,1,3090,2714-1230
2561436,1216094,2022,12,1,1,3090,2561-1216
2610040,1254162,2021,12,1,3,3090,2610-1254
2656208,1231358,2024,19,1,18,3090,2656-1231
2584571,1117341,2025,7,1,1,3090,2584-1117
2584675,1117203,2024,7,1,2,3090,2584-1117
2557464,1133085,2023,7,2,4,3090,2557-1133
2630926,1169007,2025,12,2,4,3090,2630-1169
2668128,1268627,2022,12,1,3,3090,2668-1268
2755964,1191127,2021,12,1,3,3090,2755-1191
2610220,1206504,2024,12,2,4,3090,2610-1206
2569453,1220980,2021,12,1,3,3090,2569-1220
2581562,1225280,2023,12,1,3,3090,2581-1225
2754500,1221500,2024,7,1,3,3090,2754-1221
2762500,1196500,2021,12,1,2,3090,2762-1196
