x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2708500,1229500,2025,31,1,3,5500,2708-1229
2687503,1165556,2024,31,1,3,5500,2687-1165
2687692,1165981,2024,31,1,3,5500,2687-1165
2687877,1165730,2025,31,1,3,5500,2687-1165
2687669,1165993,2025,31,2,3,5500,2687-1165
2687981,1165795,2025,31,1,3,5500,2687-1165
2681514,1160938,2021,31,1,3,5500,2681-1160
2687500,1165500,2023,31,1,2,5500,2687-1165
2687500,1165500,2023,31,1,2,5500,2687-1165
2708845,1229232,2025,31,2,1,5500,2708-1229
2687475,1165466,2025,37,1,3,5500,2687-1165
2708500,1229500,2024,31,1,3,5500,2708-1229
2708500,1229500,2024,31,1,3,5500,2708-1229
2708500,1229500,2025,31,1,1,5500,2708-1229
2687773,1165544,2025,31,1,3,5500,2687-1165
2681538,1160947,2023,37,1,3,5500,2681-1160
2687774,1165958,2022,37,1,3,5500,2687-1165
2708999.95930023,1228999.6297334,2025,31,2,6,5500,2708-1228
2708500,1229500,2025,31,1,1,5500,2708-1229
2682500,1162500,2021,31,1,3,5500,2682-1162
2687500,1165500,2021,31,1,3,5500,2687-1165
2682500,1162500,2021,31,1,3,5500,2682-1162
2687500,1165500,2025,37,2,3,5500,2687-1165
2687500,1165500,2021,31,1,1,5500,2687-1165
2708500,1229500,2023,31,1,1,5500,2708-1229
2708850,1229224,2025,31,1,3,5500,2708-1229
2708500,1229500,2025,31,1,3,5500,2708-1229
2681305,1160932,2024,31,1,3,5500,2681-1160
2708768,1229167,2025,31,1,3,5500,2708-1229
2687557,1165626,2023,31,1,3,5500,2687-1165
2687929,1165937,2023,31,1,3,5500,2687-1165
2708500,1229500,2024,37,1,3,5500,2708-1229
2708500,1229500,2023,31,1,3,5500,2708-1229
2708500,1229500,2024,31,1,3,5500,2708-1229
2682500,1162500,2021,38,1,3,5500,2682-1162
2708500,1229500,2024,32,1,3,5500,2708-1229
2687500,1165500,2025,38,2,16,5500,2687-1165
2708500,1229500,2025,32,1,3,5500,2708-1229
2708500,1229500,2024,32,1,3,5500,2708-1229
2708999.95930023,1228999.6297334,2025,32,2,2,5500,2708-1228
2708999.95930023,1228999.6297334,2025,32,1,3,5500,2708-1228
2687500,1165500,2025,32,2,3,5500,2687-1165
2708500,1229500,2025,32,1,3,5500,2708-1229
2687555,1165802,2021,32,1,3,5500,2687-1165
2687500,1165500,2024,32,1,3,5500,2687-1165
2708500,1229500,2024,32,1,3,5500,2708-1229
2687500,1165500,2023,32,2,3,5500,2687-1165
2708845,1229280,2025,32,1,3,5500,2708-1229
2687500,1165500,2025,32,1,3,5500,2687-1165
2687962,1165824,2025,32,4,4,5500,2687-1165
2687651,1165650,2023,32,1,3,5500,2687-1165
2708999.95930023,1228999.6297334,2025,32,1,3,5500,2708-1228
2687500,1165500,2025,32,4,4,5500,2687-1165
2687500,1165500,2025,32,3,3,5500,2687-1165
2708500,1229500,2025,32,2,4,5500,2708-1229
2708500,1229500,2024,32,1,1,5500,2708-1229
2708999.95930023,1228999.6297334,2025,33,1,3,5500,2708-1228
2681530,1160502,2024,32,1,3,5500,2681-1160
2681609,1160918,2024,32,1,3,5500,2681-1160
2687389,1165227,2025,32,3,4,5500,2687-1165
2687834,1165834,2025,32,4,4,5500,2687-1165
2687569,1165892,2023,38,1,3,5500,2687-1165
2708500,1229500,2023,32,2,3,5500,2708-1229
2708500,1229500,2025,32,1,3,5500,2708-1229
2708500,1229500,2024,32,1,3,5500,2708-1229
2708500,1229500,2025,32,1,3,5500,2708-1229
2687537,1165578,2025,32,1,3,5500,2687-1165
2687559,1165634,2024,32,1,3,5500,2687-1165
2708500,1229500,2025,32,1,3,5500,2708-1229
2681500,1160500,2024,32,1,3,5500,2681-1160
2633111,1155576,2025,38,2,16,5500,2633-1155
2687500,1165500,2021,33,1,3,5500,2687-1165
2687500,1165500,2021,33,1,3,5500,2687-1165
2682500,1162500,2021,39,1,2,5500,2682-1162
2681500,1160500,2024,38,1,3,5500,2681-1160
2682500,1162500,2021,33,1,3,5500,2682-1162
2687787,1165544,2025,39,1,3,5500,2687-1165
2708500,1229500,2024,33,1,3,5500,2708-1229
2687500,1165500,2023,33,1,3,5500,2687-1165
2682500,1162500,2021,33,1,1,5500,2682-1162
2708500,1229500,2025,33,2,3,5500,2708-1229
2682500,1162500,2023,33,1,3,5500,2682-1162
2708500,1229500,2025,33,1,1,5500,2708-1229
2687500,1165500,2021,33,1,3,5500,2687-1165
2687500,1165500,2021,33,1,1,5500,2687-1165
2687809,1165927,2024,34,2,2,5500,2687-1165
2687587,1165613,2021,33,1,3,5500,2687-1165
2687806,1165701,2025,33,1,2,5500,2687-1165
2687443,1165416,2021,33,1,3,5500,2687-1165
2687488,1165510,2021,33,1,3,5500,2687-1165
2687587,1165613,2021,33,1,3,5500,2687-1165
2687500,1165500,2024,34,2,3,5500,2687-1165
2687500,1165500,2025,39,1,3,5500,2687-1165
2708500,1229500,2024,33,1,3,5500,2708-1229
2687500,1165500,2021,33,1,3,5500,2687-1165
2687500,1165500,2025,39,1,2,5500,2687-1165
2682500,1162500,2021,33,1,1,5500,2682-1162
2681508,1160840,2024,33,1,3,5500,2681-1160
2681367,1160864,2024,33,1,3,5500,2681-1160
2687448,1165436,2021,33,2,2,5500,2687-1165
2687486,1165500,2024,33,1,3,5500,2687-1165
2687603,1165589,2024,33,1,3,5500,2687-1165
2682972,1162250,2024,33,1,3,5500,2682-1162
2708999.95930023,1228999.6297334,2025,34,1,3,5500,2708-1228
2681500,1160500,2024,39,1,3,5500,2681-1160
2687889,1165992,2023,33,1,1,5500,2687-1165
2682500,1162500,2021,33,1,3,5500,2682-1162
2682500,1162500,2021,33,1,3,5500,2682-1162
2687500,1165500,2021,33,1,3,5500,2687-1165
2687500,1165500,2022,34,2,3,5500,2687-1165
2687832,1165685,2024,34,1,2,5500,2687-1165
2687782,1165262,2025,34,1,3,5500,2687-1165
2687792,1165250,2025,34,1,3,5500,2687-1165
2687823,1165936,2024,34,,3,5500,2687-1165
2687780,1165266,2025,34,1,1,5500,2687-1165
2687583,1165784,2024,34,1,3,5500,2687-1165
2687867,1165698,2024,34,1,3,5500,2687-1165
2687857,1165727,2025,34,4,4,5500,2687-1165
2687870,1165944,2025,34,1,3,5500,2687-1165
2687500,1165500,2024,34,1,1,5500,2687-1165
2708999.95930023,1228999.6297334,2025,34,1,3,5500,2708-1228
2708793,1229288,2025,40,1,1,5500,2708-1229
2687889,1165979,2024,34,1,3,5500,2687-1165
2687593,1165604,2025,34,2,3,5500,2687-1165
2708500,1229500,2025,34,1,3,5500,2708-1229
2708911,1229043,2025,28,1,0,5500,2708-1229
2687500,1165500,2023,34,1,3,5500,2687-1165
2708999.95930023,1228999.6297334,2025,29,1,3,5500,2708-1228
2687500,1165500,2023,34,2,3,5500,2687-1165
2687500,1165500,2022,34,1,3,5500,2687-1165
2682931,1162152,2025,34,1,3,5500,2682-1162
2687476,1165567,2023,34,1,3,5500,2687-1165
2687464,1165400,2023,34,1,1,5500,2687-1165
2687477,1165448,2023,34,1,3,5500,2687-1165
2687454,1165458,2023,34,1,1,5500,2687-1165
2687773,1165217,2023,34,2,2,5500,2687-1165
2687571,1165505,2025,34,1,3,5500,2687-1165
2708928,1229282,2025,29,1,3,5500,2708-1229
2708999.95930023,1228999.6297334,2025,29,1,3,5500,2708-1228
2708889,1229197,2025,28,1,0,5500,2708-1229
2708839,1229203,2025,28,1,0,5500,2708-1229
2708500,1229500,2025,28,1,0,5500,2708-1229
2708999.95930023,1228999.6297334,2025,34,1,3,5500,2708-1228
2687981,1165807,2024,34,1,3,5500,2687-1165
2687949,1165982,2025,34,1,3,5500,2687-1165
2687500,1165500,2024,34,1,3,5500,2687-1165
2708999.95930023,1228999.6297334,2025,28,2,0,5500,2708-1228
2708500,1229500,2024,29,1,3,5500,2708-1229
2708999.95930023,1228999.6297334,2025,29,1,3,5500,2708-1228
2708999.95930023,1228999.6297334,2025,29,1,3,5500,2708-1228
2682931,1162142,2025,34,1,3,5500,2682-1162
2687644,1165677,2021,34,1,3,5500,2687-1165
2687849,1165828,2021,34,1,3,5500,2687-1165
2687679,1165524,2021,34,1,3,5500,2687-1165
2687790,1165976,2025,34,1,3,5500,2687-1165
2687500,1165500,2024,34,2,3,5500,2687-1165
2687500,1165500,2021,34,1,3,5500,2687-1165
2708843,1229221,2025,35,1,3,5500,2708-1229
2687500,1165500,2023,30,3,3,5500,2687-1165
2708959,1229279,2024,30,1,3,5500,2708-1229
2682831,1162051,2021,36,1,1,5500,2682-1162
2681582,1160945,2024,28,1,3,5500,2681-1160
2687851,1165807,2021,35,1,3,5500,2687-1165
2687752,1165385,2023,35,1,3,5500,2687-1165
2687794,1165997,2023,35,1,3,5500,2687-1165
2708843,1229197,2025,30,1,1,5500,2708-1229
2708500,1229500,2024,30,1,3,5500,2708-1229
2687500,1165500,2022,29,2,4,5500,2687-1165
2687500,1165500,2023,30,1,2,5500,2687-1165
2708999.95930023,1228999.6297334,2025,29,1,3,5500,2708-1228
2687687,1165685,2025,35,3,3,5500,2687-1165
2687854,1165688,2021,35,2,3,5500,2687-1165
2687434,1165436,2021,35,1,3,5500,2687-1165
2682952,1162221,2021,35,1,3,5500,2682-1162
2682500,1162500,2021,41,1,3,5500,2682-1162
2687500,1165500,2025,35,1,3,5500,2687-1165
2708500,1229500,2025,35,1,3,5500,2708-1229
2687805,1165855,2025,35,1,3,5500,2687-1165
2687863,1165971,2025,35,1,3,5500,2687-1165
2687616,1165558,2025,35,1,3,5500,2687-1165
2681304,1160658,2025,35,1,3,5500,2681-1160
2681027,1160411,2021,35,2,3,5500,2681-1160
2681500,1160500,2023,41,5,13,5500,2681-1160
2708999.95930023,1228999.6297334,2025,41,4,13,5500,2708-1228
2682500,1162500,2025,36,4,3,5500,2682-1162
2677455,1148099,2024,42,4,19,5500,2677-1148
2708500,1229500,2024,30,1,3,5500,2708-1229
2687500,1165500,2023,29,1,3,5500,2687-1165
2687500,1165500,2025,35,1,3,5500,2687-1165
2708999.95930023,1228999.6297334,2025,35,1,3,5500,2708-1228
2687500,1165500,2025,35,2,3,5500,2687-1165
2687500,1165500,2024,35,2,3,5500,2687-1165
2708500,1229500,2024,29,1,3,5500,2708-1229
2708894,1229245,2025,29,1,3,5500,2708-1229
2708873,1229152,2025,35,2,4,5500,2708-1229
2708500,1229500,2024,29,1,1,5500,2708-1229
2708500,1229500,2024,29,1,3,5500,2708-1229
2708500,1229500,2024,29,1,1,5500,2708-1229
2708500,1229500,2024,29,1,1,5500,2708-1229
2708500,1229500,2024,29,1,3,5500,2708-1229
2681500,1160500,2023,36,2,3,5500,2681-1160
2682500,1162500,2021,36,2,3,5500,2682-1162
2708404,1228968,2024,29,1,3,5500,2708-1228
2682500,1162500,2022,36,1,3,5500,2682-1162
2708500,1229500,2024,30,1,3,5500,2708-1229
2687566,1165646,2023,30,1,3,5500,2687-1165
2687212,1165100,2023,30,1,3,5500,2687-1165
2687611,1165703,2024,30,1,3,5500,2687-1165
2687687,1165667,2023,30,1,2,5500,2687-1165
2687544,1165446,2023,30,1,3,5500,2687-1165
2687653,1165537,2021,36,1,3,5500,2687-1165
2682500,1162500,2024,30,1,3,5500,2682-1162
2687500,1165500,2023,30,3,3,5500,2687-1165
2708967,1229307,2024,30,1,3,5500,2708-1229
2708842,1229219,2024,30,1,1,5500,2708-1229
2708863,1229246,2025,30,1,3,5500,2708-1229
2682500,1162500,2024,30,1,3,5500,2682-1162
2708500,1229500,2024,30,1,3,5500,2708-1229
2682500,1162500,2022,30,3,4,5500,2682-1162
2708500,1229500,2024,30,1,3,5500,2708-1229
2682974,1162237,2024,36,1,3,5500,2682-1162
2708500,1229500,2024,30,1,1,5500,2708-1229
2687729,1165981,2023,30,1,3,5500,2687-1165
2687606,1165646,2023,30,1,3,5500,2687-1165
2687596,1165628,2023,30,1,3,5500,2687-1165
2687295,1165315,2023,30,1,3,5500,2687-1165
2681421,1160812,2023,36,1,3,5500,2681-1160
2687873,1165922,2021,36,2,1,5500,2687-1165
2708500,1229500,2025,30,1,3,5500,2708-1229
2682979,1162223,2021,36,3,3,5500,2682-1162
2708500,1229500,2024,30,1,1,5500,2708-1229
2708500,1229500,2024,30,1,3,5500,2708-1229
2708923,1229291,2025,30,1,3,5500,2708-1229
2708882,1229215,2025,30,1,3,5500,2708-1229
2708500,1229500,2025,30,1,3,5500,2708-1229
2687768,1165677,2024,30,1,3,5500,2687-1165
2687621,1165653,2023,30,1,3,5500,2687-1165
2687768,1165528,2023,30,1,3,5500,2687-1165
2687621,1165653,2023,30,1,3,5500,2687-1165
2687768,1165528,2023,30,1,3,5500,2687-1165
2687588,1165691,2023,30,1,3,5500,2687-1165
2708999.95930023,1228999.6297334,2025,30,1,3,5500,2708-1228
2708999.95930023,1228999.6297334,2025,30,1,3,5500,2708-1228
2708500,1229500,2025,30,1,3,5500,2708-1229
2682500,1162500,2025,36,4,3,5500,2682-1162
2682500,1162500,2025,36,4,3,5500,2682-1162
2708814,1229310,2025,30,1,1,5500,2708-1229
2708500,1229500,2025,31,1,1,5500,2708-1229
2708500,1229500,2025,31,1,3,5500,2708-1229
2708500,1229500,2025,31,1,3,5500,2708-1229
2708999.95930023,1228999.6297334,2025,31,2,6,5500,2708-1228
2708866,1229218,2025,31,2,2,5500,2708-1229
2708863,1229228,2025,31,2,3,5500,2708-1229
2682813,1162107,2025,37,1,3,5500,2682-1162
2682682,1162060,2024,31,1,3,5500,2682-1162
2682563,1162009,2024,31,1,3,5500,2682-1162
2682767,1162087,2024,31,1,3,5500,2682-1162
2708500,1229500,2023,31,1,3,5500,2708-1229
2681500,1160500,2023,37,1,3,5500,2681-1160
2682738,1162071,2025,37,1,3,5500,2682-1162
2708966,1229391,2023,31,1,3,5500,2708-1229
2687500,1165500,2021,31,1,3,5500,2687-1165
2708999.95930023,1228999.6297334,2025,31,2,4,5500,2708-1228
2708999.95930023,1228999.6297334,2025,37,1,3,5500,2708-1228
2682970,1162152,2023,43,1,1,5500,2682-1162
2708317,1229307,2024,31,1,2,5500,2708-1229
2708369,1229311,2024,31,1,3,5500,2708-1229
2708999.95930023,1228999.6297334,2025,31,1,3,5500,2708-1228
2682888,1162139,2024,37,1,3,5500,2682-1162
2682920,1162204,2024,32,1,3,5500,2682-1162
2687500,1165500,2023,32,2,3,5500,2687-1165
2708858,1229194,2024,32,1,1,5500,2708-1229
2682565,1162002,2021,38,1,3,5500,2682-1162
2708845,1229280,2025,32,1,3,5500,2708-1229
2682569,1162016,2024,32,1,3,5500,2682-1162
2682500,1162500,2021,32,1,3,5500,2682-1162
2708999.95930023,1228999.6297334,2025,32,1,3,5500,2708-1228
2708500,1229500,2024,32,1,3,5500,2708-1229
2682623,1162032,2025,38,1,3,5500,2682-1162
2682623,1162032,2025,38,1,3,5500,2682-1162
2708883,1229314,2025,32,2,3,5500,2708-1229
2682721,1162044,2021,32,1,3,5500,2682-1162
2708873,1229173,2025,32,1,3,5500,2708-1229
2708826,1229280,2025,32,1,3,5500,2708-1229
2708859,1229227,2025,32,2,3,5500,2708-1229
2708999.95930023,1228999.6297334,2025,32,1,3,5500,2708-1228
2682758,1162043,2024,32,1,3,5500,2682-1162
2682897,1162054,2024,32,1,3,5500,2682-1162
2708850,1229212,2025,32,2,4,5500,2708-1229
2708492,1229201,2024,32,1,1,5500,2708-1229
2708973,1229398,2024,32,1,3,5500,2708-1229
2708835,1229318,2025,32,1,3,5500,2708-1229
2682500,1162500,2021,33,1,3,5500,2682-1162
2708500,1229500,2024,33,1,1,5500,2708-1229
2682604,1162000,2023,33,1,3,5500,2682-1162
2682895,1162300,2023,33,2,3,5500,2682-1162
2708410,1229339,2024,33,1,3,5500,2708-1229
2708863,1229295,2025,33,2,1,5500,2708-1229
2708888,1229236,2025,33,2,3,5500,2708-1229
2687500,1165500,2024,33,1,3,5500,2687-1165
2687500,1165500,2021,33,1,3,5500,2687-1165
2708856,1229212,2025,33,1,1,5500,2708-1229
2708500,1229500,2025,33,1,3,5500,2708-1229
2682858,1162161,2021,33,2,3,5500,2682-1162
2682962,1162023,2024,33,1,3,5500,2682-1162
2708999.95930023,1228999.6297334,2025,33,1,3,5500,2708-1228
2687500,1165500,2025,39,1,3,5500,2687-1165
2708999.95930023,1228999.6297334,2025,27,1,0,5500,2708-1228
2682862,1162116,2025,33,1,3,5500,2682-1162
2708999.95930023,1228999.6297334,2025,33,1,3,5500,2708-1228
2708491,1229361,2024,33,1,3,5500,2708-1229
2708843,1229236,2025,27,1,0,5500,2708-1229
2682661,1162055,2025,34,1,3,5500,2682-1162
2708932,1229302,2025,34,1,3,5500,2708-1229
2708999.95930023,1228999.6297334,2025,28,1,0,5500,2708-1228
2708999.95930023,1228999.6297334,2025,28,1,0,5500,2708-1228
