x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2704500,1216500,2025,31,1,3,5500,2704-1216
2684009,1162662,2023,31,1,3,5500,2684-1162
2686156,1163331,2025,31,1,3,5500,2686-1163
2684071,1162770,2022,31,1,3,5500,2684-1162
2665752,1149911,2024,31,1,3,5500,2665-1149
2734500,1164500,2024,31,1,3,5500,2734-1164
2594783,1155634,2023,31,1,3,5500,2594-1155
2598034,1169497,2023,31,1,3,5500,2598-1169
2708500,1229500,2025,31,1,3,5500,2708-1229
2683500,1162500,2023,31,2,2,5500,2683-1162
2687843,1166227,2023,31,1,3,5500,2687-1166
2687980,1166084,2025,31,2,5,5500,2687-1166
2687503,1165556,2024,31,1,3,5500,2687-1165
2687692,1165981,2024,31,1,3,5500,2687-1165
2687877,1165730,2025,31,1,3,5500,2687-1165
2687669,1165993,2025,31,2,3,5500,2687-1165
2687981,1165795,2025,31,1,3,5500,2687-1165
2681514,1160938,2021,31,1,3,5500,2681-1160
2683500,1162500,2024,37,1,3,5500,2683-1162
2687762,1166207,2025,31,2,3,5500,2687-1166
2687500,1165500,2023,31,1,2,5500,2687-1165
2681500,1161500,2023,31,2,4,5500,2681-1161
2687500,1165500,2023,31,1,2,5500,2687-1165
2704995,1215757,2025,31,1,3,5500,2704-1215
2708845,1229232,2025,31,2,1,5500,2708-1229
2684731,1163069,2023,37,1,3,5500,2684-1163
2683957,1162740,2023,31,2,6,5500,2683-1162
2683717,1162493,2022,31,1,3,5500,2683-1162
2683867,1162565,2023,31,1,3,5500,2683-1162
2683500,1162499,2023,31,1,3,5500,2683-1162
2683500,1162500,2023,31,2,2,5500,2683-1162
2738849,1155517,2023,31,2,4,5500,2738-1155
2785819,1153581,2022,31,1,3,5500,2785-1153
2681503,1161249,2022,31,1,3,5500,2681-1161
2687500,1166500,2025,37,1,1,5500,2687-1166
2704303,1215675,2025,31,1,3,5500,2704-1215
2687911,1166102,2025,37,1,1,5500,2687-1166
2687475,1165466,2025,37,1,3,5500,2687-1165
2738500,1155500,2023,31,2,4,5500,2738-1155
2683500,1162500,2021,31,2,3,5500,2683-1162
2683500,1162500,2021,31,1,3,5500,2683-1162
2683880,1162661,2024,37,1,3,5500,2683-1162
2683526,1162379,2025,37,1,3,5500,2683-1162
2683603,1162496,2024,37,2,2,5500,2683-1162
2683500,1162500,2021,31,2,1,5500,2683-1162
2708500,1229500,2024,31,1,3,5500,2708-1229
2684171,1162824,2024,31,1,3,5500,2684-1162
2684031,1162808,2024,31,1,3,5500,2684-1162
2683915,1162698,2024,31,1,3,5500,2683-1162
2559676.70212782,1104081.43236188,2022,37,1,2,5500,2559-1104
2684067,1162757,2023,31,1,1,5500,2684-1162
2684074,1162721,2022,31,1,3,5500,2684-1162
2684064,1162662,2021,31,1,3,5500,2684-1162
2708500,1229500,2024,31,1,3,5500,2708-1229
2683500,1162500,2021,31,2,3,5500,2683-1162
2681500,1161500,2024,31,1,3,5500,2681-1161
2687900,1166004,2025,31,3,1,5500,2687-1166
2686500,1164500,2021,31,1,3,5500,2686-1164
2717500,1230500,2025,31,1,3,5500,2717-1230
2684500,1162500,2022,31,1,3,5500,2684-1162
2683500,1162500,2021,31,2,1,5500,2683-1162
2708500,1229500,2025,31,1,1,5500,2708-1229
2687773,1165544,2025,31,1,3,5500,2687-1165
2709500,1229500,2024,31,1,3,5500,2709-1229
2681538,1160947,2023,37,1,3,5500,2681-1160
2687774,1165958,2022,37,1,3,5500,2687-1165
2594500,1155500,2023,31,1,3,5500,2594-1155
2708999.95930023,1228999.6297334,2025,31,2,6,5500,2708-1228
2708500,1229500,2025,31,1,1,5500,2708-1229
2683808,1162559,2024,31,1,3,5500,2683-1162
2683922,1162799,2023,31,3,1,5500,2683-1162
2665178.98319773,1149731.31227127,2023,31,1,3,5500,2665-1149
2682472,1161870,2024,31,1,3,5500,2682-1161
2686500,1163500,2021,31,1,3,5500,2686-1163
2684500,1162500,2021,31,1,3,5500,2684-1162
2682500,1162500,2021,31,1,3,5500,2682-1162
2687500,1165500,2021,31,1,3,5500,2687-1165
2682500,1162500,2021,31,1,3,5500,2682-1162
2683500,1162500,2021,31,1,3,5500,2683-1162
2687500,1165500,2025,37,2,3,5500,2687-1165
2687500,1165500,2021,31,1,1,5500,2687-1165
2684500,1163500,2021,31,1,3,5500,2684-1163
2738500,1155500,2023,31,1,3,5500,2738-1155
2708500,1229500,2023,31,1,1,5500,2708-1229
2683500,1162500,2021,31,1,3,5500,2683-1162
2685082,1163238,2022,37,1,3,5500,2685-1163
2684009,1162768,2021,37,3,3,5500,2684-1162
2684500,1162500,2021,31,1,3,5500,2684-1162
2594802,1155628,2023,31,1,3,5500,2594-1155
2663107,1273701,2023,31,1,3,5500,2663-1273
2709500,1229500,2024,31,1,3,5500,2709-1229
2684500,1162500,2021,31,1,3,5500,2684-1162
2725320,1250614,2023,31,1,3,5500,2725-1250
2683500,1162500,2023,37,1,2,5500,2683-1162
2738828,1155503,2023,31,1,3,5500,2738-1155
2738851,1155518,2023,31,1,3,5500,2738-1155
2683500,1162500,2021,31,1,3,5500,2683-1162
2684500,1162500,2021,31,1,3,5500,2684-1162
2665178.98319773,1149731.31227127,2023,31,1,3,5500,2665-1149
2683827,1162633,2021,31,1,3,5500,2683-1162
2683935,1162785,2023,31,2,4,5500,2683-1162
2681469,1161480,2023,37,1,3,5500,2681-1161
2683921,1162702,2023,37,1,2,5500,2683-1162
2683437,1162410,2021,37,4,3,5500,2683-1162
2687934,1166033,2023,31,2,3,5500,2687-1166
2665327,1149906,2023,31,2,3,5500,2665-1149
2683500,1162500,2022,31,2,3,5500,2683-1162
2708850,1229224,2025,31,1,3,5500,2708-1229
2684115,1162724,2023,31,1,3,5500,2684-1162
2684248,1162808,2023,31,1,3,5500,2684-1162
2684125,1162730,2023,31,1,3,5500,2684-1162
2684114,1162868,2022,31,1,1,5500,2684-1162
2684069,1162860,2021,31,1,3,5500,2684-1162
2684047,1163517,2024,31,1,3,5500,2684-1163
2685219,1163263,2024,31,1,3,5500,2685-1163
2685104,1163122,2024,31,1,3,5500,2685-1163
2685164,1163237,2023,31,1,3,5500,2685-1163
2684404,1162797,2023,31,1,3,5500,2684-1162
2684014,1162756,2024,31,1,3,5500,2684-1162
2684015,1162765,2024,31,2,3,5500,2684-1162
2687720,1166100,2024,31,2,3,5500,2687-1166
2708500,1229500,2025,31,1,3,5500,2708-1229
2733934,1165625,2021,31,1,3,5500,2733-1165
2680500,1160500,2023,37,1,3,5500,2680-1160
2681305,1160932,2024,31,1,3,5500,2681-1160
2681721,1161258,2024,31,1,3,5500,2681-1161
2632860,1171276,2022,31,1,3,5500,2632-1171
2687818,1166084,2023,31,1,3,5500,2687-1166
2685500,1163500,2022,31,1,3,5500,2685-1163
2687764,1166150,2023,31,1,3,5500,2687-1166
2708768,1229167,2025,31,1,3,5500,2708-1229
2687557,1165626,2023,31,1,3,5500,2687-1165
2687929,1165937,2023,31,1,3,5500,2687-1165
2704337,1215590,2022,31,1,1,5500,2704-1215
2708500,1229500,2024,37,1,3,5500,2708-1229
2688063,1165790,2025,37,1,2,5500,2688-1165
2683500,1162500,2022,32,2,3,5500,2683-1162
2684500,1162500,2023,32,1,3,5500,2684-1162
2761500,1247500,2021,32,1,3,5500,2761-1247
2683500,1162500,2021,31,4,3,5500,2683-1162
2683500,1162500,2022,31,2,3,5500,2683-1162
2600295,1144081,2023,32,1,3,5500,2600-1144
2683584,1162470,2022,31,1,3,5500,2683-1162
2683990,1162754,2021,31,1,3,5500,2683-1162
2683328,1162411,2023,31,1,3,5500,2683-1162
