x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2678743.88625199,1261738.64812515,2023,12,1,0,1920,2678-1261
2710176,1112600,2021,19,2,0,1920,2710-1112
2760195,1202189,2021,19,2,0,1920,2760-1202
2679513,1261988,2023,12,2,0,1920,2679-1261
2615454,1174323,2024,19,2,0,1920,2615-1174
2718139,1137995,2024,19,2,0,1920,2718-1137
2490416,1111566,2021,19,3,0,1920,2490-1111
2490481.51409212,1112705.18624407,2021,19,1,0,1920,2490-1112
2670213,1242379,2023,19,1,0,1920,2670-1242
2490238,1111584,2021,19,3,0,1920,2490-1111
2680500,1272500,2022,19,2,0,1920,2680-1272
2678743.88625199,1261738.64812515,2022,19,2,0,1920,2678-1261
2683500,1256500,2023,19,1,0,1920,2683-1256
2702624,1281812,2023,19,2,0,1920,2702-1281
2710500,1112500,2023,19,3,0,1920,2710-1112
2660500,1269500,2022,25,1,1,1920,2660-1269
2670500,1242500,2024,25,2,1,1920,2670-1242
2660500,1270500,2024,25,2,2,1920,2660-1270
2660500,1270500,2025,25,4,4,1920,2660-1270
2569147.44266037,1196706.26540992,2022,19,4,0,1920,2569-1196
2660434,1269943,2022,25,1,1,1920,2660-1269
2820500,1187500,2023,19,1,0,1920,2820-1187
2670216,1242547,2021,19,2,0,1920,2670-1242
2710258,1112630,2021,19,2,0,1920,2710-1112
2672636,1229928,2025,19,2,0,1920,2672-1229
2490426,1112701,2021,19,1,0,1920,2490-1112
2490351,1112741,2021,19,2,0,1920,2490-1112
2710150,1112573,2021,25,1,5,1920,2710-1112
2678743.88625199,1261738.64812515,2023,25,2,2,1920,2678-1261
2672684,1232060,2021,19,1,0,1920,2672-1232
2672704,1232070,2021,19,2,0,1920,2672-1232
2660500,1270500,2022,25,1,2,1920,2660-1270
2710172.10685414,1112044.58642646,2022,19,2,0,1920,2710-1112
2560102,1137910,2023,19,1,7,1920,2560-1137
2672800.075557,1232199.52841523,2022,19,1,0,1920,2672-1232
2788694,1158239,2023,25,1,2,1920,2788-1158
2789235,1159566,2022,25,2,6,1920,2789-1159
2788702,1158222,2021,25,2,6,1920,2788-1158
2789050,1159314,2022,25,2,6,1920,2789-1159
2705507,1112227,2023,19,2,0,1920,2705-1112
2490416,1112771,2024,25,2,1,1920,2490-1112
2819776,1187163,2025,19,1,0,1920,2819-1187
2679239.88139303,1261726.64959763,2023,25,2,2,1920,2679-1261
2710176,1112599,2025,25,2,1,1920,2710-1112
2670207,1242336,2024,25,2,19,1920,2670-1242
2670300.06850856,1242299.56432466,2022,25,2,2,1920,2670-1242
2670300.06850856,1242299.56432465,2024,25,3,1,1920,2670-1242
2670300.06850856,1242299.56432465,2024,25,2,1,1920,2670-1242
2670300.06850856,1242299.56432465,2024,25,2,1,1920,2670-1242
2710500,1112500,2024,25,3,2,1920,2710-1112
2688774,1272118,2025,25,2,4,1920,2688-1272
2686704,1272102,2025,25,2,2,1920,2686-1272
2660500,1269500,2024,25,1,2,1920,2660-1269
2490412,1112755,2022,19,1,0,1920,2490-1112
