x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2709500,1113500,2023,19,1,1,1370,2709-1113
2709858,1113520,2023,19,1,2,1370,2709-1113
2615500,1129500,2025,25,1,1,1370,2615-1129
2615503,1129973,2025,31,1,2,1370,2615-1129
2615503,1129846,2023,37,1,1,1370,2615-1129
2615481,1129888,2023,37,1,2,1370,2615-1129
2615535,1129914,2021,43,1,0,1370,2615-1129
2615978,1129522,2022,43,1,0,1370,2615-1129
2615500,1129500,2024,37,1,1,1370,2615-1129
2615500,1129500,2023,37,2,1,1370,2615-1129
2615500,1129500,2023,37,2,4,1370,2615-1129
2615500,1129500,2021,49,2,0,1370,2615-1129
2615500,1129500,2023,55,1,0,1370,2615-1129
2615500,1129500,2024,19,1,1,1370,2615-1129
2595740,1125949,2021,49,1,0,1370,2595-1125
2615500,1129500,2024,25,1,1,1370,2615-1129
2709628.1002368,1113293.57333526,2023,19,1,1,1370,2709-1113
2615500,1129500,2021,19,5,6,1370,2615-1129
2709628.1002368,1113293.57333526,2023,19,1,1,1370,2709-1113
2615500,1129500,2025,49,1,0,1370,2615-1129
2615500,1129500,2022,49,1,0,1370,2615-1129
2615500,1129500,2025,19,1,1,1370,2615-1129
2615500,1129500,2024,55,1,0,1370,2615-1129
2615500,1129500,2022,43,1,0,1370,2615-1129
2615878,1129731,2023,25,1,2,1370,2615-1129
2615346,1129931,2023,31,1,2,1370,2615-1129
2615500,1129500,2025,25,3,1,1370,2615-1129
2709628.1002368,1113293.57333526,2023,19,2,1,1370,2709-1113
2709703,1113268,2024,50,1,0,1370,2709-1113
2722928.31260187,1086853.96870362,2021,37,1,16,1370,2722-1086
2709628.1002368,1113293.57333526,2022,25,1,1,1370,2709-1113
2615500,1129500,2025,43,1,0,1370,2615-1129
2615500,1129500,2025,50,1,0,1370,2615-1129
2645118,1119818,2025,37,1,2,1370,2645-1119
2615500,1129500,2023,56,1,0,1370,2615-1129
2643500,1121500,2025,37,1,2,1370,2643-1121
2615500,1129500,2024,37,2,4,1370,2615-1129
2615500,1129500,2021,31,1,1,1370,2615-1129
2615500,1129500,2024,44,1,0,1370,2615-1129
2615853,1129009,2023,19,1,2,1370,2615-1129
2615500,1129500,2022,20,1,1,1370,2615-1129
2615500,1129500,2022,19,1,1,1370,2615-1129
2615409,1129799,2021,25,1,1,1370,2615-1129
2615398,1129789,2021,25,1,1,1370,2615-1129
2615407,1129789,2021,25,1,2,1370,2615-1129
2615500,1129500,2024,32,1,1,1370,2615-1129
2615718,1129781,2022,32,1,1,1370,2615-1129
2615568,1129892,2021,32,2,4,1370,2615-1129
2615738,1129748,2022,32,1,2,1370,2615-1129
2615500,1129500,2023,44,1,0,1370,2615-1129
2615500,1129500,2025,50,1,0,1370,2615-1129
2615500,1129500,2021,25,1,1,1370,2615-1129
2615500,1129500,2024,38,1,1,1370,2615-1129
2615500,1129500,2021,50,3,0,1370,2615-1129
2615559,1129954,2024,20,1,2,1370,2615-1129
2615500,1129500,2024,38,2,4,1370,2615-1129
2615404,1129615,2025,26,1,2,1370,2615-1129
2615467,1129804,2023,26,1,1,1370,2615-1129
2615519,1129901,2023,26,1,1,1370,2615-1129
2615577,1129582,2025,26,1,2,1370,2615-1129
2615500,1129500,2022,26,1,1,1370,2615-1129
2645780.82167905,1119806.3901809,2025,32,1,2,1370,2645-1119
2615500,1129500,2024,20,1,1,1370,2615-1129
2615500,1129500,2023,44,1,0,1370,2615-1129
2615500,1129500,2022,50,2,0,1370,2615-1129
2709628.1002368,1113293.57333526,2024,50,1,0,1370,2709-1113
2615500,1129500,2025,20,1,1,1370,2615-1129
2615500,1129500,2024,50,1,0,1370,2615-1129
2709627,1113519,2023,20,1,1,1370,2709-1113
2595678,1125957,2025,20,3,1,1370,2595-1125
2615500,1129500,2025,26,5,1,1370,2615-1129
2615525,1129720,2022,26,1,16,1370,2615-1129
2615500,1129500,2021,32,1,1,1370,2615-1129
2615500,1129500,2023,45,1,0,1370,2615-1129
2615500,1129500,2025,44,1,0,1370,2615-1129
2709803,1113586,2025,20,1,1,1370,2709-1113
2709600,1113348,2023,44,1,0,1370,2709-1113
2615500,1129500,2025,26,1,1,1370,2615-1129
2615432,1129919,2022,26,2,16,1370,2615-1129
2615500,1129500,2022,26,2,1,1370,2615-1129
2595702,1125692,2021,20,1,2,1370,2595-1125
2615500,1129500,2023,26,1,1,1370,2615-1129
2709628.1002368,1113293.57333526,2025,50,1,0,1370,2709-1113
2709628.1002368,1113293.57333526,2024,50,1,0,1370,2709-1113
2595676,1125787,2021,39,1,2,1370,2595-1125
2615598,1129916,2022,26,1,2,1370,2615-1129
2615728,1129974,2023,26,1,2,1370,2615-1129
2615554,1129987,2022,26,1,2,1370,2615-1129
2615500,1129500,2022,51,1,0,1370,2615-1129
2709978,1113394,2022,26,1,2,1370,2709-1113
2615500,1129500,2021,32,1,1,1370,2615-1129
2615370,1129578,2023,26,1,2,1370,2615-1129
2615217,1129940,2025,32,1,2,1370,2615-1129
2615500,1129500,2021,39,3,1,1370,2615-1129
2615500,1129500,2025,45,1,0,1370,2615-1129
2615500,1129500,2025,51,2,0,1370,2615-1129
2615500,1129500,2021,51,1,0,1370,2615-1129
2615889,1129715,2021,20,1,2,1370,2615-1129
2615401,1129798,2023,20,1,1,1370,2615-1129
2615390,1129797,2023,20,1,1,1370,2615-1129
2615572,1129599,2021,20,1,2,1370,2615-1129
2615500,1129500,2025,20,1,1,1370,2615-1129
2615728,1129138,2024,26,1,1,1370,2615-1129
2615500,1129500,2025,26,4,6,1370,2615-1129
2643498,1121503,2024,38,1,16,1370,2643-1121
2645945,1118949,2024,45,2,13,1370,2645-1118
2708838,1118421,2025,20,2,1,1370,2708-1118
2708842,1118414,2025,20,1,1,1370,2708-1118
2615500,1129500,2021,45,1,0,1370,2615-1129
2615500,1129500,2024,21,1,1,1370,2615-1129
