x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2550786,1181227,2023,39,1,3,1610,2550-1181
2550990,1181401,2023,39,1,3,1610,2550-1181
2550966,1181359,2023,39,1,3,1610,2550-1181
2550293,1181217,2023,38,2,3,1610,2550-1181
2550430,1181124,2023,38,1,3,1610,2550-1181
2550834,1181300,2023,38,1,3,1610,2550-1181
2550371,1181163,2023,38,1,3,1610,2550-1181
2550570,1181038,2023,38,1,3,1610,2550-1181
2550659,1181050,2023,38,1,3,1610,2550-1181
2550806,1181269,2023,39,1,14,1610,2550-1181
2550800,1181249,2023,39,1,3,1610,2550-1181
2550727,1181182,2023,39,1,3,1610,2550-1181
2550836,1181287,2023,39,1,3,1610,2550-1181
2550706,1181256,2023,39,1,3,1610,2550-1181
2550742,1181262,2023,39,1,3,1610,2550-1181
2550644,1181107,2023,39,1,3,1610,2550-1181
2550821,1181269,2023,40,1,3,1610,2550-1181
2550693,1181249,2023,40,1,3,1610,2550-1181
2550166,1181327,2024,37,1,3,1610,2550-1181
