x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2711546,1113821,2022,25,1,3,1610,2711-1113
2699500,1259500,2025,25,1,3,1610,2699-1259
2651080,1215189,2025,25,1,3,1610,2651-1215
2561134,1211222,2023,25,2,2,1610,2561-1211
2719615,1126221,2024,25,1,3,1610,2719-1126
2506957,1121115,2023,25,1,3,1610,2506-1121
2715500,1113500,2021,25,1,2,1610,2715-1113
2711500,1113500,2022,25,1,1,1610,2711-1113
2572716,1202772,2023,25,1,3,1610,2572-1202
2572547,1202692,2022,31,1,3,1610,2572-1202
2643657,1223642,2023,25,1,2,1610,2643-1223
2699500,1259500,2025,25,1,3,1610,2699-1259
2711500,1113500,2022,25,1,1,1610,2711-1113
2710509,1113177,2021,25,1,1,1610,2710-1113
2559352,1130493,2023,25,1,3,1610,2559-1130
2752593,1176756,2023,31,1,3,1610,2752-1176
2643502,1224462,2024,31,1,3,1610,2643-1224
2507041,1121169,2022,25,1,3,1610,2507-1121
2506982,1121395,2022,25,1,3,1610,2506-1121
2495620,1113496,2024,25,1,2,1610,2495-1113
2571192,1201940,2024,25,1,3,1610,2571-1201
2527267,1171386,2023,31,1,3,1610,2527-1171
2559352,1131271,2023,31,1,3,1610,2559-1131
2559330,1131008,2023,31,1,3,1610,2559-1131
2559487,1131100,2023,31,1,3,1610,2559-1131
2711539,1113815,2022,25,1,3,1610,2711-1113
2711525,1113817,2022,25,1,3,1610,2711-1113
2711514,1113853,2022,25,1,3,1610,2711-1113
2711557,1113829,2022,25,1,1,1610,2711-1113
2699500,1259500,2025,31,1,3,1610,2699-1259
2539867,1168414,2022,31,1,3,1610,2539-1168
2539796,1168249,2025,31,1,3,1610,2539-1168
2695500,1241500,2025,31,1,3,1610,2695-1241
2601500,1227500,2021,31,1,3,1610,2601-1227
2572631,1203130,2025,31,1,3,1610,2572-1203
2556069,1218255,2023,31,1,3,1610,2556-1218
2708499,1229132,2024,31,2,3,1610,2708-1229
2740500,1274500,2025,31,1,1,1610,2740-1274
2693610,1220393,2022,31,1,3,1610,2693-1220
2706937.58635587,1269930.83118023,2025,31,1,3,1610,2706-1269
2706937.58635587,1269930.83118023,2025,31,1,3,1610,2706-1269
2572901,1202891,2022,31,1,3,1610,2572-1202
2802500,1176500,2022,31,1,2,1610,2802-1176
