x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2596263,1224331,2024,19,1,0,3040,2596-1224
2507500,1120500,2021,19,1,0,3040,2507-1120
2720725,1089457,2021,19,1,0,3040,2720-1089
2717197,1114454,2024,19,1,0,3040,2717-1114
2717288,1114550,2024,19,1,0,3040,2717-1114
2498834,1128542,2024,19,1,0,3040,2498-1128
2506499,1141501,2021,19,1,0,3040,2506-1141
2507312,1120938,2021,19,1,0,3040,2507-1120
2568500,1203500,2025,25,1,1,3040,2568-1203
2711500,1112500,2023,25,1,3,3040,2711-1112
2569500,1203500,2025,25,3,3,3040,2569-1203
2657168,1220059,2025,25,1,3,3040,2657-1220
2619500,1196500,2022,25,1,2,3040,2619-1196
2678500,1254500,2025,25,1,3,3040,2678-1254
2714500,1113500,2023,25,1,2,3040,2714-1113
2570500,1203500,2021,25,3,6,3040,2570-1203
2695500,1275500,2025,25,1,3,3040,2695-1275
2558500,1138500,2025,25,2,3,3040,2558-1138
2717500,1230500,2023,25,1,1,3040,2717-1230
2557634,1192163,2025,25,2,3,3040,2557-1192
2660852,1269740,2023,25,1,3,3040,2660-1269
2707622,1107798,2025,25,1,3,3040,2707-1107
2707513,1107591,2025,25,1,3,3040,2707-1107
2489909,1114952,2025,25,1,3,3040,2489-1114
2654744,1258581,2024,25,1,3,3040,2654-1258
2655464,1257638,2022,25,1,3,3040,2655-1257
2731033,1124472,2024,25,1,3,3040,2731-1124
2715325,1113421,2023,25,2,2,3040,2715-1113
2717449,1106027,2025,25,1,3,3040,2717-1106
2733316,1126100,2024,25,1,2,3040,2733-1126
2557631,1192458,2025,25,1,3,3040,2557-1192
2660293,1270046,2023,25,1,3,3040,2660-1270
2660458,1269783,2025,25,1,2,3040,2660-1269
2653426,1142637,2022,25,1,3,3040,2653-1142
2644720,1184544,2022,25,1,1,3040,2644-1184
2660536,1269831,2025,25,1,2,3040,2660-1269
2641146,1184533,2022,25,1,1,3040,2641-1184
2717772,1106302,2025,25,1,3,3040,2717-1106
2706321,1148412,2022,25,1,1,3040,2706-1148
2660000,1260999,2022,25,1,1,3040,2660-1260
2566177,1199696,2024,25,1,3,3040,2566-1199
2557300,1191863,2024,25,1,1,3040,2557-1191
2642066,1183781,2022,25,1,1,3040,2642-1183
2715325,1113421,2023,25,2,2,3040,2715-1113
2649866,1251352,2024,25,1,1,3040,2649-1251
2586487,1203219,2023,25,1,3,3040,2586-1203
2803481,1175419,2023,25,1,3,3040,2803-1175
2505877,1120250,2021,19,1,0,3040,2505-1120
2582518,1206146,2024,25,1,3,3040,2582-1206
2735718,1234403,2024,25,1,3,3040,2735-1234
2527479,1178328,2023,25,1,3,3040,2527-1178
2625857,1164551,2022,25,1,2,3040,2625-1164
2687989,1279906,2022,25,1,1,3040,2687-1279
2535030,1157307,2024,25,1,3,3040,2535-1157
2703329,1281804,2025,25,1,3,3040,2703-1281
2716225,1114453,2021,25,1,3,3040,2716-1114
2596387,1215536,2022,25,1,3,3040,2596-1215
2659837,1259748,2024,25,1,3,3040,2659-1259
2591700.65242166,1218279.98204642,2022,25,1,3,3040,2591-1218
2600437,1233533,2024,25,1,3,3040,2600-1233
2660007,1259887,2021,25,1,3,3040,2660-1259
2659940,1259322,2025,25,1,3,3040,2659-1259
2710033,1113000,2022,25,1,3,3040,2710-1113
2707413,1279109,2023,25,1,1,3040,2707-1279
2592240.69450035,1221669.98545028,2025,25,2,3,3040,2592-1221
2683172,1259630,2025,25,1,1,3040,2683-1259
2704457,1281298,2023,25,1,3,3040,2704-1281
2683280,1259481,2024,25,1,1,3040,2683-1259
2606779,1237025,2022,25,1,3,3040,2606-1237
2717868,1080572,2021,19,1,0,3040,2717-1080
2670722,1241408,2023,25,1,3,3040,2670-1241
2643569,1224821,2022,25,1,3,3040,2643-1224
2670731,1241387,2022,25,1,1,3040,2670-1241
2710508,1113429,2023,25,1,2,3040,2710-1113
2709511,1113318,2021,25,1,3,3040,2709-1113
2576043,1211897,2023,25,1,3,3040,2576-1211
2580319,1212406,2025,25,1,3,3040,2580-1212
2717171,1230493,2022,25,1,2,3040,2717-1230
2505040,1119421,2022,25,2,3,3040,2505-1119
2591858,1192882,2023,25,1,3,3040,2591-1192
2643611,1223778,2023,25,1,2,3040,2643-1223
2622822,1128382,2023,25,1,3,3040,2622-1128
2580599,1212509,2022,25,1,3,3040,2580-1212
2580566,1212491,2025,25,1,3,3040,2580-1212
2505199,1119399,2024,25,1,3,3040,2505-1119
2710235,1113735,2022,25,1,3,3040,2710-1113
2696138,1215876,2024,25,1,3,3040,2696-1215
2507500,1120500,2021,19,1,0,3040,2507-1120
2709628.1002368,1113293.57333526,2021,25,1,3,3040,2709-1113
2709628.1002368,1113293.57333526,2021,25,1,3,3040,2709-1113
2687292,1272325,2024,19,1,0,3040,2687-1272
2577523.90484492,1164532.0398231,2024,25,1,3,3040,2577-1164
2680498.92729558,1254038.62624177,2022,25,1,3,3040,2680-1254
2679299.93832725,1253899.6223803,2022,25,1,3,3040,2679-1253
2559098.38997532,1138480.35081721,2023,25,1,3,3040,2559-1138
2670500,1242500,2025,25,1,3,3040,2670-1242
2569645,1203207,2021,19,1,0,3040,2569-1203
2728500,1275500,2024,25,1,3,3040,2728-1275
2660500,1270500,2021,25,1,3,3040,2660-1270
2607500,1230500,2021,25,1,1,3040,2607-1230
2596500,1223500,2023,25,1,3,3040,2596-1223
2693500,1246500,2024,25,1,1,3040,2693-1246
2542500,1181500,2021,19,1,0,3040,2542-1181
2539500,1182500,2024,25,1,3,3040,2539-1182
2557500,1138500,2023,25,1,3,3040,2557-1138
2559500,1138500,2022,25,1,3,3040,2559-1138
2488136,1114392,2021,19,1,0,3040,2488-1114
2660500,1270500,2022,25,1,3,3040,2660-1270
2569500,1203500,2022,25,1,3,3040,2569-1203
2659500,1235500,2022,25,1,2,3040,2659-1235
2660500,1270500,2021,25,1,3,3040,2660-1270
2644500,1224500,2023,25,1,2,3040,2644-1224
2693500,1265500,2024,25,1,3,3040,2693-1265
2679578.93493691,1254053.62370379,2021,25,1,2,3040,2679-1254
2679899.93090498,1254249.62531433,2022,25,1,3,3040,2679-1254
2670250.074915,1240199.55661492,2023,25,1,2,3040,2670-1240
2761001.1597149,1246488.12489186,2021,25,1,3,3040,2761-1246
2600500,1225500,2021,25,1,3,3040,2600-1225
2595500,1223500,2025,25,1,3,3040,2595-1223
2503893.78736635,1122124.73443368,2021,25,1,3,3040,2503-1122
2709807,1114213,2025,25,1,3,3040,2709-1114
2743043,1157624,2025,25,1,1,3040,2743-1157
2597808,1120089,2025,25,1,3,3040,2597-1120
2597309,1120093,2023,25,1,1,3040,2597-1120
2602336,1122120,2023,25,1,3,3040,2602-1122
2503893.78736635,1122124.73443368,2021,25,1,3,3040,2503-1122
2716410.0839195,1113823.61702929,2022,25,1,3,3040,2716-1113
2680977,1271972,2024,25,1,3,3040,2680-1271
2533461,1174610,2022,25,1,3,3040,2533-1174
2711080,1112096,2023,25,1,3,3040,2711-1112
2596096,1223846,2021,25,1,3,3040,2596-1223
2569181,1196447,2024,25,1,3,3040,2569-1196
2709829,1114087,2025,25,1,3,3040,2709-1114
2607000,1216999,2025,25,1,3,3040,2607-1216
2634749,1126454,2024,25,1,3,3040,2634-1126
2720321,1091263,2025,25,1,3,3040,2720-1091
2711060,1271845,2021,25,1,3,3040,2711-1271
2644591,1218592,2024,25,1,3,3040,2644-1218
2644413,1218650,2024,25,1,3,3040,2644-1218
2717798,1106505,2022,25,1,3,3040,2717-1106
2699856,1280887,2025,25,1,2,3040,2699-1280
2718016,1114240,2022,25,1,3,3040,2718-1114
2620403,1231193,2024,25,1,2,3040,2620-1231
2719650,1091026,2022,25,1,3,3040,2719-1091
2718098,1114017,2025,25,1,1,3040,2718-1114
2604819,1195901,2022,25,1,3,3040,2604-1195
2604760,1195982,2022,25,1,3,3040,2604-1195
2696143,1215879,2024,25,1,1,3040,2696-1215
2788939,1158594,2022,25,1,3,3040,2788-1158
2707593,1280093,2025,25,1,2,3040,2707-1280
2693944,1246344,2025,25,1,3,3040,2693-1246
2715500,1113500,2023,25,2,3,3040,2715-1113
2691500,1247500,2024,25,1,1,3040,2691-1247
2706290,1280647,2025,25,1,2,3040,2706-1280
2725599.35466561,1281400.06347737,2022,25,1,1,3040,2725-1281
2719644,1091027,2021,25,1,3,3040,2719-1091
2599244,1119017,2022,25,1,3,3040,2599-1119
2649286,1251606,2024,25,1,1,3040,2649-1251
2523320,1184720,2024,25,1,3,3040,2523-1184
2697663,1111434,2022,25,1,2,3040,2697-1111
2523575,1184877,2024,25,1,3,3040,2523-1184
2524603,1184306,2024,25,1,3,3040,2524-1184
2670137,1240731,2023,25,1,3,3040,2670-1240
2708735,1119162,2025,25,1,3,3040,2708-1119
2710500,1112500,2022,25,2,3,3040,2710-1112
2657840,1219352,2025,25,1,3,3040,2657-1219
2670266,1240722,2023,25,1,2,3040,2670-1240
2578765,1203733,2023,25,1,3,3040,2578-1203
2694164,1278525,2022,25,1,3,3040,2694-1278
2693902,1283184,2024,25,1,2,3040,2693-1283
2708771,1118662,2025,25,1,3,3040,2708-1118
2670095,1242234,2024,25,1,3,3040,2670-1242
2592349,1220202,2022,25,1,3,3040,2592-1220
2592184,1220874,2025,25,1,3,3040,2592-1220
2601500,1226500,2021,25,1,3,3040,2601-1226
2569500,1203500,2021,25,2,3,3040,2569-1203
2593500,1222500,2022,25,1,3,3040,2593-1222
2632500,1164500,2024,25,1,3,3040,2632-1164
2698575,1272076,2025,25,1,2,3040,2698-1272
2703308,1274551,2025,25,1,2,3040,2703-1274
2708500,1142500,2021,25,1,1,3040,2708-1142
2704542,1274620,2025,25,1,3,3040,2704-1274
2686171,1117681,2025,25,1,2,3040,2686-1117
2687662,1272191,2025,25,1,3,3040,2687-1272
2571596,1132609,2023,25,1,3,3040,2571-1132
2571118,1132604,2023,25,1,3,3040,2571-1132
2598029,1168550,2025,25,1,3,3040,2598-1168
2712020,1139890,2022,25,1,3,3040,2712-1139
2659689,1233042,2025,25,1,3,3040,2659-1233
2705987,1274155,2021,25,1,3,3040,2705-1274
2596448,1202884,2024,25,1,2,3040,2596-1202
2574321,1203077,2022,25,1,3,3040,2574-1203
2704542,1274620,2025,25,1,3,3040,2704-1274
2613045,1225638,2021,25,1,3,3040,2613-1225
2703824,1274556,2025,25,1,3,3040,2703-1274
2728618,1276698,2024,25,1,1,3040,2728-1276
2703338,1274546,2022,25,1,3,3040,2703-1274
2608189,1186254,2022,25,1,1,3040,2608-1186
2511815,1121647,2022,25,1,3,3040,2511-1121
2505164,1156492,2021,25,1,3,3040,2505-1156
2728842,1275785,2025,25,1,2,3040,2728-1275
