x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2660500,1270500,2021,25,1,0,4620,2660-1270
2575313.48974961,1258076.34039461,2022,25,1,0,4620,2575-1258
2659457,1270986,2021,25,1,0,4620,2659-1270
2731584,1178787,2025,31,1,3,4620,2731-1178
2660500,1270500,2024,25,2,0,4620,2660-1270
2788782,1158984,2024,31,1,3,4620,2788-1158
2788223,1158516,2024,31,1,3,4620,2788-1158
2620500,1265500,2021,25,2,0,4620,2620-1265
2641532,1186613,2025,31,1,3,4620,2641-1186
2660500,1270500,2021,25,1,0,4620,2660-1270
2660500,1270500,2025,25,2,0,4620,2660-1270
2660500,1270500,2021,25,1,0,4620,2660-1270
2660500,1270500,2024,25,1,0,4620,2660-1270
2620500,1265500,2022,25,1,0,4620,2620-1265
2697500,1155500,2023,31,4,6,4620,2697-1155
2688636,1284788,2022,25,1,3,4620,2688-1284
2620500,1265500,2021,25,1,0,4620,2620-1265
2697066,1155940,2025,31,1,3,4620,2697-1155
2697811,1155953,2025,31,1,3,4620,2697-1155
2697811,1155953,2025,31,1,3,4620,2697-1155
2697066,1155940,2025,31,1,3,4620,2697-1155
2671471.9926775,1147807.31287957,2025,31,1,1,4620,2671-1147
2575313.48974961,1258076.3403946,2024,31,1,3,4620,2575-1258
2779618,1145867,2021,31,1,2,4620,2779-1145
2769306,1155090,2022,37,1,16,4620,2769-1155
2644252,1136068,2023,37,1,3,4620,2644-1136
2699623,1194263,2024,37,1,16,4620,2699-1194
2726860,1102932,2022,37,1,14,4620,2726-1102
2774018,1141654,2021,37,1,3,4620,2774-1141
2673343,1185718,2024,31,1,3,4620,2673-1185
2676500,1147500,2022,31,1,3,4620,2676-1147
2814500,1171500,2025,31,1,3,4620,2814-1171
2690547.51029,1152541.7224871,2025,31,1,3,4620,2690-1152
2683500,1162500,2021,31,1,3,4620,2683-1162
2704126,1157877,2025,31,2,4,4620,2704-1157
2659705,1270712,2023,49,1,0,4620,2659-1270
2791399,1145445,2025,37,2,3,4620,2791-1145
2803530,1173294,2025,49,1,0,4620,2803-1173
2731801,1178647,2025,31,1,3,4620,2731-1178
2703500,1158500,2023,37,1,8,4620,2703-1158
2660500,1270500,2023,49,3,0,4620,2660-1270
2697052,1155874,2023,31,3,2,4620,2697-1155
2688640,1284788,2021,31,1,3,4620,2688-1284
2604500,1163500,2021,31,3,10,4620,2604-1163
2633250,1130549,2025,37,1,3,4620,2633-1130
2635164,1181234,2023,49,2,0,4620,2635-1181
2660500,1270500,2025,43,3,0,4620,2660-1270
2633248,1130541,2024,43,2,13,4620,2633-1130
