x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2765500,1201500,2021,19,2,10,3440,2765-1201
2772206,1201994,2025,19,1,2,3440,2772-1201
2765500,1201500,2021,19,2,6,3440,2765-1201
2765926,1205313,2023,1,2,0,3440,2765-1205
2765590,1205089,2021,25,2,14,3440,2765-1205
2766015,1205271,2024,26,2,16,3440,2766-1205
2765800,1205585,2022,21,1,2,3440,2765-1205
2766019,1205281,2022,27,1,2,3440,2766-1205
2765989,1205182,2024,27,1,2,3440,2765-1205
2765500,1201500,2021,22,2,14,3440,2765-1201
2766003,1205292,2023,28,1,2,3440,2766-1205
2766018,1205321,2022,28,2,14,3440,2766-1205
2766004,1205311,2022,28,3,19,3440,2766-1205
2766079,1205330,2023,5,1,0,3440,2766-1205
2766500,1205500,2021,18,1,3,3440,2766-1205
2765951,1205315,2023,73,1,0,3440,2765-1205
2766058,1205373,2024,7,1,0,3440,2766-1205
2772174,1201879,2025,13,2,4,3440,2772-1201
2772165,1201925,2025,13,3,4,3440,2772-1201
2772367,1201859,2025,13,2,4,3440,2772-1201
2765225,1201883,2021,19,2,6,3440,2765-1201
2765500,1201500,2021,26,2,7,3440,2765-1201
2765349,1201730,2024,14,3,3,3440,2765-1201
2765242,1201822,2022,20,1,3,3440,2765-1201
2765237,1201840,2022,20,1,3,3440,2765-1201
2765182,1201745,2023,9,1,0,3440,2765-1201
2765017,1201885,2021,15,2,4,3440,2765-1201
2765234,1201853,2024,15,2,4,3440,2765-1201
2765223,1201801,2021,27,1,16,3440,2765-1201
2772210,1201983,2025,22,2,14,3440,2772-1201
2765243,1201849,2021,23,1,1,3440,2765-1201
2765220,1201849,2021,18,2,10,3440,2765-1201
