x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2569757,1203451,2022,1,1,0,3450,2569-1203
2582946,1194170,2025,1,1,0,3450,2582-1194
2706422,1233217,2024,1,1,0,3450,2706-1233
2695028,1282632,2023,1,1,0,3450,2695-1282
2569857.55231118,1203193.27414936,2023,1,1,0,3450,2569-1203
2718268,1138138,2023,1,1,0,3450,2718-1138
2623998,1128969,2022,1,1,0,3450,2623-1128
2644022.27881142,1224716.54437009,2023,1,1,0,3450,2644-1224
2559483.18674416,1127893.35578912,2023,1,1,0,3450,2559-1127
2644022.27881142,1224716.54437009,2023,1,1,0,3450,2644-1224
2629105,1128389,2021,1,1,0,3450,2629-1128
2539126,1182624,2025,1,1,0,3450,2539-1182
2538995,1182522,2024,1,1,0,3450,2538-1182
2538962,1182506,2022,1,1,0,3450,2538-1182
2709686,1113727,2025,1,1,0,3450,2709-1113
2711068,1114298,2025,1,1,0,3450,2711-1114
2634658,1245196,2023,1,1,0,3450,2634-1245
2547473,1182617,2021,1,1,0,3450,2547-1182
2634840,1245224,2021,1,1,0,3450,2634-1245
2506875,1136466,2025,1,1,0,3450,2506-1136
2546049,1189365,2025,1,1,0,3450,2546-1189
2569692,1203060,2024,1,1,0,3450,2569-1203
2504985,1120549,2025,7,1,0,3450,2504-1120
2574089,1201326,2023,1,1,0,3450,2574-1201
2709942,1114137,2023,7,1,0,3450,2709-1114
2667211,1212710,2023,1,1,0,3450,2667-1212
2725500,1280500,2025,7,1,0,3450,2725-1280
2629500,1128500,2021,1,1,0,3450,2629-1128
2709461,1271049,2025,7,1,0,3450,2709-1271
2694500,1244500,2021,1,1,0,3450,2694-1244
2539046.23780685,1182645.82975201,2023,7,1,0,3450,2539-1182
2679578.93494353,1254052.6237002,2025,7,2,0,3450,2679-1254
2710435,1113364,2022,1,1,0,3450,2710-1113
2646500,1250500,2024,7,1,0,3450,2646-1250
2567720.07817999,1175410.22960738,2021,7,1,0,3450,2567-1175
2559330,1138314,2025,7,1,0,3450,2559-1138
2680887,1270304,2024,7,1,0,3450,2680-1270
2729953,1222035,2025,1,1,0,3450,2729-1222
2538968,1182512,2023,7,2,0,3450,2538-1182
2714500,1114500,2023,7,2,0,3450,2714-1114
2701255,1246815,2025,7,1,0,3450,2701-1246
2657796,1217736,2023,1,1,0,3450,2657-1217
2719951.46348275,1077396.0815593,2024,12,1,1,3450,2719-1077
2752587,1187839,2022,12,1,2,3450,2752-1187
2500500,1131500,2024,7,1,0,3450,2500-1131
2715500,1113500,2022,1,1,0,3450,2715-1113
2558752,1167773,2022,12,1,1,3450,2558-1167
2651557,1223451,2025,12,1,3,3450,2651-1223
2494425.64958392,1117420.03620707,2023,7,1,0,3450,2494-1117
2709865,1269273,2022,7,1,0,3450,2709-1269
2709437,1270815,2025,7,1,0,3450,2709-1270
2546767,1184254,2024,7,1,0,3450,2546-1184
2663220,1227283,2025,7,1,0,3450,2663-1227
2547112,1183720,2024,7,1,0,3450,2547-1183
2648500,1224500,2021,12,1,3,3450,2648-1224
