x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2611037,1129501,2021,1,1,0,5690,2611-1129
2584500,1117500,2021,1,1,0,5690,2584-1117
2717631,1105484,2021,1,1,0,5690,2717-1105
2617910,1128494,2022,1,1,0,5690,2617-1128
2717702,1106867,2022,1,2,0,5690,2717-1106
2613425,1168818,2023,1,2,0,5690,2613-1168
2615500,1129500,2022,1,2,0,5690,2615-1129
2717633,1105479,2024,7,3,0,5690,2717-1105
2584500,1117500,2025,1,6,0,5690,2584-1117
2616455.64204578,1128924.53985451,2023,1,15,0,5690,2616-1128
2584500,1117500,2024,1,2,0,5690,2584-1117
2618198,1129130,2023,1,1,0,5690,2618-1129
2718338,1107149,2024,1,2,0,5690,2718-1107
2717634,1105480,2025,1,2,0,5690,2717-1105
2717614,1105496,2022,1,2,0,5690,2717-1105
2716897,1105214,2022,1,2,0,5690,2716-1105
2716965,1104788,2022,1,2,0,5690,2716-1104
2584661,1117194,2025,1,1,0,5690,2584-1117
2717632,1105482,2024,1,2,0,5690,2717-1105
2584661,1117194,2025,1,2,0,5690,2584-1117
2584553.21416007,1117209.94172944,2021,12,7,0,5690,2584-1117
2723500,1121500,2021,12,2,0,5690,2723-1121
2717670,1106228,2024,7,2,0,5690,2717-1106
2756630,1211239,2024,1,1,0,5690,2756-1211
2717694,1106914,2024,7,1,0,5690,2717-1106
2717719,1106858,2024,7,1,0,5690,2717-1106
2614360,1129790,2022,7,1,0,5690,2614-1129
2717632,1105473,2022,12,1,0,5690,2717-1105
2616126.64712991,1129791.54153697,2022,7,1,0,5690,2616-1129
2631826,1129598,2025,7,1,0,5690,2631-1129
2636021,1173316,2023,12,1,0,5690,2636-1173
2584500,1117500,2022,12,1,0,5690,2584-1117
2717635,1105479,2025,7,4,0,5690,2717-1105
2717901,1106816,2021,12,1,0,5690,2717-1106
2631500,1128500,2024,12,2,0,5690,2631-1128
2584553.21416007,1117209.94172944,2023,7,6,0,5690,2584-1117
2622376.70086227,1130734.48927672,2021,12,5,0,5690,2622-1130
2756500,1211500,2023,19,2,0,5690,2756-1211
2618039,1129162,2025,12,5,0,5690,2618-1129
2584694,1117246,2025,12,1,0,5690,2584-1117
2584981,1117143,2021,12,6,0,5690,2584-1117
2584935,1117139,2025,12,1,0,5690,2584-1117
2619005,1128855,2023,12,1,0,5690,2619-1128
2584500,1117500,2022,25,2,3,5690,2584-1117
2584553.21416007,1117209.94172944,2021,12,8,0,5690,2584-1117
2584553.21416007,1117209.94172944,2021,12,3,0,5690,2584-1117
2718727,1107029,2022,25,1,3,5690,2718-1107
2616541,1130937,2021,19,2,0,5690,2616-1130
2625617,1130161,2022,25,1,2,5690,2625-1130
2626201,1129068,2024,19,1,0,5690,2626-1129
2628500,1129500,2025,19,3,0,5690,2628-1129
2628173.73498701,1129694.45012901,2023,19,5,0,5690,2628-1129
2617358,1130416,2024,25,1,3,5690,2617-1130
2718916.1185061,1107324.6916346,2024,25,12,7,5690,2718-1107
2615750,1130178,2024,19,2,0,5690,2615-1130
2616515,1130547,2021,19,1,0,5690,2616-1130
2618183,1129139,2021,19,1,0,5690,2618-1129
2615434,1130479,2021,19,3,0,5690,2615-1130
2584553.21416007,1117209.94172944,2023,19,2,0,5690,2584-1117
2616823,1130996,2025,31,4,3,5690,2616-1130
2628440,1129237,2022,25,1,2,5690,2628-1129
2717679,1106830,2022,25,1,2,5690,2717-1106
2615693,1130052,2022,25,2,2,5690,2615-1130
2618982,1129436,2025,25,1,3,5690,2618-1129
2717715,1106837,2025,25,1,3,5690,2717-1106
2612860,1128712,2021,25,1,3,5690,2612-1128
2616125,1131262,2025,25,1,2,5690,2616-1131
2613350,1128993,2023,25,1,3,5690,2613-1128
2613091,1128951,2023,25,1,3,5690,2613-1128
2613708,1129532,2023,31,1,2,5690,2613-1129
2618195.65716427,1129135.52472021,2022,25,1,3,5690,2618-1129
2717634,1105479,2024,31,2,4,5690,2717-1105
2617876,1129850,2024,31,2,2,5690,2617-1129
2616402,1131191,2025,25,2,2,5690,2616-1131
2618052,1129961,2024,31,1,1,5690,2618-1129
2718916.1185061,1107324.6916346,2024,31,5,4,5690,2718-1107
2607506,1123133,2022,25,2,4,5690,2607-1123
2618191,1129106,2022,25,1,3,5690,2618-1129
2614239,1129122,2023,25,1,2,5690,2614-1129
2625447,1130152,2024,37,1,3,5690,2625-1130
2625873,1130242,2024,37,4,13,5690,2625-1130
2625314,1130141,2024,37,2,16,5690,2625-1130
2625918,1130175,2024,37,1,2,5690,2625-1130
2612449,1128643,2021,25,1,3,5690,2612-1128
2627294,1129568,2024,37,5,13,5690,2627-1129
2625929,1130116,2024,37,2,16,5690,2625-1130
2717949,1106541,2024,25,2,2,5690,2717-1106
2723500,1121500,2024,31,3,2,5690,2723-1121
2623436,1096873,2023,37,1,2,5690,2623-1096
2717633,1105479,2024,25,2,3,5690,2717-1105
2717632,1105482,2025,25,2,4,5690,2717-1105
2717628,1105481,2023,25,2,4,5690,2717-1105
2724215,1102665,2022,37,5,13,5690,2724-1102
2617500,1129500,2024,31,1,2,5690,2617-1129
2708073,1149863,2022,31,2,1,5690,2708-1149
2627544,1129374,2023,31,2,2,5690,2627-1129
2717632,1105479,2024,43,1,2,5690,2717-1105
2723738,1121322,2025,31,1,1,5690,2723-1121
2619299,1129690,2025,31,2,3,5690,2619-1129
2615673,1130094,2024,31,1,2,5690,2615-1130
2617568,1129013,2023,31,2,2,5690,2617-1129
2616913.64421446,1128767.53611861,2022,31,,1,5690,2616-1128
2615348,1130326,2022,31,1,3,5690,2615-1130
2615987,1130338,2022,31,1,2,5690,2615-1130
2617013,1129605,2024,31,1,2,5690,2617-1129
2616277,1130259,2024,31,1,1,5690,2616-1130
2615449,1130458,2023,37,1,3,5690,2615-1130
2615481,1129888,2023,37,2,3,5690,2615-1129
2726230,1102912,2022,37,1,3,5690,2726-1102
2596287,1167058,2025,37,6,13,5690,2596-1167
2627479,1129585,2024,37,6,13,5690,2627-1129
2640385,1129199,2022,31,1,2,5690,2640-1129
2697173,1111082,2025,31,3,3,5690,2697-1111
2617181.65519703,1129806.53237575,2024,31,1,2,5690,2617-1129
2615535,1129914,2021,43,,2,5690,2615-1129
2615599,1129697,2022,43,3,2,5690,2615-1129
2613104,1128670,2021,43,2,2,5690,2613-1128
2613194,1128899,2021,43,1,2,5690,2613-1128
2717741,1106864,2025,43,1,3,5690,2717-1106
2722500,1086500,2022,31,2,2,5690,2722-1086
2628654,1129817,2024,37,1,16,5690,2628-1129
2628163,1129878,2024,37,2,16,5690,2628-1129
2628928,1129943,2024,37,1,2,5690,2628-1129
