x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2490481.51409212,1112705.18624407,2025,1,4,0,5640,2490-1112
2490481.51409212,1112705.18624407,2022,1,2,0,5640,2490-1112
2658500,1263500,2021,1,2,0,5640,2658-1263
2598010,1122535,2025,1,3,0,5640,2598-1122
2566797,1119550,2021,1,2,0,5640,2566-1119
2563882,1129439,2022,1,2,0,5640,2563-1129
2708531,1094294,2022,1,3,0,5640,2708-1094
2619066.02303398,1170767.5400972,2021,1,3,0,5640,2619-1170
2552302,1147079,2022,1,1,0,5640,2552-1147
2657500,1263500,2025,1,1,0,5640,2657-1263
2498284,1111130,2021,1,4,0,5640,2498-1111
2718818,1080091,2025,1,3,0,5640,2718-1080
2490423,1112901,2021,1,1,0,5640,2490-1112
2566678,1119544,2021,1,1,0,5640,2566-1119
2490462.60499855,1115806.16573781,2024,1,2,0,5640,2490-1115
2575085,1201435,2025,7,2,0,5640,2575-1201
2490555,1116738,2022,7,2,0,5640,2490-1116
2584500,1117500,2025,1,2,0,5640,2584-1117
2701916,1277083,2021,7,4,0,5640,2701-1277
2629093,1260488,2022,7,1,0,5640,2629-1260
2629093,1260488,2022,7,1,0,5640,2629-1260
2575074,1201456,2024,7,2,0,5640,2575-1201
2566927,1119678,2021,1,4,0,5640,2566-1119
2578500,1216500,2025,7,1,0,5640,2578-1216
2674500,1252500,2021,1,11,0,5640,2674-1252
2530234,1167779,2025,7,6,0,5640,2530-1167
2554528,1201105,2021,12,1,3,5640,2554-1201
2490967,1116649,2022,12,1,0,5640,2490-1116
2490813,1116103,2022,12,1,0,5640,2490-1116
2719962,1090770,2021,12,2,0,5640,2719-1090
2567146,1119674,2021,12,1,0,5640,2567-1119
2563803,1129505,2023,12,2,0,5640,2563-1129
2609500,1257500,2021,12,1,0,5640,2609-1257
2620500,1256500,2024,12,1,0,5640,2620-1256
2764903,1256197,2025,7,9,0,5640,2764-1256
2497911,1111020,2022,12,1,0,5640,2497-1111
2554614,1201136,2021,12,1,3,5640,2554-1201
2556538,1203019,2022,12,1,0,5640,2556-1203
2577500,1215500,2021,12,10,0,5640,2577-1215
2597875,1123333,2025,12,1,0,5640,2597-1123
2518210.46411591,1148100.28412505,2022,12,1,0,5640,2518-1148
2518210.46411591,1148100.28412505,2021,12,1,3,5640,2518-1148
2553023,1146810,2024,12,1,3,5640,2553-1146
2549350,1194318,2024,12,1,0,5640,2549-1194
2552698.55679552,1199682.58930613,2021,19,1,0,5640,2552-1199
2490707.64116816,1117066.15026397,2022,7,1,0,5640,2490-1117
2619120,1256577,2025,19,1,0,5640,2619-1256
2490883,1112467,2021,12,1,0,5640,2490-1112
2530257,1167834,2025,7,1,0,5640,2530-1167
2652500,1255500,2022,12,1,0,5640,2652-1255
2498110,1111308,2022,12,1,0,5640,2498-1111
2566647,1119520,2021,12,2,0,5640,2566-1119
2498346,1111014,2022,12,3,0,5640,2498-1111
2540343.34631524,1187878.81592317,2024,19,1,0,5640,2540-1187
2752100.03671907,1188899.68182023,2021,12,2,0,5640,2752-1188
2520351.51878233,1150309.22860984,2023,12,1,0,5640,2520-1150
2696500,1233500,2024,19,1,0,5640,2696-1233
2717768,1078382,2024,19,2,0,5640,2717-1078
2688814,1283546,2023,19,1,0,5640,2688-1283
2585708,1222032,2021,19,1,0,5640,2585-1222
2719984,1087943,2021,19,1,0,5640,2719-1087
2490426,1112701,2021,19,1,0,5640,2490-1112
2491133,1112622,2021,19,1,0,5640,2491-1112
2751781,1189268,2021,19,1,0,5640,2751-1189
2489564,1112405,2025,12,1,0,5640,2489-1112
2494382,1112617,2021,19,1,0,5640,2494-1112
2491139.51119183,1112622.16671605,2021,19,1,0,5640,2491-1112
2490363,1112782,2022,19,2,0,5640,2490-1112
2490481.51409212,1112705.18624407,2024,19,1,0,5640,2490-1112
2490481.51409212,1112705.18624407,2022,19,5,0,5640,2490-1112
2490481.51409212,1112705.18624407,2021,19,1,0,5640,2490-1112
2568852,1211170,2023,19,2,0,5640,2568-1211
2576231,1214600,2022,19,3,0,5640,2576-1214
2615500,1180500,2022,19,1,0,5640,2615-1180
2620400,1256728,2024,12,1,3,5640,2620-1256
2704500,1281500,2021,19,1,3,5640,2704-1281
2491100,1112589,2021,12,2,0,5640,2491-1112
2584694,1117246,2025,12,1,0,5640,2584-1117
2506240,1120171,2022,12,1,0,5640,2506-1120
2568844,1211266,2024,19,1,0,5640,2568-1211
2580010,1113418,2024,19,1,0,5640,2580-1113
2580015,1113588,2024,19,2,0,5640,2580-1113
2580353,1113772,2024,19,2,0,5640,2580-1113
2615500,1129500,2024,19,1,0,5640,2615-1129
2566974,1119429,2021,12,1,0,5640,2566-1119
2577500,1215500,2024,12,1,0,5640,2577-1215
2553586,1201730,2024,25,1,3,5640,2553-1201
2569984,1211756,2023,25,1,3,5640,2569-1211
2608500,1268500,2023,19,1,0,5640,2608-1268
2680500,1205500,2024,19,3,0,5640,2680-1205
2714500,1115141,2023,19,1,0,5640,2714-1115
2615483,1271605,2021,25,1,3,5640,2615-1271
2714947,1115041,2023,19,2,0,5640,2714-1115
2547679,1191263,2024,25,1,3,5640,2547-1191
2666405,1259665,2021,19,1,3,5640,2666-1259
2542500,1188500,2021,19,2,0,5640,2542-1188
2494251.51234863,1112688.07170114,2021,19,1,0,5640,2494-1112
2526774,1152253,2024,19,1,0,5640,2526-1152
2762174,1254723,2024,19,1,3,5640,2762-1254
2569096,1211445,2024,19,1,0,5640,2569-1211
2552237,1147253,2021,19,1,0,5640,2552-1147
2561500,1247500,2025,25,1,3,5640,2561-1247
2520351.51878233,1150309.22860984,2022,19,1,0,5640,2520-1150
2609994,1258412,2021,19,1,0,5640,2609-1258
2702500,1276500,2024,25,1,3,5640,2702-1276
2610500,1129500,2021,19,1,0,5640,2610-1129
2666405,1259665,2021,19,1,0,5640,2666-1259
2714848,1114884,2025,19,2,0,5640,2714-1114
2490696,1116327,2024,25,1,3,5640,2490-1116
2490949,1116715,2022,25,1,3,5640,2490-1116
2652098,1255017,2021,25,1,3,5640,2652-1255
2490770,1116399,2025,25,1,2,5640,2490-1116
2490925,1116712,2025,25,1,3,5640,2490-1116
