x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2490481.51409212,1112705.18624407,2025,1,4,0,5640,2490-1112
2490481.51409212,1112705.18624407,2022,1,2,0,5640,2490-1112
2658500,1263500,2021,1,2,0,5640,2658-1263
2566797,1119550,2021,1,2,0,5640,2566-1119
2490423,1112901,2021,1,1,0,5640,2490-1112
2566678,1119544,2021,1,1,0,5640,2566-1119
2490462.60499855,1115806.16573781,2024,1,2,0,5640,2490-1115
2490555,1116738,2022,7,2,0,5640,2490-1116
2584500,1117500,2025,1,2,0,5640,2584-1117
2701916,1277083,2021,7,4,0,5640,2701-1277
2566927,1119678,2021,1,4,0,5640,2566-1119
2578500,1216500,2025,7,1,0,5640,2578-1216
2490967,1116649,2022,12,1,0,5640,2490-1116
2490813,1116103,2022,12,1,0,5640,2490-1116
2719962,1090770,2021,12,2,0,5640,2719-1090
2497911,1111020,2022,12,1,0,5640,2497-1111
2556538,1203019,2022,12,1,0,5640,2556-1203
2577500,1215500,2021,12,10,0,5640,2577-1215
2552698.55679552,1199682.58930613,2021,19,1,0,5640,2552-1199
2490883,1112467,2021,12,1,0,5640,2490-1112
2652500,1255500,2022,12,1,0,5640,2652-1255
2566647,1119520,2021,12,2,0,5640,2566-1119
2540343.34631524,1187878.81592317,2024,19,1,0,5640,2540-1187
2520351.51878233,1150309.22860984,2023,12,1,0,5640,2520-1150
2696500,1233500,2024,19,1,0,5640,2696-1233
2717768,1078382,2024,19,2,0,5640,2717-1078
2490426,1112701,2021,19,1,0,5640,2490-1112
2491133,1112622,2021,19,1,0,5640,2491-1112
2491139.51119183,1112622.16671605,2021,19,1,0,5640,2491-1112
2490363,1112782,2022,19,2,0,5640,2490-1112
2490481.51409212,1112705.18624407,2024,19,1,0,5640,2490-1112
2490481.51409212,1112705.18624407,2022,19,5,0,5640,2490-1112
2490481.51409212,1112705.18624407,2021,19,1,0,5640,2490-1112
2568852,1211170,2023,19,2,0,5640,2568-1211
2576231,1214600,2022,19,3,0,5640,2576-1214
2491100,1112589,2021,12,2,0,5640,2491-1112
2584694,1117246,2025,12,1,0,5640,2584-1117
2506240,1120171,2022,12,1,0,5640,2506-1120
2568844,1211266,2024,19,1,0,5640,2568-1211
2580010,1113418,2024,19,1,0,5640,2580-1113
2580015,1113588,2024,19,2,0,5640,2580-1113
2580353,1113772,2024,19,2,0,5640,2580-1113
2615500,1129500,2024,19,1,0,5640,2615-1129
2566974,1119429,2021,12,1,0,5640,2566-1119
2577500,1215500,2024,12,1,0,5640,2577-1215
2553586,1201730,2024,25,1,3,5640,2553-1201
2608500,1268500,2023,19,1,0,5640,2608-1268
2615483,1271605,2021,25,1,3,5640,2615-1271
2666405,1259665,2021,19,1,3,5640,2666-1259
2542500,1188500,2021,19,2,0,5640,2542-1188
2520351.51878233,1150309.22860984,2022,19,1,0,5640,2520-1150
2666405,1259665,2021,19,1,0,5640,2666-1259
2490696,1116327,2024,25,1,3,5640,2490-1116
2490949,1116715,2022,25,1,3,5640,2490-1116
2652098,1255017,2021,25,1,3,5640,2652-1255
2490770,1116399,2025,25,1,2,5640,2490-1116
2490925,1116712,2025,25,1,3,5640,2490-1116
2605593,1261890,2022,25,1,3,5640,2605-1261
2542043,1188237,2022,25,4,1,5640,2542-1188
2490871.61497338,1116162.15102031,2021,19,3,0,5640,2490-1116
2618922,1169176,2023,19,1,0,5640,2618-1169
2491972,1119296,2023,19,1,0,5640,2491-1119
2491247,1112551,2025,25,1,3,5640,2491-1112
2491146,1112634,2022,25,1,3,5640,2491-1112
2680261,1273762,2022,25,2,5,5640,2680-1273
2680261,1273762,2022,25,2,5,5640,2680-1273
2568952,1211340,2023,25,1,3,5640,2568-1211
2505527,1121094,2022,25,1,3,5640,2505-1121
2545526,1149820,2021,19,1,0,5640,2545-1149
2624446,1258601,2022,25,1,3,5640,2624-1258
2494249,1114124,2023,25,1,3,5640,2494-1114
2494277,1113950,2023,25,2,8,5640,2494-1113
2619011,1257287,2022,31,1,3,5640,2619-1257
2719968,1090660,2025,25,1,3,5640,2719-1090
2713343,1115029,2025,25,1,3,5640,2713-1115
2505295,1121340,2021,19,1,3,5640,2505-1121
2756500,1211500,2025,25,1,3,5640,2756-1211
2707647,1280805,2023,25,1,1,5640,2707-1280
2566923,1119718,2024,31,1,3,5640,2566-1119
2580304,1113794,2024,19,1,0,5640,2580-1113
2517919.46946051,1148344.29156068,2025,31,1,3,5640,2517-1148
2491190,1115531,2023,31,1,3,5640,2491-1115
2491235,1115436,2025,31,1,3,5640,2491-1115
2494777.53034506,1113298.0517013,2021,19,1,0,5640,2494-1113
2580883,1217748,2025,31,1,3,5640,2580-1217
2580357,1217280,2024,31,1,3,5640,2580-1217
2580419,1217421,2025,31,1,3,5640,2580-1217
2578762,1216185,2024,31,1,2,5640,2578-1216
2579801,1216793,2023,31,2,4,5640,2579-1216
2578631,1216139,2023,31,1,3,5640,2578-1216
2580948,1217783,2024,31,1,3,5640,2580-1217
2579240,1216311,2024,31,1,3,5640,2579-1216
2581285,1218102,2022,31,1,2,5640,2581-1218
2579204,1216305,2025,31,1,3,5640,2579-1216
2579370,1216396,2025,31,1,3,5640,2579-1216
2579879,1216936,2023,31,1,3,5640,2579-1216
2579693,1216636,2025,31,1,3,5640,2579-1216
2574717,1201028,2024,31,1,5,5640,2574-1201
2750982,1213466,2025,25,1,3,5640,2750-1213
2706268,1280555,2023,25,1,1,5640,2706-1280
2750908,1213498,2021,25,2,4,5640,2750-1213
2750918,1213533,2022,25,1,2,5640,2750-1213
2750630,1213642,2021,25,1,3,5640,2750-1213
2566654,1119541,2025,25,1,2,5640,2566-1119
2705484,1281048,2024,25,1,7,5640,2705-1281
2705658,1280981,2023,25,1,1,5640,2705-1280
2490654.58784414,1115221.16373579,2023,25,2,3,5640,2490-1115
2576592,1214845,2023,31,1,3,5640,2576-1214
2576688,1214894,2025,31,1,3,5640,2576-1214
2615711,1129597,2022,25,1,3,5640,2615-1129
2615500,1129500,2022,25,1,1,5640,2615-1129
2758116,1209631,2025,25,1,3,5640,2758-1209
2615714,1129658,2025,31,1,3,5640,2615-1129
