x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2614541,1174561,2023,25,2,0,1430,2614-1174
2614620,1174801,2021,25,1,0,1430,2614-1174
2678743.88625199,1261738.64812515,2023,25,4,0,1430,2678-1261
2678743.88625199,1261738.64812515,2023,25,2,0,1430,2678-1261
2679578.93494353,1254052.6237002,2024,25,2,0,1430,2679-1254
2569691,1203381,2022,25,2,0,1430,2569-1203
2569699,1205212,2024,25,2,0,1430,2569-1205
2688200,1284802,2024,25,2,7,1430,2688-1284
2569858,1203086,2024,25,1,0,1430,2569-1203
2569730,1203080,2022,25,2,0,1430,2569-1203
2569391,1203298,2024,25,2,0,1430,2569-1203
2709822,1113428,2024,25,1,0,1430,2709-1113
2709628.1002368,1113293.57333526,2024,25,1,0,1430,2709-1113
2569644.55120499,1203073.27749822,2024,25,2,0,1430,2569-1203
2709500,1113500,2021,25,1,0,1430,2709-1113
2560500,1194500,2024,25,2,0,1430,2560-1194
2678500,1261500,2023,25,1,0,1430,2678-1261
2614500,1174500,2022,25,1,0,1430,2614-1174
2678490,1261631,2021,31,1,1,1430,2678-1261
2670773,1241632,2024,25,1,0,1430,2670-1241
2678743.88625199,1261738.64812515,2024,25,6,0,1430,2678-1261
2569500,1203500,2024,25,1,0,1430,2569-1203
2558500,1137500,2024,25,1,0,1430,2558-1137
2614583,1174573,2024,31,11,2,1430,2614-1174
2679764,1254108,2021,25,1,0,1430,2679-1254
2678743.88625199,1261738.64812515,2024,25,1,0,1430,2678-1261
2679597,1254046,2025,25,1,0,1430,2679-1254
2679578.93493691,1254053.62370379,2021,25,1,0,1430,2679-1254
2679578.93493691,1254053.62370379,2021,25,1,0,1430,2679-1254
2678743.88625199,1261738.64812515,2021,25,1,0,1430,2678-1261
2679610,1254053,2024,25,1,0,1430,2679-1254
2679578.93494353,1254052.6237002,2024,25,1,0,1430,2679-1254
2556278,1190574,2022,25,2,0,1430,2556-1190
2610271,1192686,2022,25,1,0,1430,2610-1192
2692053,1247614,2023,25,2,0,1430,2692-1247
2569644.55120499,1203073.27749823,2022,25,2,0,1430,2569-1203
2679945,1254167,2022,25,1,0,1430,2679-1254
2569617,1203152,2024,25,1,0,1430,2569-1203
2569369,1203285,2022,25,1,0,1430,2569-1203
2559912,1138301,2024,25,2,0,1430,2559-1138
2599446.42076127,1121642.72893809,2024,25,1,0,1430,2599-1121
2599446.42076127,1121642.72893809,2024,25,2,0,1430,2599-1121
