x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2684659,1291942,2025,1,3,0,3120,2684-1291
2576170,1234678,2022,12,1,3,3120,2576-1234
2507547.67022291,1157177.56574206,2021,19,1,3,3120,2507-1157
2523270,1184834,2024,25,,18,3120,2523-1184
2507547.67022291,1157177.56574206,2021,19,1,3,3120,2507-1157
2501462,1148751,2024,31,4,19,3120,2501-1148
2684733,1291126,2024,49,1,0,3120,2684-1291
2684794,1291560,2024,49,1,0,3120,2684-1291
2563204,1214349,2025,43,2,0,3120,2563-1214
2631755,1179383,2022,43,2,0,3120,2631-1179
2684449,1292046,2024,49,1,0,3120,2684-1292
2574863,1088984,2021,19,1,3,3120,2574-1088
2576094,1237871,2021,19,1,7,3120,2576-1237
2508500,1154500,2025,61,1,0,3120,2508-1154
2679500,1127500,2021,31,1,3,3120,2679-1127
2688420,1285602,2024,7,2,4,3120,2688-1285
2684821,1292205,2025,7,1,0,3120,2684-1292
2632197,1179615,2022,68,2,0,3120,2632-1179
2631838,1179347,2022,68,1,0,3120,2631-1179
2637500,1258500,2024,62,2,0,3120,2637-1258
2684398,1291340,2025,13,1,3,3120,2684-1291
2622260.70767305,1131730.48893012,2025,1,1,0,3120,2622-1131
2622500,1131500,2021,19,2,4,3120,2622-1131
2739706,1235531,2021,13,2,3,3120,2739-1235
2684585,1291916,2025,68,1,0,3120,2684-1291
2509999,1154001,2024,13,1,3,3120,2509-1154
2684947,1291475,2024,7,1,3,3120,2684-1291
2684598,1291829,2024,7,1,0,3120,2684-1291
2684975,1291722,2021,7,1,0,3120,2684-1291
2575844,1238003,2024,7,2,6,3120,2575-1238
2679500,1127500,2023,13,1,3,3120,2679-1127
2647500,1128500,2023,31,1,8,3120,2647-1128
2576140,1237878,2021,31,4,13,3120,2576-1237
2523333,1184772,2025,13,1,3,3120,2523-1184
2562702,1230890,2021,19,1,2,3120,2562-1230
2574481,1088176,2021,25,1,3,3120,2574-1088
2545050.92024919,1215450.80790471,2022,37,2,13,3120,2545-1215
2575885,1238002,2025,31,3,19,3120,2575-1238
2577179,1232643,2024,31,5,13,3120,2577-1232
2684469,1292247,2025,13,1,3,3120,2684-1292
2684561,1291913,2023,50,2,0,3120,2684-1291
2622500,1131500,2025,56,1,0,3120,2622-1131
2684525,1291954,2023,13,2,2,3120,2684-1291
2641631,1186223,2024,19,1,3,3120,2641-1186
2577212,1232664,2024,19,2,4,3120,2577-1232
2622500,1131500,2023,31,1,8,3120,2622-1131
2739829,1235516,2021,37,2,13,3120,2739-1235
2684280,1287136,2024,1,1,0,3120,2684-1287
2739853,1235488,2021,37,2,3,3120,2739-1235
2739848,1235510,2021,37,2,13,3120,2739-1235
2739828,1235581,2021,37,1,13,3120,2739-1235
2751186,1168171,2021,37,1,1,3120,2751-1168
2751180,1168127,2021,37,1,2,3120,2751-1168
2739882,1235506,2021,37,3,3,3120,2739-1235
2751186,1168115,2021,37,1,1,3120,2751-1168
2751158,1168763,2021,37,1,2,3120,2751-1168
2751175,1168096,2021,37,2,13,3120,2751-1168
2751190,1168114,2021,37,1,2,3120,2751-1168
2739808,1235585,2021,37,2,13,3120,2739-1235
2751175,1168096,2021,37,3,13,3120,2751-1168
2739860,1235499,2021,37,1,2,3120,2739-1235
2573883,1127512,2021,37,2,16,3120,2573-1127
2685961,1286596,2024,1,1,0,3120,2685-1286
2637695,1258858,2022,13,1,3,3120,2637-1258
2577595,1232682,2025,8,1,0,3120,2577-1232
2576020,1234797,2025,19,1,2,3120,2576-1234
2684627,1292111,2023,20,1,3,3120,2684-1292
2637525,1258868,2024,68,1,0,3120,2637-1258
2688435,1285455,2024,1,1,0,3120,2688-1285
2575885,1238002,2025,32,2,19,3120,2575-1238
2722961,1183358,2022,38,3,13,3120,2722-1183
2684490,1291914,2022,32,1,14,3120,2684-1291
2510244,1159406,2025,19,1,3,3120,2510-1159
2510197,1159424,2025,19,1,3,3120,2510-1159
2637577,1258912,2023,19,1,3,3120,2637-1258
2637735,1258806,2023,19,1,2,3120,2637-1258
2641053,1186619,2021,44,1,0,3120,2641-1186
2497500,1144500,2025,32,1,3,3120,2497-1144
2631500,1178500,2023,32,1,3,3120,2631-1178
2819500,1185500,2022,56,2,0,3120,2819-1185
2684009,1286986,2025,68,1,0,3120,2684-1286
2622500,1131500,2022,2,1,0,3120,2622-1131
2631833,1179264,2025,2,1,0,3120,2631-1179
2628984,1174260,2021,38,2,13,3120,2628-1174
2637955,1259353,2025,8,1,6,3120,2637-1259
2684484,1289502,2021,8,2,0,3120,2684-1289
2576051,1234780,2025,14,2,6,3120,2576-1234
2684552,1292185,2021,8,1,0,3120,2684-1292
2631917,1179462,2021,13,2,6,3120,2631-1179
2576023,1234770,2025,32,1,12,3120,2576-1234
2637067,1259121,2025,20,2,10,3120,2637-1259
2637011,1259119,2025,20,2,4,3120,2637-1259
2622500,1131500,2021,2,1,0,3120,2622-1131
2574945,1088268,2023,56,1,0,3120,2574-1088
2637625,1258942,2023,13,1,3,3120,2637-1258
2684021,1286996,2025,63,1,0,3120,2684-1286
2632120,1179542,2021,13,1,3,3120,2632-1179
2576146,1237880,2021,32,4,13,3120,2576-1237
2637648,1258659,2025,20,1,2,3120,2637-1258
2637700,1258672,2025,20,1,7,3120,2637-1258
2568852,1105873,2025,20,1,3,3120,2568-1105
2576152,1234772,2025,14,2,7,3120,2576-1234
2576120,1237872,2021,26,2,16,3120,2576-1237
2575860,1238005,2025,32,2,19,3120,2575-1238
2576011,1234742,2025,32,1,14,3120,2576-1234
2751192,1168092,2021,38,4,13,3120,2751-1168
2622260.70767305,1131730.48893012,2023,2,1,0,3120,2622-1131
2685883,1286217,2025,14,1,3,3120,2685-1286
2637334,1258827,2022,56,1,0,3120,2637-1258
2637563,1258971,2022,56,1,0,3120,2637-1258
2628182,1174321,2023,14,1,3,3120,2628-1174
2565383,1134716,2025,8,1,0,3120,2565-1134
2507136,1157466,2025,14,1,3,3120,2507-1157
2575863,1238013,2022,14,1,3,3120,2575-1238
2497224,1144553,2021,20,1,3,3120,2497-1144
2507500,1154450,2021,20,1,3,3120,2507-1154
2507500,1154450,2022,20,1,3,3120,2507-1154
2508999,1153760,2021,20,1,3,3120,2508-1153
2637502,1258859,2023,2,1,0,3120,2637-1258
2576018,1234746,2025,20,2,14,3120,2576-1234
2622500,1131500,2021,26,1,18,3120,2622-1131
2632132,1179487,2023,8,1,0,3120,2632-1179
2631341,1178132,2023,8,1,0,3120,2631-1178
2688360,1285500,2024,8,2,6,3120,2688-1285
2628508,1174572,2023,14,1,3,3120,2628-1174
2575866,1238002,2025,32,2,19,3120,2575-1238
2568726,1105624,2025,14,1,3,3120,2568-1105
2628909,1174543,2023,14,1,3,3120,2628-1174
2625021,1154555,2025,14,1,3,3120,2625-1154
2722896,1183239,2022,38,3,13,3120,2722-1183
2684592,1291919,2025,69,1,0,3120,2684-1291
2622500,1131500,2021,63,1,0,3120,2622-1131
2641350,1186027,2024,9,1,3,3120,2641-1186
2641277,1186141,2024,9,1,3,3120,2641-1186
2641283,1186208,2024,9,1,3,3120,2641-1186
2641352,1186024,2024,9,1,3,3120,2641-1186
2641413,1186659,2021,14,1,3,3120,2641-1186
2576033,1234789,2025,14,2,3,3120,2576-1234
2684581,1291839,2022,20,1,2,3120,2684-1291
2684540,1289505,2021,8,2,0,3120,2684-1289
2508999,1153001,2024,26,1,19,3120,2508-1153
2575869,1238015,2025,26,1,14,3120,2575-1238
2497500,1144500,2025,14,1,3,3120,2497-1144
2508500,1154500,2024,26,1,3,3120,2508-1154
2684565,1292051,2023,20,1,2,3120,2684-1292
2688347,1285479,2024,8,2,0,3120,2688-1285
2498999,1149001,2024,26,2,19,3120,2498-1149
2637059,1259119,2025,32,1,7,3120,2637-1259
2637835,1259210,2025,32,2,14,3120,2637-1259
2543320,1189893,2023,38,3,13,3120,2543-1189
2510928,1159830,2025,20,1,3,3120,2510-1159
2501500,1159500,2024,27,1,2,3120,2501-1159
2575868,1238017,2025,27,2,16,3120,2575-1238
2685494,1286274,2025,2,1,0,3120,2685-1286
2685973,1286433,2025,8,1,0,3120,2685-1286
2575884,1238011,2025,33,6,13,3120,2575-1238
2507711,1154144,2025,57,1,0,3120,2507-1154
2501199,1148491,2021,20,1,3,3120,2501-1148
2501199,1148491,2022,20,1,3,3120,2501-1148
2504500,1150500,2023,20,1,3,3120,2504-1150
2637601,1258926,2023,2,1,0,3120,2637-1258
2684601,1291531,2023,26,1,2,3120,2684-1291
2637718,1258736,2023,8,1,0,3120,2637-1258
2684587,1291930,2022,15,1,3,3120,2684-1291
2684659,1292036,2023,15,2,4,3120,2684-1292
2594596,1231243,2022,15,1,3,3120,2594-1231
2684767,1292118,2024,21,1,3,3120,2684-1292
2631820,1179143,2024,63,1,0,3120,2631-1179
2577245,1232667,2024,27,2,16,3120,2577-1232
2507285,1157435,2021,33,1,19,3120,2507-1157
2507285,1157435,2021,33,1,3,3120,2507-1157
2523311.30166178,1184804.20896308,2024,9,1,3,3120,2523-1184
2630447.66808694,1115280.47071974,2021,38,1,13,3120,2630-1115
2637718,1258736,2023,9,1,0,3120,2637-1258
2628731,1174544,2023,9,1,0,3120,2628-1174
2622260.70767305,1131730.48893012,2024,9,1,0,3120,2622-1131
2684590,1291925,2025,70,1,0,3120,2684-1291
2684021,1286996,2025,63,1,0,3120,2684-1286
2684950,1291895,2024,9,1,3,3120,2684-1291
2632298,1179328,2025,69,1,0,3120,2632-1179
2684489,1291969,2023,20,1,3,3120,2684-1291
2688255,1285439,2024,26,1,2,3120,2688-1285
2684587,1291930,2022,15,2,3,3120,2684-1291
2523311.30166178,1184804.20896309,2021,33,1,14,3120,2523-1184
2637500,1258500,2022,14,1,3,3120,2637-1258
2745634,1180010,2025,39,3,13,3120,2745-1180
2745593,1180406,2025,39,2,13,3120,2745-1180
2513720,1159915,2024,33,4,13,3120,2513-1159
2637045,1259113,2025,33,3,19,3120,2637-1259
2637102,1259124,2025,33,3,19,3120,2637-1259
2562500,1230500,2022,39,2,13,3120,2562-1230
2684678,1291417,2024,33,2,16,3120,2684-1291
2684556.43291434,1292118.75174382,2023,20,1,2,3120,2684-1292
2503439,1161805,2024,33,4,13,3120,2503-1161
2501500,1148500,2023,26,2,19,3120,2501-1148
2523265,1184477,2023,39,4,13,3120,2523-1184
