x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2684659,1291942,2025,1,3,0,3120,2684-1291
2620845,1150128,2021,1,1,0,3120,2620-1150
2726500,1207500,2022,1,1,0,3120,2726-1207
2658169,1200812,2021,12,1,3,3120,2658-1200
2638331,1257296,2022,12,1,3,3120,2638-1257
2576170,1234678,2022,12,1,3,3120,2576-1234
2573856,1233796,2025,12,1,3,3120,2573-1233
2599500,1175500,2021,19,2,3,3120,2599-1175
2581840,1225007,2023,12,1,3,3120,2581-1225
2581421,1224921,2021,12,1,3,3120,2581-1224
2507547.67022291,1157177.56574206,2021,19,1,3,3120,2507-1157
2576735,1113165,2021,19,1,3,3120,2576-1113
2601458,1116691,2021,12,1,3,3120,2601-1116
2601457,1116689,2021,12,1,3,3120,2601-1116
2563500,1232500,2022,12,1,3,3120,2563-1232
2581500,1224500,2021,12,1,3,3120,2581-1224
2564086,1209302,2022,12,1,3,3120,2564-1209
2788500,1151500,2023,12,1,3,3120,2788-1151
2662885.97055851,1146187.31449131,2023,12,1,1,3120,2662-1146
2598905,1175859,2024,12,1,3,3120,2598-1175
2561529,1229784,2021,19,1,2,3120,2561-1229
2511479,1161556,2024,25,1,3,3120,2511-1161
2737649,1222734,2025,25,1,3,3120,2737-1222
2600428,1233683,2024,25,1,3,3120,2600-1233
2523270,1184834,2024,25,,18,3120,2523-1184
2599201,1175837,2021,19,1,3,3120,2599-1175
2599201,1175837,2021,19,1,3,3120,2599-1175
2494999,1142001,2024,25,1,3,3120,2494-1142
2557583,1223493,2024,25,1,3,3120,2557-1223
2524500,1183500,2021,19,1,3,3120,2524-1183
2507547.67022291,1157177.56574206,2021,19,1,3,3120,2507-1157
2562916,1209065,2025,25,1,3,3120,2562-1209
2598563,1168335,2023,31,1,3,3120,2598-1168
2661500,1174500,2022,31,1,3,3120,2661-1174
2501462,1148751,2024,31,4,19,3120,2501-1148
2745549,1156454,2021,49,1,0,3120,2745-1156
2684733,1291126,2024,49,1,0,3120,2684-1291
2684794,1291560,2024,49,1,0,3120,2684-1291
2600074,1254279,2021,49,1,0,3120,2600-1254
2798529,1164632,2025,55,1,0,3120,2798-1164
2563204,1214349,2025,43,2,0,3120,2563-1214
2600306,1233515,2023,55,1,0,3120,2600-1233
2600208,1233444,2024,55,1,0,3120,2600-1233
2599336,1175723,2021,31,1,3,3120,2599-1175
2579335.42108767,1257966.27243105,2023,43,1,0,3120,2579-1257
2631755,1179383,2022,43,2,0,3120,2631-1179
2649500,1185500,2024,61,1,0,3120,2649-1185
2745500,1156500,2021,49,1,0,3120,2745-1156
2579549,1092093,2024,49,1,0,3120,2579-1092
2791932,1176608,2024,49,1,0,3120,2791-1176
2595720,1167179,2024,67,1,0,3120,2595-1167
2733871,1224821,2021,31,1,3,3120,2733-1224
2626500,1129500,2023,49,1,0,3120,2626-1129
2764045,1190081,2022,1,1,0,3120,2764-1190
2645486,1173338,2023,61,1,0,3120,2645-1173
2684449,1292046,2024,49,1,0,3120,2684-1292
2734312,1168143,2023,61,1,0,3120,2734-1168
2524241,1183470,2022,49,1,0,3120,2524-1183
2654500,1138500,2023,1,1,0,3120,2654-1138
2580345,1170916,2025,61,1,0,3120,2580-1170
2685224,1292303,2024,7,1,0,3120,2685-1292
2685162,1292142,2024,7,1,0,3120,2685-1292
2526612,1197121,2025,7,2,0,3120,2526-1197
2630991,1175324,2023,61,1,0,3120,2630-1175
2502206,1148568,2024,7,1,0,3120,2502-1148
2734972,1178096,2024,67,2,0,3120,2734-1178
2611500,1113500,2021,55,2,0,3120,2611-1113
2615909,1189839,2024,13,1,3,3120,2615-1189
2590182,1238473,2025,55,1,0,3120,2590-1238
2740500,1185500,2024,13,1,3,3120,2740-1185
2548814.76183054,1208943.70280126,2025,13,1,3,3120,2548-1208
2530384,1202669,2023,13,1,3,3120,2530-1202
2574863,1088984,2021,19,1,3,3120,2574-1088
2735546,1173169,2024,61,1,0,3120,2735-1173
2634257,1174344,2023,1,1,0,3120,2634-1174
2654454,1193258,2024,61,1,0,3120,2654-1193
2638236,1258516,2024,55,1,0,3120,2638-1258
2576094,1237871,2021,19,1,7,3120,2576-1237
2655292,1173521,2021,19,1,3,3120,2655-1173
2742839,1226309,2023,55,1,0,3120,2742-1226
2633664,1173918,2023,1,1,0,3120,2633-1173
2536402,1191014,2023,13,1,3,3120,2536-1191
2536422,1191021,2023,13,1,3,3120,2536-1191
2744500,1190500,2021,1,1,0,3120,2744-1190
2536305,1191136,2023,13,1,3,3120,2536-1191
2536395,1191179,2023,13,1,3,3120,2536-1191
2508253,1159147,2023,13,1,3,3120,2508-1159
2508500,1154500,2025,61,1,0,3120,2508-1154
2581325.83855849,1224931.15528572,2021,13,1,3,3120,2581-1224
2638331,1257296,2022,13,1,3,3120,2638-1257
2612031,1170855,2024,67,1,0,3120,2612-1170
2645157.87953289,1137865.356651,2023,1,1,0,3120,2645-1137
2599790,1130947,2021,31,1,3,3120,2599-1130
2599005,1129812,2021,31,1,3,3120,2599-1129
2679500,1127500,2021,31,1,3,3120,2679-1127
2575848,1237970,2025,7,2,0,3120,2575-1237
2581675,1225073,2021,13,1,3,3120,2581-1225
2575527,1234428,2025,13,1,3,3120,2575-1234
2712030,1176652,2024,13,1,3,3120,2712-1176
2582467,1167523,2022,13,1,3,3120,2582-1167
2653378,1195216,2025,13,2,3,3120,2653-1195
2622031.70914383,1132127.49021914,2024,13,1,3,3120,2622-1132
2525100.37047527,1187944.1743358,2023,13,1,3,3120,2525-1187
2622726,1163444,2022,25,1,3,3120,2622-1163
2575952,1237756,2021,19,1,1,3120,2575-1237
2688420,1285602,2024,7,2,4,3120,2688-1285
2783709,1159302,2023,49,1,0,3120,2783-1159
2703794,1146396,2023,49,3,0,3120,2703-1146
2703809,1146378,2023,49,3,0,3120,2703-1146
2634913,1177918,2024,13,1,3,3120,2634-1177
2571181,1132168,2025,13,1,3,3120,2571-1132
2601331,1116917,2025,13,2,3,3120,2601-1116
2553699,1207717,2024,13,1,3,3120,2553-1207
2600232,1233497,2025,55,2,0,3120,2600-1233
2599611,1175599,2023,13,1,3,3120,2599-1175
2599611,1175599,2023,13,1,3,3120,2599-1175
2687801,1286973,2023,55,2,0,3120,2687-1286
2687634,1287115,2023,55,1,0,3120,2687-1287
2688111,1286891,2023,55,1,0,3120,2688-1286
2770713,1190164,2022,13,1,1,3120,2770-1190
2649500,1203500,2021,55,1,0,3120,2649-1203
2562901,1209077,2025,25,1,3,3120,2562-1209
2499917,1149531,2024,25,1,3,3120,2499-1149
2634579,1177239,2025,19,1,3,3120,2634-1177
2728013,1171247,2025,19,2,3,3120,2728-1171
2599500,1175500,2021,19,2,3,3120,2599-1175
2565431,1159282,2025,19,1,3,3120,2565-1159
2510500,1154500,2023,19,1,3,3120,2510-1154
2599754,1175510,2021,19,1,3,3120,2599-1175
2599396,1175842,2021,19,2,3,3120,2599-1175
2704500,1277500,2025,49,1,0,3120,2704-1277
2583741,1156939,2023,31,1,8,3120,2583-1156
2617323,1132400,2022,49,1,0,3120,2617-1132
2704458,1146340,2023,49,1,0,3120,2704-1146
2704496,1146454,2023,49,1,0,3120,2704-1146
2703680,1146375,2023,49,3,0,3120,2703-1146
2630440,1175327,2025,49,1,0,3120,2630-1175
2733500,1224500,2023,49,1,0,3120,2733-1224
2686036,1284970,2024,7,1,0,3120,2686-1284
2686108,1286210,2024,7,1,0,3120,2686-1286
2595547,1167276,2024,7,1,0,3120,2595-1167
2684821,1292205,2025,7,1,0,3120,2684-1292
2686133,1169509,2025,25,1,3,3120,2686-1169
2506135,1155309,2024,7,1,0,3120,2506-1155
2524622,1183373,2024,7,1,3,3120,2524-1183
2524146,1183278,2024,7,1,3,3120,2524-1183
2524818,1183185,2024,7,1,3,3120,2524-1183
2528955,1200582,2021,13,1,3,3120,2528-1200
2528419,1200984,2021,13,2,3,3120,2528-1200
2579062,1092084,2025,55,1,0,3120,2579-1092
2524500,1183500,2021,13,2,3,3120,2524-1183
2753500,1154500,2022,13,1,1,3120,2753-1154
2684715,1294165,2022,13,1,3,3120,2684-1294
2601508,1177555,2021,62,1,0,3120,2601-1177
2575291,1093178,2021,13,1,3,3120,2575-1093
2631424,1177902,2024,62,1,0,3120,2631-1177
2631495,1177478,2024,62,1,0,3120,2631-1177
2630801,1177144,2024,62,1,0,3120,2630-1177
2564830,1155281,2021,49,1,0,3120,2564-1155
2617271.67769606,1132341.52858736,2022,49,1,0,3120,2617-1132
2515908,1162504,2024,62,1,0,3120,2515-1162
