x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2795603,1169382,2024,1,2,1,1320,2795-1169
2794989,1165861,2022,1,1,2,1320,2794-1165
2566589,1109230,2021,1,1,2,1320,2566-1109
2823721,1205750,2024,1,3,1,1320,2823-1205
2769507,1149011,2021,1,1,1,1320,2769-1149
2630721,1133864,2023,1,2,1,1320,2630-1133
2792473,1160163,2023,1,1,2,1320,2792-1160
2621740,1154904,2025,1,2,1,1320,2621-1154
2596500,1128500,2023,1,2,1,1320,2596-1128
2575500,1113500,2025,1,2,4,1320,2575-1113
2790500,1151500,2023,1,2,5,1320,2790-1151
2596500,1126500,2021,1,1,1,1320,2596-1126
2823349,1170595,2023,1,1,2,1320,2823-1170
2564606,1142366,2025,1,1,1,1320,2564-1142
2748203,1160772,2024,1,3,1,1320,2748-1160
2578240.33013473,1128163.01727574,2023,1,3,4,1320,2578-1128
2613660.71031603,1138539.55652576,2023,1,5,2,1320,2613-1138
2571436,1097579,2021,1,1,2,1320,2571-1097
2597149,1130571,2025,1,1,1,1320,2597-1130
2613720,1138564,2025,1,3,1,1320,2613-1138
2596500,1128500,2023,1,2,1,1320,2596-1128
2585537,1104554,2022,1,1,1,1320,2585-1104
2623650,1094449,2024,1,1,2,1320,2623-1094
2788415,1150929,2023,1,2,1,1320,2788-1150
2778577,1166219,2022,1,1,2,1320,2778-1166
2792500,1160500,2022,1,1,1,1320,2792-1160
2655279,1142142,2022,1,1,1,1320,2655-1142
2583745.32716034,1125125.93583196,2021,1,1,2,1320,2583-1125
2583500,1117500,2021,1,1,2,1320,2583-1117
2790643,1162412,2023,1,1,1,1320,2790-1162
2613500,1138500,2025,1,2,2,1320,2613-1138
2622147.71526635,1132815.48858187,2025,1,1,1,1320,2622-1132
2622147.71526635,1132815.48858187,2024,1,1,1,1320,2622-1132
2676613,1188929,2022,1,1,1,1320,2676-1188
2676246,1187916,2022,1,1,1,1320,2676-1187
2613710,1138550,2023,1,4,1,1320,2613-1138
2791731,1159574,2023,1,1,18,1320,2791-1159
2757401,1149963,2025,1,1,1,1320,2757-1149
2578156,1128021,2023,1,1,2,1320,2578-1128
2595854,1129645,2023,1,1,1,1320,2595-1129
2762420,1145971,2023,1,1,1,1320,2762-1145
2759501,1149499,2023,1,2,1,1320,2759-1149
2735835,1210347,2021,1,1,1,1320,2735-1210
2584553.21416007,1117209.94172944,2021,1,1,2,1320,2584-1117
2577504,1112717,2025,7,1,1,1320,2577-1112
2769091,1148429,2023,7,1,1,1320,2769-1148
2553819,1132630,2025,7,1,1,1320,2553-1132
2584500,1123500,2025,7,1,18,1320,2584-1123
2613660.71031603,1138539.55652576,2023,1,4,1,1320,2613-1138
2593545,1128007,2021,1,1,2,1320,2593-1128
2600520,1131449,2025,7,1,1,1320,2600-1131
2613595,1138493,2024,7,1,2,1320,2613-1138
2642608.8306582,1129203.37760752,2025,7,1,1,1320,2642-1129
2585370.27274339,1120555.92090044,2025,7,1,1,1320,2585-1120
2789500,1151500,2022,7,1,1,1320,2789-1151
2627610,1116872,2023,7,1,1,1320,2627-1116
2628391,1116718,2023,7,1,2,1320,2628-1116
2633500,1126500,2022,7,1,1,1320,2633-1126
2629295,1117144,2023,7,2,1,1320,2629-1117
2815499,1167499,2023,7,1,18,1320,2815-1167
2654500,1145500,2022,1,1,1,1320,2654-1145
2586538,1158719,2025,7,1,1,1320,2586-1158
2641561,1103507,2022,1,1,1,1320,2641-1103
2576754,1126381,2025,1,2,1,1320,2576-1126
2576752,1126375,2025,1,2,1,1320,2576-1126
2632767.72388271,1121792.43869655,2025,7,2,2,1320,2632-1121
2584517,1117527,2023,1,1,1,1320,2584-1117
2584553.21416007,1117209.94172944,2021,12,2,1,1320,2584-1117
2636825,1134114,2023,1,1,1,1320,2636-1134
2773500,1189500,2021,12,1,1,1320,2773-1189
2781545,1179296,2021,12,1,1,1320,2781-1179
2762978,1190036,2021,12,2,1,1320,2762-1190
2807587,1174949,2025,12,1,2,1320,2807-1174
2564702,1108094,2021,12,1,2,1320,2564-1108
2801369,1166628,2021,12,1,18,1320,2801-1166
2639677,1103890,2022,12,1,1,1320,2639-1103
2799392,1143299,2025,12,1,1,1320,2799-1143
2655646,1143963,2022,12,1,2,1320,2655-1143
2612053,1119009,2022,12,2,1,1320,2612-1119
2615969,1133863,2022,12,1,2,1320,2615-1133
2787790,1159694,2023,7,2,1,1320,2787-1159
2757691,1149762,2024,7,1,1,1320,2757-1149
2763323,1143936,2024,7,1,1,1320,2763-1143
2595934,1129003,2024,7,1,1,1320,2595-1129
2589859.99297285,1097925.94334107,2025,7,1,2,1320,2589-1097
2671394,1154102,2022,12,1,1,1320,2671-1154
2621500,1132500,2025,12,1,1,1320,2621-1132
2812500,1179500,2021,12,1,1,1320,2812-1179
2777504,1145815,2023,12,1,2,1320,2777-1145
2778090,1145577,2023,12,2,2,1320,2778-1145
2596222,1127169,2025,12,1,2,1320,2596-1127
2596303,1127963,2023,12,1,1,1320,2596-1127
2814640,1187695,2025,12,1,2,1320,2814-1187
2663500,1149500,2022,12,3,6,1320,2663-1149
2791793,1159548,2021,12,1,18,1320,2791-1159
2789555,1195282,2023,12,1,1,1320,2789-1195
2611987,1132773,2023,19,1,2,1320,2611-1132
2810693,1168662,2023,12,2,18,1320,2810-1168
2623500,1097500,2022,12,1,2,1320,2623-1097
2807327,1175019,2021,19,1,4,1320,2807-1175
2803225,1175302,2024,19,1,1,1320,2803-1175
2584512,1117367,2024,7,1,1,1320,2584-1117
2798923,1173285,2023,19,1,2,1320,2798-1173
2800940,1184843,2021,19,3,1,1320,2800-1184
2801317,1173248,2024,19,5,1,1320,2801-1173
2804999,1176559,2021,19,1,4,1320,2804-1176
2804549,1176059,2021,19,1,4,1320,2804-1176
2616672,1144320,2025,12,1,2,1320,2616-1144
2616866,1146759,2025,12,2,18,1320,2616-1146
2632079,1130945,2025,7,1,2,1320,2632-1130
2629500,1117500,2022,7,1,1,1320,2629-1117
2615519.72794132,1139263.53927552,2025,19,1,1,1320,2615-1139
2571127,1130087,2025,7,1,2,1320,2571-1130
2790177,1151136,2022,7,1,1,1320,2790-1151
2575444,1113927,2023,19,1,2,1320,2575-1113
2603980,1108128,2024,19,1,2,1320,2603-1108
2571651,1110315,2021,7,1,2,1320,2571-1110
2790462,1151499,2023,12,1,1,1320,2790-1151
2559651.93460179,1115237.38541625,2022,12,1,2,1320,2559-1115
2593931,1165134,2025,12,1,2,1320,2593-1165
2585500,1117500,2025,12,1,1,1320,2585-1117
2622031.70914383,1132127.49021915,2022,12,1,1,1320,2622-1132
2815829,1168338,2021,19,1,2,1320,2815-1168
2589799.00038648,1098499.94106955,2025,12,1,2,1320,2589-1098
2825727,1187287,2025,19,2,2,1320,2825-1187
2636582,1123295,2023,19,2,4,1320,2636-1123
2797796,1168441,2024,19,1,2,1320,2797-1168
2638604,1101028,2021,19,1,2,1320,2638-1101
2789262,1153002,2023,12,2,1,1320,2789-1153
2800257,1165819,2021,19,1,1,1320,2800-1165
2801369,1166628,2021,19,2,19,1320,2801-1166
2584695,1103401,2022,12,1,1,1320,2584-1103
2824208,1192653,2023,12,1,2,1320,2824-1192
2616324,1117325,2022,12,2,1,1320,2616-1117
2822676,1192696,2025,12,1,2,1320,2822-1192
2598163,1125612,2024,19,1,1,1320,2598-1125
2791500,1160500,2025,12,3,19,1320,2791-1160
2552500,1131500,2025,19,1,1,1320,2552-1131
2805228,1131371,2021,19,1,1,1320,2805-1131
2574321,1085982,2021,19,2,1,1320,2574-1085
2574537,1085922,2021,19,1,1,1320,2574-1085
2790500,1195500,2023,12,1,2,1320,2790-1195
2787500,1195500,2023,12,2,2,1320,2787-1195
2577525,1114071,2021,19,5,2,1320,2577-1114
2815000,1185999,2021,19,1,1,1320,2815-1185
2811180,1185313,2025,19,1,1,1320,2811-1185
2564500,1104500,2022,25,1,2,1320,2564-1104
2578668.30630486,1126482.01302097,2025,12,2,1,1320,2578-1126
2560167,1111855,2025,12,1,1,1320,2560-1111
2717005,1158603,2025,12,1,1,1320,2717-1158
2778500,1145500,2025,12,1,2,1320,2778-1145
2572048,1109314,2022,25,1,1,1320,2572-1109
2781490,1184995,2025,25,1,2,1320,2781-1184
2605012,1106945,2022,25,1,2,1320,2605-1106
2578799,1114325,2024,19,1,2,1320,2578-1114
2616397,1131034,2021,19,1,1,1320,2616-1131
2624108,1096307,2024,19,1,1,1320,2624-1096
2572457,1111156,2025,19,1,1,1320,2572-1111
2586500,1112500,2022,25,1,2,1320,2586-1112
2587920,1163805,2024,19,1,1,1320,2587-1163
2628651,1127305,2023,19,1,1,1320,2628-1127
2797161,1170849,2023,19,1,2,1320,2797-1170
2801025,1166136,2024,25,1,1,1320,2801-1166
2744657,1157671,2024,25,2,1,1320,2744-1157
2615500,1129500,2024,19,3,1,1320,2615-1129
2566890,1110646,2022,25,1,1,1320,2566-1110
2788747,1153023,2022,19,2,1,1320,2788-1153
2818812,1181070,2025,19,2,1,1320,2818-1181
2740936,1156150,2023,19,1,2,1320,2740-1156
2818837,1180782,2025,19,2,2,1320,2818-1180
2627453.7264971,1129191.45557344,2023,19,2,1,1320,2627-1129
2640504,1105667,2024,19,1,1,1320,2640-1105
2748685,1198542,2025,25,2,4,1320,2748-1198
2560500,1116500,2024,19,1,2,1320,2560-1116
