x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2713500,1113500,2023,25,1,0,4530,2713-1113
2716410.0839195,1113823.61702929,2023,25,1,0,4530,2716-1113
2584829,1221085,2021,25,1,0,4530,2584-1221
2716444,1113658,2023,25,1,0,4530,2716-1113
2712802,1113718,2023,25,1,0,4530,2712-1113
2712794,1113749,2023,25,1,0,4530,2712-1113
2716684,1113847,2023,25,1,0,4530,2716-1113
2715500,1113500,2021,25,1,0,4530,2715-1113
2716500,1113500,2023,25,2,0,4530,2716-1113
2714766,1113790,2023,25,1,0,4530,2714-1113
2714766,1113790,2023,25,1,0,4530,2714-1113
2716446,1113645,2023,25,1,0,4530,2716-1113
2715894,1113508,2024,25,1,0,4530,2715-1113
2754916,1227784,2022,31,1,3,4530,2754-1227
2670690,1237768,2025,25,1,0,4530,2670-1237
2761500,1247500,2021,31,1,3,4530,2761-1247
2761500,1261500,2023,31,1,3,4530,2761-1261
2559130,1138412,2024,25,1,0,4530,2559-1138
2595703,1223428,2024,37,1,3,4530,2595-1223
2740500,1274500,2023,31,1,1,4530,2740-1274
2740500,1274500,2024,31,1,1,4530,2740-1274
2767230,1248704,2025,31,2,3,4530,2767-1248
2764759,1251165,2021,31,1,3,4530,2764-1251
2825051,1190756,2025,31,1,3,4530,2825-1190
2520258,1150298,2022,43,1,0,4530,2520-1150
2761707,1248321,2023,31,1,3,4530,2761-1248
2634004,1240445,2024,49,1,0,4530,2634-1240
2634004,1240445,2024,49,1,0,4530,2634-1240
2562500,1194500,2025,49,1,0,4530,2562-1194
2712806,1113779,2023,25,1,0,4530,2712-1113
2712806,1113779,2023,25,1,0,4530,2712-1113
2712783,1113787,2023,25,1,0,4530,2712-1113
2712760,1113732,2023,25,1,0,4530,2712-1113
2712500,1113709,2023,25,1,0,4530,2712-1113
2712783,1113787,2023,25,1,0,4530,2712-1113
2712789,1113776,2023,25,1,0,4530,2712-1113
2764561,1252492,2025,25,1,0,4530,2764-1252
2579029,1204778,2021,25,1,0,4530,2579-1204
2711270,1114493,2021,25,1,0,4530,2711-1114
2711270,1114493,2021,25,1,0,4530,2711-1114
2557586,1138567,2022,49,1,0,4530,2557-1138
2618829,1188622,2023,31,1,3,4530,2618-1188
2761500,1247500,2021,31,1,3,4530,2761-1247
2717500,1230500,2024,31,1,3,4530,2717-1230
2740500,1274500,2023,31,1,1,4530,2740-1274
2710968.0960105,1113724.57925709,2021,25,1,0,4530,2710-1113
2711500,1114500,2021,25,1,0,4530,2711-1114
2729500,1279500,2023,31,1,3,4530,2729-1279
2740500,1274500,2024,31,1,1,4530,2740-1274
2566682,1119559,2024,49,1,0,4530,2566-1119
2721456,1117144,2021,49,1,0,4530,2721-1117
2567500,1119500,2023,49,1,0,4530,2567-1119
2712771,1113735,2024,25,1,0,4530,2712-1113
2726500,1280500,2023,49,1,0,4530,2726-1280
2740500,1274500,2025,31,1,1,4530,2740-1274
2715500,1228500,2023,31,1,3,4530,2715-1228
2706500,1230500,2023,31,1,1,4530,2706-1230
2595716,1223428,2024,37,1,3,4530,2595-1223
2740500,1274500,2025,25,1,0,4530,2740-1274
2631021,1128260,2022,25,1,0,4530,2631-1128
2740500,1274500,2023,31,2,1,4530,2740-1274
2706500,1230500,2023,31,1,3,4530,2706-1230
2715939,1113688,2024,25,1,0,4530,2715-1113
2715410,1113555,2024,25,1,0,4530,2715-1113
2557617,1138410,2023,25,1,0,4530,2557-1138
2764500,1252500,2025,37,1,3,4530,2764-1252
2709720,1113608,2024,25,1,0,4530,2709-1113
2740500,1274500,2024,43,1,0,4530,2740-1274
2754500,1227500,2022,25,2,0,4530,2754-1227
2618037,1127833,2023,31,1,3,4530,2618-1127
2761500,1261500,2023,31,2,3,4530,2761-1261
2519424,1148696,2025,25,1,0,4530,2519-1148
2746500,1269500,2021,37,1,3,4530,2746-1269
2761001.1597149,1246488.12489186,2021,31,1,10,4530,2761-1246
2759999.99367169,1263000.27822094,2023,31,1,3,4530,2759-1263
2759999.99367169,1263000.27822094,2023,31,1,3,4530,2759-1263
2787639,1157535,2022,37,1,3,4530,2787-1157
2786300,1155656,2021,44,1,0,4530,2786-1155
2709605,1113343,2021,25,1,0,4530,2709-1113
2755044,1227126,2022,25,1,0,4530,2755-1227
2530637,1152306,2025,25,1,0,4530,2530-1152
2767500,1252500,2025,25,1,0,4530,2767-1252
2612500,1231500,2021,31,1,3,4530,2612-1231
2615500,1129500,2023,31,1,4,4530,2615-1129
2761390,1246775,2021,31,2,2,4530,2761-1246
2761199,1244861,2025,31,1,3,4530,2761-1244
2766500,1249500,2021,31,1,2,4530,2766-1249
2716500,1229500,2023,31,1,3,4530,2716-1229
2740500,1274500,2024,31,1,1,4530,2740-1274
2679578.93494353,1254052.6237002,2025,25,1,0,4530,2679-1254
2530565,1152289,2025,25,1,0,4530,2530-1152
2705182,1112324,2022,25,1,0,4530,2705-1112
2573693,1203757,2021,50,1,0,4530,2573-1203
2716500,1229500,2021,31,1,3,4530,2716-1229
