x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2740500,1274500,2023,31,1,1,4530,2740-1274
2740500,1274500,2024,31,1,1,4530,2740-1274
2740500,1274500,2023,31,1,1,4530,2740-1274
2740500,1274500,2024,31,1,1,4530,2740-1274
2740500,1274500,2025,31,1,1,4530,2740-1274
2740500,1274500,2025,25,1,0,4530,2740-1274
2740500,1274500,2023,31,2,1,4530,2740-1274
2740500,1274500,2024,43,1,0,4530,2740-1274
2761001.1597149,1246488.12489186,2021,31,1,10,4530,2761-1246
2761390,1246775,2021,31,2,2,4530,2761-1246
2740500,1274500,2024,31,1,1,4530,2740-1274
2740500,1274500,2023,31,1,3,4530,2740-1274
2740500,1274500,2023,37,1,1,4530,2740-1274
2740500,1274500,2022,25,1,0,4530,2740-1274
2740500,1274500,2023,32,1,1,4530,2740-1274
2740500,1274500,2024,32,1,1,4530,2740-1274
2740500,1274500,2022,26,1,0,4530,2740-1274
2761500,1246500,2024,26,1,0,4530,2761-1246
2740500,1274500,2023,38,1,1,4530,2740-1274
2740500,1274500,2023,26,1,0,4530,2740-1274
2740500,1274500,2023,32,2,5,4530,2740-1274
2740500,1274500,2023,32,2,4,4530,2740-1274
2740500,1274500,2023,32,2,4,4530,2740-1274
2761001.1597149,1246488.12489186,2023,33,1,1,4530,2761-1246
2761439,1246827,2021,26,1,0,4530,2761-1246
2740500,1274500,2023,38,4,13,4530,2740-1274
2740500,1274500,2023,38,,13,4530,2740-1274
2761218,1246208,2021,26,1,0,4530,2761-1246
2740499,1274500,2023,39,1,3,4530,2740-1274
2740500,1274500,2023,39,,13,4530,2740-1274
2761500,1246500,2021,27,1,3,4530,2761-1246
2740500,1274500,2021,27,1,0,4530,2740-1274
2761500,1246500,2021,27,2,3,4530,2761-1246
2740500,1274500,2024,39,1,1,4530,2740-1274
2761489,1246843,2021,27,2,0,4530,2761-1246
2761448,1246919,2025,27,1,3,4530,2761-1246
2740500,1274500,2024,27,2,0,4530,2740-1274
2761975,1246563,2023,27,1,0,4530,2761-1246
2740500,1274500,2024,34,2,1,4530,2740-1274
2735500,1181500,2023,45,3,16,4530,2735-1181
2740500,1274500,2022,27,1,0,4530,2740-1274
2740500,1274500,2024,27,2,0,4530,2740-1274
2740500,1274500,2024,27,1,1,4530,2740-1274
2740500,1274500,2022,27,1,1,4530,2740-1274
2761452,1246814,2021,28,1,1,4530,2761-1246
2761480,1246824,2021,28,1,3,4530,2761-1246
2740500,1274500,2024,28,1,3,4530,2740-1274
2761115,1246205,2021,28,1,3,4530,2761-1246
2761500,1246500,2021,29,2,3,4530,2761-1246
2740500,1274500,2023,28,1,1,4530,2740-1274
2761537,1246837,2021,28,1,3,4530,2761-1246
2740500,1274500,2024,28,1,1,4530,2740-1274
2761429,1246871,2021,28,1,3,4530,2761-1246
