x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2507080,1120791,2024,25,1,0,4520,2507-1120
2490506,1116131,2023,25,1,0,4520,2490-1116
2490785,1116660,2025,25,1,0,4520,2490-1116
2507254,1120755,2025,25,1,0,4520,2507-1120
2490822,1112653,2022,25,1,0,4520,2490-1112
2507023,1120895,2024,25,1,3,4520,2507-1120
2507134,1120560,2025,25,2,0,4520,2507-1120
2491139.51119183,1112622.16671605,2023,25,2,0,4520,2491-1112
2491083,1112620,2025,25,1,3,4520,2491-1112
2507236,1120503,2025,25,2,0,4520,2507-1120
2490153,1112076,2023,25,1,0,4520,2490-1112
2560033,1137720,2022,31,1,3,4520,2560-1137
2491457,1111661,2022,25,1,0,4520,2491-1111
2490467,1112838,2022,25,1,0,4520,2490-1112
2494696.76179314,1121403.00587269,2024,25,1,0,4520,2494-1121
2494696.76179314,1121403.00587269,2023,25,1,0,4520,2494-1121
2494696.76179314,1121403.00587269,2022,25,2,0,4520,2494-1121
2494651,1121624,2022,25,1,0,4520,2494-1121
2490801,1116129,2023,31,1,3,4520,2490-1116
2491868.48421946,1111726.15083888,2024,31,2,3,4520,2491-1111
2507500,1120500,2024,31,1,3,4520,2507-1120
2559708,1128096,2022,31,1,3,4520,2559-1128
2507608,1120862,2025,25,1,0,4520,2507-1120
2507626,1120627,2025,25,1,0,4520,2507-1120
2507202,1121725,2025,25,1,0,4520,2507-1121
2507124,1121123,2021,37,1,2,4520,2507-1121
2507542,1120649,2025,25,1,2,4520,2507-1120
2507383,1121119,2023,25,1,0,4520,2507-1121
2491210,1111938,2022,31,1,2,4520,2491-1111
2723500,1121500,2024,31,2,3,4520,2723-1121
2490387,1112958,2025,31,1,1,4520,2490-1112
2490496,1116102,2021,37,1,2,4520,2490-1116
2488527.58561571,1115070.22965628,2021,37,5,13,4520,2488-1115
2490481.51409212,1112705.18624407,2023,37,1,3,4520,2490-1112
2507185.76098407,1120949.64624735,2021,31,1,3,4520,2507-1120
2489785,1115092,2022,31,1,3,4520,2489-1115
2491154,1112606,2021,31,4,3,4520,2491-1112
2491231,1112609,2021,37,1,3,4520,2491-1112
2490500,1112500,2022,37,2,4,4520,2490-1112
2560050,1137739,2023,31,1,3,4520,2560-1137
2490871.61497338,1116162.15102031,2024,31,1,2,4520,2490-1116
