x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2570500,1221500,2024,12,1,0,3560,2570-1221
2584615,1116395,2021,12,1,3,3560,2584-1116
2584854,1116808,2021,12,1,0,3560,2584-1116
2584930,1116808,2021,12,3,0,3560,2584-1116
2584911,1116961,2025,12,1,0,3560,2584-1116
2584817,1116665,2021,12,2,3,3560,2584-1116
2584936,1116728,2022,12,1,0,3560,2584-1116
2584502.25110603,1116787.44054154,2021,12,4,0,3560,2584-1116
2584502.25110603,1116787.44054154,2021,12,4,0,3560,2584-1116
2515188,1153043,2025,12,1,0,3560,2515-1153
2617748,1129295,2021,19,1,3,3560,2617-1129
2615902,1129729,2021,19,1,3,3560,2615-1129
2616126.64712991,1129791.54153697,2021,19,2,3,3560,2616-1129
2552738,1207901,2025,25,1,3,3560,2552-1207
2687563,1292906,2025,25,1,3,3560,2687-1292
2686970,1292490,2025,25,1,4,3560,2686-1292
2687429,1288984,2021,31,1,3,3560,2687-1288
2687386,1288988,2021,31,2,16,3560,2687-1288
2687749.3764332,1292585.77262094,2025,25,1,3,3560,2687-1292
2588925,1119766,2021,19,1,2,3560,2588-1119
2553479,1208971,2025,25,1,3,3560,2553-1208
2553596,1208393,2025,25,1,3,3560,2553-1208
2553525,1208659,2025,25,1,3,3560,2553-1208
2552096,1207350,2023,25,1,3,3560,2552-1207
2554449,1210313,2025,25,1,3,3560,2554-1210
2554392,1210212,2025,25,1,3,3560,2554-1210
2609784,1238247,2025,25,1,3,3560,2609-1238
2568188.52837795,1254380.46083622,2024,31,9,4,3560,2568-1254
2687057,1291767,2025,25,1,3,3560,2687-1291
2686442,1292282,2025,25,1,8,3560,2686-1292
2542117,1188283,2021,31,1,3,3560,2542-1188
2610075,1238347,2025,25,1,3,3560,2610-1238
2610098,1238568,2021,25,1,3,3560,2610-1238
2609808,1238143,2025,25,1,3,3560,2609-1238
2609673,1238073,2025,25,2,4,3560,2609-1238
2609937,1238424,2024,25,2,4,3560,2609-1238
