x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2570171.55826185,1203620.27005927,2024,19,1,0,4020,2570-1203
2507146,1120779,2025,25,1,3,4020,2507-1120
2507204,1120466,2024,25,2,3,4020,2507-1120
2582827,1207444,2024,25,1,3,4020,2582-1207
2582905,1207574,2024,25,2,3,4020,2582-1207
2596200,1224254,2022,25,1,1,4020,2596-1224
2595901,1223911,2021,25,4,4,4020,2595-1223
2596145,1224336,2021,25,5,4,4020,2596-1224
2582502,1207819,2021,25,1,3,4020,2582-1207
2683751,1259397,2024,25,1,1,4020,2683-1259
2683405,1259564,2023,25,4,3,4020,2683-1259
2625434,1128681,2021,25,1,3,4020,2625-1128
2625137,1128757,2022,25,1,3,4020,2625-1128
2575912,1211655,2023,25,1,3,4020,2575-1211
2540869.22048315,1181909.78682461,2025,25,2,3,4020,2540-1181
2557491.38890435,1138847.38243464,2024,25,2,3,4020,2557-1138
2678743.88625199,1261738.64812515,2024,25,1,1,4020,2678-1261
2570500,1203500,2023,25,4,1,4020,2570-1203
2595500,1223500,2022,25,1,3,4020,2595-1223
2600500,1226500,2025,25,3,3,4020,2600-1226
2601500,1226500,2024,25,2,3,4020,2601-1226
2601500,1226500,2021,25,1,3,4020,2601-1226
2602500,1226500,2021,25,1,3,4020,2602-1226
2569500,1203500,2021,25,1,3,4020,2569-1203
2578667.51943261,1203746.12803837,2022,25,4,1,4020,2578-1203
2578667.51943261,1203746.12803837,2021,25,1,3,4020,2578-1203
2578667.51943261,1203746.12803837,2023,25,2,3,4020,2578-1203
2578667.51943261,1203746.12803837,2025,25,3,3,4020,2578-1203
2595500,1223500,2024,25,2,3,4020,2595-1223
2583244,1210503,2021,19,1,0,4020,2583-1210
2583246,1210488,2021,19,1,0,4020,2583-1210
2596103,1223857,2021,25,4,3,4020,2596-1223
2490945,1116898,2023,25,1,3,4020,2490-1116
2490696,1116327,2024,25,10,3,4020,2490-1116
2490934,1116835,2022,25,1,3,4020,2490-1116
2495840,1122539,2022,25,2,3,4020,2495-1122
2595966,1223788,2022,25,2,1,4020,2595-1223
2490934,1116810,2025,25,1,3,4020,2490-1116
2490505,1116126,2025,25,1,3,4020,2490-1116
2490959,1116837,2025,25,1,3,4020,2490-1116
2490734,1116667,2025,25,1,3,4020,2490-1116
2490841,1116394,2025,25,1,3,4020,2490-1116
2490669,1116295,2025,25,1,3,4020,2490-1116
2490549,1116008,2025,25,1,3,4020,2490-1116
2569724,1203328,2022,25,1,3,4020,2569-1203
2583130,1210452,2024,25,1,3,4020,2583-1210
2499645,1123564,2024,25,1,3,4020,2499-1123
2497100,1111102,2022,25,1,3,4020,2497-1111
2583252,1210479,2024,25,1,3,4020,2583-1210
2507237,1120562,2024,25,2,3,4020,2507-1120
2557500,1138500,2023,25,45,3,4020,2557-1138
2578503,1203920,2021,25,1,3,4020,2578-1203
2507261,1120761,2024,25,1,3,4020,2507-1120
2570500,1203500,2025,25,9,3,4020,2570-1203
2542043,1188237,2022,25,1,1,4020,2542-1188
2507500,1120500,2022,25,4,2,4020,2507-1120
2595500,1223500,2025,25,1,3,4020,2595-1223
2576500,1205500,2022,25,5,3,4020,2576-1205
2691500,1247500,2022,25,1,3,4020,2691-1247
2539155,1182676,2024,25,1,1,4020,2539-1182
2691548,1247379,2023,25,1,3,4020,2691-1247
2691583,1247339,2021,25,1,1,4020,2691-1247
2491146,1112634,2022,25,4,3,4020,2491-1112
2557686,1138224,2022,25,1,3,4020,2557-1138
2557581,1138459,2022,25,1,3,4020,2557-1138
2569956,1203134,2025,25,2,3,4020,2569-1203
2617049,1128110,2021,25,1,3,4020,2617-1128
2569768,1203273,2021,25,3,3,4020,2569-1203
2569155,1203358,2025,25,3,3,4020,2569-1203
2569500,1203500,2022,25,1,3,4020,2569-1203
2617881,1128399,2025,25,1,3,4020,2617-1128
2617877,1128359,2022,25,1,3,4020,2617-1128
2617638,1128478,2022,25,1,3,4020,2617-1128
2557491.38890435,1138847.38243464,2024,25,3,3,4020,2557-1138
2539271.2361141,1182576.82448572,2024,25,1,3,4020,2539-1182
2570171.55826185,1203620.27005927,2024,25,3,3,4020,2570-1203
2491139.51119183,1112622.16671605,2023,25,5,3,4020,2491-1112
2507134,1120560,2025,25,2,3,4020,2507-1120
2691468.89796345,1247582.63851963,2024,25,2,3,4020,2691-1247
2569857.55231118,1203193.27414935,2024,25,6,3,4020,2569-1203
2691468.89796345,1247582.63851963,2021,25,,2,4020,2691-1247
2691468.89796345,1247582.63851963,2021,25,1,3,4020,2691-1247
2569500,1203500,2024,25,5,3,4020,2569-1203
2691468.89796345,1247582.63851963,2021,25,1,2,4020,2691-1247
2576263.55745271,1205353.17232896,2025,25,3,1,4020,2576-1205
2683500,1259500,2021,25,4,1,4020,2683-1259
2569500,1203500,2025,25,5,3,4020,2569-1203
2569500,1203500,2021,25,5,3,4020,2569-1203
2683500,1259500,2022,25,8,3,4020,2683-1259
