x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2709500,1112500,2024,19,1,0,4020,2709-1112
2570171.55826185,1203620.27005927,2024,19,1,0,4020,2570-1203
2704500,1112500,2024,19,1,0,4020,2704-1112
2597500,1223500,2025,25,1,1,4020,2597-1223
2660500,1270500,2021,25,1,2,4020,2660-1270
2579883,1212012,2025,25,1,3,4020,2579-1212
2608500,1268500,2023,25,7,1,4020,2608-1268
2507146,1120779,2025,25,1,3,4020,2507-1120
2507204,1120466,2024,25,2,3,4020,2507-1120
2507026,1121159,2024,25,2,3,4020,2507-1121
2559500,1138500,2022,25,1,3,4020,2559-1138
2563018,1187959,2021,25,1,3,4020,2563-1187
2557796,1192407,2025,25,1,3,4020,2557-1192
2661056,1269535,2021,25,1,3,4020,2661-1269
2660134,1269976,2021,25,1,3,4020,2660-1269
2586487,1203219,2023,25,3,3,4020,2586-1203
2582519,1206142,2024,25,1,3,4020,2582-1206
2582417,1206725,2024,25,1,3,4020,2582-1206
2580881,1205158,2024,25,1,3,4020,2580-1205
2582827,1207444,2024,25,1,3,4020,2582-1207
2583684,1208715,2024,25,1,3,4020,2583-1208
2582905,1207574,2024,25,2,3,4020,2582-1207
2596200,1224254,2022,25,1,1,4020,2596-1224
2595901,1223911,2021,25,4,4,4020,2595-1223
2596145,1224336,2021,25,5,4,4020,2596-1224
2582502,1207819,2021,25,1,3,4020,2582-1207
2802867,1175765,2021,25,1,1,4020,2802-1175
2802834,1175715,2021,25,1,1,4020,2802-1175
2612242,1269760,2021,25,2,3,4020,2612-1269
2522798,1168294,2025,25,1,3,4020,2522-1168
2584693,1195966,2024,25,1,1,4020,2584-1195
2709572,1112457,2024,19,1,0,4020,2709-1112
2537441,1180177,2024,25,1,3,4020,2537-1180
2596491,1215142,2022,25,1,3,4020,2596-1215
2596485,1215418,2024,25,3,3,4020,2596-1215
2592240.69450035,1221669.98545028,2025,25,1,1,4020,2592-1221
2670650.07897082,1237399.54652136,2021,25,1,3,4020,2670-1237
2683751,1259397,2024,25,1,1,4020,2683-1259
2711090,1114242,2024,19,1,0,4020,2711-1114
2537332,1180142,2024,25,1,3,4020,2537-1180
2537751,1180444,2024,25,1,3,4020,2537-1180
2537728,1180147,2023,25,1,3,4020,2537-1180
2537916,1180486,2021,25,2,3,4020,2537-1180
2537404,1180381,2024,25,1,1,4020,2537-1180
2683124,1260161,2024,25,1,3,4020,2683-1260
2683405,1259564,2023,25,4,3,4020,2683-1259
2581462,1211026,2023,25,3,3,4020,2581-1211
2709602,1113378,2021,25,2,3,4020,2709-1113
2611796,1177689,2021,25,1,3,4020,2611-1177
2710668,1113806,2022,25,2,3,4020,2710-1113
2711136,1114295,2023,25,2,3,4020,2711-1114
2710826,1113845,2022,25,1,3,4020,2710-1113
2710683,1113912,2022,25,1,3,4020,2710-1113
2625434,1128681,2021,25,1,3,4020,2625-1128
2625137,1128757,2022,25,1,3,4020,2625-1128
2576511,1212085,2023,25,2,3,4020,2576-1212
2575912,1211655,2023,25,1,3,4020,2575-1211
2505424,1120126,2022,25,1,3,4020,2505-1120
2710336,1113270,2023,25,1,3,4020,2710-1113
2503635,1119141,2023,25,1,3,4020,2503-1119
2580566,1212491,2025,25,1,3,4020,2580-1212
2580390,1212305,2022,25,1,3,4020,2580-1212
2717355,1230531,2023,25,1,3,4020,2717-1230
2711681,1114448,2023,25,1,3,4020,2711-1114
2710673,1113821,2021,25,2,3,4020,2710-1113
2710425,1113819,2021,25,2,3,4020,2710-1113
2576422,1212030,2024,25,1,3,4020,2576-1212
2709537,1113327,2021,25,2,3,4020,2709-1113
2504206,1118746,2023,25,1,3,4020,2504-1118
2581163,1211316,2024,25,1,3,4020,2581-1211
2505599,1119617,2023,25,1,3,4020,2505-1119
2653771,1248661,2022,25,1,3,4020,2653-1248
2581175,1211293,2025,25,1,3,4020,2581-1211
2602302.4526446,1208312.81580162,2023,25,1,3,4020,2602-1208
2602302.4526446,1208312.81580163,2022,25,2,3,4020,2602-1208
2709628.1002368,1113293.57333526,2021,25,2,3,4020,2709-1113
2540869.22048315,1181909.78682461,2025,25,2,3,4020,2540-1181
2557491.38890435,1138847.38243464,2024,25,2,3,4020,2557-1138
2678743.88625199,1261738.64812515,2024,25,1,1,4020,2678-1261
2679299.93832725,1253899.6223803,2022,25,1,3,4020,2679-1253
2490462.60499855,1115806.16573781,2023,25,4,3,4020,2490-1115
2570500,1203500,2023,25,4,1,4020,2570-1203
2595500,1223500,2022,25,1,3,4020,2595-1223
2600500,1226500,2025,25,3,3,4020,2600-1226
2574500,1192500,2021,25,1,2,4020,2574-1192
2608500,1259500,2024,25,1,3,4020,2608-1259
2673500,1232500,2024,25,1,1,4020,2673-1232
2711500,1112500,2023,25,1,1,4020,2711-1112
2583500,1211500,2023,25,2,2,4020,2583-1211
2601500,1226500,2024,25,2,3,4020,2601-1226
2704500,1112500,2021,25,5,3,4020,2704-1112
2601500,1226500,2021,25,1,3,4020,2601-1226
2602500,1226500,2021,25,1,3,4020,2602-1226
2569500,1203500,2021,25,1,3,4020,2569-1203
2607500,1261500,2022,25,2,3,4020,2607-1261
2565500,1189500,2021,25,1,1,4020,2565-1189
2670500,1240500,2025,25,1,3,4020,2670-1240
2715399,1113699,2024,19,1,0,4020,2715-1113
2578667.51943261,1203746.12803837,2022,25,4,1,4020,2578-1203
2663782.13888532,1224979.50017918,2021,25,1,3,4020,2663-1224
2578667.51943261,1203746.12803837,2021,25,1,3,4020,2578-1203
2679578.93494353,1254052.6237002,2024,25,1,3,4020,2679-1254
2563108.18916786,1126682.28746636,2021,25,1,3,4020,2563-1126
2592240.69450035,1221669.98545028,2022,25,1,3,4020,2592-1221
2578667.51943261,1203746.12803837,2023,25,2,3,4020,2578-1203
2578667.51943261,1203746.12803837,2025,25,3,3,4020,2578-1203
2717500,1113500,2021,25,2,1,4020,2717-1113
