x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2730016,1161527,2025,12,2,0,1510,2730-1161
2719565,1180888,2025,25,1,2,1510,2719-1180
2640290,1185331,2025,25,2,3,1510,2640-1185
2640328,1185586,2025,25,1,2,1510,2640-1185
2640568,1185356,2025,25,2,2,1510,2640-1185
2719500,1180500,2024,37,1,2,1510,2719-1180
2575274,1130923,2021,31,6,3,1510,2575-1130
2575813,1130317,2021,31,2,4,1510,2575-1130
2598252,1175786,2021,31,3,2,1510,2598-1175
2580518.98416785,1169447.00189602,2023,55,2,0,1510,2580-1169
2580124.9877582,1169700.00858702,2025,55,1,0,1510,2580-1169
2580124.9877582,1169700.00858702,2021,55,5,0,1510,2580-1169
2580124.9877582,1169700.00858702,2022,55,5,0,1510,2580-1169
2708512,1154375,2024,43,3,13,1510,2708-1154
2580124.9877582,1169700.00858702,2024,49,2,0,1510,2580-1169
2580124.9877582,1169700.00858702,2023,55,6,0,1510,2580-1169
2575636,1130500,2023,55,1,0,1510,2575-1130
2789585,1198340,2024,13,1,3,1510,2789-1198
2580124.9877582,1169700.00858702,2023,61,4,0,1510,2580-1169
2736114,1172642,2024,61,9,0,1510,2736-1172
2640578,1185449,2023,37,5,13,1510,2640-1185
2580124.9877582,1169700.00858702,2023,49,4,0,1510,2580-1169
2719500,1180500,2023,25,1,2,1510,2719-1180
2580124.9877582,1169700.00858702,2022,55,5,0,1510,2580-1169
2550351.74133704,1110293.59993234,2022,55,5,0,1510,2550-1110
2550391,1110791,2023,55,4,0,1510,2550-1110
2580869,1169159,2025,25,6,6,1510,2580-1169
2686302,1171535,2025,37,7,16,1510,2686-1171
2686793,1137147,2022,37,4,19,1510,2686-1137
2550500,1110500,2024,55,1,0,1510,2550-1110
2640162,1185386,2025,25,2,3,1510,2640-1185
2686494,1137335,2022,37,1,2,1510,2686-1137
2646816,1138615,2021,13,1,0,1510,2646-1138
2646339,1138206,2021,13,1,0,1510,2646-1138
2640167,1185476,2025,25,1,3,1510,2640-1185
2640718,1185694,2025,25,2,3,1510,2640-1185
2647339,1128699,2025,25,1,2,1510,2647-1128
2729279,1186222,2025,31,1,2,1510,2729-1186
2550351.74133704,1110293.59993234,2021,49,1,0,1510,2550-1110
2640577,1185456,2023,37,5,13,1510,2640-1185
2680533,1167184,2023,37,3,13,1510,2680-1167
2580124.9877582,1169700.00858702,2021,55,5,0,1510,2580-1169
2550351.74133704,1110293.59993234,2023,55,2,0,1510,2550-1110
2550351.74133704,1110293.59993234,2023,55,2,0,1510,2550-1110
2575835,1130482,2022,55,1,0,1510,2575-1130
2575559,1130505,2022,55,1,0,1510,2575-1130
2722500,1185500,2021,25,1,3,1510,2722-1185
2676701.72269881,1198161.42259876,2021,25,3,3,1510,2676-1198
2550643,1110900,2025,49,1,0,1510,2550-1110
2550500,1110500,2025,49,1,0,1510,2550-1110
2550594,1110932,2023,55,1,0,1510,2550-1110
2550348,1110390,2021,55,2,0,1510,2550-1110
2676701.72269881,1198161.42259876,2021,31,1,3,1510,2676-1198
2580151,1169682,2021,37,1,3,1510,2580-1169
2676701.72269881,1198161.42259876,2022,37,4,13,1510,2676-1198
2580124.9877582,1169700.00858702,2022,50,2,0,1510,2580-1169
2580124.9877582,1169700.00858702,2023,50,1,0,1510,2580-1169
2580124.9877582,1169700.00858702,2022,56,9,0,1510,2580-1169
2580124.9877582,1169700.00858702,2021,56,10,0,1510,2580-1169
2580891,1169193,2021,25,6,3,1510,2580-1169
2580837,1169196,2022,25,1,3,1510,2580-1169
2580631,1169397,2022,25,1,3,1510,2580-1169
2598996,1175800,2021,19,1,1,1510,2598-1175
2706202,1163329,2021,43,1,1,1510,2706-1163
2550351.74133704,1110293.59993234,2021,50,3,0,1510,2550-1110
2550351.74133704,1110293.59993234,2021,56,2,0,1510,2550-1110
2550351.74133704,1110293.59993234,2021,56,2,0,1510,2550-1110
2550367,1110789,2024,56,3,0,1510,2550-1110
2580124.9877582,1169700.00858702,2021,50,2,0,1510,2580-1169
2550339,1110351,2021,56,1,0,1510,2550-1110
2550351.74133704,1110293.59993234,2021,50,1,0,1510,2550-1110
2580124.9877582,1169700.00858702,2025,56,2,0,1510,2580-1169
2689942,1151598,2021,7,7,0,1510,2689-1151
2599112,1171461,2025,25,1,1,1510,2599-1171
2640437,1185309,2022,8,1,0,1510,2640-1185
2722677,1185280,2025,44,1,2,1510,2722-1185
2722621,1185131,2025,44,3,13,1510,2722-1185
2580912,1169165,2021,25,5,3,1510,2580-1169
2625997,1173256,2023,25,6,3,1510,2625-1173
2735705,1172672,2024,37,5,13,1510,2735-1172
2780059,1167166,2024,38,1,2,1510,2780-1167
2692588,1121216,2023,38,1,1,1510,2692-1121
2582444,1108381,2024,31,1,1,1510,2582-1108
2582186,1108175,2024,31,1,11,1510,2582-1108
2582802,1108462,2024,31,1,1,1510,2582-1108
2582519,1108421,2024,31,1,1,1510,2582-1108
2582868,1108549,2024,31,1,1,1510,2582-1108
2582335,1108348,2024,31,1,1,1510,2582-1108
2550351.74133704,1110293.59993234,2022,56,2,0,1510,2550-1110
2575419,1130939,2022,56,1,0,1510,2575-1130
2580124.9877582,1169700.00858702,2022,56,10,0,1510,2580-1169
2580124.9877582,1169700.00858702,2021,56,3,0,1510,2580-1169
2788854,1161741,2024,50,2,0,1510,2788-1161
