x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2613662,1258541,2022,25,10,0,3330,2613-1258
2717632,1105479,2022,25,4,0,3330,2717-1105
2710497,1113700,2022,25,4,0,3330,2710-1113
2599500,1116500,2025,25,4,1,3330,2599-1116
2716500,1113500,2022,25,2,0,3330,2716-1113
2615500,1129500,2025,25,,0,3330,2615-1129
2530712.55498419,1151132.97165396,2025,25,3,0,3330,2530-1151
2597891,1121051,2024,25,2,0,3330,2597-1121
2760875,1207699,2022,25,1,0,3330,2760-1207
2571090,1204188,2025,25,6,0,3330,2571-1204
2570042,1202816,2025,25,2,0,3330,2570-1202
2712326,1113579,2022,25,1,0,3330,2712-1113
2712506,1113803,2023,25,,0,3330,2712-1113
2712783,1113008,2022,25,3,0,3330,2712-1113
2711222,1112315,2023,25,1,0,3330,2711-1112
2640426,1250494,2022,25,15,0,3330,2640-1250
2496309.65959583,1117765.97804706,2025,25,1,0,3330,2496-1117
2595500,1184500,2022,25,2,0,3330,2595-1184
2724500,1079500,2022,25,1,0,3330,2724-1079
2527364,1164503,2025,25,30,0,3330,2527-1164
2709500,1113500,2022,25,1,0,3330,2709-1113
2717500,1229500,2022,25,7,0,3330,2717-1229
2660500,1270500,2024,25,3,0,3330,2660-1270
2490123,1112474,2025,25,3,1,3330,2490-1112
2564500,1104500,2022,25,28,0,3330,2564-1104
2488277,1111803,2025,25,,0,3330,2488-1111
2710472,1113671,2022,25,4,0,3330,2710-1113
2718744,1114314,2022,25,1,0,3330,2718-1114
2740500,1274500,2024,25,1,0,3330,2740-1274
2709500,1113500,2022,25,1,0,3330,2709-1113
2531004,1151162,2023,25,21,0,3330,2531-1151
2710500,1113500,2022,25,3,0,3330,2710-1113
2570212.07735671,1175398.1855952,2024,31,5,1,3330,2570-1175
2630830,1267526,2025,25,6,0,3330,2630-1267
2717076,1231954,2022,25,8,0,3330,2717-1231
2759985,1191731,2024,31,1,1,3330,2759-1191
2564500,1128500,2025,25,1,0,3330,2564-1128
2542945,1153773,2022,25,3,0,3330,2542-1153
2660500,1270500,2024,25,3,0,3330,2660-1270
2660500,1270500,2024,25,3,0,3330,2660-1270
2740500,1274500,2022,25,20,0,3330,2740-1274
2612153,1252221,2023,25,6,0,3330,2612-1252
2617427,1129411,2022,25,1,0,3330,2617-1129
2717382,1113421,2022,25,4,0,3330,2717-1113
2717247,1113574,2022,25,12,0,3330,2717-1113
2716356,1113501,2022,25,2,0,3330,2716-1113
2575383.48559548,1257918.33890068,2023,25,2,0,3330,2575-1257
2715782,1113695,2023,25,3,0,3330,2715-1113
2602783,1123530,2024,25,1,0,3330,2602-1123
2584979,1242575,2025,25,7,1,3330,2584-1242
2711500,1112500,2023,25,1,0,3330,2711-1112
2528086,1151746,2023,25,1,0,3330,2528-1151
2612748,1127787,2021,31,20,7,3330,2612-1127
2570535,1202743,2021,31,2,2,3330,2570-1202
2557483,1138807,2025,25,,0,3330,2557-1138
2557300.61087762,1203343.50917186,2022,25,20,0,3330,2557-1203
2491868.48421946,1111726.15083888,2024,31,20,4,3330,2491-1111
2494588.53582839,1113486.05614032,2025,31,1,2,3330,2494-1113
2717634,1105479,2024,31,4,1,3330,2717-1105
2681241,1268369,2024,31,3,1,3330,2681-1268
2634757,1246250,2022,25,6,0,3330,2634-1246
2643814.84150905,1130041.37170779,2024,31,,1,3330,2643-1130
2694042,1219752,2025,25,3,0,3330,2694-1219
2557205,1209933,2025,25,1,0,3330,2557-1209
2530729.76131928,1160457.97763713,2021,31,30,6,3330,2530-1160
2660711,1273804,2022,31,1,2,3330,2660-1273
2561500,1247500,2025,25,3,0,3330,2561-1247
2571500,1186500,2025,31,2,1,3330,2571-1186
2490947,1112621,2025,31,1,1,3330,2490-1112
2758836,1250736,2022,25,12,0,3330,2758-1250
2566834,1119512,2025,25,2,0,3330,2566-1119
2560684,1138648,2025,31,1,2,3330,2560-1138
