x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2570500,1203500,2025,25,1,0,3660,2570-1203
2570584,1203767,2022,25,1,0,3660,2570-1203
2592240.69450035,1221669.98545028,2025,25,2,0,3660,2592-1221
2710336,1113270,2023,25,1,0,3660,2710-1113
2658617,1271929,2023,25,1,0,3660,2658-1271
2710274,1113742,2022,25,1,0,3660,2710-1113
2679299.93832725,1253899.6223803,2022,25,1,0,3660,2679-1253
2570500,1203500,2024,25,1,0,3660,2570-1203
2710500,1271500,2021,25,1,0,3660,2710-1271
2682500,1257500,2025,25,2,1,3660,2682-1257
2592240.69450035,1221669.98545028,2022,25,2,0,3660,2592-1221
2659990,1259836,2025,25,1,0,3660,2659-1259
2716410.0839195,1113823.61702929,2022,25,1,0,3660,2716-1113
2709772,1114051,2025,25,1,3,3660,2709-1114
2709734,1114159,2025,25,1,3,3660,2709-1114
2716380,1113660,2023,25,1,0,3660,2716-1113
2596500,1223500,2021,25,1,0,3660,2596-1223
2710500,1112500,2023,25,1,0,3660,2710-1112
2570630,1203934,2022,25,1,3,3660,2570-1203
2570673,1203613,2024,25,1,2,3660,2570-1203
2570204,1203008,2023,25,1,0,3660,2570-1203
2570171.55826185,1203620.27005927,2022,25,2,0,3660,2570-1203
2716253,1113782,2022,25,1,0,3660,2716-1113
2710633,1112804,2021,25,1,0,3660,2710-1112
2710216,1112256,2023,25,1,0,3660,2710-1112
2710447.09883396,1113357.57841614,2023,25,1,0,3660,2710-1113
2592240.69450035,1221669.98545028,2024,25,1,0,3660,2592-1221
2592240.69450035,1221669.98545028,2022,25,2,0,3660,2592-1221
2592240.69450035,1221669.98545028,2024,25,1,0,3660,2592-1221
2570500,1203500,2021,25,1,0,3660,2570-1203
2670300.06850856,1242299.56432465,2025,25,1,0,3660,2670-1242
2687499,1272499,2024,25,1,0,3660,2687-1272
2607499,1263567,2022,25,1,0,3660,2607-1263
2570500,1203500,2025,25,,0,3660,2570-1203
2570655,1203766,2024,25,1,0,3660,2570-1203
2658689,1271698,2021,25,1,0,3660,2658-1271
2622504,1235219,2024,31,1,3,3660,2622-1235
2658836,1271916,2021,25,1,0,3660,2658-1271
2570703,1203592,2025,25,1,0,3660,2570-1203
2575447,1203835,2024,25,1,0,3660,2575-1203
2658983,1271403,2021,25,1,0,3660,2658-1271
2494019,1116503,2025,25,1,0,3660,2494-1116
2610139,1226300,2021,25,1,0,3660,2610-1226
2649368,1251135,2024,25,1,0,3660,2649-1251
2658866,1271520,2021,25,,0,3660,2658-1271
2670529,1242248,2022,25,1,0,3660,2670-1242
2555772,1179711,2022,25,1,0,3660,2555-1179
2716984,1113948,2021,25,1,0,3660,2716-1113
2555772,1179711,2022,25,1,0,3660,2555-1179
2570171.55826185,1203620.27005927,2024,25,2,0,3660,2570-1203
2682500,1257500,2022,25,2,0,3660,2682-1257
2683500,1259500,2022,25,1,0,3660,2683-1259
2577234,1203480,2023,31,1,3,3660,2577-1203
2704407,1111528,2024,31,1,3,3660,2704-1111
2570500,1203500,2025,25,1,0,3660,2570-1203
2679498,1254231,2024,25,1,0,3660,2679-1254
2679578,1254048,2025,25,1,0,3660,2679-1254
2559803.3767101,1137595.33755565,2023,31,1,3,3660,2559-1137
2716031,1113762,2022,25,1,0,3660,2716-1113
2649830,1251332,2024,25,1,0,3660,2649-1251
2490956,1115281,2025,31,1,3,3660,2490-1115
2649845,1251329,2024,25,1,0,3660,2649-1251
2570500,1203500,2025,25,1,0,3660,2570-1203
2716358,1113828,2023,25,1,0,3660,2716-1113
2715941,1114067,2022,25,1,0,3660,2715-1114
2679578.93494353,1254052.6237002,2022,25,1,0,3660,2679-1254
2679578.93494353,1254052.6237002,2024,25,1,0,3660,2679-1254
2670432,1242185,2024,25,1,3,3660,2670-1242
2679578.93494353,1254052.6237002,2024,25,1,0,3660,2679-1254
2670321,1242308,2022,25,1,0,3660,2670-1242
2570500,1203500,2024,25,1,0,3660,2570-1203
2656141,1258236,2021,25,1,0,3660,2656-1258
2670518,1242314,2023,31,1,3,3660,2670-1242
2674500,1231500,2024,25,1,0,3660,2674-1231
2710500,1112500,2022,25,1,0,3660,2710-1112
2670883,1240699,2025,25,1,3,3660,2670-1240
2614580,1269949,2024,25,1,0,3660,2614-1269
2614180,1269739,2023,25,1,0,3660,2614-1269
2614198,1269872,2025,25,1,3,3660,2614-1269
2490538,1115649,2024,25,2,0,3660,2490-1115
2620187,1256714,2024,25,1,0,3660,2620-1256
2490610,1115618,2024,25,1,0,3660,2490-1115
2716010,1113607,2022,25,2,0,3660,2716-1113
2620179,1256410,2025,25,1,0,3660,2620-1256
2710494,1113718,2023,25,1,0,3660,2710-1113
2649475,1251223,2024,25,2,0,3660,2649-1251
2710718,1113778,2022,25,3,0,3660,2710-1113
2679610,1254053,2024,25,1,0,3660,2679-1254
2716410.0839195,1113823.61702929,2022,25,1,0,3660,2716-1113
2490654.58784414,1115221.16373579,2023,25,4,0,3660,2490-1115
