x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2715500,1113500,2023,25,1,0,3660,2715-1113
2570500,1203500,2025,25,1,0,3660,2570-1203
2562500,1126500,2021,25,1,0,3660,2562-1126
2569500,1203500,2021,25,1,0,3660,2569-1203
2557836,1192527,2025,25,1,0,3660,2557-1192
2557631,1192459,2025,25,1,0,3660,2557-1192
2655211,1257685,2021,25,1,0,3660,2655-1257
2730089,1268808,2022,25,1,0,3660,2730-1268
2566401,1199537,2024,25,1,0,3660,2566-1199
2570584,1203767,2022,25,1,0,3660,2570-1203
2614855,1270341,2024,25,1,0,3660,2614-1270
2579899,1252321,2024,25,1,0,3660,2579-1252
2592240.69450035,1221669.98545028,2025,25,2,0,3660,2592-1221
2702716,1280211,2025,25,1,0,3660,2702-1280
2596485,1215418,2024,25,1,0,3660,2596-1215
2715212,1113712,2023,25,1,0,3660,2715-1113
2540795,1180769,2021,25,1,0,3660,2540-1180
2710336,1113270,2023,25,1,0,3660,2710-1113
2658617,1271929,2023,25,1,0,3660,2658-1271
2711895,1113273,2024,25,1,0,3660,2711-1113
2710274,1113742,2022,25,1,0,3660,2710-1113
2709588,1113230,2021,25,1,0,3660,2709-1113
2679299.93832725,1253899.6223803,2022,25,1,0,3660,2679-1253
2594500,1222500,2025,25,1,0,3660,2594-1222
2678500,1254500,2022,25,1,0,3660,2678-1254
2570500,1203500,2024,25,1,0,3660,2570-1203
2710500,1271500,2021,25,1,0,3660,2710-1271
2607500,1216500,2021,25,1,0,3660,2607-1216
2756500,1231500,2022,25,1,0,3660,2756-1231
2682500,1257500,2025,25,2,1,3660,2682-1257
2592240.69450035,1221669.98545028,2022,25,2,0,3660,2592-1221
2619500,1257500,2025,25,1,0,3660,2619-1257
2643817,1257910,2022,25,1,0,3660,2643-1257
2659990,1259836,2025,25,1,0,3660,2659-1259
2716410.0839195,1113823.61702929,2022,25,1,0,3660,2716-1113
2709772,1114051,2025,25,1,3,3660,2709-1114
2709734,1114159,2025,25,1,3,3660,2709-1114
2490826,1116066,2025,25,1,3,3660,2490-1116
2569181,1196447,2024,25,1,0,3660,2569-1196
2717833,1114163,2022,25,1,0,3660,2717-1114
2699956,1280056,2025,25,1,0,3660,2699-1280
2703676,1274987,2025,25,1,0,3660,2703-1274
2605593,1261890,2022,25,2,0,3660,2605-1261
2566430,1188528,2025,25,1,0,3660,2566-1188
2535299,1164939,2024,25,1,0,3660,2535-1164
2583500,1201500,2025,25,1,0,3660,2583-1201
2686500,1272500,2025,25,1,0,3660,2686-1272
2716380,1113660,2023,25,1,0,3660,2716-1113
2742959,1267855,2022,25,1,0,3660,2742-1267
2718104,1132138,2023,25,1,0,3660,2718-1132
2592349,1219737,2024,25,1,0,3660,2592-1219
2592346,1220170,2024,25,1,0,3660,2592-1220
2729500,1275500,2025,25,4,0,3660,2729-1275
2495734,1116612,2025,25,1,0,3660,2495-1116
2710500,1112500,2023,25,1,0,3660,2710-1112
2609500,1260500,2024,25,1,0,3660,2609-1260
2648614,1251378,2024,25,2,0,3660,2648-1251
2679799,1262992,2024,25,1,0,3660,2679-1262
2679771,1251743,2024,25,1,0,3660,2679-1251
2729686,1276097,2024,25,1,0,3660,2729-1276
2679542,1251916,2024,25,1,3,3660,2679-1251
2557631,1138548,2022,25,2,0,3660,2557-1138
2690007,1272099,2025,25,1,0,3660,2690-1272
2560900,1210854,2025,25,1,0,3660,2560-1210
2576824,1204061,2023,25,1,0,3660,2576-1204
2679750,1251741,2024,25,1,3,3660,2679-1251
2570630,1203934,2022,25,1,3,3660,2570-1203
2679934,1251848,2024,25,1,3,3660,2679-1251
2569894,1203092,2022,25,1,0,3660,2569-1203
2527622,1164803,2025,25,1,0,3660,2527-1164
2506755,1119593,2024,25,1,0,3660,2506-1119
2570673,1203613,2024,25,1,2,3660,2570-1203
2728854,1275834,2022,25,1,0,3660,2728-1275
2575671,1257903,2022,25,1,0,3660,2575-1257
2712838,1113613,2022,25,2,0,3660,2712-1113
2728713,1275576,2021,25,1,0,3660,2728-1275
2712757,1113304,2022,25,1,0,3660,2712-1113
2570204,1203008,2023,25,1,0,3660,2570-1203
2712858,1113684,2022,25,1,0,3660,2712-1113
2740500,1274500,2025,25,1,0,3660,2740-1274
2570171.55826185,1203620.27005927,2022,25,2,0,3660,2570-1203
2716253,1113782,2022,25,1,0,3660,2716-1113
2581717,1210404,2025,25,1,3,3660,2581-1210
2489583,1111390,2025,25,1,0,3660,2489-1111
2715500,1113500,2024,25,1,0,3660,2715-1113
2710633,1112804,2021,25,1,0,3660,2710-1112
2710216,1112256,2023,25,1,0,3660,2710-1112
2569857.55231118,1203193.27414935,2024,25,2,0,3660,2569-1203
2579335.42108767,1257966.27243105,2025,25,1,0,3660,2579-1257
2710447.09883396,1113357.57841614,2023,25,1,0,3660,2710-1113
2592240.69450035,1221669.98545028,2024,25,1,0,3660,2592-1221
2569500,1203500,2021,25,1,0,3660,2569-1203
2717500,1113500,2023,25,1,0,3660,2717-1113
2592000.68323234,1220699.98565308,2025,25,1,0,3660,2592-1220
2592240.69450035,1221669.98545028,2022,25,2,0,3660,2592-1221
2607184.51170395,1216551.78757314,2022,25,1,0,3660,2607-1216
2592240.69450035,1221669.98545028,2024,25,1,0,3660,2592-1221
2570500,1203500,2021,25,1,0,3660,2570-1203
2670300.06850856,1242299.56432465,2025,25,1,0,3660,2670-1242
2592000.68323234,1220699.98565308,2024,25,1,0,3660,2592-1220
2660500,1270500,2024,25,1,0,3660,2660-1270
2704500,1112500,2021,25,1,0,3660,2704-1112
2704500,1112500,2021,25,1,0,3660,2704-1112
2633570,1269376,2022,25,1,3,3660,2633-1269
2572702,1202784,2024,25,1,0,3660,2572-1202
2610500,1258500,2024,25,1,0,3660,2610-1258
2687499,1272499,2024,25,1,0,3660,2687-1272
2607499,1263567,2022,25,1,0,3660,2607-1263
2633115,1269361,2024,25,1,0,3660,2633-1269
2659970,1270267,2021,25,1,0,3660,2659-1270
2592973,1220642,2023,25,1,0,3660,2592-1220
2572472,1202687,2025,25,1,0,3660,2572-1202
2592994,1220604,2024,25,1,0,3660,2592-1220
2610500,1260500,2024,25,1,0,3660,2610-1260
2570500,1203500,2025,25,,0,3660,2570-1203
2729223,1275866,2021,25,1,0,3660,2729-1275
2705500,1112500,2023,25,1,0,3660,2705-1112
2601050,1214371,2025,31,1,3,3660,2601-1214
2682690,1258203,2025,31,1,3,3660,2682-1258
2569022,1196727,2022,25,1,0,3660,2569-1196
2570655,1203766,2024,25,1,0,3660,2570-1203
2659068,1271609,2025,25,1,3,3660,2659-1271
2658689,1271698,2021,25,1,0,3660,2658-1271
2622504,1235219,2024,31,1,3,3660,2622-1235
2659016,1271714,2024,31,1,2,3660,2659-1271
2658836,1271916,2021,25,1,0,3660,2658-1271
2570703,1203592,2025,25,1,0,3660,2570-1203
2490897,1116611,2023,25,1,0,3660,2490-1116
2575447,1203835,2024,25,1,0,3660,2575-1203
2658983,1271403,2021,25,1,0,3660,2658-1271
2494019,1116503,2025,25,1,0,3660,2494-1116
2495357,1116763,2024,25,1,0,3660,2495-1116
2495250,1116670,2025,25,4,4,3660,2495-1116
2492962,1115020,2023,25,1,0,3660,2492-1115
2608601,1264917,2025,25,1,0,3660,2608-1264
2660500,1270500,2024,25,1,0,3660,2660-1270
2659022,1271696,2024,31,1,2,3660,2659-1271
2610907,1265710,2021,25,1,3,3660,2610-1265
2610139,1226300,2021,25,1,0,3660,2610-1226
2649368,1251135,2024,25,1,0,3660,2649-1251
2610932,1265683,2021,25,1,0,3660,2610-1265
2571643,1202736,2022,31,1,3,3660,2571-1202
2597614,1125604,2025,25,1,0,3660,2597-1125
2610922,1265620,2021,25,1,0,3660,2610-1265
2673130,1234636,2024,31,1,3,3660,2673-1234
2718122,1131991,2023,25,2,0,3660,2718-1131
2502320,1125389,2024,25,1,0,3660,2502-1125
2698256,1271836,2024,25,1,3,3660,2698-1271
2709628.1002368,1113293.57333526,2021,25,1,0,3660,2709-1113
2674137,1280936,2024,25,1,0,3660,2674-1280
2658866,1271520,2021,25,,0,3660,2658-1271
2579646,1204684,2024,25,1,3,3660,2579-1204
2670529,1242248,2022,25,1,0,3660,2670-1242
2555772,1179711,2022,25,1,0,3660,2555-1179
2716984,1113948,2021,25,1,0,3660,2716-1113
2555772,1179711,2022,25,1,0,3660,2555-1179
2579652,1204676,2024,25,1,3,3660,2579-1204
2579063.53544362,1204880.12543813,2024,25,1,0,3660,2579-1204
2639732,1267331,2021,25,1,3,3660,2639-1267
2579446,1204888,2024,25,1,0,3660,2579-1204
2570171.55826185,1203620.27005927,2024,25,2,0,3660,2570-1203
2682500,1257500,2022,25,2,0,3660,2682-1257
2683500,1259500,2022,25,1,0,3660,2683-1259
2577234,1203480,2023,31,1,3,3660,2577-1203
2582150.61049987,1210800.09657133,2021,25,1,0,3660,2582-1210
2507500,1119500,2024,25,1,0,3660,2507-1119
2609629,1262175,2024,31,1,1,3660,2609-1262
2707757,1280428,2024,25,1,3,3660,2707-1280
2707548,1280312,2023,25,1,0,3660,2707-1280
2686850,1272030,2024,25,1,3,3660,2686-1272
2711042,1271454,2024,25,1,0,3660,2711-1271
2613640,1269049,2021,31,1,3,3660,2613-1269
2599218,1121380,2024,31,1,3,3660,2599-1121
2771926,1172147,2021,31,1,3,3660,2771-1172
2704407,1111528,2024,31,1,3,3660,2704-1111
2709738,1270932,2025,25,1,3,3660,2709-1270
2566392,1187122,2024,31,1,3,3660,2566-1187
2536437,1162468,2024,31,1,8,3660,2536-1162
2718086,1114893,2025,31,1,3,3660,2718-1114
2716151,1114170,2025,31,1,3,3660,2716-1114
2569500,1203500,2024,25,1,0,3660,2569-1203
2570500,1203500,2025,25,1,0,3660,2570-1203
2679498,1254231,2024,25,1,0,3660,2679-1254
2705153,1111800,2022,25,1,0,3660,2705-1111
2618867,1261729,2025,25,1,0,3660,2618-1261
2684184,1286425,2023,31,1,3,3660,2684-1286
2541980.36658632,1188980.78287383,2021,31,2,4,3660,2541-1188
2679578,1254048,2025,25,1,0,3660,2679-1254
2559098.38997532,1138480.35081721,2023,31,1,3,3660,2559-1138
2694351.34189007,1289817.81268171,2025,31,1,3,3660,2694-1289
2559803.3767101,1137595.33755565,2023,31,1,3,3660,2559-1137
2715985,1272479,2022,25,1,3,3660,2715-1272
2716031,1113762,2022,25,1,0,3660,2716-1113
2649830,1251332,2024,25,1,0,3660,2649-1251
2583495,1209301,2024,25,1,0,3660,2583-1209
2490956,1115281,2025,31,1,3,3660,2490-1115
2566607,1199743,2025,31,2,1,3660,2566-1199
2491188,1115531,2023,31,1,3,3660,2491-1115
2696463,1280470,2025,25,1,0,3660,2696-1280
2649845,1251329,2024,25,1,0,3660,2649-1251
2672951,1234933,2025,25,2,0,3660,2672-1234
2655334,1257583,2024,25,1,0,3660,2655-1257
2660845,1268202,2023,31,1,3,3660,2660-1268
2570500,1203500,2025,25,1,0,3660,2570-1203
2679229,1262421,2022,25,1,0,3660,2679-1262
2716358,1113828,2023,25,1,0,3660,2716-1113
2586600,1209315,2025,25,1,0,3660,2586-1209
2490377,1113455,2022,25,1,0,3660,2490-1113
2715941,1114067,2022,25,1,0,3660,2715-1114
2715500,1113500,2021,25,4,0,3660,2715-1113
2679578.93494353,1254052.6237002,2022,25,1,0,3660,2679-1254
2679578.93494353,1254052.6237002,2024,25,1,0,3660,2679-1254
2678984,1280210,2024,25,1,0,3660,2678-1280
2670432,1242185,2024,25,1,3,3660,2670-1242
2717500,1113500,2021,25,1,0,3660,2717-1113
2678500,1254500,2025,25,1,0,3660,2678-1254
2678743.88625199,1261738.64812515,2021,25,2,0,3660,2678-1261
2679578.93494353,1254052.6237002,2024,25,1,0,3660,2679-1254
2566869.11387828,1121107.22886646,2022,25,1,0,3660,2566-1121
2670321,1242308,2022,25,1,0,3660,2670-1242
2570500,1203500,2024,25,1,0,3660,2570-1203
2660500,1270500,2024,25,2,0,3660,2660-1270
2639500,1246500,2025,25,1,0,3660,2639-1246
2700000.59040254,1272100.79127784,2022,25,2,3,3660,2700-1272
2729099.48039105,1275600.06245772,2022,25,2,0,3660,2729-1275
2542391,1186424,2023,25,1,0,3660,2542-1186
2569986,1202766,2022,25,1,0,3660,2569-1202
2656141,1258236,2021,25,1,0,3660,2656-1258
2569833,1202655,2021,25,1,0,3660,2569-1202
2695740,1280952,2022,25,1,3,3660,2695-1280
2695775,1280911,2025,25,1,3,3660,2695-1280
2569500,1203500,2025,25,1,3,3660,2569-1203
2691500,1233500,2025,25,1,0,3660,2691-1233
2742176,1270859,2025,31,1,3,3660,2742-1270
2582242,1210013,2021,31,1,3,3660,2582-1210
2610395,1260730,2021,31,1,3,3660,2610-1260
2709500,1113500,2022,25,2,0,3660,2709-1113
2670518,1242314,2023,31,1,3,3660,2670-1242
2581439,1211184,2021,31,1,3,3660,2581-1211
2579500,1204500,2022,25,1,0,3660,2579-1204
2679805,1262965,2023,25,2,0,3660,2679-1262
2588896,1213887,2021,25,1,0,3660,2588-1213
2709695,1113689,2022,25,1,0,3660,2709-1113
2709859,1113877,2025,25,1,0,3660,2709-1113
2674500,1231500,2024,25,1,0,3660,2674-1231
2710500,1112500,2022,25,1,0,3660,2710-1112
2547024,1183713,2022,25,1,0,3660,2547-1183
2541797,1151942,2021,25,1,0,3660,2541-1151
2709669,1113853,2025,25,1,0,3660,2709-1113
2670883,1240699,2025,25,1,3,3660,2670-1240
2709927,1113912,2025,25,1,0,3660,2709-1113
2569500,1203500,2024,25,1,0,3660,2569-1203
2611500,1258500,2024,25,1,0,3660,2611-1258
