x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2704252,1111645,2024,25,1,3,3080,2704-1111
2634661,1124702,2025,25,2,6,3080,2634-1124
2634490,1124605,2025,25,1,3,3080,2634-1124
2596271,1124283,2021,31,2,4,3080,2596-1124
2596346,1124861,2021,31,1,3,3080,2596-1124
2596404,1124613,2021,31,1,3,3080,2596-1124
2597274,1125411,2021,31,1,3,3080,2597-1125
2596182,1124506,2021,31,1,3,3080,2596-1124
2643814.84150905,1130041.37170779,2021,43,1,0,3080,2643-1130
2593675,1123184,2021,31,1,3,3080,2593-1123
2593785,1123274,2021,31,1,2,3080,2593-1123
2596759,1124127,2025,37,5,19,3080,2596-1124
2593650,1123231,2025,37,5,19,3080,2593-1123
2593477,1121554,2025,37,6,19,3080,2593-1121
2634500,1124500,2023,25,3,6,3080,2634-1124
2634620,1123444,2023,25,2,6,3080,2634-1123
2635021,1124295,2023,25,2,18,3080,2635-1124
2635034,1124672,2023,25,1,3,3080,2635-1124
2643738,1130163,2024,19,1,0,3080,2643-1130
2634864,1123919,2021,31,1,3,3080,2634-1123
2644759,1131248,2022,25,2,0,3080,2644-1131
2618496,1128119,2023,25,1,3,3080,2618-1128
2634484,1124155,2023,25,3,6,3080,2634-1124
2634765,1124006,2023,25,2,14,3080,2634-1124
2634788,1124945,2023,25,2,6,3080,2634-1124
2592238,1121594,2022,25,2,0,3080,2592-1121
2634813,1124724,2021,31,1,3,3080,2634-1124
2597488.4488277,1125377.74560995,2022,31,1,3,3080,2597-1125
2596158,1124442,2024,37,4,19,3080,2596-1124
2594931,1123970,2024,37,1,18,3080,2594-1123
2644798,1131280,2025,19,1,3,3080,2644-1131
2644868,1131125,2025,19,1,3,3080,2644-1131
2644766,1131298,2021,25,2,0,3080,2644-1131
2643965,1129985,2021,25,1,0,3080,2643-1129
2644816,1131098,2021,31,2,4,3080,2644-1131
2596121,1124460,2021,25,1,0,3080,2596-1124
2596134,1124480,2021,25,1,3,3080,2596-1124
2643709,1130040,2025,19,1,3,3080,2643-1130
2592707,1121555,2022,25,1,0,3080,2592-1121
2593859,1123178,2022,25,1,0,3080,2593-1123
2597241,1125484,2024,37,5,19,3080,2597-1125
2593766,1123213,2021,25,1,3,3080,2593-1123
2596468,1124069,2024,37,4,19,3080,2596-1124
2596755,1124122,2024,37,4,19,3080,2596-1124
2593699,1123268,2021,31,1,3,3080,2593-1123
2596498,1125194,2025,25,1,3,3080,2596-1125
2618721,1128109,2022,31,1,3,3080,2618-1128
2593861,1123192,2024,37,5,19,3080,2593-1123
2593708,1123236,2024,37,7,19,3080,2593-1123
2634829,1123883,2021,25,2,4,3080,2634-1123
2613229,1128594,2024,31,1,3,3080,2613-1128
2643922,1129853,2021,25,2,0,3080,2643-1129
2644758,1131275,2021,25,2,0,3080,2644-1131
2644673,1131145,2024,31,1,3,3080,2644-1131
2644967,1131542,2024,31,1,3,3080,2644-1131
2634586,1124374,2021,25,1,3,3080,2634-1124
2634498,1124498,2024,25,2,3,3080,2634-1124
2634707,1124427,2021,25,1,3,3080,2634-1124
2634363,1124055,2021,25,1,3,3080,2634-1124
2634498,1124498,2021,25,2,3,3080,2634-1124
2635194,1124682,2021,25,,0,3080,2635-1124
2596290,1124192,2021,25,1,3,3080,2596-1124
2596500,1124500,2024,32,1,2,3080,2596-1124
2634793,1124582,2021,25,1,3,3080,2634-1124
2644956,1131315,2024,31,2,4,3080,2644-1131
2704942.1110355,1111918.55267258,2022,50,1,0,3080,2704-1111
2643875.84072895,1129734.37203886,2025,20,1,0,3080,2643-1129
2704793,1111846,2023,25,2,4,3080,2704-1111
2644994,1131101,2024,25,1,3,3080,2644-1131
2644794,1131254,2024,25,1,3,3080,2644-1131
2613656,1128620,2022,25,1,0,3080,2613-1128
2644868,1131159,2024,32,1,3,3080,2644-1131
2644918,1131473,2024,32,1,3,3080,2644-1131
2596357,1124223,2021,26,2,4,3080,2596-1124
2596564,1124171,2024,25,1,3,3080,2596-1124
2596392,1124503,2021,25,1,3,3080,2596-1124
2596516,1124026,2024,25,1,3,3080,2596-1124
2596756,1124115,2024,25,1,3,3080,2596-1124
2596170,1124567,2024,25,1,3,3080,2596-1124
2596797,1125174,2024,25,2,4,3080,2596-1125
2596336,1124242,2024,25,1,3,3080,2596-1124
2596119,1124413,2024,25,2,4,3080,2596-1124
2596751,1125108,2021,25,,0,3080,2596-1125
2596278,1124871,2021,25,,0,3080,2596-1124
2597227,1125428,2021,25,2,3,3080,2597-1125
2596738,1125119,2023,38,6,19,3080,2596-1125
2596768,1124119,2023,38,6,19,3080,2596-1124
2634601,1124896,2021,25,,0,3080,2634-1124
2634932,1124857,2021,25,2,4,3080,2634-1124
2643095,1129100,2023,25,1,3,3080,2643-1129
2618670.65278626,1128170.52219958,2025,32,1,2,3080,2618-1128
2618670.65278626,1128170.52219958,2025,32,2,4,3080,2618-1128
2618823,1128229,2024,38,3,1,3080,2618-1128
2634621,1123995,2025,20,1,3,3080,2634-1123
2643600.84301048,1130776.37121154,2025,26,1,0,3080,2643-1130
2618862,1128211,2025,26,1,3,3080,2618-1128
2618872,1128222,2025,26,1,3,3080,2618-1128
2704942.1110355,1111918.55267258,2025,32,1,3,3080,2704-1111
2596500,1124500,2024,32,1,3,3080,2596-1124
2618749,1128210,2023,26,1,0,3080,2618-1128
2635051,1124647,2021,26,1,3,3080,2635-1124
2635088,1124625,2021,26,1,3,3080,2635-1124
2634963,1123878,2022,32,1,3,3080,2634-1123
2704942.1110355,1111918.55267258,2022,26,2,0,3080,2704-1111
2593642,1123167,2021,32,2,4,3080,2593-1123
2618670.65278626,1128170.52219958,2025,32,1,2,3080,2618-1128
2596322,1124217,2021,26,1,3,3080,2596-1124
2643179,1130786,2025,26,1,0,3080,2643-1130
2643919,1130246,2023,26,2,4,3080,2643-1130
2643814,1130140,2021,26,2,4,3080,2643-1130
2644901,1131186,2023,26,1,3,3080,2644-1131
2613257,1128582,2022,26,2,0,3080,2613-1128
2613258,1128570,2022,26,2,4,3080,2613-1128
2613697,1128674,2022,26,1,3,3080,2613-1128
2596046,1124148,2021,32,1,3,3080,2596-1124
2596268,1124567,2021,32,1,3,3080,2596-1124
2596283,1124158,2021,32,1,3,3080,2596-1124
2596160,1124442,2025,38,3,19,3080,2596-1124
2644774,1131293,2025,38,4,19,3080,2644-1131
2704069.11191896,1111760.54829757,2025,44,1,13,3080,2704-1111
2644607,1131147,2023,26,1,3,3080,2644-1131
2618670.65278626,1128170.52219958,2025,32,1,2,3080,2618-1128
2613508,1128625,2022,26,1,3,3080,2613-1128
2596384,1124680,2021,26,1,3,3080,2596-1124
2592764,1121681,2024,26,1,0,3080,2592-1121
2592139,1121641,2024,26,2,0,3080,2592-1121
2593777,1123291,2024,26,2,0,3080,2593-1123
2760539,1206274,2023,26,2,3,3080,2760-1206
2643500,1128500,2022,26,1,0,3080,2643-1128
2596500,1124500,2022,27,1,3,3080,2596-1124
2643742,1130026,2022,38,1,3,3080,2643-1130
2704942.1110355,1111918.55267258,2024,26,1,3,3080,2704-1111
2613484,1128638,2025,26,1,3,3080,2613-1128
2613197,1128550,2024,26,1,3,3080,2613-1128
2613432,1128686,2025,26,2,0,3080,2613-1128
2613419,1128682,2025,26,1,3,3080,2613-1128
2613484,1128638,2025,26,1,3,3080,2613-1128
2613304,1128584,2022,26,1,3,3080,2613-1128
2613135,1128514,2022,26,2,6,3080,2613-1128
2644991,1131380,2021,26,2,0,3080,2644-1131
2644749,1131284,2021,26,2,0,3080,2644-1131
2634735,1124107,2021,26,1,3,3080,2634-1124
2634680,1124153,2021,26,1,3,3080,2634-1124
2634761,1124004,2021,26,2,4,3080,2634-1124
2593924,1123491,2022,26,1,0,3080,2593-1123
2593679,1123142,2022,26,1,0,3080,2593-1123
2618564,1128161,2024,26,1,3,3080,2618-1128
2635018,1124309,2022,27,2,14,3080,2635-1124
2618701.65692841,1128642.52123247,2024,26,1,3,3080,2618-1128
2618670.65278626,1128170.52219958,2024,26,1,3,3080,2618-1128
2597053,1125030,2024,39,1,2,3080,2597-1125
2613908,1128768,2025,26,1,3,3080,2613-1128
2613448,1128657,2025,26,1,3,3080,2613-1128
2613671,1128810,2025,26,1,3,3080,2613-1128
2613500,1128582,2022,26,1,3,3080,2613-1128
2613233,1128470,2025,26,2,3,3080,2613-1128
2704942.1110355,1111918.55267258,2022,26,2,3,3080,2704-1111
2644752,1131115,2023,26,2,4,3080,2644-1131
2644788,1131244,2023,26,1,3,3080,2644-1131
2644919,1131156,2022,26,1,3,3080,2644-1131
2644767,1131257,2022,26,1,3,3080,2644-1131
2644825,1131095,2022,33,1,3,3080,2644-1131
2644817,1131317,2022,33,1,3,3080,2644-1131
2644775,1131231,2023,33,1,3,3080,2644-1131
2704324,1111408,2024,33,2,4,3080,2704-1111
2704246,1111721,2024,33,1,3,3080,2704-1111
2618566,1128148,2024,26,1,3,3080,2618-1128
2618584,1128162,2024,26,1,3,3080,2618-1128
2592726,1121562,2022,33,1,3,3080,2592-1121
2643780,1129976,2022,21,1,2,3080,2643-1129
2644768,1131251,2023,27,1,3,3080,2644-1131
2644747,1131230,2022,27,1,3,3080,2644-1131
2644847,1131130,2022,27,1,3,3080,2644-1131
2644751,1131291,2022,27,1,3,3080,2644-1131
2643903,1130200,2023,27,2,3,3080,2643-1130
2760980,1206115,2022,27,1,3,3080,2760-1206
2613112,1128633,2024,27,1,3,3080,2613-1128
2613255,1128497,2022,27,1,3,3080,2613-1128
2613241,1128492,2022,27,1,3,3080,2613-1128
2613785,1128854,2024,27,1,12,3080,2613-1128
2613186,1128342,2024,27,1,3,3080,2613-1128
2613401,1128562,2024,27,1,3,3080,2613-1128
2613002,1128657,2024,27,1,3,3080,2613-1128
2596500,1125500,2022,27,1,3,3080,2596-1125
2596129,1124502,2025,27,2,4,3080,2596-1124
2596778,1124956,2025,27,1,3,3080,2596-1124
2597026,1125269,2025,27,1,2,3080,2597-1125
2596404,1124778,2025,27,2,4,3080,2596-1124
2596233,1124279,2025,27,2,4,3080,2596-1124
2618803,1128241,2023,27,1,3,3080,2618-1128
2644899,1131354,2024,33,1,3,3080,2644-1131
2644742,1131155,2024,33,1,3,3080,2644-1131
2643814.84150905,1130041.37170779,2021,27,2,5,3080,2643-1130
2635017,1124680,2021,27,1,3,3080,2635-1124
2634798,1123983,2022,33,1,3,3080,2634-1123
2596035,1124537,2024,39,2,2,3080,2596-1124
2704942.1110355,1111918.55267258,2025,27,2,2,3080,2704-1111
2643953,1130128,2024,33,1,3,3080,2643-1130
2597613,1125593,2024,21,1,0,3080,2597-1125
2613168,1128503,2024,27,1,3,3080,2613-1128
2597087,1125255,2022,27,1,3,3080,2597-1125
2596229,1124606,2022,27,2,4,3080,2596-1124
2597364,1125375,2022,27,1,3,3080,2597-1125
2596975,1124180,2022,27,1,3,3080,2596-1124
2596217,1124327,2022,27,2,4,3080,2596-1124
2597290,1125490,2022,27,2,7,3080,2597-1125
2596447,1124472,2022,27,2,4,3080,2596-1124
2596520,1124230,2022,27,2,4,3080,2596-1124
2597615,1125600,2022,27,2,4,3080,2597-1125
2596153,1124434,2022,27,2,4,3080,2596-1124
2596031,1124454,2022,27,2,4,3080,2596-1124
2596429,1124058,2022,27,1,3,3080,2596-1124
2635023,1124389,2025,27,2,19,3080,2635-1124
2596161,1124442,2025,33,1,18,3080,2596-1124
2596501,1124202,2025,33,1,18,3080,2596-1124
2704069.11191896,1111760.54829757,2025,46,3,0,3080,2704-1111
2634541,1124072,2022,27,2,14,3080,2634-1124
2704942.1110355,1111918.55267258,2022,27,2,3,3080,2704-1111
2760742,1206534,2025,33,1,3,3080,2760-1206
2593876,1123362,2025,33,1,18,3080,2593-1123
2593652,1123227,2025,33,1,18,3080,2593-1123
2634678,1123992,2022,28,2,6,3080,2634-1123
2634849,1123826,2022,28,2,6,3080,2634-1123
2704152,1111714,2024,27,2,4,3080,2704-1111
2613234,1128566,2022,27,1,3,3080,2613-1128
2613095,1128641,2024,27,2,1,3080,2613-1128
2644776,1131297,2025,33,1,18,3080,2644-1131
2644922,1131575,2025,33,1,18,3080,2644-1131
2596589,1124159,2021,27,1,3,3080,2596-1124
2597271,1125542,2021,27,1,3,3080,2597-1125
2596427,1124068,2021,27,2,4,3080,2596-1124
2635033,1124671,2024,22,1,3,3080,2635-1124
2593619,1123219,2021,27,2,4,3080,2593-1123
2634785,1123997,2025,28,2,6,3080,2634-1123
2643500,1128500,2021,28,1,3,3080,2643-1128
2704942.1110355,1111918.55267258,2022,45,1,0,3080,2704-1111
2643678,1130194,2025,21,1,3,3080,2643-1130
2644911,1131163,2024,21,1,3,3080,2644-1131
2644735,1131277,2024,21,2,4,3080,2644-1131
2644860,1131089,2021,27,2,3,3080,2644-1131
2634764,1124005,2024,21,2,14,3080,2634-1124
2613291,1128517,2022,28,1,3,3080,2613-1128
2613270,1128593,2022,28,1,3,3080,2613-1128
2596479,1124120,2025,28,2,3,3080,2596-1124
2596072,1124136,2025,28,1,3,3080,2596-1124
2596729,1124401,2021,28,1,3,3080,2596-1124
2596820,1124390,2022,28,2,3,3080,2596-1124
2760747,1206314,2022,27,1,3,3080,2760-1206
2644705.85113861,1131164.3666946,2021,27,2,5,3080,2644-1131
2597279,1125504,2022,40,5,19,3080,2597-1125
2596796,1125164,2024,39,1,3,3080,2596-1125
2643146,1129196,2025,33,1,18,3080,2643-1129
2704069.11191896,1111760.54829757,2025,46,1,0,3080,2704-1111
2704942.1110355,1111918.55267258,2022,46,1,0,3080,2704-1111
2643870,1130298,2022,21,1,3,3080,2643-1130
2618806,1128239,2022,27,1,3,3080,2618-1128
2596353,1124374,2021,22,1,3,3080,2596-1124
2596383,1124159,2021,22,1,0,3080,2596-1124
2644762,1131291,2021,34,2,4,3080,2644-1131
2644774,1131295,2025,40,4,19,3080,2644-1131
2704069.11191896,1111760.54829757,2025,46,3,0,3080,2704-1111
2592207,1121570,2022,21,1,0,3080,2592-1121
2634939,1124867,2022,21,2,6,3080,2634-1124
2760848,1206100,2022,27,1,3,3080,2760-1206
2618666,1128202,2022,27,1,3,3080,2618-1128
2760570,1206351,2022,27,1,3,3080,2760-1206
2760599,1206280,2022,27,1,3,3080,2760-1206
2704134,1111679,2024,22,1,3,3080,2704-1111
2618323,1128084,2024,28,1,1,3080,2618-1128
2596437.43301235,1124845.7597293,2021,22,1,0,3080,2596-1124
2643068,1129598,2023,28,1,3,3080,2643-1129
2643500,1128500,2021,40,1,3,3080,2643-1128
2634603,1123978,2023,29,2,14,3080,2634-1123
2643814.84150905,1130041.37170779,2021,35,1,1,3080,2643-1130
2596161,1124442,2025,41,5,19,3080,2596-1124
2644780,1131251,2023,22,1,0,3080,2644-1131
2643822,1130144,2022,22,1,0,3080,2643-1130
2643996,1129949,2021,28,1,3,3080,2643-1129
2644878,1131136,2024,28,1,3,3080,2644-1131
2644584,1131088,2023,28,1,3,3080,2644-1131
2644858,1131162,2023,28,1,3,3080,2644-1131
2643746,1130050,2022,22,1,0,3080,2643-1130
2597446,1125620,2022,22,1,3,3080,2597-1125
2597613,1125598,2022,22,1,0,3080,2597-1125
2596585,1124130,2023,22,1,0,3080,2596-1124
2634939,1124703,2025,28,2,6,3080,2634-1124
2596117,1124716,2024,23,1,2,3080,2596-1124
2596322,1124501,2024,23,2,4,3080,2596-1124
2704942.1110355,1111918.55267258,2023,22,1,0,3080,2704-1111
2596108,1124155,2025,29,2,3,3080,2596-1124
2635020,1124294,2024,29,2,18,3080,2635-1124
2618819,1128190,2024,28,2,6,3080,2618-1128
2613295,1128518,2022,28,1,3,3080,2613-1128
2613272,1128578,2022,28,1,3,3080,2613-1128
2596560,1124275,2025,28,3,3,3080,2596-1124
2618060,1128419,2021,28,1,3,3080,2618-1128
2618670.65278626,1128170.52219958,2023,28,2,3,3080,2618-1128
2760700.1517479,1206399.80960859,2022,28,1,3,3080,2760-1206
2618670.65278626,1128170.52219958,2023,28,2,3,3080,2618-1128
2618808,1128214,2024,28,2,6,3080,2618-1128
2643500,1128500,2021,40,1,3,3080,2643-1128
2596500,1124500,2021,22,2,0,3080,2596-1124
2596255,1124477,2021,22,2,4,3080,2596-1124
2596248,1124324,2021,22,2,4,3080,2596-1124
2596500,1125326,2021,29,1,3,3080,2596-1125
2596541,1124059,2021,22,2,4,3080,2596-1124
2613256,1128614,2024,29,2,4,3080,2613-1128
2760704,1206244,2022,28,1,3,3080,2760-1206
2644909,1131410,2023,34,1,3,3080,2644-1131
2593859,1123185,2024,34,1,19,3080,2593-1123
2593717,1123239,2024,34,1,19,3080,2593-1123
2594942,1123970,2024,34,1,19,3080,2594-1123
2596812,1125185,2024,34,1,19,3080,2596-1125
2597283,1125501,2024,34,1,19,3080,2597-1125
2592117,1121603,2024,34,5,19,3080,2592-1121
2593428,1121541,2024,34,1,19,3080,2593-1121
2704942.1110355,1111918.55267258,2022,47,1,0,3080,2704-1111
2643814.84150905,1130041.37170779,2021,24,1,3,3080,2643-1130
2596160,1124446,2025,30,2,4,3080,2596-1124
2596240,1124389,2025,30,1,3,3080,2596-1124
2596750,1124109,2021,22,1,3,3080,2596-1124
2618774,1128094,2024,28,2,4,3080,2618-1128
2593793,1123249,2021,28,2,4,3080,2593-1123
2593964,1123510,2021,28,1,3,3080,2593-1123
2618781,1128168,2024,28,2,6,3080,2618-1128
2704942.1110355,1111918.55267258,2022,28,2,4,3080,2704-1111
2618670.65278626,1128170.52219959,2021,28,2,3,3080,2618-1128
2596737,1124002,2021,24,3,3,3080,2596-1124
2704805,1111826,2023,24,1,3,3080,2704-1111
2643718,1130014,2021,23,1,0,3080,2643-1130
2643915,1129726,2021,23,1,0,3080,2643-1129
2634840,1123873,2021,24,2,3,3080,2634-1123
2634906,1123880,2021,24,2,3,3080,2634-1123
2618011,1128412,2021,29,1,3,3080,2618-1128
2704268,1111550,2025,30,2,4,3080,2704-1111
2635049,1124668,2021,30,2,4,3080,2635-1124
2644756,1131255,2021,29,2,4,3080,2644-1131
2644831,1131450,2021,35,1,1,3080,2644-1131
2596889,1125011,2021,23,1,3,3080,2596-1125
2596185,1124486,2021,23,2,3,3080,2596-1124
2596295,1124595,2021,23,1,3,3080,2596-1124
2596248,1124347,2021,23,2,4,3080,2596-1124
2593735,1123192,2021,23,1,3,3080,2593-1123
2618099,1128402,2021,29,1,3,3080,2618-1128
2760657,1206479,2025,41,1,13,3080,2760-1206
2704942.1110355,1111918.55267258,2022,47,1,0,3080,2704-1111
2596503,1125240,2025,24,2,4,3080,2596-1125
2597069,1125359,2022,24,2,4,3080,2597-1125
2593484,1121594,2025,23,2,2,3080,2593-1121
2613224,1128628,2022,29,1,3,3080,2613-1128
2703142,1284507,2023,29,1,3,3080,2703-1284
2597477,1125309,2022,23,1,0,3080,2597-1125
2596172.42759253,1124601.76352887,2021,23,3,0,3080,2596-1124
2593409,1123196,2025,23,1,3,3080,2593-1123
2618624,1128169,2022,29,1,3,3080,2618-1128
2643288,1129774,2022,41,1,3,3080,2643-1129
2618670.65278626,1128170.52219958,2025,41,1,2,3080,2618-1128
2593716,1123540,2025,41,1,1,3080,2593-1123
2704942.1110355,1111918.55267258,2024,23,1,2,3080,2704-1111
2644942,1131404,2023,29,1,3,3080,2644-1131
2644876,1131175,2021,29,2,4,3080,2644-1131
2643687,1130122,2023,35,4,4,3080,2643-1130
2597282,1125495,2024,23,1,3,3080,2597-1125
2596479,1124764,2024,23,2,3,3080,2596-1124
2596157,1124566,2024,23,2,4,3080,2596-1124
2596158,1124444,2024,23,2,4,3080,2596-1124
2596658,1124074,2024,23,1,3,3080,2596-1124
2596716,1124338,2024,23,1,3,3080,2596-1124
2634602,1123977,2024,24,2,14,3080,2634-1123
2593895,1123237,2024,23,1,3,3080,2593-1123
2596467,1124820,2021,29,1,3,3080,2596-1124
2596799,1124942,2021,29,1,3,3080,2596-1124
2596418,1124887,2021,29,1,3,3080,2596-1124
2596563,1124190,2025,29,3,1,3080,2596-1124
2644594,1131141,2023,29,1,3,3080,2644-1131
2596670.42852973,1124328.75773012,2025,29,3,3,3080,2596-1124
2596167,1124579,2024,35,1,19,3080,2596-1124
2596762,1124130,2024,35,1,19,3080,2596-1124
2596474,1124074,2024,35,1,19,3080,2596-1124
2596149,1124451,2024,35,1,19,3080,2596-1124
2618847,1128245,2024,35,1,19,3080,2618-1128
2643892,1130095,2025,23,1,2,3080,2643-1130
2704942.1110355,1111918.55267258,2024,23,2,3,3080,2704-1111
2644750,1131258,2021,29,2,4,3080,2644-1131
2643807,1130164,2022,41,1,3,3080,2643-1130
2596377,1124178,2023,23,2,4,3080,2596-1124
2596409,1124066,2023,23,1,3,3080,2596-1124
2618669,1128726,2021,23,1,0,3080,2618-1128
2596614,1124078,2023,23,2,4,3080,2596-1124
2596156,1124449,2023,23,2,4,3080,2596-1124
2596526,1124201,2023,23,2,4,3080,2596-1124
2597116,1125253,2023,23,1,3,3080,2597-1125
2597281,1125507,2023,23,1,3,3080,2597-1125
2596150,1124568,2023,23,2,4,3080,2596-1124
2596308,1124394,2023,23,1,3,3080,2596-1124
2596886,1125126,2023,23,1,3,3080,2596-1125
2596274,1124488,2023,23,2,4,3080,2596-1124
2596023,1124525,2023,23,1,3,3080,2596-1124
2704942.1110355,1111918.55267258,2022,23,1,0,3080,2704-1111
2634499,1124197,2025,23,2,6,3080,2634-1124
2596419,1124242,2021,29,2,4,3080,2596-1124
2596652,1124287,2021,29,1,2,3080,2596-1124
