x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2623445,1129440,2022,25,1,3,3080,2623-1129
2644932,1129222,2025,25,1,2,3080,2644-1129
2704252,1111645,2024,25,1,3,3080,2704-1111
2595916,1121038,2022,25,2,6,3080,2595-1121
2595941,1121150,2022,25,2,0,3080,2595-1121
2635446,1127726,2025,25,1,3,3080,2635-1127
2608984,1267900,2024,31,1,1,3080,2608-1267
2634661,1124702,2025,25,2,6,3080,2634-1124
2634490,1124605,2025,25,1,3,3080,2634-1124
2612724,1128561,2022,25,1,0,3080,2612-1128
2715514,1113482,2022,25,1,0,3080,2715-1113
2612151,1127692,2022,25,1,0,3080,2612-1127
2615873,1129595,2025,31,1,3,3080,2615-1129
2644968,1129269,2023,31,1,3,3080,2644-1129
2590559.28347764,1117776.85332103,2023,31,1,3,3080,2590-1117
2644010,1130321,2021,31,1,3,3080,2644-1130
2596271,1124283,2021,31,2,4,3080,2596-1124
2596346,1124861,2021,31,1,3,3080,2596-1124
2595735,1123991,2021,31,1,3,3080,2595-1123
2756120,1191109,2021,31,1,3,3080,2756-1191
2702944,1284635,2021,31,1,3,3080,2702-1284
2636352,1127535,2021,31,1,3,3080,2636-1127
2757776,1208020,2021,31,3,4,3080,2757-1208
2596404,1124613,2021,31,1,3,3080,2596-1124
2597274,1125411,2021,31,1,3,3080,2597-1125
2596182,1124506,2021,31,1,3,3080,2596-1124
2596531,1121770,2025,37,1,3,3080,2596-1121
2596905,1121443,2025,37,2,6,3080,2596-1121
2596633,1121448,2025,37,2,6,3080,2596-1121
2596484,1120372,2025,37,1,3,3080,2596-1120
2597247,1121517,2025,37,1,7,3080,2597-1121
2597101,1121431,2025,37,2,6,3080,2597-1121
2595961,1121113,2025,37,2,6,3080,2595-1121
2643814.84150905,1130041.37170779,2021,43,1,0,3080,2643-1130
2595978,1121533,2025,37,1,3,3080,2595-1121
2715850,1113428,2024,31,1,3,3080,2715-1113
2632032,1127877,2021,31,1,3,3080,2632-1127
2636438,1127521,2021,31,1,3,3080,2636-1127
2593675,1123184,2021,31,1,3,3080,2593-1123
2593785,1123274,2021,31,1,2,3080,2593-1123
2596759,1124127,2025,37,5,19,3080,2596-1124
2632072,1127962,2021,31,1,3,3080,2632-1127
2616077,1129724,2025,31,1,3,3080,2616-1129
2593650,1123231,2025,37,5,19,3080,2593-1123
2593477,1121554,2025,37,6,19,3080,2593-1121
2634500,1124500,2023,25,3,6,3080,2634-1124
2715918,1113461,2023,25,1,3,3080,2715-1113
2596388,1120448,2025,25,1,3,3080,2596-1120
2597526,1121772,2025,25,1,3,3080,2597-1121
2596258,1121556,2025,25,2,5,3080,2596-1121
2596139,1121085,2025,25,3,5,3080,2596-1121
2597271,1121570,2023,25,2,4,3080,2597-1121
2595934,1121526,2025,25,1,3,3080,2595-1121
2595279,1120909,2021,25,1,3,3080,2595-1120
2597352,1121730,2025,25,2,5,3080,2597-1121
2597370,1121487,2025,25,2,6,3080,2597-1121
2594799,1120284,2025,25,2,5,3080,2594-1120
2634620,1123444,2023,25,2,6,3080,2634-1123
2596654,1121819,2025,25,2,4,3080,2596-1121
2635021,1124295,2023,25,2,18,3080,2635-1124
2635034,1124672,2023,25,1,3,3080,2635-1124
2620976,1127614,2023,25,1,3,3080,2620-1127
2710417,1113726,2021,19,1,0,3080,2710-1113
2643738,1130163,2024,19,1,0,3080,2643-1130
2634864,1123919,2021,31,1,3,3080,2634-1123
2615500,1129500,2025,25,1,3,3080,2615-1129
2649500,1257500,2024,43,1,0,3080,2649-1257
2771500,1172500,2025,25,3,2,3080,2771-1172
2644391,1130647,2022,25,1,0,3080,2644-1130
2716548,1113743,2023,25,1,3,3080,2716-1113
2595770,1121399,2025,25,2,5,3080,2595-1121
2644463,1130579,2022,25,1,0,3080,2644-1130
2595893,1121113,2025,25,2,5,3080,2595-1121
2644759,1131248,2022,25,2,0,3080,2644-1131
2591865,1120184,2023,25,1,3,3080,2591-1120
2644667,1130927,2022,25,2,0,3080,2644-1130
2618496,1128119,2023,25,1,3,3080,2618-1128
2617860,1127856,2023,25,1,3,3080,2617-1127
2616242,1130102,2025,31,1,3,3080,2616-1130
2714038,1114246,2023,19,1,3,3080,2714-1114
2710448,1113830,2021,19,1,0,3080,2710-1113
2507500,1118500,2025,37,1,3,3080,2507-1118
2716548,1113743,2023,25,1,3,3080,2716-1113
2715811,1113398,2023,25,1,3,3080,2715-1113
2715811,1113398,2023,25,1,3,3080,2715-1113
2716608,1113529,2023,25,1,3,3080,2716-1113
2644539,1130624,2022,43,2,0,3080,2644-1130
2634484,1124155,2023,25,3,6,3080,2634-1124
2634765,1124006,2023,25,2,14,3080,2634-1124
2634788,1124945,2023,25,2,6,3080,2634-1124
2592238,1121594,2022,25,2,0,3080,2592-1121
2637533,1127787,2023,25,1,3,3080,2637-1127
2634813,1124724,2021,31,1,3,3080,2634-1124
2590942,1117555,2023,31,1,3,3080,2590-1117
2597787,1121045,2025,19,1,0,3080,2597-1121
2717500,1114500,2024,19,1,0,3080,2717-1114
