x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2720436,1091735,2024,43,2,2,1080,2720-1091
2615481,1129888,2023,37,1,2,1080,2615-1129
2684598,1291849,2024,49,9,0,1080,2684-1291
2684599,1291821,2024,49,2,0,1080,2684-1291
2684599,1291821,2024,49,2,0,1080,2684-1291
2615500,1129500,2023,49,3,0,1080,2615-1129
2688629.50001845,1284791.76089009,2021,49,23,0,1080,2688-1284
2620500,1256500,2025,43,1,2,1080,2620-1256
2616913.64421446,1128767.53611861,2022,31,2,6,1080,2616-1128
2615535,1129914,2021,43,1,2,1080,2615-1129
2615482,1129755,2022,43,1,2,1080,2615-1129
2643500,1202500,2024,49,46,0,1080,2643-1202
2561962.27294206,1186076.36390918,2024,49,3,0,1080,2561-1186
2720200,1091913,2023,43,2,2,1080,2720-1091
2720500,1091500,2021,31,1,2,1080,2720-1091
2620500,1256500,2025,49,12,0,1080,2620-1256
2601343,1196468,2022,49,1,0,1080,2601-1196
2643500,1202500,2022,49,91,0,1080,2643-1202
2618500,1258500,2024,49,10,0,1080,2618-1258
2688277,1285212,2023,49,35,0,1080,2688-1285
2688528,1284652,2021,49,2,0,1080,2688-1284
2605505,1203814,2023,49,,0,1080,2605-1203
2593547,1190271,2024,43,1,2,1080,2593-1190
2593584,1190311,2024,43,,16,1080,2593-1190
2720505,1091653,2024,43,3,2,1080,2720-1091
2720483,1091661,2025,43,3,1,1080,2720-1091
2615500,1129500,2024,25,1,0,1080,2615-1129
2561962.27294206,1186076.36390918,2024,31,1,1,1080,2561-1186
2615570,1129713,2021,43,1,2,1080,2615-1129
2710500,1112500,2025,43,1,2,1080,2710-1112
2601434,1196552,2021,31,2,4,1080,2601-1196
2643500,1202500,2022,49,18,0,1080,2643-1202
2616913.64421446,1128767.53611861,2022,31,2,7,1080,2616-1128
2620500,1256500,2021,49,10,0,1080,2620-1256
2618500,1258500,2024,43,2,13,1080,2618-1258
2620321,1256762,2023,31,1,2,1080,2620-1256
2601553,1196025,2023,49,4,0,1080,2601-1196
2618745,1128104,2022,37,1,2,1080,2618-1128
2620500,1256500,2022,43,2,13,1080,2620-1256
2716545,1150950,2021,43,1,2,1080,2716-1150
2620500,1256500,2022,49,5,0,1080,2620-1256
2643500,1202500,2023,49,288,0,1080,2643-1202
2598837,1193951,2025,43,1,16,1080,2598-1193
2720592,1091588,2025,43,2,1,1080,2720-1091
2720665,1091653,2024,43,1,2,1080,2720-1091
2720414,1091721,2024,50,1,2,1080,2720-1091
2534301,1195717,2023,50,1,0,1080,2534-1195
2601500,1196500,2023,50,82,0,1080,2601-1196
2643500,1202500,2025,50,19,0,1080,2643-1202
2561962.27294206,1186076.36390919,2021,25,1,0,1080,2561-1186
2615760,1129731,2023,31,1,1,1080,2615-1129
2615697,1129664,2023,31,1,2,1080,2615-1129
2615500,1129500,2025,25,3,0,1080,2615-1129
2615736,1129926,2021,43,1,1,1080,2615-1129
2543500,1200500,2025,43,4,13,1080,2543-1200
2726082,1084918,2022,43,1,16,1080,2726-1084
2620500,1256500,2025,43,1,3,1080,2620-1256
2601385,1196595,2021,31,1,2,1080,2601-1196
2688109,1284848,2022,50,1,0,1080,2688-1284
2618973,1128968,2025,25,1,0,1080,2618-1128
2615534.64227066,1129747.54681959,2021,31,2,1,1080,2615-1129
2615463,1129479,2023,31,1,2,1080,2615-1129
2643500,1202500,2022,50,2,0,1080,2643-1202
2720475,1091733,2021,31,2,2,1080,2720-1091
2649302,1136442,2025,37,1,2,1080,2649-1136
2605461,1202987,2024,43,2,19,1080,2605-1202
2563500,1235500,2023,31,2,2,1080,2563-1235
2720518,1091654,2023,31,2,2,1080,2720-1091
2618011,1128858,2023,50,1,0,1080,2618-1128
2620500,1256500,2022,50,20,0,1080,2620-1256
2620732,1256955,2024,50,2,0,1080,2620-1256
2720339,1091803,2023,37,2,2,1080,2720-1091
2720906,1091578,2024,37,2,2,1080,2720-1091
2720290,1091687,2025,44,2,1,1080,2720-1091
2598963,1194031,2025,44,1,16,1080,2598-1194
2593552,1190274,2024,44,1,2,1080,2593-1190
2593578,1190280,2024,44,2,14,1080,2593-1190
2593519,1190438,2024,44,,8,1080,2593-1190
2720500,1091500,2021,37,1,2,1080,2720-1091
2688638,1284788,2024,44,1,2,1080,2688-1284
2616913.64421446,1128767.53611861,2022,31,2,10,1080,2616-1128
2605534,1203809,2025,37,1,18,1080,2605-1203
2487290,1110905,2023,25,2,0,1080,2487-1110
2602589,1223525,2024,44,1,16,1080,2602-1223
2720425,1091680,2025,38,4,2,1080,2720-1091
2643500,1202500,2022,50,13,0,1080,2643-1202
2620329,1256806,2025,31,1,2,1080,2620-1256
2615500,1129500,2024,44,3,4,1080,2615-1129
2716544,1150840,2025,44,3,13,1080,2716-1150
2688637,1284789,2024,50,1,0,1080,2688-1284
2643500,1202500,2021,50,7,0,1080,2643-1202
2620500,1256500,2023,50,5,0,1080,2620-1256
2487292,1110894,2023,25,4,0,1080,2487-1110
2615729,1129758,2024,25,1,0,1080,2615-1129
2563500,1235500,2023,32,1,2,1080,2563-1235
2612500,1128500,2022,32,2,2,1080,2612-1128
2658500,1144500,2022,32,1,2,1080,2658-1144
2618657,1128017,2021,32,1,2,1080,2618-1128
2618500,1128500,2025,32,1,2,1080,2618-1128
2561962.27294206,1186076.36390919,2021,38,1,1,1080,2561-1186
2595025,1122445,2024,32,1,14,1080,2595-1122
2720248,1091566,2023,32,1,2,1080,2720-1091
2726033,1084911,2023,44,1,2,1080,2726-1084
2615500,1129500,2021,44,2,1,1080,2615-1129
2616913.64421446,1128767.53611861,2024,32,1,2,1080,2616-1128
2561962.27294206,1186076.36390919,2021,50,1,0,1080,2561-1186
2720539,1091612,2023,25,2,0,1080,2720-1091
2620500,1256500,2025,50,20,0,1080,2620-1256
2615500,1129500,2021,50,4,0,1080,2615-1129
2620322,1256469,2023,32,1,2,1080,2620-1256
2720294,1091729,2025,32,1,2,1080,2720-1091
2618670.65278626,1128170.52219959,2022,32,1,1,1080,2618-1128
2618573.65776178,1128861.5219693,2025,32,1,2,1080,2618-1128
2720285,1091847,2021,38,1,2,1080,2720-1091
2602500,1223500,2022,44,2,4,1080,2602-1223
2615500,1129500,2025,26,3,0,1080,2615-1129
2598019,1194718,2022,44,1,16,1080,2598-1194
2598144,1194420,2022,44,1,2,1080,2598-1194
2615177,1129549,2023,26,1,0,1080,2615-1129
2615531,1129882,2023,26,1,0,1080,2615-1129
2618336,1258265,2025,50,1,0,1080,2618-1258
2618357,1258252,2025,50,1,0,1080,2618-1258
2615500,1129500,2022,26,1,0,1080,2615-1129
2618822,1128857,2022,32,1,2,1080,2618-1128
2615221,1129479,2025,32,1,2,1080,2615-1129
2561962.27294206,1186076.36390918,2025,32,1,1,1080,2561-1186
2602500,1223500,2024,44,1,16,1080,2602-1223
2636557,1190712,2022,44,1,19,1080,2636-1190
2684591,1291812,2021,26,1,0,1080,2684-1291
2720694,1091619,2025,26,2,0,1080,2720-1091
2720478,1091587,2025,32,1,2,1080,2720-1091
2720359,1091725,2025,44,2,1,1080,2720-1091
2593670,1190197,2024,44,1,2,1080,2593-1190
2593719,1190169,2024,44,1,14,1080,2593-1190
2684585,1291825,2023,44,1,2,1080,2684-1291
2612744.61223504,1128810.57362858,2021,32,1,1,1080,2612-1128
2618083.64816464,1128164.52708708,2024,32,1,1,1080,2618-1128
2605549,1203779,2025,44,1,19,1080,2605-1203
2620535,1256737,2025,50,18,0,1080,2620-1256
2720267,1091758,2025,26,3,0,1080,2720-1091
2720353,1091603,2025,32,2,2,1080,2720-1091
2561962.27294206,1186076.36390918,2023,26,3,0,1080,2561-1186
2615517,1129208,2023,32,1,1,1080,2615-1129
2615653,1129923,2021,32,1,2,1080,2615-1129
2605534,1203809,2025,32,1,18,1080,2605-1203
2647834,1166007,2023,38,1,13,1080,2647-1166
2550550.62960444,1202900.64480949,2022,38,1,2,1080,2550-1202
2601467,1196438,2022,44,1,14,1080,2601-1196
2710925,1112808,2024,50,1,0,1080,2710-1112
2620411,1256936,2023,26,1,0,1080,2620-1256
2643500,1202500,2025,50,9,0,1080,2643-1202
2561962.27294206,1186076.36390918,2024,50,3,0,1080,2561-1186
2612730,1128801,2023,26,1,0,1080,2612-1128
2716582,1151334,2023,32,1,3,1080,2716-1151
2618981,1128001,2025,32,1,1,1080,2618-1128
2720261,1091901,2023,44,1,2,1080,2720-1091
2605948,1203664,2022,44,1,2,1080,2605-1203
2605535,1203687,2022,44,2,4,1080,2605-1203
2605749,1203873,2022,44,1,2,1080,2605-1203
2618670.65278626,1128170.52219959,2022,50,5,0,1080,2618-1128
2599651,1126117,2022,33,2,1,1080,2599-1126
2720160,1091670,2024,39,2,2,1080,2720-1091
2686956,1272054,2024,45,1,13,1080,2686-1272
2598774,1193986,2025,45,1,2,1080,2598-1193
2605398,1202143,2022,26,1,0,1080,2605-1202
2720751,1091639,2024,38,1,2,1080,2720-1091
2561962.27294206,1186076.36390919,2021,44,11,1,1080,2561-1186
2620500,1256500,2024,51,1,0,1080,2620-1256
2618411,1128915,2023,32,1,2,1080,2618-1128
2720607,1091519,2025,38,2,2,1080,2720-1091
2615500,1129500,2023,27,2,0,1080,2615-1129
2720695,1091584,2024,33,3,2,1080,2720-1091
2615500,1129500,2021,39,4,4,1080,2615-1129
2762500,1196500,2022,44,1,2,1080,2762-1196
2620500,1256500,2025,51,1,0,1080,2620-1256
2620221,1256806,2022,51,1,0,1080,2620-1256
2620724,1256851,2022,51,2,0,1080,2620-1256
2688629.50001845,1284791.76089009,2024,45,1,16,1080,2688-1284
2593702,1190211,2024,45,1,2,1080,2593-1190
2615500,1129500,2025,51,1,0,1080,2615-1129
2688641,1284787,2023,26,2,0,1080,2688-1284
2615603,1129967,2023,26,1,0,1080,2615-1129
2615737,1129654,2024,26,1,0,1080,2615-1129
2615747,1129671,2024,26,1,0,1080,2615-1129
2561962.27294206,1186076.36390919,2021,26,5,0,1080,2561-1186
2615500,1129500,2025,26,4,0,1080,2615-1129
2615755,1129598,2023,32,2,2,1080,2615-1129
2615381,1129905,2021,38,1,2,1080,2615-1129
2643500,1202500,2023,51,5,0,1080,2643-1202
2620500,1256500,2025,26,1,0,1080,2620-1256
2720348,1091719,2025,39,2,2,1080,2720-1091
2768821,1200118,2023,39,1,16,1080,2768-1200
2720563,1091663,2024,38,2,2,1080,2720-1091
2643238,1202316,2023,45,2,1,1080,2643-1202
2602500,1223500,2024,45,2,4,1080,2602-1223
2620500,1256500,2024,45,3,2,1080,2620-1256
2618103,1128863,2022,26,6,0,1080,2618-1128
2615168,1129680,2025,39,1,2,1080,2615-1129
2601341,1196631,2022,33,1,2,1080,2601-1196
2718500,1141500,2022,45,3,13,1080,2718-1141
2561962.27294206,1186076.36390918,2025,51,1,0,1080,2561-1186
2615500,1129500,2024,51,5,0,1080,2615-1129
2602500,1223500,2024,39,1,2,1080,2602-1223
2601500,1196500,2024,26,2,0,1080,2601-1196
2688632,1284774,2025,26,1,0,1080,2688-1284
2688636,1284788,2022,26,1,0,1080,2688-1284
2688654,1284566,2025,26,1,0,1080,2688-1284
2704500,1283500,2021,33,1,10,1080,2704-1283
2605517,1203807,2025,39,2,19,1080,2605-1203
2720889,1091563,2021,39,2,4,1080,2720-1091
2643259,1202312,2023,51,2,0,1080,2643-1202
2615500,1129500,2022,27,10,0,1080,2615-1129
2559042,1120042,2024,45,1,13,1080,2559-1120
2720726,1091514,2025,39,5,1,1080,2720-1091
2561962.27294206,1186076.36390919,2021,45,1,1,1080,2561-1186
2602500,1223500,2024,45,1,2,1080,2602-1223
2615500,1129500,2023,27,1,0,1080,2615-1129
2618708,1258591,2022,27,1,0,1080,2618-1258
2720608,1091606,2025,45,1,1,1080,2720-1091
2615500,1129500,2021,51,1,0,1080,2615-1129
2534499,1195824,2023,39,1,2,1080,2534-1195
2688636,1284788,2022,27,2,0,1080,2688-1284
2618573.65776178,1128861.5219693,2024,27,1,0,1080,2618-1128
2618573.65776178,1128861.5219693,2024,27,1,0,1080,2618-1128
2720494,1091673,2023,33,2,2,1080,2720-1091
2720691,1091629,2025,33,2,2,1080,2720-1091
2620344,1256829,2022,33,1,2,1080,2620-1256
2720168,1091710,2021,45,2,2,1080,2720-1091
2627029,1127289,2025,45,3,13,1080,2627-1127
2688636,1284783,2023,45,1,2,1080,2688-1284
2643247,1202311,2025,51,3,0,1080,2643-1202
2615463,1129793,2021,27,2,0,1080,2615-1129
2615499,1129892,2022,27,1,0,1080,2615-1129
2615500,1129500,2023,27,4,0,1080,2615-1129
2620500,1256500,2022,27,2,2,1080,2620-1256
2561962.27294206,1186076.36390919,2021,33,3,10,1080,2561-1186
2615500,1129500,2025,33,2,4,1080,2615-1129
2720285,1091653,2023,40,2,2,1080,2720-1091
2643500,1202500,2021,51,4,0,1080,2643-1202
2615500,1129500,2025,52,1,0,1080,2615-1129
2601348,1196694,2022,51,1,0,1080,2601-1196
2720249,1091652,2021,27,2,0,1080,2720-1091
2643252,1202281,2022,27,3,0,1080,2643-1202
2618727,1128158,2024,39,1,1,1080,2618-1128
2720640,1091577,2024,45,2,2,1080,2720-1091
2643250,1202318,2023,45,1,1,1080,2643-1202
2643405,1202886,2023,45,1,1,1080,2643-1202
2688637,1284788,2023,45,1,2,1080,2688-1284
