x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2530500,1151500,2021,25,1,1,4750,2530-1151
2656790,1258644,2021,25,1,3,4750,2656-1258
2655274,1257760,2021,25,1,3,4750,2655-1257
2491063,1115724,2024,25,1,3,4750,2491-1115
2553306,1201483,2024,25,2,3,4750,2553-1201
2682395,1250396,2021,25,1,3,4750,2682-1250
2728161,1271176,2024,25,1,3,4750,2728-1271
2503748,1119205,2025,25,1,3,4750,2503-1119
2504598,1120049,2025,25,1,3,4750,2504-1120
2504743,1120341,2024,25,1,3,4750,2504-1120
2709144,1113899,2024,25,1,3,4750,2709-1113
2600877,1122987,2024,25,2,3,4750,2600-1122
2710032,1113934,2025,25,1,3,4750,2710-1113
2599850,1122036,2024,25,1,3,4750,2599-1122
2709628.1002368,1113293.57333526,2021,25,1,3,4750,2709-1113
2559285.54602242,1146640.34572652,2025,25,1,3,4750,2559-1146
2490462.60499855,1115806.16573781,2023,25,1,3,4750,2490-1115
2751500,1213500,2021,25,1,3,4750,2751-1213
2569500,1203500,2025,25,2,3,4750,2569-1203
2536730.63786481,1154377.83108609,2021,25,1,3,4750,2536-1154
2619500,1241500,2022,25,1,3,4750,2619-1241
2595998,1223822,2021,25,1,1,4750,2595-1223
2640116,1267238,2021,25,1,3,4750,2640-1267
2664638,1256622,2021,25,1,1,4750,2664-1256
2615289,1173900,2023,25,2,3,4750,2615-1173
2628015,1235261,2021,25,1,3,4750,2628-1235
2625309,1231004,2025,25,1,3,4750,2625-1231
2664557,1257562,2021,25,1,1,4750,2664-1257
2685114,1254191,2021,25,1,1,4750,2685-1254
2752869,1261060,2022,25,1,1,4750,2752-1261
2752869,1261054,2022,25,1,2,4750,2752-1261
2715894,1113508,2024,25,1,3,4750,2715-1113
2706500,1230500,2021,25,1,3,4750,2706-1230
2709500,1113500,2021,25,10,1,4750,2709-1113
2608700,1237895,2025,25,2,3,4750,2608-1237
2740834,1221552,2024,25,1,3,4750,2740-1221
2577117,1219172,2025,25,1,3,4750,2577-1219
2698074,1260069,2025,25,1,1,4750,2698-1260
2576019,1218980,2025,25,1,3,4750,2576-1218
2576100,1218965,2025,25,1,3,4750,2576-1218
2634429,1258820,2023,25,1,3,4750,2634-1258
2698074,1260069,2025,25,1,1,4750,2698-1260
2712858,1113684,2022,25,1,3,4750,2712-1113
2570528,1202802,2025,25,1,3,4750,2570-1202
2539046.23780685,1182645.82975201,2025,25,1,1,4750,2539-1182
2495003,1122095,2025,25,1,1,4750,2495-1122
2639186,1251906,2022,25,1,3,4750,2639-1251
2682925.8621381,1259885.6554611,2021,25,1,2,4750,2682-1259
2678500,1253500,2021,25,1,3,4750,2678-1253
2620500,1265500,2021,25,1,3,4750,2620-1265
2569500,1203500,2021,25,2,1,4750,2569-1203
2570500,1203500,2025,25,1,3,4750,2570-1203
2672684,1260144,2025,25,1,3,4750,2672-1260
2576458,1205238,2025,25,1,3,4750,2576-1205
2717500,1113500,2021,25,1,1,4750,2717-1113
2724517,1120144,2022,25,1,3,4750,2724-1120
2614747,1174366,2021,25,1,1,4750,2614-1174
2608500,1261500,2024,25,1,1,4750,2608-1261
2680498.92728881,1254039.62624551,2021,25,1,1,4750,2680-1254
2706480,1230398,2021,25,1,1,4750,2706-1230
2570500,1203500,2025,25,1,3,4750,2570-1203
2685907,1267762,2022,25,1,3,4750,2685-1267
2716500,1113500,2023,25,1,3,4750,2716-1113
2530710,1151147,2025,25,1,3,4750,2530-1151
2705080,1111896,2021,25,1,3,4750,2705-1111
2630311,1127752,2022,25,1,3,4750,2630-1127
2615115,1173902,2021,25,1,3,4750,2615-1173
2681018,1226937,2021,25,1,1,4750,2681-1226
2688629,1285409,2024,25,1,3,4750,2688-1285
2715303,1113646,2023,25,1,1,4750,2715-1113
2710191,1113864,2021,25,1,1,4750,2710-1113
2556456,1133250,2022,25,1,3,4750,2556-1133
2764500,1253500,2024,25,1,3,4750,2764-1253
2572220,1108220,2022,25,1,3,4750,2572-1108
2656058,1258194,2021,25,1,3,4750,2656-1258
2652855,1243228,2024,25,1,3,4750,2652-1243
2570500,1203500,2025,25,1,3,4750,2570-1203
2562923,1209089,2025,25,1,3,4750,2562-1209
2711500,1112500,2023,25,1,2,4750,2711-1112
2680863,1279795,2022,25,1,3,4750,2680-1279
2614500,1174500,2023,25,1,3,4750,2614-1174
2550303,1198160,2023,25,1,1,4750,2550-1198
2709819,1113791,2021,25,10,1,4750,2709-1113
2541745,1151860,2022,25,1,1,4750,2541-1151
2640443,1165874,2025,25,1,3,4750,2640-1165
2715647,1113682,2023,25,2,3,4750,2715-1113
2644236,1224636,2021,25,1,1,4750,2644-1224
2750856,1213648,2021,25,1,3,4750,2750-1213
2634741,1229053,2024,25,1,3,4750,2634-1229
2710562,1113814,2021,25,5,1,4750,2710-1113
2803315,1175909,2021,31,1,3,4750,2803-1175
2709862,1112413,2023,25,1,2,4750,2709-1112
2635172,1228905,2024,25,1,3,4750,2635-1228
2553550.88945185,1216300.63036876,2025,25,1,3,4750,2553-1216
2716501,1113750,2023,25,1,3,4750,2716-1113
2709693,1113612,2021,25,1,1,4750,2709-1113
2557304.38920156,1191785.47097057,2025,25,2,3,4750,2557-1191
2595087.4106272,1124027.778493,2021,25,2,3,4750,2595-1124
2682575,1253135,2021,25,1,3,4750,2682-1253
2746145,1256503,2023,25,1,1,4750,2746-1256
2670330,1242282,2022,25,1,1,4750,2670-1242
2710500,1112500,2023,25,1,2,4750,2710-1112
2633830,1126337,2024,25,1,3,4750,2633-1126
2672533,1252680,2021,25,1,1,4750,2672-1252
2553006,1217252,2025,25,1,3,4750,2553-1217
2543804,1190827,2023,25,1,3,4750,2543-1190
2699500,1235500,2021,25,1,2,4750,2699-1235
2573500,1108500,2021,25,1,1,4750,2573-1108
2543084,1190965,2023,25,1,3,4750,2543-1190
2531321,1152385,2025,25,2,3,4750,2531-1152
2541827,1151912,2025,25,1,1,4750,2541-1151
