x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2584937,1103489,2022,12,1,10,3460,2584-1103
2631797,1178584,2021,31,2,14,3460,2631-1178
2733758,1225273,2021,31,2,10,3460,2733-1225
2631386,1178956,2022,43,1,0,3460,2631-1178
2585309,1169143,2022,55,1,0,3460,2585-1169
2693346,1223702,2021,31,1,14,3460,2693-1223
2693324,1223587,2021,13,1,2,3460,2693-1223
2733756,1225018,2025,7,2,0,3460,2733-1225
2579906,1096284,2025,31,1,3,3460,2579-1096
2813955,1171803,2025,55,1,0,3460,2813-1171
2631323,1178336,2024,62,1,0,3460,2631-1178
2581500,1093500,2025,13,1,10,3460,2581-1093
2597458,1175583,2024,7,1,0,3460,2597-1175
2568830,1105729,2025,26,1,2,3460,2568-1105
2568014,1105098,2025,19,1,2,3460,2568-1105
2733853,1225255,2025,50,1,0,3460,2733-1225
2733841,1225068,2023,56,2,0,3460,2733-1225
2813645,1171582,2023,56,1,0,3460,2813-1171
2733500,1225500,2025,20,2,4,3460,2733-1225
2733500,1225500,2025,50,1,0,3460,2733-1225
2568830,1105729,2025,26,1,2,3460,2568-1105
2631344,1178145,2023,8,1,0,3460,2631-1178
2733500,1225500,2024,56,2,0,3460,2733-1225
2631521,1178669,2023,8,1,0,3460,2631-1178
2568583,1106028,2025,14,1,2,3460,2568-1106
2784827,1190465,2023,38,1,13,3460,2784-1190
2813971,1171791,2025,56,1,0,3460,2813-1171
2579936,1096146,2025,38,3,13,3460,2579-1096
2813513,1171614,2021,14,1,1,3460,2813-1171
2733837,1225022,2024,50,1,0,3460,2733-1225
2579955,1096194,2023,32,2,16,3460,2579-1096
2579500,1096500,2023,32,2,12,3460,2579-1096
2568683,1105860,2021,45,2,2,3460,2568-1105
2515937,1162807,2023,20,1,3,3460,2515-1162
2733807,1225053,2025,8,1,0,3460,2733-1225
2788500,1194500,2023,38,2,16,3460,2788-1194
2719366,1219053,2025,32,1,2,3460,2719-1219
2719436,1219013,2025,32,3,16,3460,2719-1219
2733500,1225500,2023,57,1,0,3460,2733-1225
2597604,1175617,2024,21,1,3,3460,2597-1175
2733825,1225061,2021,14,2,4,3460,2733-1225
2500469,1150840,2022,63,1,0,3460,2500-1150
2568279,1105440,2025,26,1,3,3460,2568-1105
2496500,1142500,2023,33,4,19,3460,2496-1142
2597500,1175500,2022,39,5,13,3460,2597-1175
2597500,1175500,2025,14,1,3,3460,2597-1175
2568267,1105419,2021,45,2,0,3460,2568-1105
2585466,1169134,2021,21,2,4,3460,2585-1169
2585466,1169146,2021,21,2,10,3460,2585-1169
2631559,1178462,2025,15,1,2,3460,2631-1178
2766161,1169432,2023,33,1,12,3460,2766-1169
2766146,1169426,2023,33,2,19,3460,2766-1169
2631766,1178835,2024,21,1,3,3460,2631-1178
2661500,1204500,2022,33,1,2,3460,2661-1204
2566958,1109349,2025,33,2,16,3460,2566-1109
2661084,1204081,2021,57,1,0,3460,2661-1204
2568177,1105362,2025,27,1,3,3460,2568-1105
2568557,1105609,2025,27,1,3,3460,2568-1105
2568680,1105716,2021,45,3,13,3460,2568-1105
2515500,1161500,2025,33,2,19,3460,2515-1161
2496500,1142500,2025,27,1,3,3460,2496-1142
2813869,1171385,2025,33,3,12,3460,2813-1171
2733500,1225500,2021,45,2,0,3460,2733-1225
2597124,1175588,2024,21,1,3,3460,2597-1175
2597262,1175630,2024,21,1,3,3460,2597-1175
2568983,1106476,2022,33,1,14,3460,2568-1106
2733772,1225216,2023,52,1,0,3460,2733-1225
2813885,1171383,2025,33,1,19,3460,2813-1171
2743998,1190352,2022,46,1,2,3460,2743-1190
2783563,1194900,2024,34,2,19,3460,2783-1194
2632230,1178965,2024,53,1,0,3460,2632-1178
2579872,1096354,2022,27,1,3,3460,2579-1096
2813859,1171402,2025,34,1,19,3460,2813-1171
2740337,1226789,2022,27,1,2,3460,2740-1226
2810602,1172326,2025,40,1,16,3460,2810-1172
2810154,1172114,2024,46,1,0,3460,2810-1172
2631495,1178074,2021,70,1,0,3460,2631-1178
2642511,1185475,2021,35,1,16,3460,2642-1185
2631547,1178581,2021,10,1,0,3460,2631-1178
2515500,1162500,2025,34,3,19,3460,2515-1162
2568092,1105359,2021,34,3,14,3460,2568-1105
2631734,1178807,2021,58,1,0,3460,2631-1178
2515673,1162369,2021,22,1,3,3460,2515-1162
2795594,1167428,2022,35,2,16,3460,2795-1167
2813484,1171554,2025,40,2,4,3460,2813-1171
2733782,1225207,2023,52,1,0,3460,2733-1225
2733500,1225500,2023,16,1,7,3460,2733-1225
2514167.77321126,1161501.39333126,2025,29,2,14,3460,2514-1161
2733702,1225443,2023,16,1,2,3460,2733-1225
2629500,1208500,2025,34,2,19,3460,2629-1208
2597390,1175428,2023,16,2,3,3460,2597-1175
2743500,1190500,2021,22,3,4,3460,2743-1190
2501500,1148500,2024,40,2,19,3460,2501-1148
2631833,1178412,2024,16,1,2,3460,2631-1178
2743353,1190561,2022,41,2,16,3460,2743-1190
2733818,1225050,2021,71,1,0,3460,2733-1225
2661185,1204239,2022,22,2,10,3460,2661-1204
2579822,1096034,2021,16,1,3,3460,2579-1096
2733810,1225182,2024,28,1,3,3460,2733-1225
2733676,1225456,2025,28,1,2,3460,2733-1225
2579215,1144533,2023,28,1,2,3460,2579-1144
2579948,1096327,2022,59,1,0,3460,2579-1096
2631496,1178553,2024,17,1,3,3460,2631-1178
2631315,1178243,2023,24,1,3,3460,2631-1178
2597425,1175724,2025,16,1,3,3460,2597-1175
2501091,1148308,2021,35,1,19,3460,2501-1148
2514500,1162500,2022,35,3,16,3460,2514-1162
2813291,1171541,2023,35,2,16,3460,2813-1171
2631446,1178338,2024,59,2,0,3460,2631-1178
2743721,1190246,2023,11,2,3,3460,2743-1190
2733500,1225500,2023,17,1,3,3460,2733-1225
2829453,1193312,2025,35,1,12,3460,2829-1193
2733802,1225253,2022,5,1,0,3460,2733-1225
2733500,1225500,2022,5,1,0,3460,2733-1225
2813540,1171589,2021,47,1,0,3460,2813-1171
2661384,1204298,2023,11,1,2,3460,2661-1204
2693670,1223772,2021,11,1,1,3460,2693-1223
2577775,1105671,2023,35,1,14,3460,2577-1105
2631448,1178288,2025,5,1,0,3460,2631-1178
2743358,1190607,2022,41,2,16,3460,2743-1190
2597813,1175391,2021,54,1,0,3460,2597-1175
2631539,1178403,2025,12,1,3,3460,2631-1178
2733773,1225034,2023,5,1,0,3460,2733-1225
2579030,1144760,2023,12,1,1,3460,2579-1144
2597500,1175500,2022,36,1,2,3460,2597-1175
2568359,1105639,2024,36,4,19,3460,2568-1105
2740285,1226918,2021,36,3,19,3460,2740-1226
2631528,1178676,2022,72,1,0,3460,2631-1178
2631428,1178283,2022,72,1,0,3460,2631-1178
2733841,1225069,2022,72,2,0,3460,2733-1225
2733808,1225060,2022,72,2,0,3460,2733-1225
2631553,1178607,2023,24,2,6,3460,2631-1178
2769283,1201302,2023,48,2,16,3460,2769-1201
2515794,1162199,2021,54,1,0,3460,2515-1162
2661619,1204533,2024,72,1,0,3460,2661-1204
2598921,1152136,2023,42,3,13,3460,2598-1152
2501500,1148500,2023,36,4,19,3460,2501-1148
2515412,1162677,2025,24,1,10,3460,2515-1162
2743617,1190522,2021,12,1,3,3460,2743-1190
2813996,1171764,2025,36,3,13,3460,2813-1171
2813994,1171761,2025,36,3,13,3460,2813-1171
2733500,1225500,2021,30,1,10,3460,2733-1225
2650500,1195500,2024,42,2,16,3460,2650-1195
2813997,1171770,2024,42,2,1,3460,2813-1171
2813827,1171759,2024,55,1,0,3460,2813-1171
2813827,1171723,2024,55,1,0,3460,2813-1171
2631455,1178251,2022,6,2,0,3460,2631-1178
2813598,1171636,2024,61,1,0,3460,2813-1171
2631976,1178302,2023,18,1,2,3460,2631-1178
2500500,1150500,2023,31,4,19,3460,2500-1150
2648893,1166640,2023,43,3,13,3460,2648-1166
2601206,1155982,2023,37,5,13,3460,2601-1155
2632500,1178500,2022,68,2,0,3460,2632-1178
2808575,1171371,2023,56,2,0,3460,2808-1171
2733500,1225500,2024,62,1,0,3460,2733-1225
2579202,1144528,2023,25,2,4,3460,2579-1144
2568822,1105854,2025,20,2,4,3460,2568-1105
2632225,1178964,2024,62,1,0,3460,2632-1178
